EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SKIBOTN, NORWAY (STAID: 18865)
Blended and updated with sources:100724 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18865,100724,19570101,  -79,    0
 18865,100724,19570102,  -82,    0
 18865,100724,19570103,  -52,    0
 18865,100724,19570104,  -48,    0
 18865,100724,19570105,  -10,    0
 18865,100724,19570106,  -28,    0
 18865,100724,19570107,  -25,    0
 18865,100724,19570108,   10,    1
 18865,100724,19570109,    8,    1
 18865,100724,19570110,  -12,    0
 18865,100724,19570111,  -21,    0
 18865,100724,19570112, -117,    0
 18865,100724,19570113, -104,    0
 18865,100724,19570114,   27,    1
 18865,100724,19570115,  -21,    0
 18865,100724,19570116,   -4,    0
 18865,100724,19570117,   48,    1
 18865,100724,19570118,   29,    1
 18865,100724,19570119,  -40,    0
 18865,100724,19570120,   10,    1
 18865,100724,19570121,   -2,    0
 18865,100724,19570122,   13,    1
 18865,100724,19570123,  -59,    0
 18865,100724,19570124,  -48,    0
 18865,100724,19570125,  -95,    0
 18865,100724,19570126,  -53,    0
 18865,100724,19570127,  -62,    0
 18865,100724,19570128,  -75,    0
 18865,100724,19570129,  -37,    0
 18865,100724,19570130,   17,    1
 18865,100724,19570131,   41,    1
 18865,100724,19570201,    3,    1
 18865,100724,19570202,   22,    1
 18865,100724,19570203,   20,    1
 18865,100724,19570204,   -5,    0
 18865,100724,19570205,  -25,    0
 18865,100724,19570206,  -56,    0
 18865,100724,19570207,  -97,    0
 18865,100724,19570208, -101,    0
 18865,100724,19570209, -121,    0
 18865,100724,19570210, -110,    0
 18865,100724,19570211, -131,    0
 18865,100724,19570212, -104,    0
 18865,100724,19570213, -119,    0
 18865,100724,19570214, -150,    0
 18865,100724,19570215, -144,    0
 18865,100724,19570216,  -86,    0
 18865,100724,19570217,  -58,    0
 18865,100724,19570218,  -57,    0
 18865,100724,19570219,  -66,    0
 18865,100724,19570220,  -43,    0
 18865,100724,19570221,  -17,    0
 18865,100724,19570222,  -83,    0
 18865,100724,19570223,  -81,    0
 18865,100724,19570224,  -74,    0
 18865,100724,19570225,  -44,    0
 18865,100724,19570226,  -54,    0
 18865,100724,19570227,  -77,    0
 18865,100724,19570228,  -61,    0
 18865,100724,19570301,  -10,    0
 18865,100724,19570302,   12,    1
 18865,100724,19570303,    4,    1
 18865,100724,19570304,  -54,    0
 18865,100724,19570305,  -71,    0
 18865,100724,19570306,  -56,    0
 18865,100724,19570307,  -35,    0
 18865,100724,19570308,   -5,    0
 18865,100724,19570309,   19,    1
 18865,100724,19570310,   36,    1
 18865,100724,19570311,    7,    1
 18865,100724,19570312,  -30,    0
 18865,100724,19570313,  -95,    0
 18865,100724,19570314, -156,    0
 18865,100724,19570315, -118,    0
 18865,100724,19570316,  -81,    0
 18865,100724,19570317,  -81,    0
 18865,100724,19570318, -113,    0
 18865,100724,19570319, -127,    0
 18865,100724,19570320,  -98,    0
 18865,100724,19570321, -105,    0
 18865,100724,19570322,  -83,    0
 18865,100724,19570323,  -21,    0
 18865,100724,19570324,  -23,    0
 18865,100724,19570325,   11,    1
 18865,100724,19570326,   40,    1
 18865,100724,19570327,   21,    1
 18865,100724,19570328,  -13,    0
 18865,100724,19570329,    6,    1
 18865,100724,19570330,   -6,    0
 18865,100724,19570331,   22,    1
 18865,100724,19570401,   15,    1
 18865,100724,19570402,   68,    1
 18865,100724,19570403,   62,    1
 18865,100724,19570404,   64,    1
 18865,100724,19570405,   49,    1
 18865,100724,19570406,    4,    1
 18865,100724,19570407,  -24,    0
 18865,100724,19570408,  -52,    0
 18865,100724,19570409,  -25,    0
 18865,100724,19570410,  -33,    0
 18865,100724,19570411,  -25,    0
 18865,100724,19570412,  -16,    0
 18865,100724,19570413,  -37,    0
 18865,100724,19570414,  -36,    0
 18865,100724,19570415,  -32,    0
 18865,100724,19570416,  -12,    0
 18865,100724,19570417,    7,    1
 18865,100724,19570418,   58,    1
 18865,100724,19570419,   40,    1
 18865,100724,19570420,   54,    1
 18865,100724,19570421,   67,    1
 18865,100724,19570422,   72,    1
 18865,100724,19570423,   68,    1
 18865,100724,19570424,   49,    1
 18865,100724,19570425,   77,    1
 18865,100724,19570426,   38,    1
 18865,100724,19570427,   73,    1
 18865,100724,19570428,   46,    1
 18865,100724,19570429,   31,    1
 18865,100724,19570430,   20,    1
 18865,100724,19570501,   20,    1
 18865,100724,19570502,    6,    1
 18865,100724,19570503,   -1,    0
 18865,100724,19570504,   18,    1
 18865,100724,19570505,   -3,    0
 18865,100724,19570506,    8,    1
 18865,100724,19570507,   14,    1
 18865,100724,19570508,   24,    1
 18865,100724,19570509,   55,    1
 18865,100724,19570510,   99,    1
 18865,100724,19570511,   87,    1
 18865,100724,19570512,   99,    1
 18865,100724,19570513,   78,    1
 18865,100724,19570514,   43,    1
 18865,100724,19570515,   34,    1
 18865,100724,19570516,   29,    1
 18865,100724,19570517,   26,    1
 18865,100724,19570518,   41,    1
 18865,100724,19570519,   55,    1
 18865,100724,19570520,   56,    1
 18865,100724,19570521,   44,    1
 18865,100724,19570522,   41,    1
 18865,100724,19570523,   22,    1
 18865,100724,19570524,   49,    1
 18865,100724,19570525,   55,    1
 18865,100724,19570526,   86,    1
 18865,100724,19570527,   90,    1
 18865,100724,19570528,   92,    1
 18865,100724,19570529,   59,    1
 18865,100724,19570530,   51,    1
 18865,100724,19570531,   49,    1
 18865,100724,19570601,   65,    1
 18865,100724,19570602,   60,    1
 18865,100724,19570603,   48,    1
 18865,100724,19570604,   54,    1
 18865,100724,19570605,   89,    1
 18865,100724,19570606,   93,    1
 18865,100724,19570607,  104,    1
 18865,100724,19570608,   70,    1
 18865,100724,19570609,   92,    1
 18865,100724,19570610,  112,    1
 18865,100724,19570611,  100,    1
 18865,100724,19570612,   98,    1
 18865,100724,19570613,   63,    1
 18865,100724,19570614,   71,    1
 18865,100724,19570615,   69,    1
 18865,100724,19570616,  100,    1
 18865,100724,19570617,   84,    1
 18865,100724,19570618,   82,    1
 18865,100724,19570619,   69,    1
 18865,100724,19570620,   58,    1
 18865,100724,19570621,   68,    1
 18865,100724,19570622,   68,    1
 18865,100724,19570623,   75,    1
 18865,100724,19570624,   83,    1
 18865,100724,19570625,   88,    1
 18865,100724,19570626,  104,    1
 18865,100724,19570627,   98,    1
 18865,100724,19570628,   64,    1
 18865,100724,19570629,   83,    1
 18865,100724,19570630,  103,    1
 18865,100724,19570701,  107,    1
 18865,100724,19570702,  109,    1
 18865,100724,19570703,   76,    1
 18865,100724,19570704,   88,    1
 18865,100724,19570705,   84,    1
 18865,100724,19570706,   74,    1
 18865,100724,19570707,   95,    1
 18865,100724,19570708,  117,    1
 18865,100724,19570709,  151,    1
 18865,100724,19570710,  146,    1
 18865,100724,19570711,  119,    1
 18865,100724,19570712,  111,    1
 18865,100724,19570713,   98,    1
 18865,100724,19570714,  189,    1
 18865,100724,19570715,  190,    1
 18865,100724,19570716,  147,    1
 18865,100724,19570717,  215,    1
 18865,100724,19570718,  201,    1
 18865,100724,19570719,  160,    1
 18865,100724,19570720,  207,    1
 18865,100724,19570721,  125,    1
 18865,100724,19570722,  106,    1
 18865,100724,19570723,  104,    1
 18865,100724,19570724,  158,    1
 18865,100724,19570725,  201,    1
 18865,100724,19570726,  219,    1
 18865,100724,19570727,  231,    1
 18865,100724,19570728,  223,    1
 18865,100724,19570729,  216,    1
 18865,100724,19570730,  243,    1
 18865,100724,19570731,  143,    1
 18865,100724,19570801,  121,    1
 18865,100724,19570802,  127,    1
 18865,100724,19570803,  113,    1
 18865,100724,19570804,  111,    1
 18865,100724,19570805,  118,    1
 18865,100724,19570806,   94,    1
 18865,100724,19570807,   96,    1
 18865,100724,19570808,   96,    1
 18865,100724,19570809,  113,    1
 18865,100724,19570810,  122,    1
 18865,100724,19570811,  111,    1
 18865,100724,19570812,  130,    1
 18865,100724,19570813,  107,    1
 18865,100724,19570814,  105,    1
 18865,100724,19570815,   90,    1
 18865,100724,19570816,  105,    1
 18865,100724,19570817,  113,    1
 18865,100724,19570818,  146,    1
 18865,100724,19570819,  195,    1
 18865,100724,19570820,  184,    1
 18865,100724,19570821,  108,    1
 18865,100724,19570822,  106,    1
 18865,100724,19570823,  110,    1
 18865,100724,19570824,  109,    1
 18865,100724,19570825,  135,    1
 18865,100724,19570826,  120,    1
 18865,100724,19570827,  144,    1
 18865,100724,19570828,  136,    1
 18865,100724,19570829,  117,    1
 18865,100724,19570830,  109,    1
 18865,100724,19570831,  126,    1
 18865,100724,19570901,  101,    1
 18865,100724,19570902,  126,    1
 18865,100724,19570903,  111,    1
 18865,100724,19570904,  111,    1
 18865,100724,19570905,   82,    1
 18865,100724,19570906,  125,    1
 18865,100724,19570907,  126,    1
 18865,100724,19570908,  129,    1
 18865,100724,19570909,  104,    1
 18865,100724,19570910,  103,    1
 18865,100724,19570911,   77,    1
 18865,100724,19570912,   92,    1
 18865,100724,19570913,  123,    1
 18865,100724,19570914,   77,    1
 18865,100724,19570915,   88,    1
 18865,100724,19570916,   96,    1
 18865,100724,19570917,   80,    1
 18865,100724,19570918,   84,    1
 18865,100724,19570919,   81,    1
 18865,100724,19570920,   37,    1
 18865,100724,19570921,   51,    1
 18865,100724,19570922,   44,    1
 18865,100724,19570923,   29,    1
 18865,100724,19570924,   15,    1
 18865,100724,19570925,   -8,    0
 18865,100724,19570926,    2,    1
 18865,100724,19570927,   20,    1
 18865,100724,19570928,   19,    1
 18865,100724,19570929,   36,    1
 18865,100724,19570930,   30,    1
 18865,100724,19571001,   16,    0
 18865,100724,19571002,   43,    0
 18865,100724,19571003,    4,    0
 18865,100724,19571004,   -4,    0
 18865,100724,19571005,   -5,    0
 18865,100724,19571006,    0,    0
 18865,100724,19571007,   24,    0
 18865,100724,19571008,   46,    0
 18865,100724,19571009,   60,    0
 18865,100724,19571010,   86,    0
 18865,100724,19571011,   71,    0
 18865,100724,19571012,   36,    0
 18865,100724,19571013,   37,    0
 18865,100724,19571014,   42,    0
 18865,100724,19571015,   21,    0
 18865,100724,19571016,   20,    0
 18865,100724,19571017,   33,    0
 18865,100724,19571018,   20,    0
 18865,100724,19571019,   27,    0
 18865,100724,19571020,   15,    0
 18865,100724,19571021,   20,    0
 18865,100724,19571022,   30,    0
 18865,100724,19571023,    8,    0
 18865,100724,19571024,   33,    0
 18865,100724,19571025,    7,    0
 18865,100724,19571026,   14,    0
 18865,100724,19571027,   37,    0
 18865,100724,19571028,   33,    0
 18865,100724,19571029,   34,    0
 18865,100724,19571030,   27,    0
 18865,100724,19571031,   10,    0
 18865,100724,19571101,   14,    0
 18865,100724,19571102,   16,    0
 18865,100724,19571103,   11,    0
 18865,100724,19571104,   40,    0
 18865,100724,19571105,   63,    0
 18865,100724,19571106,   75,    0
 18865,100724,19571107,   67,    0
 18865,100724,19571108,   19,    0
 18865,100724,19571109,   33,    0
 18865,100724,19571110,   16,    0
 18865,100724,19571111,   73,    0
 18865,100724,19571112,   71,    0
 18865,100724,19571113,   34,    0
 18865,100724,19571114,   46,    0
 18865,100724,19571115,    3,    0
 18865,100724,19571116,  -31,    0
 18865,100724,19571117,  -46,    0
 18865,100724,19571118,   -7,    0
 18865,100724,19571119,   15,    0
 18865,100724,19571120,   56,    0
 18865,100724,19571121,   47,    0
 18865,100724,19571122,   -5,    0
 18865,100724,19571123,  -20,    0
 18865,100724,19571124,  -12,    0
 18865,100724,19571125,  -66,    0
 18865,100724,19571126, -114,    0
 18865,100724,19571127,  -96,    0
 18865,100724,19571128, -144,    0
 18865,100724,19571129,   -4,    0
 18865,100724,19571130,    4,    0
 18865,100724,19571201,   65,    0
 18865,100724,19571202,    4,    0
 18865,100724,19571203,  -18,    0
 18865,100724,19571204,   -6,    0
 18865,100724,19571205,  -76,    0
 18865,100724,19571206,  -65,    0
 18865,100724,19571207,  -84,    0
 18865,100724,19571208, -171,    0
 18865,100724,19571209, -162,    0
 18865,100724,19571210, -133,    0
