EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SOERNESSET, NORWAY (STAID: 18871)
Blended and updated with sources:100730 901379 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18871,100730,19540101,   -1,    0
 18871,100730,19540102,   38,    0
 18871,100730,19540103,  -55,    0
 18871,100730,19540104, -143,    0
 18871,100730,19540105,  -65,    0
 18871,100730,19540106, -100,    0
 18871,100730,19540107, -109,    0
 18871,100730,19540108,  -90,    0
 18871,100730,19540109,  -67,    0
 18871,100730,19540110,  -83,    0
 18871,100730,19540111,  -80,    0
 18871,100730,19540112,  -14,    0
 18871,100730,19540113,  -66,    0
 18871,100730,19540114,  -24,    0
 18871,100730,19540115,  -52,    0
 18871,100730,19540116,  -83,    0
 18871,100730,19540117,  -46,    0
 18871,100730,19540118,  -70,    0
 18871,100730,19540119,  -76,    0
 18871,100730,19540120,  -62,    0
 18871,100730,19540121, -104,    0
 18871,100730,19540122, -242,    0
 18871,100730,19540123, -170,    0
 18871,100730,19540124, -190,    0
 18871,100730,19540125, -192,    0
 18871,100730,19540126, -202,    0
 18871,100730,19540127, -224,    0
 18871,100730,19540128, -171,    0
 18871,100730,19540129, -170,    0
 18871,100730,19540130, -278,    0
 18871,100730,19540131, -259,    0
 18871,100730,19540201, -214,    0
 18871,100730,19540202, -194,    0
 18871,100730,19540203,  -48,    0
 18871,100730,19540204,  -79,    0
 18871,100730,19540205, -112,    0
 18871,100730,19540206,  -85,    0
 18871,100730,19540207,  -77,    0
 18871,100730,19540208, -102,    0
 18871,100730,19540209, -133,    0
 18871,100730,19540210, -147,    0
 18871,100730,19540211, -133,    0
 18871,100730,19540212, -218,    0
 18871,100730,19540213, -244,    0
 18871,100730,19540214, -244,    0
 18871,100730,19540215, -204,    0
 18871,100730,19540216, -214,    0
 18871,100730,19540217, -146,    0
 18871,100730,19540218, -118,    0
 18871,100730,19540219, -121,    0
 18871,100730,19540220, -136,    0
 18871,100730,19540221, -173,    0
 18871,100730,19540222,  -79,    0
 18871,100730,19540223,  -86,    0
 18871,100730,19540224,  -98,    0
 18871,100730,19540225,  -91,    0
 18871,100730,19540226, -103,    0
 18871,100730,19540227, -105,    0
 18871,100730,19540228, -101,    0
 18871,100730,19540301, -106,    0
 18871,100730,19540302, -133,    0
 18871,100730,19540303, -169,    0
 18871,100730,19540304, -171,    0
