EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SULDAL - MO, NORWAY (STAID: 18905)
Blended and updated with sources:100772 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18905,100772,19741101,    6,    0
 18905,100772,19741102,   -1,    0
 18905,100772,19741103,   -7,    0
 18905,100772,19741104,  -29,    0
 18905,100772,19741105,  -19,    0
 18905,100772,19741106,   19,    0
 18905,100772,19741107,   26,    0
 18905,100772,19741108,   54,    0
 18905,100772,19741109,   58,    0
 18905,100772,19741110,   56,    0
 18905,100772,19741111,   47,    0
 18905,100772,19741112,   59,    0
 18905,100772,19741113,   35,    0
 18905,100772,19741114,   65,    0
 18905,100772,19741115,   69,    0
 18905,100772,19741116,   37,    0
 18905,100772,19741117,   34,    0
 18905,100772,19741118,   45,    0
 18905,100772,19741119,   58,    0
 18905,100772,19741120,   63,    0
 18905,100772,19741121,    3,    0
 18905,100772,19741122,  -42,    0
 18905,100772,19741123,   31,    0
 18905,100772,19741124,   57,    0
 18905,100772,19741125,   70,    0
 18905,100772,19741126,   12,    0
 18905,100772,19741127,   19,    0
 18905,100772,19741128,   21,    0
 18905,100772,19741129,  -44,    0
 18905,100772,19741130,  -15,    0
 18905,100772,19741201,  -12,    0
 18905,100772,19741202,   46,    0
 18905,100772,19741203,   36,    0
 18905,100772,19741204,   59,    0
 18905,100772,19741205,    8,    0
 18905,100772,19741206,   -9,    0
 18905,100772,19741207,   12,    0
 18905,100772,19741208,   22,    0
 18905,100772,19741209,   57,    0
 18905,100772,19741210,   14,    0
 18905,100772,19741211,    6,    0
 18905,100772,19741212,  -88,    0
 18905,100772,19741213,  -62,    0
 18905,100772,19741214,   23,    0
 18905,100772,19741215,    8,    0
 18905,100772,19741216,   19,    0
 18905,100772,19741217,  -11,    0
 18905,100772,19741218,  -41,    0
 18905,100772,19741219,  -29,    0
 18905,100772,19741220,   63,    0
 18905,100772,19741221,   67,    0
 18905,100772,19741222,   80,    0
 18905,100772,19741223,   54,    0
 18905,100772,19741224,   76,    0
 18905,100772,19741225,   40,    0
 18905,100772,19741226,   35,    0
 18905,100772,19741227,   17,    0
 18905,100772,19741228,    1,    0
 18905,100772,19741229,   22,    0
 18905,100772,19741230,    9,    0
 18905,100772,19741231,    9,    0
 18905,100772,19750101,   68,    1
 18905,100772,19750102,   29,    0
 18905,100772,19750103,   57,    0
 18905,100772,19750104,   11,    0
 18905,100772,19750105,   50,    0
 18905,100772,19750106,   33,    0
 18905,100772,19750107,  -22,    0
 18905,100772,19750108,  -69,    0
 18905,100772,19750109,   32,    0
 18905,100772,19750110,   20,    0
 18905,100772,19750111,   23,    0
 18905,100772,19750112,   29,    0
 18905,100772,19750113,   49,    0
 18905,100772,19750114,   70,    0
 18905,100772,19750115,   72,    0
 18905,100772,19750116,   31,    0
 18905,100772,19750117,    5,    0
 18905,100772,19750118,    7,    0
 18905,100772,19750119,    0,    0
 18905,100772,19750120,   18,    0
 18905,100772,19750121,    7,    0
 18905,100772,19750122,   32,    0
 18905,100772,19750123,   24,    0
 18905,100772,19750124,   13,    0
 18905,100772,19750125,   25,    0
 18905,100772,19750126,   16,    0
 18905,100772,19750127,   33,    0
 18905,100772,19750128,   28,    0
 18905,100772,19750129,   25,    0
 18905,100772,19750130,   53,    0
 18905,100772,19750131,   61,    0
 18905,100772,19750201,   28,    0
 18905,100772,19750202,   37,    0
 18905,100772,19750203,   -1,    0
 18905,100772,19750204,   -7,    0
 18905,100772,19750205,   -7,    0
 18905,100772,19750206,   -8,    0
 18905,100772,19750207,  -29,    0
 18905,100772,19750208,  -38,    0
 18905,100772,19750209,  -48,    0
 18905,100772,19750210,  -43,    0
 18905,100772,19750211,  -28,    0
