EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALTA AERADIO, NORWAY (STAID: 18913)
Blended and updated with sources:100778 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18913,100778,19400901,-9999,    9
 18913,100778,19400902,-9999,    9
 18913,100778,19400903,-9999,    9
 18913,100778,19400904,-9999,    9
 18913,100778,19400905,-9999,    9
 18913,100778,19400906,-9999,    9
 18913,100778,19400907,-9999,    9
 18913,100778,19400908,-9999,    9
 18913,100778,19400909,-9999,    9
 18913,100778,19400910,-9999,    9
 18913,100778,19400911,   74,    1
 18913,100778,19400912,   85,    1
 18913,100778,19400913,   83,    1
 18913,100778,19400914,   89,    1
 18913,100778,19400915,   89,    1
 18913,100778,19400916,  101,    1
 18913,100778,19400917,  105,    1
 18913,100778,19400918,  110,    1
 18913,100778,19400919,  108,    1
 18913,100778,19400920,  108,    1
 18913,100778,19400921,  120,    1
 18913,100778,19400922,   97,    1
 18913,100778,19400923,   74,    1
 18913,100778,19400924,   49,    1
 18913,100778,19400925,   72,    1
 18913,100778,19400926,   64,    1
 18913,100778,19400927,   46,    1
 18913,100778,19400928,   19,    1
 18913,100778,19400929,   41,    1
 18913,100778,19400930,   83,    1
 18913,100778,19401001,   36,    1
 18913,100778,19401002,   18,    1
 18913,100778,19401003,   25,    1
 18913,100778,19401004,   34,    1
 18913,100778,19401005,   55,    1
 18913,100778,19401006,   68,    1
 18913,100778,19401007,   59,    1
 18913,100778,19401008,   73,    1
 18913,100778,19401009,   65,    1
 18913,100778,19401010,   79,    1
 18913,100778,19401011,   76,    1
 18913,100778,19401012,   87,    1
 18913,100778,19401013,   96,    1
 18913,100778,19401014,   41,    1
 18913,100778,19401015,   35,    1
 18913,100778,19401016,   56,    1
 18913,100778,19401017,   62,    1
 18913,100778,19401018,   54,    1
 18913,100778,19401019,   40,    1
 18913,100778,19401020,   24,    1
 18913,100778,19401021,  -18,    0
 18913,100778,19401022,   -9,    0
 18913,100778,19401023,   31,    1
 18913,100778,19401024,    9,    1
 18913,100778,19401025,    4,    1
 18913,100778,19401026,  -58,    0
 18913,100778,19401027,  -51,    0
 18913,100778,19401028,   -6,    0
 18913,100778,19401029,    1,    1
 18913,100778,19401030,  -14,    0
 18913,100778,19401031,    2,    1
 18913,100778,19401101,  -17,    0
 18913,100778,19401102,    3,    1
 18913,100778,19401103,  -28,    0
 18913,100778,19401104,  -61,    0
 18913,100778,19401105,  -75,    0
 18913,100778,19401106,  -67,    0
 18913,100778,19401107,  -84,    0
 18913,100778,19401108,  -85,    0
 18913,100778,19401109,  -57,    0
 18913,100778,19401110,  -48,    0
 18913,100778,19401111,  -89,    0
 18913,100778,19401112,  -77,    0
 18913,100778,19401113,  -46,    0
 18913,100778,19401114,  -35,    0
 18913,100778,19401115,  -12,    0
 18913,100778,19401116,  -13,    0
 18913,100778,19401117,  -78,    0
 18913,100778,19401118,  -36,    0
 18913,100778,19401119,  -72,    0
 18913,100778,19401120,  -20,    0
 18913,100778,19401121,  -14,    0
 18913,100778,19401122,  -28,    0
 18913,100778,19401123,  -24,    0
 18913,100778,19401124,  -32,    0
 18913,100778,19401125,  -68,    0
 18913,100778,19401126,  -81,    0
 18913,100778,19401127,  -50,    0
 18913,100778,19401128,  -46,    0
 18913,100778,19401129,  -58,    0
 18913,100778,19401130,  -50,    0
 18913,100778,19401201,   -1,    0
 18913,100778,19401202,  -24,    0
 18913,100778,19401203,  -59,    0
 18913,100778,19401204, -128,    0
 18913,100778,19401205, -167,    0
 18913,100778,19401206,  -94,    0
 18913,100778,19401207,  -78,    0
 18913,100778,19401208,  -68,    0
 18913,100778,19401209,  -61,    0
 18913,100778,19401210,  -86,    0
 18913,100778,19401211, -139,    0
 18913,100778,19401212, -101,    0
 18913,100778,19401213,  -46,    0
 18913,100778,19401214,  -51,    0
 18913,100778,19401215,  -82,    0
 18913,100778,19401216,  -65,    0
 18913,100778,19401217,  -18,    0
 18913,100778,19401218,   22,    1
 18913,100778,19401219,   13,    1
 18913,100778,19401220,   57,    1
 18913,100778,19401221,   93,    1
 18913,100778,19401222,   -5,    0
 18913,100778,19401223,  -10,    0
 18913,100778,19401224,  -13,    0
 18913,100778,19401225,  -36,    0
 18913,100778,19401226,  -30,    0
 18913,100778,19401227,  -70,    0
 18913,100778,19401228, -179,    0
 18913,100778,19401229, -195,    0
 18913,100778,19401230,  -61,    0
 18913,100778,19401231, -154,    0
 18913,100778,19410101, -159,    0
 18913,100778,19410102,  -31,    0
 18913,100778,19410103,  -28,    0
 18913,100778,19410104,   36,    1
 18913,100778,19410105,   12,    1
 18913,100778,19410106,   40,    1
 18913,100778,19410107,  -18,    0
 18913,100778,19410108,  -15,    0
 18913,100778,19410109,    6,    1
 18913,100778,19410110,  -26,    0
 18913,100778,19410111, -161,    0
 18913,100778,19410112, -113,    0
 18913,100778,19410113, -105,    0
 18913,100778,19410114, -111,    0
 18913,100778,19410115, -151,    0
 18913,100778,19410116, -207,    0
 18913,100778,19410117, -189,    0
 18913,100778,19410118, -141,    0
 18913,100778,19410119, -175,    0
 18913,100778,19410120, -172,    0
 18913,100778,19410121, -128,    0
 18913,100778,19410122,  -77,    0
 18913,100778,19410123,  -66,    0
 18913,100778,19410124, -135,    0
 18913,100778,19410125,  -81,    0
 18913,100778,19410126,  -77,    0
 18913,100778,19410127,  -95,    0
 18913,100778,19410128,  -96,    0
 18913,100778,19410129, -110,    0
 18913,100778,19410130,  -17,    0
 18913,100778,19410131,  -64,    0
 18913,100778,19410201, -122,    0
 18913,100778,19410202,  -94,    0
 18913,100778,19410203,  -87,    0
 18913,100778,19410204, -101,    0
 18913,100778,19410205, -189,    0
 18913,100778,19410206, -156,    0
 18913,100778,19410207, -101,    0
 18913,100778,19410208, -143,    0
 18913,100778,19410209, -100,    0
 18913,100778,19410210,  -96,    0
 18913,100778,19410211, -153,    0
 18913,100778,19410212,  -58,    0
 18913,100778,19410213,  -80,    0
 18913,100778,19410214,  -34,    0
 18913,100778,19410215,  -24,    0
 18913,100778,19410216,  -60,    0
 18913,100778,19410217, -103,    0
 18913,100778,19410218, -143,    0
 18913,100778,19410219, -117,    0
 18913,100778,19410220, -121,    0
 18913,100778,19410221,  -99,    0
 18913,100778,19410222,  -68,    0
 18913,100778,19410223,  -82,    0
 18913,100778,19410224, -129,    0
 18913,100778,19410225,  -98,    0
 18913,100778,19410226,  -82,    0
 18913,100778,19410227,  -65,    0
 18913,100778,19410228, -113,    0
 18913,100778,19410301, -112,    0
 18913,100778,19410302, -156,    0
 18913,100778,19410303, -191,    0
 18913,100778,19410304, -171,    0
 18913,100778,19410305, -151,    0
 18913,100778,19410306, -124,    0
 18913,100778,19410307,  -86,    0
 18913,100778,19410308,   -8,    0
 18913,100778,19410309,   10,    1
 18913,100778,19410310,   -4,    0
 18913,100778,19410311,  -21,    0
 18913,100778,19410312,   25,    1
 18913,100778,19410313,  -27,    0
 18913,100778,19410314,   12,    1
 18913,100778,19410315,   22,    1
 18913,100778,19410316,    4,    1
 18913,100778,19410317,   36,    1
 18913,100778,19410318,   -6,    0
 18913,100778,19410319,  -31,    0
 18913,100778,19410320,  -95,    0
 18913,100778,19410321, -103,    0
 18913,100778,19410322,  -98,    0
 18913,100778,19410323, -124,    0
 18913,100778,19410324, -114,    0
 18913,100778,19410325, -117,    0
 18913,100778,19410326, -113,    0
 18913,100778,19410327,  -83,    0
 18913,100778,19410328, -112,    0
 18913,100778,19410329,  -92,    0
 18913,100778,19410330, -106,    0
 18913,100778,19410331,  -45,    0
 18913,100778,19410401,  -62,    0
 18913,100778,19410402,  -79,    0
 18913,100778,19410403,  -66,    0
 18913,100778,19410404,  -67,    0
 18913,100778,19410405,  -56,    0
 18913,100778,19410406,  -63,    0
 18913,100778,19410407,  -44,    0
 18913,100778,19410408,  -38,    0
 18913,100778,19410409,  -61,    0
 18913,100778,19410410,  -67,    0
 18913,100778,19410411,  -92,    0
 18913,100778,19410412,  -51,    0
 18913,100778,19410413,    3,    1
 18913,100778,19410414,   -8,    0
 18913,100778,19410415,  -36,    0
 18913,100778,19410416,  -37,    0
 18913,100778,19410417,  -45,    0
 18913,100778,19410418,  -53,    0
 18913,100778,19410419,  -30,    0
 18913,100778,19410420,   -4,    0
 18913,100778,19410421,  -42,    0
 18913,100778,19410422,  -13,    0
 18913,100778,19410423,   28,    1
 18913,100778,19410424,   31,    1
 18913,100778,19410425,   24,    1
 18913,100778,19410426,   42,    1
 18913,100778,19410427,   49,    1
