EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EGNERFJELL, NORWAY (STAID: 18941)
Blended and updated with sources:100808 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18941,100808,19580601,  152,    0
 18941,100808,19580602,  169,    0
 18941,100808,19580603,  151,    0
 18941,100808,19580604,  171,    0
 18941,100808,19580605,  111,    0
 18941,100808,19580606,  144,    0
 18941,100808,19580607,  149,    0
 18941,100808,19580608,  140,    0
 18941,100808,19580609,   74,    0
 18941,100808,19580610,   87,    0
 18941,100808,19580611,  112,    0
 18941,100808,19580612,  124,    0
 18941,100808,19580613,  117,    0
 18941,100808,19580614,  134,    0
 18941,100808,19580615,  140,    0
 18941,100808,19580616,  145,    0
 18941,100808,19580617,  166,    0
 18941,100808,19580618,  115,    0
 18941,100808,19580619,   88,    0
 18941,100808,19580620,  107,    0
 18941,100808,19580621,  115,    0
 18941,100808,19580622,  124,    0
 18941,100808,19580623,  125,    0
 18941,100808,19580624,  124,    0
 18941,100808,19580625,  134,    0
 18941,100808,19580626,  151,    0
 18941,100808,19580627,  184,    0
 18941,100808,19580628,  208,    0
 18941,100808,19580629,  155,    0
 18941,100808,19580630,  211,    0
 18941,100808,19580701,  235,    0
 18941,100808,19580702,  232,    0
 18941,100808,19580703,  238,    0
 18941,100808,19580704,  225,    0
 18941,100808,19580705,  197,    0
 18941,100808,19580706,  169,    0
 18941,100808,19580707,  170,    0
 18941,100808,19580708,  159,    0
 18941,100808,19580709,  194,    0
 18941,100808,19580710,  164,    0
 18941,100808,19580711,  140,    0
 18941,100808,19580712,  154,    0
 18941,100808,19580713,  137,    0
 18941,100808,19580714,  144,    0
 18941,100808,19580715,  138,    0
 18941,100808,19580716,  137,    0
 18941,100808,19580717,  127,    0
 18941,100808,19580718,  120,    0
 18941,100808,19580719,  154,    0
 18941,100808,19580720,  149,    0
 18941,100808,19580721,  160,    0
 18941,100808,19580722,  142,    0
 18941,100808,19580723,  127,    0
 18941,100808,19580724,  146,    0
 18941,100808,19580725,  130,    0
 18941,100808,19580726,  129,    0
 18941,100808,19580727,  114,    0
 18941,100808,19580728,  118,    0
 18941,100808,19580729,  138,    0
 18941,100808,19580730,  145,    0
 18941,100808,19580731,  134,    0
 18941,100808,19580801,  133,    0
 18941,100808,19580802,  103,    0
 18941,100808,19580803,  121,    0
 18941,100808,19580804,  119,    0
 18941,100808,19580805,  135,    0
 18941,100808,19580806,  124,    0
 18941,100808,19580807,  116,    0
 18941,100808,19580808,  100,    0
 18941,100808,19580809,  126,    0
 18941,100808,19580810,  146,    0
 18941,100808,19580811,  149,    0
 18941,100808,19580812,  158,    0
 18941,100808,19580813,  142,    0
 18941,100808,19580814,  140,    0
 18941,100808,19580815,  150,    0
 18941,100808,19580816,  128,    0
 18941,100808,19580817,  140,    0
 18941,100808,19580818,  162,    0
 18941,100808,19580819,  156,    0
 18941,100808,19580820,  156,    0
 18941,100808,19580821,  150,    0
 18941,100808,19580822,  121,    0
 18941,100808,19580823,  118,    0
 18941,100808,19580824,  109,    0
 18941,100808,19580825,  129,    0
 18941,100808,19580826,  150,    0
 18941,100808,19580827,  154,    0
 18941,100808,19580828,  149,    0
 18941,100808,19580829,  151,    0
 18941,100808,19580830,  152,    0
 18941,100808,19580831,  140,    0
 18941,100808,19580901,  166,    0
 18941,100808,19580902,  155,    0
 18941,100808,19580903,  167,    0
 18941,100808,19580904,  173,    0
 18941,100808,19580905,  155,    0
 18941,100808,19580906,  153,    0
 18941,100808,19580907,  151,    0
 18941,100808,19580908,  146,    0
 18941,100808,19580909,  108,    0
 18941,100808,19580910,  104,    0
 18941,100808,19580911,  122,    0
 18941,100808,19580912,  114,    0
 18941,100808,19580913,  116,    0
 18941,100808,19580914,  111,    0
 18941,100808,19580915,  104,    0
 18941,100808,19580916,  100,    0
 18941,100808,19580917,  100,    0
 18941,100808,19580918,  119,    0
 18941,100808,19580919,   90,    0
 18941,100808,19580920,   98,    0
 18941,100808,19580921,  114,    0
 18941,100808,19580922,  112,    0
 18941,100808,19580923,   99,    0
 18941,100808,19580924,   98,    0
 18941,100808,19580925,   92,    0
 18941,100808,19580926,   90,    0
 18941,100808,19580927,   78,    0
 18941,100808,19580928,   76,    0
 18941,100808,19580929,   93,    0
 18941,100808,19580930,   79,    0
 18941,100808,19581001,  115,    0
 18941,100808,19581002,  112,    0
 18941,100808,19581003,  112,    0
 18941,100808,19581004,  113,    0
 18941,100808,19581005,  108,    0
 18941,100808,19581006,  113,    0
 18941,100808,19581007,   92,    0
 18941,100808,19581008,   81,    0
 18941,100808,19581009,   86,    0
 18941,100808,19581010,   80,    0
 18941,100808,19581011,   86,    0
 18941,100808,19581012,   80,    0
 18941,100808,19581013,   32,    0
 18941,100808,19581014,   73,    0
 18941,100808,19581015,   64,    0
 18941,100808,19581016,   37,    0
 18941,100808,19581017,   46,    0
 18941,100808,19581018,   43,    0
 18941,100808,19581019,   14,    0
 18941,100808,19581020,   22,    0
 18941,100808,19581021,   29,    0
 18941,100808,19581022,   29,    0
 18941,100808,19581023,   68,    0
 18941,100808,19581024,  116,    0
 18941,100808,19581025,   71,    0
 18941,100808,19581026,   51,    0
 18941,100808,19581027,   94,    0
 18941,100808,19581028,   69,    0
 18941,100808,19581029,   47,    0
 18941,100808,19581030,   74,    0
 18941,100808,19581031,   64,    0
 18941,100808,19581101,   -4,    0
 18941,100808,19581102,   14,    0
 18941,100808,19581103,   39,    0
 18941,100808,19581104,   34,    0
 18941,100808,19581105,   38,    0
 18941,100808,19581106,   57,    0
 18941,100808,19581107,   54,    0
 18941,100808,19581108,   42,    0
 18941,100808,19581109,   17,    0
 18941,100808,19581110,    2,    0
 18941,100808,19581111,   11,    0
 18941,100808,19581112,   26,    0
 18941,100808,19581113,    8,    0
 18941,100808,19581114,    2,    0
 18941,100808,19581115,  -13,    0
 18941,100808,19581116,  -28,    0
 18941,100808,19581117,   16,    0
 18941,100808,19581118,  -12,    0
 18941,100808,19581119,  -23,    0
 18941,100808,19581120,   -6,    0
 18941,100808,19581121,  -15,    0
 18941,100808,19581122,   -7,    0
 18941,100808,19581123,  -24,    0
 18941,100808,19581124,  -15,    0
 18941,100808,19581125,    9,    0
 18941,100808,19581126,  -19,    0
 18941,100808,19581127,    1,    0
 18941,100808,19581128,  -17,    0
 18941,100808,19581129,  -20,    0
 18941,100808,19581130,   -8,    0
 18941,100808,19581201,  -63,    0
 18941,100808,19581202,  -76,    0
 18941,100808,19581203,  -35,    0
 18941,100808,19581204,   26,    0
 18941,100808,19581205,    7,    0
 18941,100808,19581206,  -24,    0
 18941,100808,19581207,  -58,    0
 18941,100808,19581208,  -15,    0
 18941,100808,19581209,  -61,    0
 18941,100808,19581210,  -99,    0
 18941,100808,19581211,  -93,    0
 18941,100808,19581212, -141,    0
 18941,100808,19581213, -100,    0
 18941,100808,19581214,  -72,    0
 18941,100808,19581215,  -67,    0
 18941,100808,19581216,  -68,    0
 18941,100808,19581217,  -42,    0
 18941,100808,19581218,  -96,    0
 18941,100808,19581219, -127,    0
 18941,100808,19581220,  -44,    0
 18941,100808,19581221,   -1,    0
 18941,100808,19581222,    0,    0
 18941,100808,19581223,  -16,    0
 18941,100808,19581224,  -28,    0
 18941,100808,19581225,  -26,    0
 18941,100808,19581226,  -41,    0
 18941,100808,19581227,  -64,    0
 18941,100808,19581228,  -63,    0
 18941,100808,19581229,  -47,    0
 18941,100808,19581230,  -80,    0
 18941,100808,19581231,  -45,    0
 18941,100808,19590101,  -38,    0
 18941,100808,19590102,  -11,    0
 18941,100808,19590103,  -19,    0
 18941,100808,19590104,  -56,    0
 18941,100808,19590105, -111,    0
 18941,100808,19590106, -125,    0
 18941,100808,19590107, -127,    0
 18941,100808,19590108, -140,    0
 18941,100808,19590109, -109,    0
 18941,100808,19590110, -119,    0
 18941,100808,19590111,  -57,    0
 18941,100808,19590112,  -47,    0
 18941,100808,19590113,  -89,    0
 18941,100808,19590114,  -96,    0
 18941,100808,19590115, -124,    0
 18941,100808,19590116, -129,    0
 18941,100808,19590117, -102,    0
 18941,100808,19590118,  -92,    0
