EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HAREID - GRIMSTAD, NORWAY (STAID: 18942)
Blended and updated with sources:99715 100809 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18942,100809,19610101,   11,    0
 18942,100809,19610102,  -26,    0
 18942,100809,19610103,  -18,    0
 18942,100809,19610104,   -7,    0
 18942,100809,19610105,   -1,    0
 18942,100809,19610106,  -14,    0
 18942,100809,19610107,  -31,    0
 18942,100809,19610108,   -7,    0
 18942,100809,19610109,  -79,    0
 18942,100809,19610110,  -52,    0
 18942,100809,19610111,  -32,    0
 18942,100809,19610112,   36,    0
 18942,100809,19610113,   43,    0
 18942,100809,19610114,   54,    0
 18942,100809,19610115,   55,    0
 18942,100809,19610116,   12,    0
 18942,100809,19610117,   -9,    0
 18942,100809,19610118,  -29,    0
 18942,100809,19610119,  -34,    0
 18942,100809,19610120,  -25,    0
 18942,100809,19610121,  -51,    0
 18942,100809,19610122,  -12,    0
 18942,100809,19610123,  -59,    0
 18942,100809,19610124,  -18,    0
 18942,100809,19610125,  -21,    0
 18942,100809,19610126,  -27,    0
 18942,100809,19610127,   45,    0
 18942,100809,19610128,   52,    0
 18942,100809,19610129,   21,    0
 18942,100809,19610130,   23,    0
 18942,100809,19610131,   35,    0
 18942,100809,19610201,   18,    0
 18942,100809,19610202,  -28,    0
 18942,100809,19610203,  -10,    0
 18942,100809,19610204,  -12,    0
 18942,100809,19610205,   -2,    0
 18942,100809,19610206,   29,    0
 18942,100809,19610207,   17,    0
 18942,100809,19610208,    0,    0
 18942,100809,19610209,   50,    0
 18942,100809,19610210,   51,    0
 18942,100809,19610211,   29,    0
 18942,100809,19610212,    3,    0
 18942,100809,19610213,   67,    0
 18942,100809,19610214,   59,    0
 18942,100809,19610215,   32,    0
 18942,100809,19610216,   93,    0
 18942,100809,19610217,   94,    0
 18942,100809,19610218,   69,    0
 18942,100809,19610219,   85,    0
 18942,100809,19610220,   75,    0
 18942,100809,19610221,   52,    0
 18942,100809,19610222,   45,    0
 18942,100809,19610223,    9,    0
 18942,100809,19610224,   24,    0
 18942,100809,19610225,   34,    0
 18942,100809,19610226,   80,    0
 18942,100809,19610227,   52,    0
 18942,100809,19610228,   53,    0
 18942,100809,19610301,   47,    0
 18942,100809,19610302,   66,    0
 18942,100809,19610303,   68,    0
 18942,100809,19610304,   52,    0
 18942,100809,19610305,   74,    0
 18942,100809,19610306,   91,    0
 18942,100809,19610307,   71,    0
 18942,100809,19610308,   85,    0
 18942,100809,19610309,  119,    0
 18942,100809,19610310,   92,    0
 18942,100809,19610311,   39,    0
 18942,100809,19610312,   20,    0
 18942,100809,19610313,   12,    0
 18942,100809,19610314,   62,    0
 18942,100809,19610315,   20,    0
 18942,100809,19610316,   72,    0
 18942,100809,19610317,   65,    0
 18942,100809,19610318,   23,    0
 18942,100809,19610319,   -4,    0
 18942,100809,19610320,   18,    0
 18942,100809,19610321,    4,    0
 18942,100809,19610322,   49,    0
 18942,100809,19610323,   48,    0
 18942,100809,19610324,   14,    0
 18942,100809,19610325,   48,    0
 18942,100809,19610326,   26,    0
 18942,100809,19610327,   10,    0
 18942,100809,19610328,  -10,    0
 18942,100809,19610329,  -15,    0
 18942,100809,19610330,  -13,    0
