EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOF-EIKENES, NORWAY (STAID: 18943)
Blended and updated with sources:100810 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18943,100810,20170501,   67,    0
 18943,100810,20170502,   89,    0
 18943,100810,20170503,   97,    0
 18943,100810,20170504,  103,    0
 18943,100810,20170505,  133,    0
 18943,100810,20170506,  148,    0
 18943,100810,20170507,   92,    0
 18943,100810,20170508,   65,    0
 18943,100810,20170509,   57,    0
 18943,100810,20170510,   25,    0
 18943,100810,20170511,   34,    0
 18943,100810,20170512,   64,    0
 18943,100810,20170513,   74,    0
 18943,100810,20170514,   87,    0
 18943,100810,20170515,   96,    0
 18943,100810,20170516,   88,    0
 18943,100810,20170517,  115,    0
 18943,100810,20170518,  128,    0
 18943,100810,20170519,  143,    0
 18943,100810,20170520,  158,    0
 18943,100810,20170521,  142,    0
 18943,100810,20170522,  123,    0
 18943,100810,20170523,  123,    0
 18943,100810,20170524,  152,    0
 18943,100810,20170525,  160,    0
 18943,100810,20170526,  176,    0
 18943,100810,20170527,  184,    0
 18943,100810,20170528,  151,    0
 18943,100810,20170529,  164,    0
 18943,100810,20170530,  133,    0
 18943,100810,20170531,  137,    0
 18943,100810,20170601,  119,    0
 18943,100810,20170602,  100,    0
 18943,100810,20170603,  113,    0
 18943,100810,20170604,  128,    0
 18943,100810,20170605,  139,    0
 18943,100810,20170606,  148,    0
 18943,100810,20170607,  121,    0
 18943,100810,20170608,  127,    0
 18943,100810,20170609,  121,    0
 18943,100810,20170610,  151,    0
 18943,100810,20170611,  135,    0
 18943,100810,20170612,  152,    0
 18943,100810,20170613,  170,    0
 18943,100810,20170614,  160,    0
 18943,100810,20170615,  161,    0
 18943,100810,20170616,  157,    0
 18943,100810,20170617,  182,    0
 18943,100810,20170618,  200,    0
 18943,100810,20170619,  157,    0
 18943,100810,20170620,  144,    0
 18943,100810,20170621,  146,    0
 18943,100810,20170622,  146,    0
 18943,100810,20170623,  135,    0
 18943,100810,20170624,  157,    0
 18943,100810,20170625,  135,    0
 18943,100810,20170626,  148,    0
 18943,100810,20170627,  130,    0
 18943,100810,20170628,  144,    0
 18943,100810,20170629,  160,    0
 18943,100810,20170630,  179,    0
 18943,100810,20170701,  179,    0
 18943,100810,20170702,  167,    0
 18943,100810,20170703,  166,    0
 18943,100810,20170704,  149,    0
 18943,100810,20170705,  147,    0
 18943,100810,20170706,  145,    0
 18943,100810,20170707,  153,    0
 18943,100810,20170708,  165,    0
 18943,100810,20170709,  152,    0
