EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KARPBUKT II, NORWAY (STAID: 18946)
Blended and updated with sources:100814 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18946,100814,19580701,   84,    0
 18946,100814,19580702,  127,    0
 18946,100814,19580703,   80,    0
 18946,100814,19580704,   64,    0
 18946,100814,19580705,   75,    0
 18946,100814,19580706,   88,    0
 18946,100814,19580707,  111,    0
 18946,100814,19580708,  101,    0
 18946,100814,19580709,   89,    0
 18946,100814,19580710,  115,    0
 18946,100814,19580711,   97,    0
 18946,100814,19580712,   73,    0
 18946,100814,19580713,   77,    0
 18946,100814,19580714,  111,    0
 18946,100814,19580715,  105,    0
 18946,100814,19580716,   99,    0
 18946,100814,19580717,  102,    0
 18946,100814,19580718,   90,    0
 18946,100814,19580719,   74,    0
 18946,100814,19580720,   67,    0
 18946,100814,19580721,   70,    0
 18946,100814,19580722,   73,    0
 18946,100814,19580723,  100,    0
 18946,100814,19580724,  102,    0
 18946,100814,19580725,  135,    0
 18946,100814,19580726,  164,    0
 18946,100814,19580727,  171,    0
 18946,100814,19580728,  162,    0
 18946,100814,19580729,  227,    0
 18946,100814,19580730,  232,    0
 18946,100814,19580731,  223,    0
 18946,100814,19580801,  187,    0
 18946,100814,19580802,  192,    0
 18946,100814,19580803,  151,    0
 18946,100814,19580804,  133,    0
 18946,100814,19580805,   75,    0
 18946,100814,19580806,   97,    0
 18946,100814,19580807,   74,    0
 18946,100814,19580808,   75,    0
 18946,100814,19580809,  100,    0
