EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LEIRAMO, NORWAY (STAID: 18963)
Blended and updated with sources:100835 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18963,100835,19731101,   87,    0
 18963,100835,19731102,   13,    0
 18963,100835,19731103,   40,    0
 18963,100835,19731104,   51,    0
 18963,100835,19731105,   69,    0
 18963,100835,19731106,    7,    0
 18963,100835,19731107,  -37,    0
 18963,100835,19731108,   12,    0
 18963,100835,19731109,   13,    0
 18963,100835,19731110,  -35,    0
 18963,100835,19731111,  -55,    0
 18963,100835,19731112, -106,    0
 18963,100835,19731113, -181,    0
 18963,100835,19731114,  -82,    0
 18963,100835,19731115, -135,    0
 18963,100835,19731116,  -39,    0
 18963,100835,19731117, -112,    0
 18963,100835,19731118, -116,    0
 18963,100835,19731119,  -65,    0
 18963,100835,19731120, -140,    0
 18963,100835,19731121,  -18,    0
 18963,100835,19731122,   14,    0
 18963,100835,19731123, -113,    0
 18963,100835,19731124, -117,    0
 18963,100835,19731125, -114,    0
 18963,100835,19731126,  -51,    0
 18963,100835,19731127,  -52,    0
 18963,100835,19731128, -115,    0
 18963,100835,19731129, -170,    0
 18963,100835,19731130, -164,    0
 18963,100835,19731201, -179,    0
 18963,100835,19731202,  -34,    0
 18963,100835,19731203,   -5,    0
 18963,100835,19731204,  -68,    0
 18963,100835,19731205,  -76,    0
 18963,100835,19731206,  -60,    0
 18963,100835,19731207, -178,    0
 18963,100835,19731208, -186,    0
 18963,100835,19731209, -133,    0
 18963,100835,19731210,    2,    0
 18963,100835,19731211,   13,    0
 18963,100835,19731212,  -27,    0
 18963,100835,19731213, -108,    0
 18963,100835,19731214,  -69,    0
 18963,100835,19731215,  -56,    0
 18963,100835,19731216,  -99,    0
 18963,100835,19731217,  -83,    0
 18963,100835,19731218,  -96,    0
 18963,100835,19731219,  -22,    0
 18963,100835,19731220,  -48,    0
 18963,100835,19731221,  -48,    0
 18963,100835,19731222, -135,    0
 18963,100835,19731223, -124,    0
 18963,100835,19731224, -162,    0
 18963,100835,19731225,  -34,    0
 18963,100835,19731226,    4,    0
 18963,100835,19731227,   19,    0
 18963,100835,19731228,    9,    0
 18963,100835,19731229,   27,    0
 18963,100835,19731230,   22,    0
 18963,100835,19731231,  -27,    0
 18963,100835,19740101,  -66,    0
 18963,100835,19740102,   17,    0
 18963,100835,19740103,   48,    0
 18963,100835,19740104,   -7,    0
 18963,100835,19740105,    0,    0
 18963,100835,19740106,    9,    0
 18963,100835,19740107,   20,    0
 18963,100835,19740108,  -13,    0
 18963,100835,19740109,  -20,    0
 18963,100835,19740110,    7,    0
 18963,100835,19740111,    8,    0
 18963,100835,19740112,  -11,    0
 18963,100835,19740113,   -8,    0
 18963,100835,19740114,   32,    0
 18963,100835,19740115,   23,    0
 18963,100835,19740116,   17,    0
 18963,100835,19740117,   -4,    0
