EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OEVERBYGD, NORWAY (STAID: 18972)
Blended and updated with sources:100845 108989 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18972,100845,19640901,   54,    0
 18972,100845,19640902,   47,    0
 18972,100845,19640903,   74,    0
 18972,100845,19640904,   61,    0
 18972,100845,19640905,   77,    0
 18972,100845,19640906,   79,    0
 18972,100845,19640907,  105,    0
 18972,100845,19640908,   67,    0
 18972,100845,19640909,   52,    0
 18972,100845,19640910,   30,    0
 18972,100845,19640911,   37,    0
 18972,100845,19640912,   56,    0
 18972,100845,19640913,   64,    0
 18972,100845,19640914,   50,    0
 18972,100845,19640915,   61,    0
 18972,100845,19640916,   72,    0
 18972,100845,19640917,   46,    0
 18972,100845,19640918,   51,    0
 18972,100845,19640919,   32,    0
 18972,100845,19640920,    9,    0
 18972,100845,19640921,  -14,    0
 18972,100845,19640922,    9,    0
 18972,100845,19640923,   54,    0
 18972,100845,19640924,   31,    0
 18972,100845,19640925,   23,    0
 18972,100845,19640926,   19,    0
 18972,100845,19640927,   63,    0
 18972,100845,19640928,   65,    0
 18972,100845,19640929,   29,    0
 18972,100845,19640930,   30,    0
 18972,100845,19641001,   37,    0
 18972,100845,19641002,   21,    0
 18972,100845,19641003,   24,    0
 18972,100845,19641004,   96,    0
 18972,100845,19641005,   63,    0
 18972,100845,19641006,   71,    0
 18972,100845,19641007,   61,    0
 18972,100845,19641008,   90,    0
