EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ULLENSVANG - HELLELAND, NORWAY (STAID: 18983)
Blended and updated with sources:100857 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18983,100857,19570101,  -24,    0
 18983,100857,19570102,  -40,    0
 18983,100857,19570103,  -20,    0
 18983,100857,19570104,   16,    0
 18983,100857,19570105,   69,    0
 18983,100857,19570106,   40,    0
 18983,100857,19570107,   56,    0
 18983,100857,19570108,  110,    0
 18983,100857,19570109,   58,    0
 18983,100857,19570110,   33,    0
 18983,100857,19570111,   13,    0
 18983,100857,19570112,    6,    0
 18983,100857,19570113,   -6,    0
 18983,100857,19570114,  -70,    0
 18983,100857,19570115,   -9,    0
 18983,100857,19570116,   27,    0
 18983,100857,19570117,  -13,    0
 18983,100857,19570118,    5,    0
 18983,100857,19570119,   33,    0
 18983,100857,19570120,   56,    0
 18983,100857,19570121,   47,    0
 18983,100857,19570122,   28,    0
 18983,100857,19570123,    4,    0
 18983,100857,19570124,   45,    0
 18983,100857,19570125,    5,    0
 18983,100857,19570126,   29,    0
 18983,100857,19570127,   25,    0
 18983,100857,19570128,   33,    0
 18983,100857,19570129,   37,    0
 18983,100857,19570130,    1,    0
 18983,100857,19570131,   57,    0
 18983,100857,19570201,   44,    0
 18983,100857,19570202,   49,    0
 18983,100857,19570203,   43,    0
 18983,100857,19570204,   51,    0
 18983,100857,19570205,   58,    0
 18983,100857,19570206,   44,    0
 18983,100857,19570207,   44,    0
 18983,100857,19570208,   19,    0
 18983,100857,19570209,   12,    0
 18983,100857,19570210,   22,    0
 18983,100857,19570211,   -3,    0
 18983,100857,19570212,   -9,    0
 18983,100857,19570213,  -19,    0
 18983,100857,19570214,    2,    0
 18983,100857,19570215,    6,    0
 18983,100857,19570216,   -6,    0
 18983,100857,19570217,  -12,    0
 18983,100857,19570218,  -22,    0
 18983,100857,19570219,  -14,    0
 18983,100857,19570220,  -20,    0
 18983,100857,19570221,  -31,    0
 18983,100857,19570222,  -30,    0
 18983,100857,19570223,  -20,    0
 18983,100857,19570224,  -52,    0
 18983,100857,19570225,  -51,    0
 18983,100857,19570226,  -24,    0
 18983,100857,19570227,  -28,    0
 18983,100857,19570228,  -16,    0
 18983,100857,19570301,   12,    0
 18983,100857,19570302,   31,    0
 18983,100857,19570303,   25,    0
 18983,100857,19570304,   18,    0
 18983,100857,19570305,    4,    0
 18983,100857,19570306,  -17,    0
 18983,100857,19570307,   17,    0
 18983,100857,19570308,   22,    0
 18983,100857,19570309,   28,    0
 18983,100857,19570310,   45,    0
 18983,100857,19570311,   53,    0
 18983,100857,19570312,   57,    0
 18983,100857,19570313,   59,    0
 18983,100857,19570314,   50,    0
 18983,100857,19570315,   27,    0
 18983,100857,19570316,   -4,    0
 18983,100857,19570317,  -28,    0
 18983,100857,19570318,  -10,    0
 18983,100857,19570319,    2,    0
 18983,100857,19570320,    0,    0
 18983,100857,19570321,   -4,    0
 18983,100857,19570322,   33,    0
 18983,100857,19570323,   19,    0
 18983,100857,19570324,    7,    0
 18983,100857,19570325,   31,    0
 18983,100857,19570326,   42,    0
 18983,100857,19570327,   78,    0
 18983,100857,19570328,  102,    0
 18983,100857,19570329,   82,    0
 18983,100857,19570330,   65,    0
 18983,100857,19570331,   51,    0
 18983,100857,19570401,   61,    0
 18983,100857,19570402,   66,    0
 18983,100857,19570403,   70,    0
 18983,100857,19570404,   82,    0
 18983,100857,19570405,   76,    0
 18983,100857,19570406,   59,    0
 18983,100857,19570407,   42,    0
 18983,100857,19570408,   70,    0
 18983,100857,19570409,   58,    0
 18983,100857,19570410,   40,    0
 18983,100857,19570411,   23,    0
 18983,100857,19570412,   21,    0
 18983,100857,19570413,    5,    0
 18983,100857,19570414,   10,    0
 18983,100857,19570415,    9,    0
 18983,100857,19570416,   48,    0
 18983,100857,19570417,   76,    0
 18983,100857,19570418,   68,    0
 18983,100857,19570419,   49,    0
 18983,100857,19570420,   51,    0
 18983,100857,19570421,   72,    0
 18983,100857,19570422,   89,    0
 18983,100857,19570423,   87,    0
 18983,100857,19570424,   76,    0
 18983,100857,19570425,   82,    0
 18983,100857,19570426,   76,    0
 18983,100857,19570427,   76,    0
 18983,100857,19570428,   78,    0
 18983,100857,19570429,   71,    0
 18983,100857,19570430,   52,    0
 18983,100857,19570501,   49,    0
 18983,100857,19570502,   76,    0
 18983,100857,19570503,   48,    0
 18983,100857,19570504,   48,    0
 18983,100857,19570505,   50,    0
 18983,100857,19570506,   42,    0
 18983,100857,19570507,   47,    0
 18983,100857,19570508,   64,    0
 18983,100857,19570509,   61,    0
