EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DOMBESTEIN, NORWAY (STAID: 18995)
Blended and updated with sources:100873 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18995,100873,19710701,  127,    0
 18995,100873,19710702,  160,    0
 18995,100873,19710703,  185,    0
 18995,100873,19710704,  191,    0
 18995,100873,19710705,  153,    0
 18995,100873,19710706,  134,    0
 18995,100873,19710707,  150,    0
 18995,100873,19710708,  185,    0
 18995,100873,19710709,  130,    0
 18995,100873,19710710,  132,    0
 18995,100873,19710711,  149,    0
 18995,100873,19710712,   92,    0
 18995,100873,19710713,   96,    0
 18995,100873,19710714,  107,    0
 18995,100873,19710715,   97,    0
 18995,100873,19710716,   87,    0
 18995,100873,19710717,  104,    0
 18995,100873,19710718,   94,    0
 18995,100873,19710719,   95,    0
 18995,100873,19710720,  101,    0
 18995,100873,19710721,  111,    0
 18995,100873,19710722,  101,    0
 18995,100873,19710723,  104,    0
 18995,100873,19710724,  115,    0
 18995,100873,19710725,  140,    0
 18995,100873,19710726,  142,    0
 18995,100873,19710727,  138,    0
 18995,100873,19710728,  143,    0
 18995,100873,19710729,  165,    0
 18995,100873,19710730,  178,    0
 18995,100873,19710731,  168,    0
 18995,100873,19710801,  162,    0
 18995,100873,19710802,  180,    0
 18995,100873,19710803,  168,    0
 18995,100873,19710804,  163,    0
 18995,100873,19710805,  171,    0
 18995,100873,19710806,  152,    0
 18995,100873,19710807,  141,    0
 18995,100873,19710808,  121,    0
 18995,100873,19710809,  125,    0
 18995,100873,19710810,  119,    0
 18995,100873,19710811,  111,    0
 18995,100873,19710812,  106,    0
 18995,100873,19710813,  104,    0
 18995,100873,19710814,  129,    0
 18995,100873,19710815,  112,    0
 18995,100873,19710816,  119,    0
 18995,100873,19710817,  133,    0
 18995,100873,19710818,  131,    0
 18995,100873,19710819,  159,    0
 18995,100873,19710820,  130,    0
 18995,100873,19710821,  153,    0
 18995,100873,19710822,  162,    0
 18995,100873,19710823,  162,    0
 18995,100873,19710824,  154,    0
 18995,100873,19710825,  166,    0
 18995,100873,19710826,  180,    0
 18995,100873,19710827,  138,    0
 18995,100873,19710828,   97,    0
 18995,100873,19710829,   95,    0
 18995,100873,19710830,   88,    0
 18995,100873,19710831,   98,    0
 18995,100873,19710901,  123,    0
 18995,100873,19710902,  115,    0
 18995,100873,19710903,  110,    0
 18995,100873,19710904,   92,    0
 18995,100873,19710905,   98,    0
 18995,100873,19710906,  100,    0
 18995,100873,19710907,  150,    0
 18995,100873,19710908,  149,    0
 18995,100873,19710909,  140,    0
 18995,100873,19710910,  146,    0
 18995,100873,19710911,  117,    0
 18995,100873,19710912,   83,    0
 18995,100873,19710913,   63,    0
 18995,100873,19710914,   70,    0
 18995,100873,19710915,   74,    0
 18995,100873,19710916,  101,    0
 18995,100873,19710917,  118,    0
 18995,100873,19710918,  100,    0
 18995,100873,19710919,  109,    0
 18995,100873,19710920,  104,    0
 18995,100873,19710921,  106,    0
 18995,100873,19710922,   95,    0
 18995,100873,19710923,   73,    0
 18995,100873,19710924,  104,    0
 18995,100873,19710925,   76,    0
 18995,100873,19710926,   65,    0
 18995,100873,19710927,   93,    0
 18995,100873,19710928,   95,    0
 18995,100873,19710929,  101,    0
 18995,100873,19710930,  100,    0
 18995,100873,19711001,   94,    0
 18995,100873,19711002,   94,    0
 18995,100873,19711003,   66,    0
 18995,100873,19711004,   51,    0
 18995,100873,19711005,   78,    0
 18995,100873,19711006,  143,    0
 18995,100873,19711007,  104,    0
 18995,100873,19711008,   84,    0
 18995,100873,19711009,   73,    0
 18995,100873,19711010,   84,    0
 18995,100873,19711011,   89,    0
 18995,100873,19711012,   14,    0
 18995,100873,19711013,   11,    0
 18995,100873,19711014,   14,    0
 18995,100873,19711015,   41,    0
 18995,100873,19711016,   79,    0
 18995,100873,19711017,   78,    0
 18995,100873,19711018,   96,    0
 18995,100873,19711019,   74,    0
 18995,100873,19711020,   54,    0
 18995,100873,19711021,   75,    0
 18995,100873,19711022,   89,    0
 18995,100873,19711023,   70,    0
 18995,100873,19711024,   86,    0
 18995,100873,19711025,   52,    0
 18995,100873,19711026,   48,    0
 18995,100873,19711027,   53,    0
 18995,100873,19711028,   30,    0
 18995,100873,19711029,   87,    0
 18995,100873,19711030,  110,    0
 18995,100873,19711031,   57,    0
 18995,100873,19711101,   93,    0
 18995,100873,19711102,  105,    0
 18995,100873,19711103,   70,    0
 18995,100873,19711104,   46,    0
 18995,100873,19711105,   15,    0
 18995,100873,19711106,   25,    0
 18995,100873,19711107,   17,    0
 18995,100873,19711108,   20,    0
 18995,100873,19711109,    9,    0
 18995,100873,19711110,   15,    0
 18995,100873,19711111,   59,    0
 18995,100873,19711112,    6,    0
 18995,100873,19711113,   43,    0
 18995,100873,19711114,   45,    0
 18995,100873,19711115,   73,    0
 18995,100873,19711116,    9,    0
 18995,100873,19711117,    5,    0
 18995,100873,19711118,  -38,    0
 18995,100873,19711119,  -29,    0
 18995,100873,19711120,  -11,    0
 18995,100873,19711121,   -9,    0
 18995,100873,19711122,  -63,    0
 18995,100873,19711123,  -72,    0
 18995,100873,19711124,  -11,    0
 18995,100873,19711125,   38,    0
 18995,100873,19711126,   49,    0
 18995,100873,19711127,   81,    0
 18995,100873,19711128,   27,    0
 18995,100873,19711129,   18,    0
 18995,100873,19711130,   13,    0
 18995,100873,19711201,   51,    0
 18995,100873,19711202,   29,    0
 18995,100873,19711203,   54,    0
 18995,100873,19711204,   83,    0
 18995,100873,19711205,   69,    0
 18995,100873,19711206,   86,    0
 18995,100873,19711207,   33,    0
 18995,100873,19711208,   -5,    0
 18995,100873,19711209,   21,    0
 18995,100873,19711210,   45,    0
 18995,100873,19711211,   18,    0
 18995,100873,19711212,   12,    0
 18995,100873,19711213,   58,    0
 18995,100873,19711214,   59,    0
 18995,100873,19711215,   77,    0
 18995,100873,19711216,   82,    0
 18995,100873,19711217,   67,    0
 18995,100873,19711218,   83,    0
 18995,100873,19711219,   86,    0
 18995,100873,19711220,   60,    0
 18995,100873,19711221,   76,    0
 18995,100873,19711222,   44,    0
 18995,100873,19711223,   58,    0
 18995,100873,19711224,   61,    0
 18995,100873,19711225,   87,    0
 18995,100873,19711226,   61,    0
 18995,100873,19711227,   17,    0
 18995,100873,19711228,   10,    0
 18995,100873,19711229,  -31,    0
 18995,100873,19711230,  -24,    0
 18995,100873,19711231,  -22,    0
 18995,100873,19720101,  -38,    0
 18995,100873,19720102,  -44,    0
 18995,100873,19720103,  -47,    0
 18995,100873,19720104,  -49,    0
 18995,100873,19720105,  -41,    0
 18995,100873,19720106,  -21,    0
 18995,100873,19720107,  -35,    0
 18995,100873,19720108,  -49,    0
 18995,100873,19720109,  -59,    0
 18995,100873,19720110,  -57,    0
 18995,100873,19720111,   -6,    0
 18995,100873,19720112,   72,    0
 18995,100873,19720113,   48,    0
 18995,100873,19720114,    6,    0
