EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OEYFJELL I TELEMARK, NORWAY (STAID: 18999)
Blended and updated with sources:100877 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18999,100877,19791001,  -10,    0
 18999,100877,19791002,   -6,    0
 18999,100877,19791003,   -6,    0
 18999,100877,19791004,   12,    0
 18999,100877,19791005,    3,    0
 18999,100877,19791006,    3,    0
 18999,100877,19791007,   20,    0
 18999,100877,19791008,   45,    0
 18999,100877,19791009,   81,    0
 18999,100877,19791010,   83,    0
 18999,100877,19791011,   89,    0
 18999,100877,19791012,   65,    0
 18999,100877,19791013,   65,    0
 18999,100877,19791014,   57,    0
 18999,100877,19791015,   55,    0
 18999,100877,19791016,   46,    0
 18999,100877,19791017,   23,    0
 18999,100877,19791018,   27,    0
 18999,100877,19791019,   27,    0
 18999,100877,19791020,   35,    0
 18999,100877,19791021,   -5,    0
 18999,100877,19791022,  -31,    0
 18999,100877,19791023,  -10,    0
 18999,100877,19791024,   -8,    0
 18999,100877,19791025,   -7,    0
 18999,100877,19791026,  -42,    0
 18999,100877,19791027,  -17,    0
 18999,100877,19791028,  -42,    0
 18999,100877,19791029,  -34,    0
 18999,100877,19791030,  -44,    0
 18999,100877,19791031,  -33,    0
 18999,100877,19791101,  -33,    0
 18999,100877,19791102,  -34,    0
 18999,100877,19791103,  -19,    0
 18999,100877,19791104,   14,    0
 18999,100877,19791105,  -10,    0
 18999,100877,19791106,  -48,    0
 18999,100877,19791107,  -20,    0
 18999,100877,19791108,  -27,    0
 18999,100877,19791109,  -28,    0
 18999,100877,19791110,  -75,    0
 18999,100877,19791111,  -70,    0
 18999,100877,19791112,  -58,    0
 18999,100877,19791113,  -98,    0
 18999,100877,19791114, -100,    0
 18999,100877,19791115, -114,    0
 18999,100877,19791116,  -46,    0
 18999,100877,19791117,  -49,    0
 18999,100877,19791118,   -7,    0
 18999,100877,19791119,  -15,    0
 18999,100877,19791120,  -52,    0
 18999,100877,19791121,  -44,    0
 18999,100877,19791122,   24,    0
 18999,100877,19791123,   13,    0
 18999,100877,19791124,  -52,    0
 18999,100877,19791125,  -16,    0
 18999,100877,19791126,   -8,    0
 18999,100877,19791127,  -23,    0
 18999,100877,19791128,  -48,    0
 18999,100877,19791129,    7,    0
 18999,100877,19791130,  -15,    0
 18999,100877,19791201,   31,    0
 18999,100877,19791202,   42,    0
 18999,100877,19791203,   10,    0
 18999,100877,19791204,    4,    0
 18999,100877,19791205,    1,    0
 18999,100877,19791206,  -18,    0
 18999,100877,19791207,  -26,    0
 18999,100877,19791208, -109,    0
 18999,100877,19791209,  -83,    0
 18999,100877,19791210, -104,    0
 18999,100877,19791211, -132,    0
 18999,100877,19791212, -175,    0
 18999,100877,19791213, -108,    0
 18999,100877,19791214, -104,    0
