EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SELBU, NORWAY (STAID: 19023)
Blended and updated with sources:100715 100907 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19023,100907,19570101, -102,    0
 19023,100907,19570102, -127,    0
 19023,100907,19570103, -140,    0
 19023,100907,19570104,  -13,    0
 19023,100907,19570105,   32,    0
 19023,100907,19570106,    6,    0
 19023,100907,19570107,   24,    0
 19023,100907,19570108,   56,    0
 19023,100907,19570109,   25,    0
 19023,100907,19570110,   -1,    0
 19023,100907,19570111,   -8,    0
 19023,100907,19570112,  -14,    0
 19023,100907,19570113,  -94,    0
 19023,100907,19570114, -135,    0
 19023,100907,19570115,  -14,    0
 19023,100907,19570116,   26,    0
 19023,100907,19570117,   30,    0
 19023,100907,19570118,   36,    0
 19023,100907,19570119,   22,    0
 19023,100907,19570120,   54,    0
 19023,100907,19570121,    6,    0
 19023,100907,19570122,    9,    0
 19023,100907,19570123,  -19,    0
 19023,100907,19570124,    6,    0
 19023,100907,19570125,    3,    0
 19023,100907,19570126,    1,    0
 19023,100907,19570127,    7,    0
 19023,100907,19570128,  -20,    0
 19023,100907,19570129,   22,    0
 19023,100907,19570130,  -15,    0
 19023,100907,19570131,   30,    0
 19023,100907,19570201,   25,    0
 19023,100907,19570202,   21,    0
 19023,100907,19570203,   22,    0
 19023,100907,19570204,   21,    0
 19023,100907,19570205,   39,    0
 19023,100907,19570206,   25,    0
 19023,100907,19570207,   15,    0
 19023,100907,19570208,  -18,    0
 19023,100907,19570209,  -51,    0
 19023,100907,19570210,  -32,    0
 19023,100907,19570211,  -62,    0
 19023,100907,19570212,  -89,    0
 19023,100907,19570213,  -60,    0
 19023,100907,19570214,  -59,    0
 19023,100907,19570215,  -75,    0
 19023,100907,19570216,  -58,    0
 19023,100907,19570217,  -64,    0
 19023,100907,19570218,  -51,    0
 19023,100907,19570219,  -50,    0
 19023,100907,19570220,  -42,    0
 19023,100907,19570221,  -41,    0
 19023,100907,19570222,  -58,    0
 19023,100907,19570223,  -73,    0
 19023,100907,19570224,  -99,    0
 19023,100907,19570225,  -40,    0
 19023,100907,19570226,  -47,    0
 19023,100907,19570227,  -28,    0
 19023,100907,19570228,  -38,    0
 19023,100907,19570301,  -31,    0
 19023,100907,19570302,   -2,    0
 19023,100907,19570303,   15,    0
 19023,100907,19570304,  -11,    0
 19023,100907,19570305,   -6,    0
 19023,100907,19570306,   -7,    0
 19023,100907,19570307,   11,    0
 19023,100907,19570308,   14,    0
 19023,100907,19570309,   17,    0
 19023,100907,19570310,   29,    0
 19023,100907,19570311,   31,    0
 19023,100907,19570312,   33,    0
 19023,100907,19570313,   28,    0
 19023,100907,19570314,   -2,    0
 19023,100907,19570315,  -73,    0
 19023,100907,19570316, -126,    0
 19023,100907,19570317,  -77,    0
 19023,100907,19570318,  -60,    0
 19023,100907,19570319,  -90,    0
 19023,100907,19570320,  -60,    0
 19023,100907,19570321,  -50,    0
 19023,100907,19570322,  -59,    0
 19023,100907,19570323,  -79,    0
 19023,100907,19570324,  -10,    0
 19023,100907,19570325,   14,    0
 19023,100907,19570326,   30,    0
 19023,100907,19570327,   39,    0
 19023,100907,19570328,    7,    0
 19023,100907,19570329,   54,    0
 19023,100907,19570330,   43,    0
 19023,100907,19570331,   33,    0
 19023,100907,19570401,   25,    0
 19023,100907,19570402,   40,    0
 19023,100907,19570403,   22,    0
 19023,100907,19570404,   62,    0
 19023,100907,19570405,   33,    0
 19023,100907,19570406,   11,    0
 19023,100907,19570407,    9,    0
 19023,100907,19570408,   23,    0
 19023,100907,19570409,   -3,    0
 19023,100907,19570410,  -15,    0
 19023,100907,19570411,  -51,    0
 19023,100907,19570412,  -61,    0
 19023,100907,19570413,  -48,    0
 19023,100907,19570414,  -23,    0
 19023,100907,19570415,  -21,    0
 19023,100907,19570416,   20,    0
 19023,100907,19570417,   45,    0
 19023,100907,19570418,   55,    0
 19023,100907,19570419,   62,    0
