EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OFFERSOEY, NORWAY (STAID: 19031)
Blended and updated with sources:100734 100916 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19031,100916,19570101,  -59,    0
 19031,100916,19570102,  -24,    0
 19031,100916,19570103,  -19,    0
 19031,100916,19570104,   -1,    0
 19031,100916,19570105,    2,    0
 19031,100916,19570106,   -9,    0
 19031,100916,19570107,    2,    0
 19031,100916,19570108,   28,    0
 19031,100916,19570109,   17,    0
 19031,100916,19570110,   -7,    0
 19031,100916,19570111,  -33,    0
 19031,100916,19570112,  -53,    0
 19031,100916,19570113,  -54,    0
 19031,100916,19570114,    9,    0
 19031,100916,19570115,  -23,    0
 19031,100916,19570116,   25,    0
 19031,100916,19570117,   52,    0
 19031,100916,19570118,   26,    0
 19031,100916,19570119,  -30,    0
 19031,100916,19570120,   31,    0
 19031,100916,19570121,    7,    0
 19031,100916,19570122,    7,    0
 19031,100916,19570123,  -21,    0
 19031,100916,19570124,  -23,    0
 19031,100916,19570125,  -64,    0
 19031,100916,19570126,  -12,    0
 19031,100916,19570127,  -11,    0
 19031,100916,19570128,  -30,    0
 19031,100916,19570129,    8,    0
 19031,100916,19570130,   41,    0
 19031,100916,19570131,   31,    0
 19031,100916,19570201,   29,    0
 19031,100916,19570202,   23,    0
 19031,100916,19570203,   14,    0
 19031,100916,19570204,   11,    0
 19031,100916,19570205,    9,    0
 19031,100916,19570206,  -19,    0
 19031,100916,19570207,  -33,    0
 19031,100916,19570208,  -38,    0
 19031,100916,19570209,  -57,    0
 19031,100916,19570210,  -65,    0
 19031,100916,19570211,  -31,    0
 19031,100916,19570212,  -57,    0
 19031,100916,19570213,  -61,    0
 19031,100916,19570214,  -84,    0
 19031,100916,19570215,  -84,    0
 19031,100916,19570216,  -46,    0
 19031,100916,19570217,  -32,    0
 19031,100916,19570218,  -31,    0
 19031,100916,19570219,  -15,    0
 19031,100916,19570220,  -33,    0
 19031,100916,19570221,  -22,    0
 19031,100916,19570222,  -34,    0
 19031,100916,19570223,  -53,    0
 19031,100916,19570224,  -53,    0
 19031,100916,19570225,  -45,    0
 19031,100916,19570226,  -22,    0
 19031,100916,19570227,  -32,    0
 19031,100916,19570228,    4,    0
 19031,100916,19570301,   16,    0
 19031,100916,19570302,   39,    0
 19031,100916,19570303,   38,    0
 19031,100916,19570304,   16,    0
 19031,100916,19570305,   -8,    0
 19031,100916,19570306,    5,    0
 19031,100916,19570307,    1,    0
 19031,100916,19570308,   10,    0
 19031,100916,19570309,   28,    0
 19031,100916,19570310,   33,    0
 19031,100916,19570311,   27,    0
 19031,100916,19570312,    6,    0
 19031,100916,19570313,  -12,    0
 19031,100916,19570314,  -85,    0
 19031,100916,19570315,  -93,    0
 19031,100916,19570316,  -56,    0
 19031,100916,19570317,  -33,    0
 19031,100916,19570318,  -59,    0
 19031,100916,19570319,  -83,    0
 19031,100916,19570320,  -59,    0
 19031,100916,19570321,  -56,    0
 19031,100916,19570322,  -56,    0
 19031,100916,19570323,  -16,    0
 19031,100916,19570324,  -17,    0
 19031,100916,19570325,    6,    0
 19031,100916,19570326,   20,    0
 19031,100916,19570327,   28,    0
 19031,100916,19570328,   -6,    0
 19031,100916,19570329,   -2,    0
 19031,100916,19570330,   29,    0
 19031,100916,19570331,   33,    0
 19031,100916,19570401,   19,    0
 19031,100916,19570402,   36,    0
 19031,100916,19570403,   35,    0
