EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SALTDAL, NORWAY (STAID: 19045)
Blended and updated with sources:100931 901169 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19045,100931,19820601,  118,    0
 19045,100931,19820602,  134,    0
 19045,100931,19820603,  141,    0
 19045,100931,19820604,  147,    0
 19045,100931,19820605,   74,    0
 19045,100931,19820606,   53,    0
 19045,100931,19820607,   53,    0
 19045,100931,19820608,   34,    0
 19045,100931,19820609,   43,    0
 19045,100931,19820610,   47,    0
 19045,100931,19820611,   52,    0
 19045,100931,19820612,   57,    0
 19045,100931,19820613,   40,    0
 19045,100931,19820614,   46,    0
 19045,100931,19820615,   76,    0
 19045,100931,19820616,   65,    0
 19045,100931,19820617,   72,    0
 19045,100931,19820618,   72,    0
 19045,100931,19820619,   51,    0
 19045,100931,19820620,   63,    0
 19045,100931,19820621,   57,    0
 19045,100931,19820622,   64,    0
 19045,100931,19820623,   63,    0
 19045,100931,19820624,   75,    0
 19045,100931,19820625,   80,    0
 19045,100931,19820626,   79,    0
 19045,100931,19820627,  121,    0
 19045,100931,19820628,  179,    0
 19045,100931,19820629,  173,    0
 19045,100931,19820630,  178,    0
 19045,100931,19820701,  160,    0
 19045,100931,19820702,  169,    0
 19045,100931,19820703,  169,    0
 19045,100931,19820704,  135,    0
 19045,100931,19820705,  113,    0
 19045,100931,19820706,  124,    0
 19045,100931,19820707,  110,    0
 19045,100931,19820708,  128,    0
 19045,100931,19820709,  128,    0
 19045,100931,19820710,  122,    0
 19045,100931,19820711,  140,    0
 19045,100931,19820712,  118,    0
 19045,100931,19820713,  105,    0
 19045,100931,19820714,  123,    0
 19045,100931,19820715,  187,    0
 19045,100931,19820716,  238,    0
 19045,100931,19820717,  214,    0
 19045,100931,19820718,  139,    0
 19045,100931,19820719,  126,    0
 19045,100931,19820720,   99,    0
 19045,100931,19820721,   89,    0
 19045,100931,19820722,  106,    0
 19045,100931,19820723,  120,    0
 19045,100931,19820724,  137,    0
 19045,100931,19820725,  137,    0
 19045,100931,19820726,   97,    0
 19045,100931,19820727,   95,    0
 19045,100931,19820728,  146,    0
 19045,100931,19820729,  143,    0
 19045,100931,19820730,  138,    0
 19045,100931,19820731,  159,    0
 19045,100931,19820801,  121,    0
 19045,100931,19820802,  128,    0
 19045,100931,19820803,  140,    0
 19045,100931,19820804,  105,    0
 19045,100931,19820805,  125,    0
 19045,100931,19820806,  148,    0
 19045,100931,19820807,  133,    0
 19045,100931,19820808,  143,    0
 19045,100931,19820809,  134,    0
 19045,100931,19820810,   99,    0
 19045,100931,19820811,  108,    0
 19045,100931,19820812,  123,    0
 19045,100931,19820813,  150,    0
 19045,100931,19820814,  130,    0
 19045,100931,19820815,  102,    0
 19045,100931,19820816,  140,    0
 19045,100931,19820817,  170,    0
 19045,100931,19820818,  159,    0
 19045,100931,19820819,  159,    0
 19045,100931,19820820,  142,    0
 19045,100931,19820821,  117,    0
 19045,100931,19820822,  126,    0
 19045,100931,19820823,  112,    0
 19045,100931,19820824,  124,    0
 19045,100931,19820825,  113,    0
 19045,100931,19820826,  122,    0
 19045,100931,19820827,  106,    0
 19045,100931,19820828,   94,    0
 19045,100931,19820829,  101,    0
 19045,100931,19820830,  113,    0
 19045,100931,19820831,  109,    0
 19045,100931,19820901,  101,    0
 19045,100931,19820902,   90,    0
 19045,100931,19820903,   72,    0
 19045,100931,19820904,   74,    0
 19045,100931,19820905,   67,    0
 19045,100931,19820906,   74,    0
 19045,100931,19820907,   50,    0
 19045,100931,19820908,   74,    0
 19045,100931,19820909,   54,    0
 19045,100931,19820910,   94,    0
 19045,100931,19820911,  105,    0
 19045,100931,19820912,   72,    0
 19045,100931,19820913,   38,    0
 19045,100931,19820914,   58,    0
 19045,100931,19820915,   88,    0
 19045,100931,19820916,   80,    0
 19045,100931,19820917,  101,    0
 19045,100931,19820918,   87,    0
 19045,100931,19820919,   50,    0
 19045,100931,19820920,   52,    0
 19045,100931,19820921,  106,    0
 19045,100931,19820922,   60,    0
 19045,100931,19820923,   45,    0
 19045,100931,19820924,   32,    0
 19045,100931,19820925,   25,    0
 19045,100931,19820926,   78,    0
 19045,100931,19820927,  122,    0
 19045,100931,19820928,  120,    0
 19045,100931,19820929,  105,    0
 19045,100931,19820930,  124,    0
 19045,100931,19821001,  132,    0
 19045,100931,19821002,  124,    0
 19045,100931,19821003,   99,    0
 19045,100931,19821004,  123,    0
 19045,100931,19821005,   87,    0
 19045,100931,19821006,   66,    0
 19045,100931,19821007,   59,    0
 19045,100931,19821008,   36,    0
 19045,100931,19821009,   41,    0
 19045,100931,19821010,   -8,    0
 19045,100931,19821011,    9,    0
 19045,100931,19821012,   32,    0
 19045,100931,19821013,   24,    0
 19045,100931,19821014,   12,    0
 19045,100931,19821015,    4,    0
 19045,100931,19821016,  -27,    0
 19045,100931,19821017,  -41,    0
 19045,100931,19821018,  -12,    0
 19045,100931,19821019,    7,    0
 19045,100931,19821020,   32,    0
 19045,100931,19821021,   42,    0
 19045,100931,19821022,   68,    0
 19045,100931,19821023,   73,    0
 19045,100931,19821024,   51,    0
 19045,100931,19821025,   66,    0
 19045,100931,19821026,   60,    0
 19045,100931,19821027,   20,    0
 19045,100931,19821028,   69,    0
 19045,100931,19821029,   93,    0
 19045,100931,19821030,   79,    0
 19045,100931,19821031,   36,    0
 19045,100931,19821101,   42,    0
 19045,100931,19821102,   12,    0
 19045,100931,19821103,   -5,    0
 19045,100931,19821104,  -29,    0
 19045,100931,19821105,  -38,    0
 19045,100931,19821106,   15,    0
 19045,100931,19821107,   36,    0
 19045,100931,19821108,   37,    0
 19045,100931,19821109,   25,    0
 19045,100931,19821110,   71,    0
 19045,100931,19821111,   53,    0
 19045,100931,19821112,   18,    0
 19045,100931,19821113,   39,    0
 19045,100931,19821114,  -12,    0
 19045,100931,19821115,  -28,    0
 19045,100931,19821116,   -6,    0
 19045,100931,19821117,    8,    0
 19045,100931,19821118,  -15,    0
 19045,100931,19821119,  -47,    0
 19045,100931,19821120,  -68,    0
 19045,100931,19821121,  -19,    0
 19045,100931,19821122,   29,    0
 19045,100931,19821123,   28,    0
 19045,100931,19821124,  -23,    0
 19045,100931,19821125,  -37,    0
 19045,100931,19821126, -132,    0
 19045,100931,19821127, -144,    0
 19045,100931,19821128,  -69,    0
 19045,100931,19821129, -174,    0
 19045,100931,19821130,   18,    0
 19045,100931,19821201,  -14,    0
 19045,100931,19821202,   72,    0
 19045,100931,19821203,   85,    0
 19045,100931,19821204,   78,    0
 19045,100931,19821205,   67,    0
 19045,100931,19821206,  -10,    0
 19045,100931,19821207,  -22,    0
 19045,100931,19821208,  -68,    0
 19045,100931,19821209,  -85,    0
 19045,100931,19821210, -121,    0
 19045,100931,19821211,  -44,    0
 19045,100931,19821212, -111,    0
 19045,100931,19821213, -166,    0
 19045,100931,19821214,  -84,    0
 19045,100931,19821215,  -49,    0
 19045,100931,19821216,  -32,    0
 19045,100931,19821217,  -37,    0
 19045,100931,19821218,  -68,    0
 19045,100931,19821219, -159,    0
 19045,100931,19821220,   -6,    0
 19045,100931,19821221,   33,    0
 19045,100931,19821222,   39,    0
 19045,100931,19821223,   -2,    0
 19045,100931,19821224,  -39,    0
 19045,100931,19821225,   33,    0
 19045,100931,19821226,   16,    0
 19045,100931,19821227,   28,    0
 19045,100931,19821228,   13,    0
 19045,100931,19821229,  -21,    0
 19045,100931,19821230,    4,    0
 19045,100931,19821231,    1,    0
 19045,100931,19830101,   36,    0
 19045,100931,19830102,    1,    0
 19045,100931,19830103,  -24,    0
 19045,100931,19830104,   30,    0
 19045,100931,19830105,   18,    0
 19045,100931,19830106,    2,    0
 19045,100931,19830107,   23,    0
 19045,100931,19830108,    9,    0
 19045,100931,19830109,  -17,    0
 19045,100931,19830110,  -13,    0
 19045,100931,19830111,  -15,    0
 19045,100931,19830112,   12,    0
 19045,100931,19830113,    9,    0
 19045,100931,19830114, -123,    0
 19045,100931,19830115,  -56,    0
 19045,100931,19830116, -156,    0
 19045,100931,19830117, -113,    0
 19045,100931,19830118, -127,    0
 19045,100931,19830119, -153,    0
 19045,100931,19830120,  -34,    0
 19045,100931,19830121,  -39,    0
 19045,100931,19830122,  -45,    0
 19045,100931,19830123,  -65,    0
 19045,100931,19830124,   31,    0
 19045,100931,19830125,   16,    0
 19045,100931,19830126,   11,    0
 19045,100931,19830127,  -46,    0
 19045,100931,19830128,  -54,    0
 19045,100931,19830129,  -80,    0
 19045,100931,19830130, -111,    0
 19045,100931,19830131, -118,    0
 19045,100931,19830201,  -92,    0
 19045,100931,19830202,  -90,    0
 19045,100931,19830203,  -97,    0
 19045,100931,19830204, -112,    0
 19045,100931,19830205,  -85,    0
 19045,100931,19830206,  -88,    0
 19045,100931,19830207, -146,    0
 19045,100931,19830208,  -41,    0
 19045,100931,19830209,   56,    0
 19045,100931,19830210,   12,    0
 19045,100931,19830211,  -89,    0
 19045,100931,19830212,    6,    0
 19045,100931,19830213,  -48,    0
 19045,100931,19830214,   17,    0
 19045,100931,19830215,    3,    0
 19045,100931,19830216,   17,    0
 19045,100931,19830217,   35,    0
 19045,100931,19830218,   45,    0
 19045,100931,19830219,   -4,    0
 19045,100931,19830220, -123,    0
 19045,100931,19830221,  -24,    0
 19045,100931,19830222,   29,    0
 19045,100931,19830223,   49,    0
 19045,100931,19830224,   53,    0
 19045,100931,19830225,   18,    0
 19045,100931,19830226,  -21,    0
 19045,100931,19830227,  -21,    0
 19045,100931,19830228,  -41,    0
 19045,100931,19830301,  -78,    0
 19045,100931,19830302,  -39,    0
 19045,100931,19830303,  -34,    0
 19045,100931,19830304,   19,    0
 19045,100931,19830305,  -20,    0
 19045,100931,19830306,  -69,    0
 19045,100931,19830307, -129,    0
 19045,100931,19830308, -122,    0
 19045,100931,19830309, -178,    0
 19045,100931,19830310, -141,    0
 19045,100931,19830311,  -51,    0
 19045,100931,19830312,   22,    0
 19045,100931,19830313,   67,    0
 19045,100931,19830314,    0,    0
 19045,100931,19830315,  -34,    0
 19045,100931,19830316,  -16,    0
 19045,100931,19830317,   25,    0
 19045,100931,19830318,   54,    0
 19045,100931,19830319,   -4,    0
 19045,100931,19830320,  -17,    0
 19045,100931,19830321,   10,    0
 19045,100931,19830322,    4,    0
 19045,100931,19830323,   -5,    0
 19045,100931,19830324,    6,    0
 19045,100931,19830325,  -12,    0
 19045,100931,19830326,  -11,    0
 19045,100931,19830327,  -17,    0
 19045,100931,19830328,   -3,    0
 19045,100931,19830329,   -4,    0
 19045,100931,19830330,   -3,    0
 19045,100931,19830331,  -19,    0
 19045,100931,19830401,   -2,    0
 19045,100931,19830402,  -27,    0
 19045,100931,19830403,  -38,    0
 19045,100931,19830404,   13,    0
 19045,100931,19830405,   37,    0
 19045,100931,19830406,   57,    0
 19045,100931,19830407,   67,    0
 19045,100931,19830408,   47,    0
 19045,100931,19830409,   34,    0
 19045,100931,19830410,    0,    0
 19045,100931,19830411,   34,    0
 19045,100931,19830412,   -8,    0
 19045,100931,19830413,  -12,    0
 19045,100931,19830414,   -8,    0
 19045,100931,19830415,   11,    0
 19045,100931,19830416,   63,    0
 19045,100931,19830417,   85,    0
 19045,100931,19830418,   60,    0
 19045,100931,19830419,   29,    0
 19045,100931,19830420,   57,    0
 19045,100931,19830421,   79,    0
 19045,100931,19830422,   94,    0
 19045,100931,19830423,   87,    0
 19045,100931,19830424,   75,    0
 19045,100931,19830425,   66,    0
 19045,100931,19830426,   48,    0
 19045,100931,19830427,   45,    0
 19045,100931,19830428,   66,    0
 19045,100931,19830429,   68,    0
 19045,100931,19830430,   71,    0
 19045,100931,19830501,   60,    0
 19045,100931,19830502,   40,    0
 19045,100931,19830503,   36,    0
 19045,100931,19830504,   33,    0
 19045,100931,19830505,   28,    0
 19045,100931,19830506,   60,    0
 19045,100931,19830507,   91,    0
 19045,100931,19830508,  116,    0
 19045,100931,19830509,  122,    0
 19045,100931,19830510,  109,    0
 19045,100931,19830511,  134,    0
 19045,100931,19830512,   90,    0
 19045,100931,19830513,   94,    0
 19045,100931,19830514,   97,    0
 19045,100931,19830515,   96,    0
 19045,100931,19830516,  120,    0
 19045,100931,19830517,  113,    0
 19045,100931,19830518,  106,    0
 19045,100931,19830519,   90,    0
 19045,100931,19830520,  125,    0
 19045,100931,19830521,  113,    0
 19045,100931,19830522,  106,    0
 19045,100931,19830523,  106,    0
 19045,100931,19830524,  106,    0
 19045,100931,19830525,   83,    0
 19045,100931,19830526,   87,    0
 19045,100931,19830527,  112,    0
 19045,100931,19830528,  121,    0
 19045,100931,19830529,  133,    0
 19045,100931,19830530,  124,    0
 19045,100931,19830531,  117,    0
 19045,100931,19830601,   94,    0
 19045,100931,19830602,   88,    0
 19045,100931,19830603,   69,    0
 19045,100931,19830604,   53,    0
 19045,100931,19830605,   70,    0
 19045,100931,19830606,   79,    0
 19045,100931,19830607,   86,    0
 19045,100931,19830608,   90,    0
 19045,100931,19830609,  111,    0
 19045,100931,19830610,   98,    0
 19045,100931,19830611,   92,    0
 19045,100931,19830612,  135,    0
 19045,100931,19830613,  129,    0
 19045,100931,19830614,  137,    0
 19045,100931,19830615,  153,    0
 19045,100931,19830616,  112,    0
 19045,100931,19830617,   97,    0
 19045,100931,19830618,   94,    0
 19045,100931,19830619,   93,    0
 19045,100931,19830620,   61,    0
 19045,100931,19830621,   77,    0
 19045,100931,19830622,   89,    0
 19045,100931,19830623,  121,    0
 19045,100931,19830624,   99,    0
 19045,100931,19830625,  110,    0
 19045,100931,19830626,  124,    0
 19045,100931,19830627,  103,    0
 19045,100931,19830628,  119,    0
 19045,100931,19830629,  130,    0
 19045,100931,19830630,  155,    0
 19045,100931,19830701,  159,    0
 19045,100931,19830702,  162,    0
 19045,100931,19830703,  136,    0
 19045,100931,19830704,  129,    0
 19045,100931,19830705,  128,    0
 19045,100931,19830706,  148,    0
 19045,100931,19830707,  182,    0
 19045,100931,19830708,  170,    0
 19045,100931,19830709,  185,    0
 19045,100931,19830710,  162,    0
 19045,100931,19830711,  133,    0
 19045,100931,19830712,  108,    0
 19045,100931,19830713,  104,    0
 19045,100931,19830714,  106,    0
 19045,100931,19830715,  121,    0
 19045,100931,19830716,   91,    0
 19045,100931,19830717,   99,    0
 19045,100931,19830718,  147,    0
 19045,100931,19830719,   85,    0
 19045,100931,19830720,   87,    0
 19045,100931,19830721,  102,    0
 19045,100931,19830722,   94,    0
 19045,100931,19830723,  136,    0
 19045,100931,19830724,  135,    0
 19045,100931,19830725,  159,    0
 19045,100931,19830726,  166,    0
 19045,100931,19830727,  156,    0
 19045,100931,19830728,  109,    0
 19045,100931,19830729,  103,    0
 19045,100931,19830730,  112,    0
 19045,100931,19830731,  119,    0
 19045,100931,19830801,  111,    0
 19045,100931,19830802,  168,    0
 19045,100931,19830803,  110,    0
 19045,100931,19830804,  148,    0
 19045,100931,19830805,  129,    0
 19045,100931,19830806,  127,    0
 19045,100931,19830807,  116,    0
 19045,100931,19830808,  155,    0
 19045,100931,19830809,  150,    0
 19045,100931,19830810,  130,    0
 19045,100931,19830811,   87,    0
 19045,100931,19830812,   77,    0
 19045,100931,19830813,   80,    0
 19045,100931,19830814,   81,    0
 19045,100931,19830815,  101,    0
 19045,100931,19830816,  113,    0
 19045,100931,19830817,   92,    0
 19045,100931,19830818,   85,    0
 19045,100931,19830819,  103,    0
 19045,100931,19830820,  117,    0
 19045,100931,19830821,  162,    0
 19045,100931,19830822,  161,    0
 19045,100931,19830823,   82,    0
 19045,100931,19830824,   58,    0
 19045,100931,19830825,   65,    0
 19045,100931,19830826,   98,    0
 19045,100931,19830827,  131,    0
 19045,100931,19830828,   86,    0
 19045,100931,19830829,   87,    0
 19045,100931,19830830,   90,    0
 19045,100931,19830831,   72,    0
 19045,100931,19830901,   85,    0
 19045,100931,19830902,  152,    0
 19045,100931,19830903,  162,    0
 19045,100931,19830904,  191,    0
 19045,100931,19830905,  137,    0
 19045,100931,19830906,  107,    0
 19045,100931,19830907,  109,    0
 19045,100931,19830908,   94,    0
 19045,100931,19830909,  101,    0
 19045,100931,19830910,   95,    0
 19045,100931,19830911,  117,    0
 19045,100931,19830912,  113,    0
 19045,100931,19830913,   99,    0
 19045,100931,19830914,  128,    0
 19045,100931,19830915,  113,    0
 19045,100931,19830916,   94,    0
 19045,100931,19830917,  138,    0
 19045,100931,19830918,  108,    0
 19045,100931,19830919,   87,    0
 19045,100931,19830920,   87,    0
 19045,100931,19830921,  102,    0
 19045,100931,19830922,   81,    0
 19045,100931,19830923,   77,    0
 19045,100931,19830924,   29,    0
 19045,100931,19830925,   50,    0
 19045,100931,19830926,   34,    0
 19045,100931,19830927,   29,    0
 19045,100931,19830928,   21,    0
 19045,100931,19830929,   28,    0
 19045,100931,19830930,   15,    0
 19045,100931,19831001,   17,    0
 19045,100931,19831002,   10,    0
 19045,100931,19831003,    3,    0
 19045,100931,19831004,  -33,    0
 19045,100931,19831005,   26,    0
 19045,100931,19831006,   42,    0
 19045,100931,19831007,   58,    0
 19045,100931,19831008,   22,    0
 19045,100931,19831009,   18,    0
 19045,100931,19831010,   18,    0
 19045,100931,19831011,   12,    0
 19045,100931,19831012,   31,    0
 19045,100931,19831013,   26,    0
 19045,100931,19831014,   34,    0
 19045,100931,19831015,   76,    0
 19045,100931,19831016,   85,    0
 19045,100931,19831017,   93,    0
 19045,100931,19831018,   67,    0
 19045,100931,19831019,    9,    0
 19045,100931,19831020,   42,    0
 19045,100931,19831021,   42,    0
 19045,100931,19831022,   44,    0
 19045,100931,19831023,   68,    0
 19045,100931,19831024,   16,    0
 19045,100931,19831025,  -15,    0
 19045,100931,19831026,   -4,    0
 19045,100931,19831027,  -31,    0
 19045,100931,19831028,  -40,    0
 19045,100931,19831029,   16,    0
 19045,100931,19831030,   44,    0
 19045,100931,19831031,   21,    0
 19045,100931,19831101,   33,    0
 19045,100931,19831102,   14,    0
 19045,100931,19831103,  -20,    0
 19045,100931,19831104,  -45,    0
 19045,100931,19831105,   49,    0
 19045,100931,19831106,   28,    0
 19045,100931,19831107,   78,    0
 19045,100931,19831108,   64,    0
 19045,100931,19831109,   -9,    0
 19045,100931,19831110,  -13,    0
 19045,100931,19831111,  -23,    0
 19045,100931,19831112,  -65,    0
 19045,100931,19831113, -109,    0
 19045,100931,19831114,   19,    0
 19045,100931,19831115,   18,    0
 19045,100931,19831116,  -70,    0
 19045,100931,19831117,   20,    0
 19045,100931,19831118,  -29,    0
 19045,100931,19831119,  -39,    0
 19045,100931,19831120,  -41,    0
 19045,100931,19831121, -138,    0
 19045,100931,19831122,  -72,    0
 19045,100931,19831123,  -97,    0
 19045,100931,19831124,  -59,    0
 19045,100931,19831125, -121,    0
 19045,100931,19831126, -205,    0
 19045,100931,19831127, -158,    0
 19045,100931,19831128, -224,    0
 19045,100931,19831129,  -81,    0
 19045,100931,19831130, -210,    0
 19045,100931,19831201,  -42,    0
 19045,100931,19831202,   48,    0
 19045,100931,19831203,   74,    0
 19045,100931,19831204,   22,    0
 19045,100931,19831205,  -74,    0
 19045,100931,19831206,  -72,    0
 19045,100931,19831207,  -61,    0
 19045,100931,19831208,  -79,    0
 19045,100931,19831209, -176,    0
 19045,100931,19831210,  -69,    0
 19045,100931,19831211,  -94,    0
 19045,100931,19831212, -119,    0
 19045,100931,19831213, -109,    0
 19045,100931,19831214,  -13,    0
 19045,100931,19831215,   29,    0
 19045,100931,19831216,   36,    0
 19045,100931,19831217,   -5,    0
 19045,100931,19831218,  -40,    0
 19045,100931,19831219,  -62,    0
 19045,100931,19831220,  -67,    0
 19045,100931,19831221,  -70,    0
 19045,100931,19831222,  -58,    0
 19045,100931,19831223,  -41,    0
 19045,100931,19831224,  -93,    0
 19045,100931,19831225, -127,    0
 19045,100931,19831226,  -77,    0
 19045,100931,19831227,   -4,    0
 19045,100931,19831228,   20,    0
 19045,100931,19831229,  -26,    0
 19045,100931,19831230,    7,    0
 19045,100931,19831231,  -12,    0
 19045,100931,19840101,  -29,    0
 19045,100931,19840102,   12,    0
 19045,100931,19840103,  -43,    0
 19045,100931,19840104,  -77,    0
 19045,100931,19840105,  -69,    0
 19045,100931,19840106, -182,    0
 19045,100931,19840107, -178,    0
 19045,100931,19840108, -270,    0
 19045,100931,19840109, -132,    0
 19045,100931,19840110,  -55,    0
 19045,100931,19840111,   15,    0
 19045,100931,19840112,    4,    0
 19045,100931,19840113,   -7,    0
 19045,100931,19840114,   16,    0
 19045,100931,19840115,   27,    0
 19045,100931,19840116,  -21,    0
 19045,100931,19840117, -107,    0
 19045,100931,19840118,  -90,    0
 19045,100931,19840119, -119,    0
 19045,100931,19840120,  -78,    0
 19045,100931,19840121, -101,    0
 19045,100931,19840122,  -83,    0
 19045,100931,19840123, -209,    0
 19045,100931,19840124, -158,    0
 19045,100931,19840125, -137,    0
 19045,100931,19840126, -145,    0
 19045,100931,19840127, -177,    0
 19045,100931,19840128,  -66,    0
 19045,100931,19840129,  -71,    0
 19045,100931,19840130,  -65,    0
 19045,100931,19840131,  -34,    0
 19045,100931,19840201,  -44,    0
 19045,100931,19840202,   -7,    0
 19045,100931,19840203,    3,    0
 19045,100931,19840204,  -33,    0
 19045,100931,19840205,   14,    0
 19045,100931,19840206,   -2,    0
 19045,100931,19840207,   -2,    0
 19045,100931,19840208,  -88,    0
 19045,100931,19840209,  -67,    0
 19045,100931,19840210, -119,    0
 19045,100931,19840211,    2,    0
 19045,100931,19840212,   95,    0
 19045,100931,19840213,   74,    0
 19045,100931,19840214,   28,    0
 19045,100931,19840215,   25,    0
 19045,100931,19840216,  -16,    0
 19045,100931,19840217,  -47,    0
 19045,100931,19840218,   35,    0
 19045,100931,19840219,   40,    0
 19045,100931,19840220,  -20,    0
 19045,100931,19840221,  -35,    0
 19045,100931,19840222,  -69,    0
 19045,100931,19840223, -105,    0
 19045,100931,19840224,  -25,    0
 19045,100931,19840225,   90,    0
 19045,100931,19840226,   84,    0
 19045,100931,19840227,   66,    0
 19045,100931,19840228,    9,    0
 19045,100931,19840229,   15,    0
 19045,100931,19840301,  -16,    0
 19045,100931,19840302,  -99,    0
 19045,100931,19840303,  -93,    0
 19045,100931,19840304,  -43,    0
 19045,100931,19840305,  -14,    0
 19045,100931,19840306,    2,    0
 19045,100931,19840307,  -18,    0
 19045,100931,19840308,  -53,    0
 19045,100931,19840309,    7,    0
 19045,100931,19840310,   -1,    0
 19045,100931,19840311,  -31,    0
 19045,100931,19840312,  -24,    0
 19045,100931,19840313,  -90,    0
 19045,100931,19840314,    5,    0
 19045,100931,19840315,  -15,    0
 19045,100931,19840316,   -1,    0
 19045,100931,19840317,  -91,    0
 19045,100931,19840318,  -71,    0
 19045,100931,19840319,  -13,    0
 19045,100931,19840320,   -2,    0
 19045,100931,19840321,   24,    0
 19045,100931,19840322,   -8,    0
 19045,100931,19840323,  -62,    0
 19045,100931,19840324,  -52,    0
 19045,100931,19840325,  -54,    0
 19045,100931,19840326,  -53,    0
 19045,100931,19840327,  -47,    0
 19045,100931,19840328,  -63,    0
 19045,100931,19840329,  -51,    0
 19045,100931,19840330,  -26,    0
 19045,100931,19840331,  -16,    0
 19045,100931,19840401,    6,    0
 19045,100931,19840402,  -20,    0
 19045,100931,19840403,  -10,    0
 19045,100931,19840404,   19,    0
 19045,100931,19840405,   42,    0
 19045,100931,19840406,   41,    0
 19045,100931,19840407,   43,    0
 19045,100931,19840408,   40,    0
 19045,100931,19840409,   50,    0
 19045,100931,19840410,   58,    0
 19045,100931,19840411,   62,    0
 19045,100931,19840412,   61,    0
 19045,100931,19840413,   21,    0
 19045,100931,19840414,   41,    0
