EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LOPPA, NORWAY (STAID: 19072)
Blended and updated with sources:100962 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19072,100962,19570101,   13,    0
 19072,100962,19570102,   20,    0
 19072,100962,19570103,   34,    0
 19072,100962,19570104,   12,    0
 19072,100962,19570105,   11,    0
 19072,100962,19570106,   -4,    0
 19072,100962,19570107,   -9,    0
 19072,100962,19570108,   12,    0
 19072,100962,19570109,   -1,    0
 19072,100962,19570110,    0,    0
 19072,100962,19570111,   -7,    0
 19072,100962,19570112,  -30,    0
 19072,100962,19570113,  -13,    0
 19072,100962,19570114,   34,    0
 19072,100962,19570115,   -7,    0
 19072,100962,19570116,   -1,    0
 19072,100962,19570117,   31,    0
 19072,100962,19570118,   28,    0
 19072,100962,19570119,  -37,    0
 19072,100962,19570120,   17,    0
 19072,100962,19570121,    6,    0
 19072,100962,19570122,    0,    0
 19072,100962,19570123,   14,    0
 19072,100962,19570124,    4,    0
 19072,100962,19570125,  -24,    0
 19072,100962,19570126,  -23,    0
 19072,100962,19570127,  -41,    0
 19072,100962,19570128,  -21,    0
 19072,100962,19570129,    0,    0
 19072,100962,19570130,   30,    0
 19072,100962,19570131,   51,    0
 19072,100962,19570201,   34,    0
 19072,100962,19570202,   27,    0
 19072,100962,19570203,   20,    0
 19072,100962,19570204,    7,    0
 19072,100962,19570205,  -11,    0
 19072,100962,19570206,  -17,    0
 19072,100962,19570207,  -24,    0
 19072,100962,19570208,  -23,    0
 19072,100962,19570209,  -24,    0
 19072,100962,19570210,  -25,    0
 19072,100962,19570211,  -28,    0
 19072,100962,19570212,  -16,    0
 19072,100962,19570213,  -29,    0
 19072,100962,19570214,  -41,    0
 19072,100962,19570215,  -61,    0
 19072,100962,19570216,  -41,    0
 19072,100962,19570217,  -20,    0
 19072,100962,19570218,  -12,    0
 19072,100962,19570219,    1,    0
 19072,100962,19570220,   -3,    0
 19072,100962,19570221,    1,    0
 19072,100962,19570222,  -35,    0
 19072,100962,19570223,  -45,    0
 19072,100962,19570224,  -43,    0
 19072,100962,19570225,  -31,    0
 19072,100962,19570226,  -29,    0
 19072,100962,19570227,  -18,    0
 19072,100962,19570228,   -1,    0
 19072,100962,19570301,   36,    0
 19072,100962,19570302,   40,    0
 19072,100962,19570303,   40,    0
 19072,100962,19570304,    9,    0
 19072,100962,19570305,  -16,    0
 19072,100962,19570306,   14,    0
 19072,100962,19570307,    4,    0
 19072,100962,19570308,   14,    0
 19072,100962,19570309,   36,    0
 19072,100962,19570310,   37,    0
 19072,100962,19570311,   14,    0
 19072,100962,19570312,    1,    0
 19072,100962,19570313,  -52,    0
 19072,100962,19570314,  -76,    0
 19072,100962,19570315,  -69,    0
 19072,100962,19570316,  -39,    0
 19072,100962,19570317,  -44,    0
 19072,100962,19570318,  -63,    0
 19072,100962,19570319,  -53,    0
 19072,100962,19570320,  -44,    0
 19072,100962,19570321,  -46,    0
 19072,100962,19570322,  -25,    0
 19072,100962,19570323,   -4,    0
 19072,100962,19570324,   17,    0
 19072,100962,19570325,   35,    0
 19072,100962,19570326,   39,    0
 19072,100962,19570327,   18,    0
 19072,100962,19570328,  -24,    0
 19072,100962,19570329,    2,    0
 19072,100962,19570330,  -17,    0
 19072,100962,19570331,   10,    0
 19072,100962,19570401,   16,    0
 19072,100962,19570402,   28,    0
 19072,100962,19570403,   40,    0
 19072,100962,19570404,   52,    0
 19072,100962,19570405,   47,    0
 19072,100962,19570406,    0,    0
 19072,100962,19570407,  -36,    0
 19072,100962,19570408,  -55,    0
 19072,100962,19570409,   -5,    0
 19072,100962,19570410,  -13,    0
 19072,100962,19570411,  -14,    0
 19072,100962,19570412,   -9,    0
 19072,100962,19570413,  -18,    0
 19072,100962,19570414,  -14,    0
 19072,100962,19570415,   -1,    0
 19072,100962,19570416,    6,    0
 19072,100962,19570417,   14,    0
 19072,100962,19570418,   56,    0
 19072,100962,19570419,   54,    0
 19072,100962,19570420,   59,    0
 19072,100962,19570421,   72,    0
 19072,100962,19570422,   78,    0
 19072,100962,19570423,   72,    0
 19072,100962,19570424,   59,    0
 19072,100962,19570425,   33,    0
 19072,100962,19570426,   69,    0
 19072,100962,19570427,   62,    0
 19072,100962,19570428,   43,    0
 19072,100962,19570429,   14,    0
 19072,100962,19570430,   11,    0
 19072,100962,19570501,   11,    0
 19072,100962,19570502,   -5,    0
 19072,100962,19570503,   11,    0
 19072,100962,19570504,   12,    0
 19072,100962,19570505,   10,    0
 19072,100962,19570506,    3,    0
 19072,100962,19570507,    8,    0
 19072,100962,19570508,   32,    0
 19072,100962,19570509,   71,    0
 19072,100962,19570510,   98,    0
 19072,100962,19570511,   86,    0
 19072,100962,19570512,   78,    0
 19072,100962,19570513,   54,    0
 19072,100962,19570514,   31,    0
 19072,100962,19570515,   20,    0
 19072,100962,19570516,   25,    0
 19072,100962,19570517,   36,    0
 19072,100962,19570518,   40,    0
 19072,100962,19570519,   42,    0
 19072,100962,19570520,   53,    0
 19072,100962,19570521,   44,    0
 19072,100962,19570522,   19,    0
 19072,100962,19570523,   27,    0
 19072,100962,19570524,   42,    0
 19072,100962,19570525,   43,    0
 19072,100962,19570526,   64,    0
 19072,100962,19570527,   75,    0
 19072,100962,19570528,   48,    0
 19072,100962,19570529,   41,    0
 19072,100962,19570530,   35,    0
 19072,100962,19570531,   60,    0
 19072,100962,19570601,   59,    0
 19072,100962,19570602,   33,    0
 19072,100962,19570603,   47,    0
 19072,100962,19570604,   56,    0
 19072,100962,19570605,   73,    0
 19072,100962,19570606,   76,    0
 19072,100962,19570607,   77,    0
 19072,100962,19570608,   56,    0
 19072,100962,19570609,   77,    0
 19072,100962,19570610,  101,    0
 19072,100962,19570611,   71,    0
 19072,100962,19570612,   76,    0
 19072,100962,19570613,   59,    0
 19072,100962,19570614,   52,    0
 19072,100962,19570615,   82,    0
 19072,100962,19570616,   81,    0
 19072,100962,19570617,   78,    0
 19072,100962,19570618,   75,    0
 19072,100962,19570619,   62,    0
 19072,100962,19570620,   43,    0
 19072,100962,19570621,   58,    0
 19072,100962,19570622,   55,    0
 19072,100962,19570623,   56,    0
 19072,100962,19570624,   65,    0
 19072,100962,19570625,   70,    0
