EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BUSNES, NORWAY (STAID: 19074)
Blended and updated with sources:100964 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19074,100964,20151101,-9999,    9
 19074,100964,20151102,-9999,    9
 19074,100964,20151103,-9999,    9
 19074,100964,20151104,-9999,    9
 19074,100964,20151105,-9999,    9
 19074,100964,20151106,-9999,    9
 19074,100964,20151107,-9999,    9
 19074,100964,20151108,-9999,    9
 19074,100964,20151109,-9999,    9
 19074,100964,20151110,   70,    0
 19074,100964,20151111,   46,    0
 19074,100964,20151112,   29,    0
 19074,100964,20151113,   42,    0
 19074,100964,20151114,   28,    0
 19074,100964,20151115,   34,    0
 19074,100964,20151116,   11,    0
 19074,100964,20151117,   14,    0
 19074,100964,20151118,   16,    0
 19074,100964,20151119,   14,    0
 19074,100964,20151120,  -28,    0
 19074,100964,20151121,  -31,    0
 19074,100964,20151122,  -38,    0
 19074,100964,20151123,  -26,    0
 19074,100964,20151124,    2,    0
 19074,100964,20151125,    0,    0
 19074,100964,20151126,   -1,    0
 19074,100964,20151127,   71,    0
 19074,100964,20151128,   24,    0
 19074,100964,20151129,   17,    0
 19074,100964,20151130,   12,    0
 19074,100964,20151201,   28,    0
 19074,100964,20151202,    9,    0
 19074,100964,20151203,   -2,    0
 19074,100964,20151204,   20,    0
