EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYSTERUD, NORWAY (STAID: 19090)
Blended and updated with sources:99279 99503 100875 100983 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19090,100875,19570801,  150,    0
 19090,100875,19570802,  144,    0
 19090,100875,19570803,  149,    0
 19090,100875,19570804,  159,    0
 19090,100875,19570805,  179,    0
 19090,100875,19570806,  192,    0
 19090,100875,19570807,  164,    0
 19090,100875,19570808,  130,    0
 19090,100875,19570809,  155,    0
 19090,100875,19570810,  124,    0
 19090,100875,19570811,  164,    0
 19090,100875,19570812,  158,    0
 19090,100875,19570813,  138,    0
 19090,100875,19570814,  129,    0
 19090,100875,19570815,  148,    0
 19090,100875,19570816,  137,    0
 19090,100875,19570817,  144,    0
 19090,100875,19570818,  164,    0
 19090,100875,19570819,  137,    0
 19090,100875,19570820,  163,    0
 19090,100875,19570821,  130,    0
 19090,100875,19570822,  108,    0
 19090,100875,19570823,  105,    0
 19090,100875,19570824,  113,    0
 19090,100875,19570825,  101,    0
 19090,100875,19570826,  108,    0
 19090,100875,19570827,  113,    0
 19090,100875,19570828,  128,    0
 19090,100875,19570829,  108,    0
 19090,100875,19570830,   93,    0
 19090,100875,19570831,  124,    0
 19090,100875,19570901,  113,    0
 19090,100875,19570902,  111,    0
 19090,100875,19570903,  117,    0
 19090,100875,19570904,  110,    0
 19090,100875,19570905,   79,    0
 19090,100875,19570906,  102,    0
 19090,100875,19570907,   94,    0
 19090,100875,19570908,  136,    0
 19090,100875,19570909,   86,    0
 19090,100875,19570910,  118,    0
 19090,100875,19570911,  111,    0
 19090,100875,19570912,  109,    0
 19090,100875,19570913,   98,    0
 19090,100875,19570914,   95,    0
 19090,100875,19570915,   99,    0
 19090,100875,19570916,  104,    0
 19090,100875,19570917,   93,    0
 19090,100875,19570918,   72,    0
 19090,100875,19570919,   66,    0
 19090,100875,19570920,   67,    0
 19090,100875,19570921,   53,    0
 19090,100875,19570922,   50,    0
 19090,100875,19570923,   43,    0
 19090,100875,19570924,   41,    0
 19090,100875,19570925,   27,    0
 19090,100875,19570926,   34,    0
 19090,100875,19570927,   73,    0
 19090,100875,19570928,   31,    0
 19090,100875,19570929,   33,    0
 19090,100875,19570930,   43,    0
 19090,100875,19571001,   31,    0
 19090,100875,19571002,   43,    0
 19090,100875,19571003,   59,    0
 19090,100875,19571004,   39,    0
 19090,100875,19571005,   48,    0
 19090,100875,19571006,   52,    0
 19090,100875,19571007,   81,    0
 19090,100875,19571008,   71,    0
 19090,100875,19571009,   81,    0
 19090,100875,19571010,   90,    0
 19090,100875,19571011,   86,    0
 19090,100875,19571012,   79,    0
 19090,100875,19571013,   89,    0
 19090,100875,19571014,   36,    0
 19090,100875,19571015,   21,    0
 19090,100875,19571016,   93,    0
 19090,100875,19571017,   63,    0
 19090,100875,19571018,   38,    0
 19090,100875,19571019,   56,    0
 19090,100875,19571020,   22,    0
 19090,100875,19571021,   60,    0
 19090,100875,19571022,   22,    0
 19090,100875,19571023,   27,    0
 19090,100875,19571024,   34,    0
 19090,100875,19571025,   13,    0
 19090,100875,19571026,   66,    0
 19090,100875,19571027,   70,    0
 19090,100875,19571028,   62,    0
 19090,100875,19571029,   36,    0
 19090,100875,19571030,   24,    0
 19090,100875,19571031,    4,    0
 19090,100875,19571101,   68,    0
 19090,100875,19571102,   49,    0
 19090,100875,19571103,   10,    0
 19090,100875,19571104,   70,    0
 19090,100875,19571105,   73,    0
 19090,100875,19571106,   82,    0
 19090,100875,19571107,   18,    0
 19090,100875,19571108,    8,    0
 19090,100875,19571109,  -30,    0
 19090,100875,19571110,  -24,    0
 19090,100875,19571111,   -4,    0
 19090,100875,19571112,  -43,    0
 19090,100875,19571113,  -52,    0
 19090,100875,19571114,  -64,    0
 19090,100875,19571115,  -69,    0
 19090,100875,19571116,  -66,    0
 19090,100875,19571117,  -63,    0
 19090,100875,19571118,  -39,    0
 19090,100875,19571119,  -12,    0
 19090,100875,19571120,   12,    0
 19090,100875,19571121,    6,    0
 19090,100875,19571122,   11,    0
 19090,100875,19571123,   -5,    0
 19090,100875,19571124,  -17,    0
 19090,100875,19571125,    6,    0
 19090,100875,19571126,    1,    0
 19090,100875,19571127,  -20,    0
 19090,100875,19571128,  -17,    0
 19090,100875,19571129,  -88,    0
 19090,100875,19571130,  -51,    0
 19090,100875,19571201,  -63,    0
 19090,100875,19571202,  -50,    0
 19090,100875,19571203,  -68,    0
 19090,100875,19571204,  -37,    0
 19090,100875,19571205,  -60,    0
 19090,100875,19571206,   19,    0
 19090,100875,19571207,   -6,    0
 19090,100875,19571208,  -41,    0
 19090,100875,19571209, -100,    0
 19090,100875,19571210, -115,    0
 19090,100875,19571211, -161,    0
 19090,100875,19571212, -119,    0
 19090,100875,19571213, -141,    0
 19090,100875,19571214, -176,    0
 19090,100875,19571215, -164,    0
 19090,100875,19571216,   -6,    0
 19090,100875,19571217,   -6,    0
 19090,100875,19571218,  -53,    0
 19090,100875,19571219,   -6,    0
 19090,100875,19571220,   63,    0
 19090,100875,19571221,   39,    0
 19090,100875,19571222,   49,    0
 19090,100875,19571223,   41,    0
 19090,100875,19571224,    8,    0
 19090,100875,19571225,    1,    0
 19090,100875,19571226,   11,    0
 19090,100875,19571227,   35,    0
 19090,100875,19571228,   14,    0
 19090,100875,19571229,  -45,    0
 19090,100875,19571230, -116,    0
 19090,100875,19571231, -127,    0
 19090,100875,19580101, -168,    0
 19090,100875,19580102, -196,    0
 19090,100875,19580103, -193,    0
 19090,100875,19580104,  -30,    0
 19090,100875,19580105,  -50,    0
 19090,100875,19580106,  -49,    0
 19090,100875,19580107, -114,    0
 19090,100875,19580108, -141,    0
 19090,100875,19580109, -121,    0
 19090,100875,19580110, -101,    0
 19090,100875,19580111,  -67,    0
 19090,100875,19580112,   -2,    0
 19090,100875,19580113,  -16,    0
 19090,100875,19580114,  -12,    0
 19090,100875,19580115,  -50,    0
 19090,100875,19580116,  -17,    0
 19090,100875,19580117,   -1,    0
 19090,100875,19580118,  -36,    0
 19090,100875,19580119,  -74,    0
 19090,100875,19580120, -149,    0
 19090,100875,19580121, -175,    0
 19090,100875,19580122, -106,    0
 19090,100875,19580123,  -34,    0
 19090,100875,19580124,  -31,    0
 19090,100875,19580125,  -70,    0
 19090,100875,19580126,  -37,    0
 19090,100875,19580127,   -9,    0
 19090,100875,19580128,   10,    0
 19090,100875,19580129,    3,    0
 19090,100875,19580130,  -14,    0
 19090,100875,19580131,  -20,    0
 19090,100875,19580201,    8,    0
 19090,100875,19580202,    5,    0
 19090,100875,19580203,   -6,    0
 19090,100875,19580204,  -62,    0
 19090,100875,19580205,  -94,    0
 19090,100875,19580206, -140,    0
 19090,100875,19580207, -115,    0
 19090,100875,19580208, -206,    0
 19090,100875,19580209, -118,    0
 19090,100875,19580210, -188,    0
 19090,100875,19580211,  -85,    0
 19090,100875,19580212,  -52,    0
 19090,100875,19580213,  -31,    0
 19090,100875,19580214,   -5,    0
 19090,100875,19580215, -106,    0
 19090,100875,19580216,  -53,    0
 19090,100875,19580217,  -46,    0
 19090,100875,19580218, -149,    0
 19090,100875,19580219, -118,    0
 19090,100875,19580220, -118,    0
 19090,100875,19580221, -174,    0
 19090,100875,19580222, -110,    0
 19090,100875,19580223, -230,    0
 19090,100875,19580224, -188,    0
 19090,100875,19580225, -197,    0
 19090,100875,19580226, -197,    0
 19090,100875,19580227, -233,    0
 19090,100875,19580228, -110,    0
 19090,100875,19580301,  -28,    0
 19090,100875,19580302,  -23,    0
 19090,100875,19580303,  -46,    0
 19090,100875,19580304,  -10,    0
 19090,100875,19580305,   17,    0
 19090,100875,19580306,  -41,    0
 19090,100875,19580307, -111,    0
 19090,100875,19580308, -127,    0
 19090,100875,19580309, -141,    0
 19090,100875,19580310, -158,    0
 19090,100875,19580311,  -93,    0
 19090,100875,19580312,  -98,    0
 19090,100875,19580313, -102,    0
 19090,100875,19580314, -116,    0
 19090,100875,19580315,  -26,    0
 19090,100875,19580316,  -44,    0
 19090,100875,19580317,  -64,    0
 19090,100875,19580318,  -48,    0
 19090,100875,19580319,  -30,    0
 19090,100875,19580320,  -64,    0
 19090,100875,19580321,  -65,    0
 19090,100875,19580322,  -78,    0
 19090,100875,19580323,  -87,    0
 19090,100875,19580324,  -64,    0
 19090,100875,19580325,  -64,    0
 19090,100875,19580326,  -67,    0
 19090,100875,19580327,  -53,    0
 19090,100875,19580328,  -79,    0
 19090,100875,19580329,  -69,    0
 19090,100875,19580330,  -62,    0
 19090,100875,19580331,  -65,    0
 19090,100875,19580401,  -44,    0
 19090,100875,19580402,  -10,    0
 19090,100875,19580403,    0,    0
 19090,100875,19580404,   -4,    0
 19090,100875,19580405,    6,    0
 19090,100875,19580406,   15,    0
 19090,100875,19580407,  -25,    0
 19090,100875,19580408,  -19,    0
 19090,100875,19580409,   -9,    0
 19090,100875,19580410,   -5,    0
 19090,100875,19580411,  -28,    0
 19090,100875,19580412,   23,    0
 19090,100875,19580413,   55,    0
 19090,100875,19580414,   13,    0
 19090,100875,19580415,   37,    0
 19090,100875,19580416,   29,    0
 19090,100875,19580417,   33,    0
 19090,100875,19580418,   15,    0
 19090,100875,19580419,   21,    0
 19090,100875,19580420,   16,    0
 19090,100875,19580421,   25,    0
 19090,100875,19580422,   44,    0
 19090,100875,19580423,   44,    0
 19090,100875,19580424,   39,    0
 19090,100875,19580425,   49,    0
 19090,100875,19580426,   15,    0
 19090,100875,19580427,   30,    0
 19090,100875,19580428,   44,    0
 19090,100875,19580429,   50,    0
 19090,100875,19580430,   78,    0
 19090,100875,19580501,   76,    0
 19090,100875,19580502,   74,    0
 19090,100875,19580503,   53,    0
 19090,100875,19580504,   63,    0
 19090,100875,19580505,   49,    0
 19090,100875,19580506,   56,    0
 19090,100875,19580507,   31,    0
 19090,100875,19580508,   30,    0
 19090,100875,19580509,   71,    0
 19090,100875,19580510,   64,    0
 19090,100875,19580511,   69,    0
 19090,100875,19580512,   51,    0
 19090,100875,19580513,   67,    0
 19090,100875,19580514,   68,    0
 19090,100875,19580515,   31,    0
 19090,100875,19580516,   60,    0
 19090,100875,19580517,   49,    0
 19090,100875,19580518,   64,    0
 19090,100875,19580519,   84,    0
 19090,100875,19580520,   75,    0
 19090,100875,19580521,   82,    0
 19090,100875,19580522,   81,    0
 19090,100875,19580523,   80,    0
 19090,100875,19580524,   97,    0
 19090,100875,19580525,   91,    0
 19090,100875,19580526,  127,    0
 19090,100875,19580527,  116,    0
 19090,100875,19580528,  110,    0
 19090,100875,19580529,  103,    0
 19090,100875,19580530,  103,    0
 19090,100875,19580531,  133,    0
 19090,100875,19580601,  152,    0
 19090,100875,19580602,  148,    0
 19090,100875,19580603,  140,    0
 19090,100875,19580604,  153,    0
 19090,100875,19580605,  120,    0
 19090,100875,19580606,  148,    0
 19090,100875,19580607,  149,    0
 19090,100875,19580608,  142,    0
 19090,100875,19580609,   79,    0
 19090,100875,19580610,   84,    0
 19090,100875,19580611,  113,    0
 19090,100875,19580612,  119,    0
 19090,100875,19580613,  123,    0
 19090,100875,19580614,  130,    0
 19090,100875,19580615,  143,    0
 19090,100875,19580616,  150,    0
 19090,100875,19580617,  157,    0
 19090,100875,19580618,  122,    0
 19090,100875,19580619,   89,    0
 19090,100875,19580620,  106,    0
 19090,100875,19580621,  105,    0
 19090,100875,19580622,  121,    0
 19090,100875,19580623,  122,    0
 19090,100875,19580624,  121,    0
 19090,100875,19580625,  134,    0
 19090,100875,19580626,  135,    0
 19090,100875,19580627,  185,    0
 19090,100875,19580628,  193,    0
 19090,100875,19580629,  161,    0
 19090,100875,19580630,  209,    0
 19090,100875,19580701,  222,    0
 19090,100875,19580702,  217,    0
 19090,100875,19580703,  213,    0
 19090,100875,19580704,  224,    0
 19090,100875,19580705,  196,    0
 19090,100875,19580706,  173,    0
 19090,100875,19580707,  163,    0
 19090,100875,19580708,  146,    0
 19090,100875,19580709,  198,    0
 19090,100875,19580710,  164,    0
 19090,100875,19580711,  134,    0
 19090,100875,19580712,  147,    0
 19090,100875,19580713,  129,    0
 19090,100875,19580714,  147,    0
 19090,100875,19580715,  142,    0
 19090,100875,19580716,  138,    0
 19090,100875,19580717,  125,    0
 19090,100875,19580718,  124,    0
 19090,100875,19580719,  142,    0
 19090,100875,19580720,  144,    0
 19090,100875,19580721,  156,    0
 19090,100875,19580722,  141,    0
 19090,100875,19580723,  133,    0
 19090,100875,19580724,  152,    0
 19090,100875,19580725,  132,    0
 19090,100875,19580726,  117,    0
 19090,100875,19580727,  119,    0
 19090,100875,19580728,  124,    0
 19090,100875,19580729,  146,    0
 19090,100875,19580730,  149,    0
 19090,100875,19580731,  143,    0
 19090,100875,19580801,  132,    0
 19090,100875,19580802,  110,    0
 19090,100875,19580803,  126,    0
 19090,100875,19580804,  114,    0
 19090,100875,19580805,  134,    0
 19090,100875,19580806,  126,    0
 19090,100875,19580807,  108,    0
 19090,100875,19580808,  108,    0
 19090,100875,19580809,  120,    0
 19090,100875,19580810,  135,    0
 19090,100875,19580811,  130,    0
 19090,100875,19580812,  154,    0
 19090,100875,19580813,  154,    0
 19090,100875,19580814,  142,    0
 19090,100875,19580815,  150,    0
 19090,100875,19580816,  130,    0
 19090,100875,19580817,  147,    0
 19090,100875,19580818,  163,    0
 19090,100875,19580819,  151,    0
 19090,100875,19580820,  157,    0
 19090,100875,19580821,  155,    0
 19090,100875,19580822,  128,    0
 19090,100875,19580823,  125,    0
 19090,100875,19580824,  116,    0
 19090,100875,19580825,  133,    0
 19090,100875,19580826,  152,    0
 19090,100875,19580827,  144,    0
 19090,100875,19580828,  151,    0
 19090,100875,19580829,  139,    0
 19090,100875,19580830,  153,    0
 19090,100875,19580831,  143,    0
 19090,100875,19580901,  168,    0
 19090,100875,19580902,  148,    0
 19090,100875,19580903,  161,    0
 19090,100875,19580904,  159,    0
 19090,100875,19580905,  151,    0
 19090,100875,19580906,  151,    0
 19090,100875,19580907,  143,    0
 19090,100875,19580908,  143,    0
 19090,100875,19580909,  113,    0
 19090,100875,19580910,  108,    0
 19090,100875,19580911,  109,    0
 19090,100875,19580912,  103,    0
 19090,100875,19580913,  110,    0
 19090,100875,19580914,   92,    0
 19090,100875,19580915,  100,    0
 19090,100875,19580916,  101,    0
 19090,100875,19580917,   80,    0
 19090,100875,19580918,  104,    0
 19090,100875,19580919,   85,    0
 19090,100875,19580920,   94,    0
 19090,100875,19580921,  115,    0
 19090,100875,19580922,  117,    0
 19090,100875,19580923,  105,    0
 19090,100875,19580924,  105,    0
 19090,100875,19580925,   96,    0
 19090,100875,19580926,   81,    0
 19090,100875,19580927,   52,    0
 19090,100875,19580928,   66,    0
 19090,100875,19580929,   65,    0
 19090,100875,19580930,   77,    0
 19090,100875,19581001,  111,    0
 19090,100875,19581002,  118,    0
 19090,100875,19581003,  117,    0
 19090,100875,19581004,  111,    0
 19090,100875,19581005,  109,    0
 19090,100875,19581006,  118,    0
 19090,100875,19581007,   96,    0
 19090,100875,19581008,   77,    0
 19090,100875,19581009,   91,    0
 19090,100875,19581010,   67,    0
 19090,100875,19581011,   93,    0
 19090,100875,19581012,   74,    0
 19090,100875,19581013,   32,    0
 19090,100875,19581014,   71,    0
 19090,100875,19581015,   73,    0
 19090,100875,19581016,   46,    0
 19090,100875,19581017,   40,    0
 19090,100875,19581018,   49,    0
 19090,100875,19581019,    4,    0
 19090,100875,19581020,   22,    0
 19090,100875,19581021,   -2,    0
 19090,100875,19581022,    5,    0
 19090,100875,19581023,   29,    0
 19090,100875,19581024,  106,    0
 19090,100875,19581025,   78,    0
 19090,100875,19581026,   33,    0
 19090,100875,19581027,   70,    0
 19090,100875,19581028,   33,    0
 19090,100875,19581029,   50,    0
 19090,100875,19581030,   79,    0
 19090,100875,19581031,   58,    0
 19090,100875,19581101,   -9,    0
 19090,100875,19581102,   14,    0
 19090,100875,19581103,   48,    0
 19090,100875,19581104,   42,    0
 19090,100875,19581105,   43,    0
 19090,100875,19581106,   62,    0
 19090,100875,19581107,   62,    0
 19090,100875,19581108,   45,    0
 19090,100875,19581109,   17,    0
 19090,100875,19581110,    8,    0
 19090,100875,19581111,   16,    0
 19090,100875,19581112,   34,    0
 19090,100875,19581113,   13,    0
 19090,100875,19581114,    3,    0
 19090,100875,19581115,   -7,    0
 19090,100875,19581116,  -17,    0
 19090,100875,19581117,    7,    0
 19090,100875,19581118,   -9,    0
 19090,100875,19581119,  -26,    0
 19090,100875,19581120,   -5,    0
 19090,100875,19581121,  -11,    0
 19090,100875,19581122,  -10,    0
 19090,100875,19581123,  -42,    0
 19090,100875,19581124,  -17,    0
 19090,100875,19581125,    3,    0
 19090,100875,19581126,  -28,    0
 19090,100875,19581127,   -1,    0
 19090,100875,19581128,  -16,    0
 19090,100875,19581129,  -30,    0
 19090,100875,19581130,  -34,    0
 19090,100875,19581201, -115,    0
 19090,100875,19581202, -103,    0
 19090,100875,19581203,  -61,    0
 19090,100875,19581204,   16,    0
 19090,100875,19581205,    3,    0
 19090,100875,19581206,  -27,    0
 19090,100875,19581207, -104,    0
 19090,100875,19581208,  -26,    0
 19090,100875,19581209,  -88,    0
 19090,100875,19581210, -177,    0
 19090,100875,19581211, -191,    0
 19090,100875,19581212, -217,    0
 19090,100875,19581213, -101,    0
 19090,100875,19581214,  -65,    0
 19090,100875,19581215,  -61,    0
 19090,100875,19581216,  -61,    0
 19090,100875,19581217,  -35,    0
 19090,100875,19581218, -141,    0
 19090,100875,19581219, -176,    0
 19090,100875,19581220,  -40,    0
 19090,100875,19581221,    2,    0
 19090,100875,19581222,    6,    0
 19090,100875,19581223,   -9,    0
 19090,100875,19581224,  -22,    0
 19090,100875,19581225,  -20,    0
 19090,100875,19581226,  -32,    0
 19090,100875,19581227,  -65,    0
 19090,100875,19581228,  -56,    0
 19090,100875,19581229,  -57,    0
 19090,100875,19581230,  -65,    0
 19090,100875,19581231,  -54,    0
 19090,100875,19590101,  -74,    0
 19090,100875,19590102,  -23,    0
 19090,100875,19590103,  -12,    0
 19090,100875,19590104,  -78,    0
 19090,100875,19590105, -127,    0
 19090,100875,19590106, -167,    0
 19090,100875,19590107, -224,    0
 19090,100875,19590108, -222,    0
 19090,100875,19590109, -124,    0
 19090,100875,19590110, -114,    0
 19090,100875,19590111,  -42,    0
 19090,100875,19590112,  -42,    0
 19090,100875,19590113,  -99,    0
 19090,100875,19590114, -105,    0
 19090,100875,19590115, -199,    0
 19090,100875,19590116, -221,    0
 19090,100875,19590117, -154,    0
 19090,100875,19590118, -116,    0
 19090,100875,19590119, -133,    0
 19090,100875,19590120,  -69,    0
 19090,100875,19590121,  -69,    0
 19090,100875,19590122, -142,    0
 19090,100875,19590123, -101,    0
 19090,100875,19590124,  -98,    0
 19090,100875,19590125,  -80,    0
 19090,100875,19590126, -106,    0
 19090,100875,19590127, -141,    0
 19090,100875,19590128, -113,    0
 19090,100875,19590129,  -99,    0
 19090,100875,19590130,  -77,    0
 19090,100875,19590131,  -43,    0
 19090,100875,19590201, -113,    0
 19090,100875,19590202, -117,    0
 19090,100875,19590203, -139,    0
 19090,100875,19590204, -145,    0
 19090,100875,19590205, -159,    0
 19090,100875,19590206, -162,    0
 19090,100875,19590207, -156,    0
 19090,100875,19590208, -143,    0
 19090,100875,19590209, -134,    0
 19090,100875,19590210, -184,    0
 19090,100875,19590211, -123,    0
 19090,100875,19590212, -110,    0
 19090,100875,19590213, -112,    0
 19090,100875,19590214,  -54,    0
 19090,100875,19590215,  -63,    0
 19090,100875,19590216,  -55,    0
 19090,100875,19590217,   12,    0
 19090,100875,19590218,    3,    0
 19090,100875,19590219,   27,    0
 19090,100875,19590220,   14,    0
 19090,100875,19590221,  -59,    0
 19090,100875,19590222,  -41,    0
 19090,100875,19590223,  -33,    0
 19090,100875,19590224,   13,    0
 19090,100875,19590225,   18,    0
 19090,100875,19590226,   38,    0
 19090,100875,19590227,   46,    0
 19090,100875,19590228,   28,    0
 19090,100875,19590301,    8,    0
 19090,100875,19590302,    1,    0
 19090,100875,19590303,   17,    0
 19090,100875,19590304,   20,    0
 19090,100875,19590305,   21,    0
 19090,100875,19590306,   30,    0
 19090,100875,19590307,   20,    0
 19090,100875,19590308,  -44,    0
 19090,100875,19590309,  -44,    0
 19090,100875,19590310,  -49,    0
 19090,100875,19590311,  -48,    0
 19090,100875,19590312,  -34,    0
 19090,100875,19590313,  -14,    0
 19090,100875,19590314,   -2,    0
 19090,100875,19590315,  -11,    0
 19090,100875,19590316,   -2,    0
 19090,100875,19590317,   -5,    0
 19090,100875,19590318,    4,    0
 19090,100875,19590319,   -7,    0
 19090,100875,19590320,  -26,    0
 19090,100875,19590321,  -17,    0
 19090,100875,19590322,   -6,    0
 19090,100875,19590323,    2,    0
 19090,100875,19590324,   25,    0
 19090,100875,19590325,  -11,    0
 19090,100875,19590326,    5,    0
 19090,100875,19590327,   33,    0
