EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HATTFJELLDAL II, NORWAY (STAID: 19100)
Blended and updated with sources:100912 100993 101011 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19100,100993,19110101,  -86,    0
 19100,100993,19110102, -265,    0
 19100,100993,19110103, -317,    0
 19100,100993,19110104, -228,    0
 19100,100993,19110105, -303,    0
 19100,100993,19110106,  -38,    0
 19100,100993,19110107,   -8,    0
 19100,100993,19110108,   16,    0
 19100,100993,19110109,  -27,    0
 19100,100993,19110110,  -58,    0
 19100,100993,19110111,  -72,    0
 19100,100993,19110112,  -55,    0
 19100,100993,19110113, -162,    0
 19100,100993,19110114,  -85,    0
 19100,100993,19110115,  -23,    0
 19100,100993,19110116,  -22,    0
 19100,100993,19110117,   -6,    0
 19100,100993,19110118,  -23,    0
 19100,100993,19110119,   36,    0
 19100,100993,19110120,    1,    0
 19100,100993,19110121,   27,    0
 19100,100993,19110122,  -51,    0
 19100,100993,19110123,    5,    0
 19100,100993,19110124,   -4,    0
 19100,100993,19110125,  -26,    0
 19100,100993,19110126,  -43,    0
 19100,100993,19110127,  -53,    0
 19100,100993,19110128, -114,    0
 19100,100993,19110129, -212,    0
 19100,100993,19110130,  -66,    0
 19100,100993,19110131,  -21,    0
 19100,100993,19110201,  -21,    0
 19100,100993,19110202,   14,    0
 19100,100993,19110203,   21,    0
 19100,100993,19110204,  -13,    0
 19100,100993,19110205, -114,    0
 19100,100993,19110206,  -28,    0
 19100,100993,19110207,  -74,    0
 19100,100993,19110208,  -16,    0
 19100,100993,19110209,    5,    0
 19100,100993,19110210,  -44,    0
 19100,100993,19110211,  -52,    0
 19100,100993,19110212,  -74,    0
 19100,100993,19110213,  -36,    0
 19100,100993,19110214,   17,    0
 19100,100993,19110215,  -11,    0
 19100,100993,19110216,  -64,    0
 19100,100993,19110217, -153,    0
 19100,100993,19110218, -224,    0
 19100,100993,19110219, -178,    0
 19100,100993,19110220, -154,    0
 19100,100993,19110221, -139,    0
 19100,100993,19110222,  -62,    0
 19100,100993,19110223, -111,    0
 19100,100993,19110224, -152,    0
 19100,100993,19110225, -191,    0
 19100,100993,19110226, -111,    0
 19100,100993,19110227,  -38,    0
 19100,100993,19110228,  -33,    0
 19100,100993,19110301,  -13,    0
 19100,100993,19110302,   -4,    0
 19100,100993,19110303,   -5,    0
 19100,100993,19110304,   11,    0
 19100,100993,19110305,  -20,    0
 19100,100993,19110306,  -31,    0
 19100,100993,19110307,  -88,    0
 19100,100993,19110308, -123,    0
 19100,100993,19110309, -141,    0
