EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MERAKER - LILLESVE, NORWAY (STAID: 19103)
Blended and updated with sources:100998 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19103,100998,19691101,    4,    0
 19103,100998,19691102,    3,    0
 19103,100998,19691103,  -28,    0
 19103,100998,19691104,  -49,    0
 19103,100998,19691105,  -21,    0
 19103,100998,19691106,  -40,    0
 19103,100998,19691107,    2,    0
 19103,100998,19691108,   32,    0
 19103,100998,19691109,   18,    0
 19103,100998,19691110,  -52,    0
 19103,100998,19691111,    2,    0
 19103,100998,19691112,    1,    0
 19103,100998,19691113,   22,    0
 19103,100998,19691114,   -1,    0
 19103,100998,19691115,    5,    0
 19103,100998,19691116,   49,    0
 19103,100998,19691117,    6,    0
 19103,100998,19691118,  -20,    0
 19103,100998,19691119,    6,    0
 19103,100998,19691120,  -27,    0
 19103,100998,19691121,    7,    0
 19103,100998,19691122,    4,    0
 19103,100998,19691123,  -46,    0
 19103,100998,19691124,  -95,    0
 19103,100998,19691125, -235,    0
 19103,100998,19691126, -237,    0
 19103,100998,19691127, -144,    0
 19103,100998,19691128, -131,    0
 19103,100998,19691129, -139,    0
 19103,100998,19691130,  -78,    0
 19103,100998,19691201,   15,    0
 19103,100998,19691202,  -23,    0
 19103,100998,19691203,  -56,    0
 19103,100998,19691204,  -44,    0
 19103,100998,19691205,  -99,    0
 19103,100998,19691206, -242,    0
 19103,100998,19691207,  -63,    0
 19103,100998,19691208,  -13,    0
 19103,100998,19691209,   16,    0
 19103,100998,19691210,   39,    0
 19103,100998,19691211,   50,    0
 19103,100998,19691212,  -36,    0
 19103,100998,19691213,   13,    0
 19103,100998,19691214,  -11,    0
 19103,100998,19691215,  -20,    0
 19103,100998,19691216, -127,    0
 19103,100998,19691217,  -87,    0
 19103,100998,19691218, -110,    0
 19103,100998,19691219, -192,    0
 19103,100998,19691220, -246,    0
 19103,100998,19691221, -263,    0
 19103,100998,19691222,  -53,    0
 19103,100998,19691223,  -11,    0
 19103,100998,19691224,  -69,    0
 19103,100998,19691225,  -76,    0
 19103,100998,19691226,  -71,    0
 19103,100998,19691227,   -7,    0
 19103,100998,19691228,   32,    0
 19103,100998,19691229,   12,    0
 19103,100998,19691230,  -25,    0
 19103,100998,19691231,    6,    0
 19103,100998,19700101,  -21,    0
 19103,100998,19700102,  -91,    0
 19103,100998,19700103, -155,    0
 19103,100998,19700104, -230,    0
 19103,100998,19700105, -104,    0
 19103,100998,19700106, -261,    0
 19103,100998,19700107, -265,    0
 19103,100998,19700108,  -67,    0
 19103,100998,19700109, -169,    0
 19103,100998,19700110,  -22,    0
 19103,100998,19700111,  -48,    0
 19103,100998,19700112,  -19,    0
 19103,100998,19700113,    5,    0
 19103,100998,19700114,  -97,    0
 19103,100998,19700115, -170,    0
 19103,100998,19700116, -225,    0
 19103,100998,19700117, -243,    0
 19103,100998,19700118, -118,    0
 19103,100998,19700119,  -32,    0
 19103,100998,19700120,  -60,    0
 19103,100998,19700121,  -46,    0
 19103,100998,19700122,  -93,    0
 19103,100998,19700123,  -99,    0
 19103,100998,19700124,  -41,    0
 19103,100998,19700125,  -23,    0
 19103,100998,19700126, -122,    0
 19103,100998,19700127, -138,    0
 19103,100998,19700128, -168,    0
 19103,100998,19700129, -125,    0
 19103,100998,19700130,  -13,    0
 19103,100998,19700131,   -1,    0
 19103,100998,19700201,  -18,    0
 19103,100998,19700202,  -15,    0
 19103,100998,19700203,  -62,    0
 19103,100998,19700204,  -98,    0
 19103,100998,19700205, -123,    0
 19103,100998,19700206,  -95,    0
 19103,100998,19700207, -134,    0
 19103,100998,19700208, -134,    0
 19103,100998,19700209, -101,    0
 19103,100998,19700210, -209,    0
 19103,100998,19700211, -153,    0
 19103,100998,19700212, -126,    0
 19103,100998,19700213, -132,    0
 19103,100998,19700214, -117,    0
 19103,100998,19700215, -186,    0
 19103,100998,19700216, -160,    0
 19103,100998,19700217, -234,    0
 19103,100998,19700218, -250,    0
 19103,100998,19700219, -137,    0
 19103,100998,19700220,  -89,    0
 19103,100998,19700221,  -84,    0
 19103,100998,19700222,  -60,    0
 19103,100998,19700223,  -74,    0
 19103,100998,19700224, -100,    0
 19103,100998,19700225, -101,    0
 19103,100998,19700226,  -83,    0
 19103,100998,19700227, -104,    0
 19103,100998,19700228,   10,    0
 19103,100998,19700301,  -14,    0
 19103,100998,19700302,  -32,    0
 19103,100998,19700303,  -33,    0
 19103,100998,19700304,  -19,    0
 19103,100998,19700305,  -32,    0
 19103,100998,19700306,   -6,    0
 19103,100998,19700307,   17,    0
 19103,100998,19700308,   -1,    0
 19103,100998,19700309,  -30,    0
 19103,100998,19700310,  -18,    0
 19103,100998,19700311,   -9,    0
 19103,100998,19700312,  -79,    0
 19103,100998,19700313,  -95,    0
 19103,100998,19700314,    0,    0
 19103,100998,19700315,    1,    0
 19103,100998,19700316,   16,    0
 19103,100998,19700317,   37,    0
 19103,100998,19700318,   16,    0
 19103,100998,19700319,  -41,    0
 19103,100998,19700320,  -21,    0
 19103,100998,19700321,  -71,    0
 19103,100998,19700322,  -70,    0
 19103,100998,19700323,  -18,    0
 19103,100998,19700324,   12,    0
 19103,100998,19700325,   31,    0
 19103,100998,19700326,  -11,    0
 19103,100998,19700327,  -24,    0
 19103,100998,19700328,  -40,    0
 19103,100998,19700329,  -19,    0
 19103,100998,19700330,  -57,    0
 19103,100998,19700331,  -57,    0
 19103,100998,19700401,  -44,    0
 19103,100998,19700402,  -50,    0
 19103,100998,19700403,  -77,    0
 19103,100998,19700404,  -64,    0
 19103,100998,19700405,  -60,    0
 19103,100998,19700406,  -20,    0
 19103,100998,19700407,    1,    0
 19103,100998,19700408,   17,    0
 19103,100998,19700409,    6,    0
 19103,100998,19700410,   12,    0
 19103,100998,19700411,    1,    0
 19103,100998,19700412,  -19,    0
 19103,100998,19700413,    8,    0
 19103,100998,19700414,   17,    0
 19103,100998,19700415,   16,    0
 19103,100998,19700416,   55,    0
 19103,100998,19700417,   76,    0
 19103,100998,19700418,   63,    0
 19103,100998,19700419,   28,    0
 19103,100998,19700420,   38,    0
 19103,100998,19700421,   31,    0
 19103,100998,19700422,   18,    0
 19103,100998,19700423,   36,    0
 19103,100998,19700424,   38,    0
 19103,100998,19700425,   45,    0
