EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KYSNESSTRAND, NORWAY (STAID: 19110)
Blended and updated with sources:100784 101012 901330 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19110,101012,19610701,  160,    0
 19110,101012,19610702,  135,    0
 19110,101012,19610703,  117,    0
 19110,101012,19610704,  114,    0
 19110,101012,19610705,  132,    0
 19110,101012,19610706,  116,    0
 19110,101012,19610707,  109,    0
 19110,101012,19610708,  127,    0
 19110,101012,19610709,  126,    0
 19110,101012,19610710,  124,    0
 19110,101012,19610711,  121,    0
 19110,101012,19610712,  134,    0
 19110,101012,19610713,  175,    0
 19110,101012,19610714,  193,    0
 19110,101012,19610715,  190,    0
 19110,101012,19610716,  184,    0
 19110,101012,19610717,  166,    0
 19110,101012,19610718,  183,    0
 19110,101012,19610719,  179,    0
 19110,101012,19610720,  188,    0
 19110,101012,19610721,  169,    0
 19110,101012,19610722,  151,    0
 19110,101012,19610723,  143,    0
 19110,101012,19610724,  119,    0
 19110,101012,19610725,  121,    0
 19110,101012,19610726,  129,    0
 19110,101012,19610727,  124,    0
 19110,101012,19610728,  139,    0
 19110,101012,19610729,  157,    0
 19110,101012,19610730,  146,    0
 19110,101012,19610731,  128,    0
 19110,101012,19610801,  160,    0
 19110,101012,19610802,  137,    0
 19110,101012,19610803,  112,    0
 19110,101012,19610804,  125,    0
 19110,101012,19610805,  122,    0
 19110,101012,19610806,  109,    0
 19110,101012,19610807,  116,    0
 19110,101012,19610808,  130,    0
 19110,101012,19610809,  145,    0
 19110,101012,19610810,  123,    0
 19110,101012,19610811,  122,    0
 19110,101012,19610812,  132,    0
 19110,101012,19610813,  128,    0
 19110,101012,19610814,  117,    0
 19110,101012,19610815,  136,    0
 19110,101012,19610816,  146,    0
 19110,101012,19610817,  151,    0
 19110,101012,19610818,  149,    0
 19110,101012,19610819,  168,    0
 19110,101012,19610820,  131,    0
 19110,101012,19610821,  125,    0
 19110,101012,19610822,  140,    0
 19110,101012,19610823,  128,    0
 19110,101012,19610824,  115,    0
 19110,101012,19610825,  113,    0
 19110,101012,19610826,  143,    0
 19110,101012,19610827,  139,    0
 19110,101012,19610828,  123,    0
 19110,101012,19610829,  172,    0
 19110,101012,19610830,  154,    0
 19110,101012,19610831,  144,    0
 19110,101012,19610901,-9999,    9
 19110,101012,19610902,-9999,    9
 19110,101012,19610903,-9999,    9
 19110,101012,19610904,-9999,    9
 19110,101012,19610905,-9999,    9
 19110,101012,19610906,-9999,    9
 19110,101012,19610907,-9999,    9
 19110,101012,19610908,-9999,    9
 19110,101012,19610909,-9999,    9
 19110,101012,19610910,-9999,    9
 19110,101012,19610911,-9999,    9
 19110,101012,19610912,-9999,    9
 19110,101012,19610913,-9999,    9
 19110,101012,19610914,-9999,    9
 19110,101012,19610915,-9999,    9
 19110,101012,19610916,-9999,    9
 19110,101012,19610917,-9999,    9
 19110,101012,19610918,-9999,    9
 19110,101012,19610919,-9999,    9
 19110,101012,19610920,-9999,    9
 19110,101012,19610921,-9999,    9
 19110,101012,19610922,-9999,    9
 19110,101012,19610923,-9999,    9
 19110,101012,19610924,-9999,    9
 19110,101012,19610925,-9999,    9
 19110,101012,19610926,-9999,    9
 19110,101012,19610927,-9999,    9
 19110,101012,19610928,-9999,    9
 19110,101012,19610929,-9999,    9
 19110,101012,19610930,-9999,    9
 19110,101012,19611001,-9999,    9
 19110,101012,19611002,-9999,    9
 19110,101012,19611003,-9999,    9
 19110,101012,19611004,-9999,    9
 19110,101012,19611005,-9999,    9
 19110,101012,19611006,-9999,    9
 19110,101012,19611007,-9999,    9
 19110,101012,19611008,-9999,    9
 19110,101012,19611009,-9999,    9
 19110,101012,19611010,-9999,    9
 19110,101012,19611011,-9999,    9
 19110,101012,19611012,-9999,    9
 19110,101012,19611013,-9999,    9
 19110,101012,19611014,-9999,    9
 19110,101012,19611015,-9999,    9
 19110,101012,19611016,-9999,    9
 19110,101012,19611017,-9999,    9
 19110,101012,19611018,-9999,    9
 19110,101012,19611019,-9999,    9
 19110,101012,19611020,-9999,    9
 19110,101012,19611021,-9999,    9
 19110,101012,19611022,-9999,    9
 19110,101012,19611023,-9999,    9
 19110,101012,19611024,-9999,    9
 19110,101012,19611025,-9999,    9
 19110,101012,19611026,-9999,    9
 19110,101012,19611027,-9999,    9
 19110,101012,19611028,-9999,    9
 19110,101012,19611029,-9999,    9
 19110,101012,19611030,-9999,    9
 19110,101012,19611031,-9999,    9
 19110,101012,19611101,   71,    0
 19110,101012,19611102,   81,    0
 19110,101012,19611103,   53,    0
 19110,101012,19611104,   13,    0
 19110,101012,19611105,   25,    0
 19110,101012,19611106,   60,    0
 19110,101012,19611107,   74,    0
 19110,101012,19611108,  102,    0
 19110,101012,19611109,  121,    0
 19110,101012,19611110,   79,    0
 19110,101012,19611111,   95,    0
 19110,101012,19611112,   86,    0
 19110,101012,19611113,   54,    0
 19110,101012,19611114,   29,    0
 19110,101012,19611115,   56,    0
 19110,101012,19611116,   66,    0
 19110,101012,19611117,   34,    0
 19110,101012,19611118,   38,    0
 19110,101012,19611119,   51,    0
 19110,101012,19611120,   64,    0
 19110,101012,19611121,   80,    0
 19110,101012,19611122,   52,    0
 19110,101012,19611123,   76,    0
 19110,101012,19611124,   64,    0
 19110,101012,19611125,   36,    0
 19110,101012,19611126,   18,    0
 19110,101012,19611127,   25,    0
 19110,101012,19611128,   11,    0
 19110,101012,19611129,   37,    0
 19110,101012,19611130,   17,    0
 19110,101012,19611201,   13,    0
 19110,101012,19611202,    9,    0
 19110,101012,19611203,    8,    0
 19110,101012,19611204,    5,    0
 19110,101012,19611205,   22,    0
 19110,101012,19611206,   11,    0
