EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CROZIERPYNTEN, SVALBARD AND JAN MAYEN (STAID: 19114)
Blended and updated with sources:101017 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19114,101017,19000101, -176,    1
 19114,101017,19000102, -127,    1
 19114,101017,19000103,  -85,    1
 19114,101017,19000104, -109,    1
 19114,101017,19000105, -108,    1
 19114,101017,19000106,  -80,    1
 19114,101017,19000107,  -92,    1
 19114,101017,19000108,  -62,    1
 19114,101017,19000109,  -53,    1
 19114,101017,19000110, -114,    1
 19114,101017,19000111, -131,    1
 19114,101017,19000112,  -57,    1
 19114,101017,19000113, -122,    1
 19114,101017,19000114, -145,    1
 19114,101017,19000115,  -32,    1
 19114,101017,19000116,  -19,    1
 19114,101017,19000117,  -35,    1
 19114,101017,19000118,   -2,    1
 19114,101017,19000119,   -3,    1
 19114,101017,19000120,  -13,    1
 19114,101017,19000121,  -33,    1
 19114,101017,19000122,  -10,    1
 19114,101017,19000123,  -39,    1
 19114,101017,19000124,  -71,    1
 19114,101017,19000125,  -86,    1
 19114,101017,19000126, -162,    1
 19114,101017,19000127, -217,    1
 19114,101017,19000128, -181,    1
 19114,101017,19000129,  -88,    1
 19114,101017,19000130,  -33,    1
 19114,101017,19000131, -149,    1
 19114,101017,19000201, -190,    1
 19114,101017,19000202, -199,    1
 19114,101017,19000203, -244,    1
 19114,101017,19000204, -257,    1
 19114,101017,19000205, -292,    1
 19114,101017,19000206, -233,    1
 19114,101017,19000207, -179,    1
 19114,101017,19000208, -190,    1
 19114,101017,19000209, -227,    1
 19114,101017,19000210, -249,    1
 19114,101017,19000211, -221,    1
 19114,101017,19000212, -241,    1
 19114,101017,19000213, -251,    1
 19114,101017,19000214, -265,    1
 19114,101017,19000215, -150,    1
 19114,101017,19000216, -145,    1
 19114,101017,19000217, -179,    1
 19114,101017,19000218, -170,    1
 19114,101017,19000219, -247,    1
 19114,101017,19000220, -296,    1
 19114,101017,19000221, -298,    1
 19114,101017,19000222, -312,    1
 19114,101017,19000223, -328,    1
 19114,101017,19000224, -250,    1
 19114,101017,19000225, -100,    1
 19114,101017,19000226, -192,    1
 19114,101017,19000227, -263,    1
 19114,101017,19000228, -166,    1
 19114,101017,19000301, -110,    1
 19114,101017,19000302, -223,    1
 19114,101017,19000303, -315,    1
 19114,101017,19000304, -329,    1
 19114,101017,19000305, -326,    1
 19114,101017,19000306, -334,    1
 19114,101017,19000307, -339,    1
 19114,101017,19000308, -327,    1
 19114,101017,19000309, -321,    1
 19114,101017,19000310, -306,    1
 19114,101017,19000311, -267,    1
 19114,101017,19000312, -251,    1
 19114,101017,19000313, -322,    1
 19114,101017,19000314, -364,    1
 19114,101017,19000315, -325,    1
 19114,101017,19000316, -338,    1
 19114,101017,19000317, -349,    1
 19114,101017,19000318, -192,    1
 19114,101017,19000319, -194,    1
 19114,101017,19000320, -188,    1
 19114,101017,19000321, -206,    1
 19114,101017,19000322, -171,    1
 19114,101017,19000323, -272,    1
 19114,101017,19000324, -295,    1
 19114,101017,19000325, -268,    1
 19114,101017,19000326, -293,    1
 19114,101017,19000327, -314,    1
 19114,101017,19000328, -308,    1
 19114,101017,19000329, -306,    1
 19114,101017,19000330, -123,    1
 19114,101017,19000331, -102,    1
 19114,101017,19000401,  -52,    1
 19114,101017,19000402, -190,    1
 19114,101017,19000403, -159,    1
 19114,101017,19000404, -105,    1
 19114,101017,19000405,  -14,    1
 19114,101017,19000406,  -58,    1
 19114,101017,19000407, -163,    1
 19114,101017,19000408, -104,    1
 19114,101017,19000409,  -86,    1
 19114,101017,19000410, -229,    1
 19114,101017,19000411, -193,    1
 19114,101017,19000412, -153,    1
 19114,101017,19000413, -131,    1
 19114,101017,19000414, -152,    1
 19114,101017,19000415, -137,    1
 19114,101017,19000416, -178,    1
 19114,101017,19000417, -181,    1
 19114,101017,19000418, -188,    1
 19114,101017,19000419, -138,    1
 19114,101017,19000420, -151,    1
 19114,101017,19000421, -177,    1
 19114,101017,19000422, -175,    1
 19114,101017,19000423, -197,    1
 19114,101017,19000424, -241,    1
 19114,101017,19000425, -296,    1
 19114,101017,19000426, -265,    1
 19114,101017,19000427, -245,    1
 19114,101017,19000428, -240,    1
 19114,101017,19000429, -177,    1
 19114,101017,19000430, -170,    1
 19114,101017,19000501, -164,    1
 19114,101017,19000502, -163,    1
 19114,101017,19000503, -152,    1
 19114,101017,19000504, -153,    1
 19114,101017,19000505, -149,    1
 19114,101017,19000506, -131,    1
 19114,101017,19000507, -159,    1
 19114,101017,19000508, -150,    1
 19114,101017,19000509, -109,    1
 19114,101017,19000510,  -81,    1
 19114,101017,19000511, -129,    1
 19114,101017,19000512,  -89,    1
 19114,101017,19000513, -130,    1
 19114,101017,19000514,  -78,    1
 19114,101017,19000515, -113,    1
 19114,101017,19000516, -124,    1
 19114,101017,19000517, -135,    1
 19114,101017,19000518, -139,    1
 19114,101017,19000519,  -93,    1
 19114,101017,19000520,  -89,    1
 19114,101017,19000521,  -72,    1
 19114,101017,19000522,  -38,    1
 19114,101017,19000523,  -39,    1
 19114,101017,19000524,  -25,    1
 19114,101017,19000525,  -46,    1
 19114,101017,19000526,  -61,    1
 19114,101017,19000527,  -49,    1
 19114,101017,19000528,   -3,    1
 19114,101017,19000529,  -16,    1
 19114,101017,19000530,  -40,    1
 19114,101017,19000531,  -50,    1
 19114,101017,19000601,  -64,    1
 19114,101017,19000602,  -56,    1
 19114,101017,19000603,  -47,    1
 19114,101017,19000604,  -53,    1
 19114,101017,19000605,  -51,    1
 19114,101017,19000606,  -45,    1
 19114,101017,19000607,  -13,    1
 19114,101017,19000608,    8,    1
 19114,101017,19000609,    7,    1
 19114,101017,19000610,    7,    1
 19114,101017,19000611,   -2,    1
 19114,101017,19000612,   -3,    1
 19114,101017,19000613,    2,    1
 19114,101017,19000614,    2,    1
 19114,101017,19000615,    5,    1
 19114,101017,19000616,    6,    1
 19114,101017,19000617,    5,    1
 19114,101017,19000618,    1,    1
 19114,101017,19000619,   -4,    1
 19114,101017,19000620,   11,    1
 19114,101017,19000621,   13,    1
 19114,101017,19000622,   -7,    1
 19114,101017,19000623,   -1,    1
 19114,101017,19000624,  -16,    1
 19114,101017,19000625,   -3,    1
 19114,101017,19000626,    0,    0
 19114,101017,19000627,   -4,    1
 19114,101017,19000628,   -9,    1
 19114,101017,19000629,  -12,    1
 19114,101017,19000630,  -14,    1
 19114,101017,19000701,  -17,    1
 19114,101017,19000702,  -15,    1
 19114,101017,19000703,  -15,    1
 19114,101017,19000704,  -20,    1
 19114,101017,19000705,  -12,    1
 19114,101017,19000706,    0,    0
 19114,101017,19000707,    4,    1
 19114,101017,19000708,   -3,    1
 19114,101017,19000709,   14,    1
 19114,101017,19000710,   26,    1
 19114,101017,19000711,   36,    1
 19114,101017,19000712,   37,    1
 19114,101017,19000713,   32,    1
 19114,101017,19000714,   34,    1
 19114,101017,19000715,   29,    1
 19114,101017,19000716,   32,    1
 19114,101017,19000717,   26,    1
 19114,101017,19000718,    8,    1
 19114,101017,19000719,   24,    1
 19114,101017,19000720,    9,    1
 19114,101017,19000721,   -1,    1
 19114,101017,19000722,   -1,    1
 19114,101017,19000723,   -6,    1
 19114,101017,19000724,   -1,    1
 19114,101017,19000725,   27,    1
 19114,101017,19000726,   47,    1
 19114,101017,19000727,   13,    1
 19114,101017,19000728,    3,    1
 19114,101017,19000729,    3,    1
 19114,101017,19000730,    4,    1
