EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MYRDAL III, NORWAY (STAID: 19117)
Blended and updated with sources:101021 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19117,101021,19350801,-9999,    9
 19117,101021,19350802,-9999,    9
 19117,101021,19350803,-9999,    9
 19117,101021,19350804,-9999,    9
 19117,101021,19350805,-9999,    9
 19117,101021,19350806,-9999,    9
 19117,101021,19350807,-9999,    9
 19117,101021,19350808,-9999,    9
 19117,101021,19350809,-9999,    9
 19117,101021,19350810,-9999,    9
 19117,101021,19350811,-9999,    9
 19117,101021,19350812,-9999,    9
 19117,101021,19350813,-9999,    9
 19117,101021,19350814,-9999,    9
 19117,101021,19350815,-9999,    9
 19117,101021,19350816,-9999,    9
 19117,101021,19350817,-9999,    9
 19117,101021,19350818,  107,    1
 19117,101021,19350819,  112,    1
 19117,101021,19350820,  121,    1
 19117,101021,19350821,  157,    1
 19117,101021,19350822,  145,    1
 19117,101021,19350823,  144,    1
 19117,101021,19350824,  142,    1
 19117,101021,19350825,  111,    1
 19117,101021,19350826,  136,    1
 19117,101021,19350827,  115,    1
 19117,101021,19350828,  111,    1
 19117,101021,19350829,  100,    1
 19117,101021,19350830,   87,    1
 19117,101021,19350831,   86,    1
 19117,101021,19350901,   95,    1
 19117,101021,19350902,  107,    1
 19117,101021,19350903,   85,    1
 19117,101021,19350904,   70,    1
 19117,101021,19350905,   74,    1
 19117,101021,19350906,   72,    1
 19117,101021,19350907,   53,    1
 19117,101021,19350908,   36,    1
 19117,101021,19350909,   40,    1
 19117,101021,19350910,   48,    1
 19117,101021,19350911,   59,    1
 19117,101021,19350912,   66,    1
 19117,101021,19350913,   76,    1
 19117,101021,19350914,   89,    1
 19117,101021,19350915,   80,    1
 19117,101021,19350916,   72,    1
 19117,101021,19350917,   72,    1
 19117,101021,19350918,   68,    1
 19117,101021,19350919,   51,    1
 19117,101021,19350920,   52,    1
 19117,101021,19350921,   37,    1
 19117,101021,19350922,   38,    1
 19117,101021,19350923,   39,    1
 19117,101021,19350924,   42,    1
 19117,101021,19350925,   26,    1
 19117,101021,19350926,   14,    1
 19117,101021,19350927,   15,    1
 19117,101021,19350928,   45,    1
 19117,101021,19350929,   46,    1
 19117,101021,19350930,   48,    1
 19117,101021,19351001,   36,    1
 19117,101021,19351002,   42,    1
 19117,101021,19351003,   53,    1
 19117,101021,19351004,   54,    1
 19117,101021,19351005,   57,    1
 19117,101021,19351006,   62,    1
 19117,101021,19351007,   62,    1
 19117,101021,19351008,   49,    1
 19117,101021,19351009,   29,    1
 19117,101021,19351010,   15,    1
 19117,101021,19351011,    7,    1
 19117,101021,19351012,    5,    1
 19117,101021,19351013,   22,    1
 19117,101021,19351014,   44,    1
 19117,101021,19351015,   31,    1
 19117,101021,19351016,   41,    1
 19117,101021,19351017,    5,    1
 19117,101021,19351018,  -13,    0
 19117,101021,19351019,    0,    0
 19117,101021,19351020,  -11,    0
 19117,101021,19351021,  -12,    0
