EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E39 AKSDAL SOER, NORWAY (STAID: 19127)
Blended and updated with sources:100584 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19127,100584,20131001,-9999,    9
 19127,100584,20131002,-9999,    9
 19127,100584,20131003,-9999,    9
 19127,100584,20131004,-9999,    9
 19127,100584,20131005,-9999,    9
 19127,100584,20131006,-9999,    9
 19127,100584,20131007,-9999,    9
 19127,100584,20131008,-9999,    9
 19127,100584,20131009,-9999,    9
 19127,100584,20131010,-9999,    9
 19127,100584,20131011,-9999,    9
 19127,100584,20131012,-9999,    9
 19127,100584,20131013,-9999,    9
 19127,100584,20131014,-9999,    9
 19127,100584,20131015,   96,    0
 19127,100584,20131016,   88,    0
 19127,100584,20131017,   78,    0
 19127,100584,20131018,   59,    0
 19127,100584,20131019,   53,    0
 19127,100584,20131020,-9999,    9
 19127,100584,20131021,-9999,    9
 19127,100584,20131022,  120,    0
 19127,100584,20131023,-9999,    9
 19127,100584,20131024,-9999,    9
 19127,100584,20131025,-9999,    9
 19127,100584,20131026,-9999,    9
 19127,100584,20131027,-9999,    9
 19127,100584,20131028,-9999,    9
 19127,100584,20131029,-9999,    9
 19127,100584,20131030,-9999,    9
 19127,100584,20131031,-9999,    9
 19127,100584,20131101,-9999,    9
 19127,100584,20131102,-9999,    9
 19127,100584,20131103,-9999,    9
 19127,100584,20131104,-9999,    9
 19127,100584,20131105,-9999,    9
 19127,100584,20131106,-9999,    9
 19127,100584,20131107,-9999,    9
 19127,100584,20131108,-9999,    9
 19127,100584,20131109,-9999,    9
 19127,100584,20131110,-9999,    9
 19127,100584,20131111,-9999,    9
 19127,100584,20131112,-9999,    9
 19127,100584,20131113,-9999,    9
 19127,100584,20131114,-9999,    9
 19127,100584,20131115,-9999,    9
 19127,100584,20131116,-9999,    9
 19127,100584,20131117,-9999,    9
 19127,100584,20131118,-9999,    9
 19127,100584,20131119,-9999,    9
 19127,100584,20131120,-9999,    9
 19127,100584,20131121,-9999,    9
 19127,100584,20131122,-9999,    9
 19127,100584,20131123,   33,    0
 19127,100584,20131124,   18,    0
 19127,100584,20131125,   29,    0
 19127,100584,20131126,   48,    0
 19127,100584,20131127,   88,    0
 19127,100584,20131128,-9999,    9
 19127,100584,20131129,   28,    0
 19127,100584,20131130,   48,    0
 19127,100584,20131201,   62,    0
 19127,100584,20131202,   37,    0
 19127,100584,20131203,   68,    0
 19127,100584,20131204,   46,    0
 19127,100584,20131205,   37,    0
 19127,100584,20131206,   -1,    0
 19127,100584,20131207,  -32,    0
 19127,100584,20131208,   36,    0
 19127,100584,20131209,   54,    0
 19127,100584,20131210,   82,    0
 19127,100584,20131211,   81,    0
 19127,100584,20131212,   71,    0
 19127,100584,20131213,   42,    0
 19127,100584,20131214,   73,    0
 19127,100584,20131215,   73,    0
 19127,100584,20131216,   77,    0
 19127,100584,20131217,   62,    0
 19127,100584,20131218,   62,    0
 19127,100584,20131219,   59,    0
 19127,100584,20131220,   49,    0
 19127,100584,20131221,   81,    0
 19127,100584,20131222,   48,    0
 19127,100584,20131223,   47,    0
 19127,100584,20131224,   77,    0
 19127,100584,20131225,   64,    0
 19127,100584,20131226,   67,    0
 19127,100584,20131227,   62,    0
 19127,100584,20131228,   69,    0
 19127,100584,20131229,   36,    0
 19127,100584,20131230,   54,    0
 19127,100584,20131231,   68,    0
 19127,100584,20140101,   54,    0
 19127,100584,20140102,   68,    0
 19127,100584,20140103,   68,    0
 19127,100584,20140104,   65,    0
 19127,100584,20140105,   59,    0
 19127,100584,20140106,   67,    0
 19127,100584,20140107,   81,    0
 19127,100584,20140108,   75,    0
 19127,100584,20140109,   39,    0
 19127,100584,20140110,   32,    0
 19127,100584,20140111,   48,    0
 19127,100584,20140112,    5,    0
 19127,100584,20140113,  -20,    0
 19127,100584,20140114,    1,    0
 19127,100584,20140115,   30,    0
 19127,100584,20140116,   33,    0
 19127,100584,20140117,   11,    0
 19127,100584,20140118,    8,    0
 19127,100584,20140119,-9999,    9
 19127,100584,20140120,   18,    0
 19127,100584,20140121,    2,    0
 19127,100584,20140122,    5,    0
 19127,100584,20140123,    6,    0
 19127,100584,20140124,   -1,    0
 19127,100584,20140125,   10,    0
 19127,100584,20140126,    1,    0
 19127,100584,20140127,    3,    0
 19127,100584,20140128,   22,    0
 19127,100584,20140129,    4,    0
 19127,100584,20140130,-9999,    9
 19127,100584,20140131,    6,    0
 19127,100584,20140201,   34,    0
 19127,100584,20140202,-9999,    9
 19127,100584,20140203,-9999,    9
 19127,100584,20140204,   54,    0
 19127,100584,20140205,   59,    0
 19127,100584,20140206,   56,    0
 19127,100584,20140207,   36,    0
 19127,100584,20140208,   46,    0
 19127,100584,20140209,   52,    0
 19127,100584,20140210,-9999,    9
 19127,100584,20140211,   49,    0
 19127,100584,20140212,   30,    0
 19127,100584,20140213,   43,    0
 19127,100584,20140214,-9999,    9
 19127,100584,20140215,   52,    0
 19127,100584,20140216,   53,    0
 19127,100584,20140217,-9999,    9
 19127,100584,20140218,   20,    0
 19127,100584,20140219,    7,    0
 19127,100584,20140220,   13,    0
 19127,100584,20140221,   47,    0
 19127,100584,20140222,   53,    0
