EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TOKKE - BOTNEDALEN, NORWAY (STAID: 19133)
Blended and updated with sources:100636 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19133,100636,19970101,-9999,    9
 19133,100636,19970102,-9999,    9
 19133,100636,19970103,-9999,    9
 19133,100636,19970104,-9999,    9
 19133,100636,19970105,-9999,    9
 19133,100636,19970106,-9999,    9
 19133,100636,19970107,-9999,    9
 19133,100636,19970108,-9999,    9
 19133,100636,19970109,-9999,    9
 19133,100636,19970110,-9999,    9
 19133,100636,19970111,-9999,    9
 19133,100636,19970112,-9999,    9
 19133,100636,19970113,-9999,    9
 19133,100636,19970114,-9999,    9
 19133,100636,19970115,-9999,    9
 19133,100636,19970116,-9999,    9
 19133,100636,19970117,-9999,    9
 19133,100636,19970118,-9999,    9
 19133,100636,19970119,-9999,    9
 19133,100636,19970120,-9999,    9
 19133,100636,19970121,-9999,    9
 19133,100636,19970122,-9999,    9
 19133,100636,19970123,-9999,    9
 19133,100636,19970124,-9999,    9
 19133,100636,19970125,-9999,    9
 19133,100636,19970126,-9999,    9
 19133,100636,19970127,-9999,    9
 19133,100636,19970128,-9999,    9
 19133,100636,19970129,-9999,    9
 19133,100636,19970130,   26,    0
 19133,100636,19970131,  -48,    0
 19133,100636,19970201, -101,    0
 19133,100636,19970202,  -70,    0
 19133,100636,19970203,  -15,    0
 19133,100636,19970204,  -17,    0
 19133,100636,19970205,  -26,    0
 19133,100636,19970206,   -4,    0
 19133,100636,19970207,    3,    0
 19133,100636,19970208,   -9,    0
 19133,100636,19970209,   19,    0
 19133,100636,19970210,   -1,    0
 19133,100636,19970211,  -21,    0
 19133,100636,19970212,  -25,    0
 19133,100636,19970213,  -51,    0
 19133,100636,19970214,  -98,    0
 19133,100636,19970215, -131,    0
 19133,100636,19970216, -152,    0
 19133,100636,19970217, -113,    0
 19133,100636,19970218,  -21,    0
 19133,100636,19970219,  -18,    0
 19133,100636,19970220,  -17,    0
 19133,100636,19970221,  -16,    0
 19133,100636,19970222,   27,    0
 19133,100636,19970223,   29,    0
 19133,100636,19970224,  -11,    0
 19133,100636,19970225,   -9,    0
 19133,100636,19970226,  -34,    0
 19133,100636,19970227,  -29,    0
 19133,100636,19970228,   10,    0
 19133,100636,19970301,   13,    0
 19133,100636,19970302,   16,    0
 19133,100636,19970303,  -17,    0
 19133,100636,19970304,   13,    0
 19133,100636,19970305,  -12,    0
 19133,100636,19970306,    2,    0
 19133,100636,19970307,    8,    0
 19133,100636,19970308,   12,    0
 19133,100636,19970309,   22,    0
 19133,100636,19970310,   18,    0
 19133,100636,19970311,   35,    0
 19133,100636,19970312,   30,    0
 19133,100636,19970313,   24,    0
 19133,100636,19970314,  -39,    0
 19133,100636,19970315,  -63,    0
 19133,100636,19970316,  -80,    0
 19133,100636,19970317,  -91,    0
 19133,100636,19970318, -101,    0
 19133,100636,19970319,  -75,    0
 19133,100636,19970320,  -95,    0
 19133,100636,19970321,  -72,    0
 19133,100636,19970322,  -91,    0
 19133,100636,19970323,  -61,    0
 19133,100636,19970324,  -42,    0
 19133,100636,19970325,  -38,    0
 19133,100636,19970326,  -14,    0
 19133,100636,19970327,   -5,    0
 19133,100636,19970328,   -6,    0
 19133,100636,19970329,  -17,    0
 19133,100636,19970330,   34,    0
 19133,100636,19970331,   43,    0
 19133,100636,19970401,   27,    0
 19133,100636,19970402,   21,    0
 19133,100636,19970403,  -16,    0
 19133,100636,19970404,  -35,    0
 19133,100636,19970405,  -46,    0
 19133,100636,19970406,  -51,    0
 19133,100636,19970407,  -55,    0
 19133,100636,19970408,   15,    0
 19133,100636,19970409,   22,    0
 19133,100636,19970410,   39,    0
 19133,100636,19970411,  -13,    0
 19133,100636,19970412,    3,    0
 19133,100636,19970413,   31,    0
 19133,100636,19970414,   -7,    0
 19133,100636,19970415,   -8,    0
 19133,100636,19970416,   25,    0
 19133,100636,19970417,   38,    0
 19133,100636,19970418,    1,    0
 19133,100636,19970419,  -34,    0
 19133,100636,19970420,  -30,    0
 19133,100636,19970421,   -8,    0
 19133,100636,19970422,  -45,    0
 19133,100636,19970423,  -31,    0
 19133,100636,19970424,  -28,    0
 19133,100636,19970425,  -23,    0
 19133,100636,19970426,  -29,    0
 19133,100636,19970427,   -8,    0
 19133,100636,19970428,    2,    0
 19133,100636,19970429,   38,    0
 19133,100636,19970430,   46,    0
 19133,100636,19970501,   72,    0
 19133,100636,19970502,   50,    0
 19133,100636,19970503,    5,    0
 19133,100636,19970504,   -3,    0
 19133,100636,19970505,   -8,    0
 19133,100636,19970506,    4,    0
 19133,100636,19970507,   -1,    0
 19133,100636,19970508,    2,    0
 19133,100636,19970509,   21,    0
 19133,100636,19970510,   31,    0
 19133,100636,19970511,   18,    0
 19133,100636,19970512,   43,    0
 19133,100636,19970513,   46,    0
 19133,100636,19970514,   35,    0
 19133,100636,19970515,   50,    0
 19133,100636,19970516,   61,    0
 19133,100636,19970517,   71,    0
 19133,100636,19970518,   85,    0
 19133,100636,19970519,   67,    0
 19133,100636,19970520,   35,    0
 19133,100636,19970521,   31,    0
 19133,100636,19970522,   35,    0
 19133,100636,19970523,   17,    0
 19133,100636,19970524,   35,    0
 19133,100636,19970525,   40,    0
 19133,100636,19970526,   23,    0
 19133,100636,19970527,   56,    0
 19133,100636,19970528,   62,    0
 19133,100636,19970529,   64,    0
 19133,100636,19970530,   78,    0
 19133,100636,19970531,  105,    0
 19133,100636,19970601,  117,    0
 19133,100636,19970602,  138,    0
 19133,100636,19970603,  127,    0
 19133,100636,19970604,  121,    0
 19133,100636,19970605,  106,    0
 19133,100636,19970606,  129,    0
 19133,100636,19970607,  137,    0
 19133,100636,19970608,  143,    0
 19133,100636,19970609,  134,    0
 19133,100636,19970610,  120,    0
 19133,100636,19970611,  134,    0
 19133,100636,19970612,  145,    0
 19133,100636,19970613,  111,    0
 19133,100636,19970614,  119,    0
 19133,100636,19970615,   98,    0
 19133,100636,19970616,   81,    0
 19133,100636,19970617,   83,    0
 19133,100636,19970618,   86,    0
 19133,100636,19970619,   98,    0
 19133,100636,19970620,   98,    0
 19133,100636,19970621,   83,    0
 19133,100636,19970622,   88,    0
 19133,100636,19970623,   98,    0
 19133,100636,19970624,  105,    0
 19133,100636,19970625,   79,    0
 19133,100636,19970626,   86,    0
 19133,100636,19970627,   98,    0
 19133,100636,19970628,  109,    0
 19133,100636,19970629,  130,    0
 19133,100636,19970630,  125,    0
 19133,100636,19970701,  149,    0
 19133,100636,19970702,  132,    0
 19133,100636,19970703,  102,    0
 19133,100636,19970704,  103,    0
 19133,100636,19970705,  127,    0
 19133,100636,19970706,  146,    0
 19133,100636,19970707,  131,    0
 19133,100636,19970708,  124,    0
 19133,100636,19970709,  150,    0
 19133,100636,19970710,  160,    0
 19133,100636,19970711,  143,    0
 19133,100636,19970712,  141,    0
 19133,100636,19970713,  148,    0
 19133,100636,19970714,  132,    0
 19133,100636,19970715,  120,    0
 19133,100636,19970716,  127,    0
 19133,100636,19970717,  126,    0
 19133,100636,19970718,  124,    0
 19133,100636,19970719,  140,    0
 19133,100636,19970720,  160,    0
 19133,100636,19970721,  169,    0
 19133,100636,19970722,  166,    0
 19133,100636,19970723,  158,    0
 19133,100636,19970724,  137,    0
 19133,100636,19970725,  127,    0
 19133,100636,19970726,  127,    0
 19133,100636,19970727,  130,    0
 19133,100636,19970728,  121,    0
 19133,100636,19970729,  116,    0
 19133,100636,19970730,  117,    0
 19133,100636,19970731,  126,    0
 19133,100636,19970801,  128,    0
 19133,100636,19970802,  111,    0
 19133,100636,19970803,  128,    0
 19133,100636,19970804,  146,    0
 19133,100636,19970805,  163,    0
 19133,100636,19970806,  167,    0
 19133,100636,19970807,  166,    0
 19133,100636,19970808,  154,    0
 19133,100636,19970809,  169,    0
 19133,100636,19970810,  168,    0
 19133,100636,19970811,  174,    0
 19133,100636,19970812,  182,    0
 19133,100636,19970813,  183,    0
 19133,100636,19970814,  186,    0
 19133,100636,19970815,  179,    0
 19133,100636,19970816,  174,    0
 19133,100636,19970817,  175,    0
 19133,100636,19970818,  162,    0
 19133,100636,19970819,  166,    0
 19133,100636,19970820,  167,    0
 19133,100636,19970821,  163,    0
 19133,100636,19970822,  146,    0
 19133,100636,19970823,  119,    0
 19133,100636,19970824,  124,    0
 19133,100636,19970825,  117,    0
 19133,100636,19970826,  126,    0
 19133,100636,19970827,  114,    0
 19133,100636,19970828,  140,    0
 19133,100636,19970829,  133,    0
 19133,100636,19970830,  117,    0
 19133,100636,19970831,  130,    0
 19133,100636,19970901,  128,    0
 19133,100636,19970902,  108,    0
 19133,100636,19970903,  108,    0
 19133,100636,19970904,  109,    0
 19133,100636,19970905,   88,    0
 19133,100636,19970906,   87,    0
 19133,100636,19970907,  101,    0
 19133,100636,19970908,   94,    0
 19133,100636,19970909,   61,    0
 19133,100636,19970910,   73,    0
 19133,100636,19970911,  101,    0
 19133,100636,19970912,   82,    0
 19133,100636,19970913,   50,    0
 19133,100636,19970914,   53,    0
 19133,100636,19970915,   53,    0
 19133,100636,19970916,   90,    0
 19133,100636,19970917,   70,    0
 19133,100636,19970918,   42,    0
 19133,100636,19970919,   44,    0
 19133,100636,19970920,   57,    0
 19133,100636,19970921,   76,    0
 19133,100636,19970922,   63,    0
 19133,100636,19970923,   95,    0
 19133,100636,19970924,  117,    0
 19133,100636,19970925,  100,    0
 19133,100636,19970926,  103,    0
 19133,100636,19970927,   78,    0
 19133,100636,19970928,   77,    0
 19133,100636,19970929,   67,    0
 19133,100636,19970930,   66,    0
 19133,100636,19971001,   33,    0
 19133,100636,19971002,   50,    0
 19133,100636,19971003,   53,    0
 19133,100636,19971004,   58,    0
 19133,100636,19971005,   42,    0
 19133,100636,19971006,   74,    0
 19133,100636,19971007,   69,    0
 19133,100636,19971008,   61,    0
 19133,100636,19971009,   43,    0
 19133,100636,19971010,   35,    0
 19133,100636,19971011,   30,    0
 19133,100636,19971012,   32,    0
 19133,100636,19971013,   34,    0
 19133,100636,19971014,    6,    0
 19133,100636,19971015,   -5,    0
 19133,100636,19971016,  -17,    0
 19133,100636,19971017,   -5,    0
 19133,100636,19971018,   71,    0
 19133,100636,19971019,   40,    0
 19133,100636,19971020,  -10,    0
 19133,100636,19971021,    9,    0
 19133,100636,19971022,   16,    0
 19133,100636,19971023,  -16,    0
 19133,100636,19971024,  -29,    0
 19133,100636,19971025,  -40,    0
 19133,100636,19971026,  -47,    0
 19133,100636,19971027,  -47,    0
 19133,100636,19971028,   13,    0
 19133,100636,19971029,   53,    0
 19133,100636,19971030,   20,    0
 19133,100636,19971031,   59,    0
 19133,100636,19971101,   60,    0
 19133,100636,19971102,    5,    0
 19133,100636,19971103,  -40,    0
 19133,100636,19971104,  -43,    0
 19133,100636,19971105,  -35,    0
 19133,100636,19971106,  -24,    0
 19133,100636,19971107,    3,    0
 19133,100636,19971108,    1,    0
 19133,100636,19971109,   12,    0
 19133,100636,19971110,   18,    0
 19133,100636,19971111,   12,    0
 19133,100636,19971112,    7,    0
 19133,100636,19971113,   -1,    0
 19133,100636,19971114,    9,    0
 19133,100636,19971115,    8,    0
 19133,100636,19971116,   13,    0
 19133,100636,19971117,   -4,    0
 19133,100636,19971118,   -8,    0
 19133,100636,19971119,  -27,    0
 19133,100636,19971120,  -30,    0
 19133,100636,19971121,  -18,    0
 19133,100636,19971122,  -26,    0
 19133,100636,19971123,  -41,    0
 19133,100636,19971124,  -78,    0
 19133,100636,19971125,  -72,    0
 19133,100636,19971126,  -81,    0
 19133,100636,19971127,  -95,    0
 19133,100636,19971128,  -70,    0
 19133,100636,19971129,  -52,    0
 19133,100636,19971130,  -52,    0
 19133,100636,19971201,  -82,    0
 19133,100636,19971202,  -60,    0
 19133,100636,19971203,  -97,    0
 19133,100636,19971204, -132,    0
 19133,100636,19971205,   -8,    0
 19133,100636,19971206,   -8,    0
 19133,100636,19971207,  -12,    0
 19133,100636,19971208,   -5,    0
 19133,100636,19971209,   10,    0
 19133,100636,19971210,    6,    0
 19133,100636,19971211,    3,    0
 19133,100636,19971212,   -6,    0
 19133,100636,19971213,  -43,    0
 19133,100636,19971214,  -19,    0
 19133,100636,19971215,  -87,    0
 19133,100636,19971216,  -17,    0
 19133,100636,19971217,  -56,    0
 19133,100636,19971218,  -85,    0
 19133,100636,19971219, -130,    0
 19133,100636,19971220,  -68,    0
 19133,100636,19971221,  -44,    0
 19133,100636,19971222,  -36,    0
 19133,100636,19971223,  -32,    0
 19133,100636,19971224,  -34,    0
 19133,100636,19971225,  -32,    0
 19133,100636,19971226,  -32,    0
 19133,100636,19971227,  -48,    0
 19133,100636,19971228,  -64,    0
 19133,100636,19971229,  -54,    0
 19133,100636,19971230,  -47,    0
 19133,100636,19971231,  -28,    0
 19133,100636,19980101,  -26,    0
 19133,100636,19980102,  -11,    0
 19133,100636,19980103,  -13,    0
 19133,100636,19980104,  -25,    0
 19133,100636,19980105,  -61,    0
 19133,100636,19980106,  -38,    0
 19133,100636,19980107,  -82,    0
 19133,100636,19980108,  -65,    0
 19133,100636,19980109,  -74,    0
 19133,100636,19980110,   22,    0
 19133,100636,19980111,   63,    0
 19133,100636,19980112,   32,    0
 19133,100636,19980113,    4,    0
 19133,100636,19980114,   -1,    0
 19133,100636,19980115,    1,    0
 19133,100636,19980116,  -12,    0
 19133,100636,19980117,  -26,    0
 19133,100636,19980118,  -60,    0
 19133,100636,19980119,  -64,    0
 19133,100636,19980120, -102,    0
 19133,100636,19980121, -149,    0
 19133,100636,19980122,  -52,    0
 19133,100636,19980123,    3,    0
 19133,100636,19980124,  -54,    0
 19133,100636,19980125,  -68,    0
 19133,100636,19980126,  -50,    0
 19133,100636,19980127,    7,    0
 19133,100636,19980128,  -58,    0
 19133,100636,19980129,  -59,    0
 19133,100636,19980130,  -61,    0
 19133,100636,19980131, -108,    0
 19133,100636,19980201,  -24,    0
 19133,100636,19980202,  -67,    0
 19133,100636,19980203,  -78,    0
 19133,100636,19980204,  -98,    0
 19133,100636,19980205,  -26,    0
 19133,100636,19980206,  -14,    0
 19133,100636,19980207,    7,    0
 19133,100636,19980208,    2,    0
 19133,100636,19980209,   48,    0
 19133,100636,19980210,    8,    0
 19133,100636,19980211,   19,    0
 19133,100636,19980212,   24,    0
 19133,100636,19980213,  -25,    0
 19133,100636,19980214,   41,    0
 19133,100636,19980215,   44,    0
 19133,100636,19980216,    9,    0
 19133,100636,19980217,   11,    0
 19133,100636,19980218,   59,    0
 19133,100636,19980219,   48,    0
 19133,100636,19980220,   47,    0
 19133,100636,19980221,   38,    0
 19133,100636,19980222,    5,    0
 19133,100636,19980223,   36,    0
 19133,100636,19980224,   54,    0
 19133,100636,19980225,   48,    0
 19133,100636,19980226,   15,    0
 19133,100636,19980227,  -19,    0
 19133,100636,19980228,  -51,    0
 19133,100636,19980301,  -86,    0
 19133,100636,19980302, -112,    0
 19133,100636,19980303, -112,    0
 19133,100636,19980304,  -47,    0
 19133,100636,19980305,  -87,    0
 19133,100636,19980306,  -80,    0
 19133,100636,19980307, -108,    0
 19133,100636,19980308,  -98,    0
 19133,100636,19980309,  -67,    0
 19133,100636,19980310,  -78,    0
 19133,100636,19980311,  -38,    0
 19133,100636,19980312,  -55,    0
 19133,100636,19980313,  -11,    0
 19133,100636,19980314,  -27,    0
 19133,100636,19980315,   33,    0
 19133,100636,19980316,   21,    0
 19133,100636,19980317,   -7,    0
 19133,100636,19980318,  -26,    0
 19133,100636,19980319,  -42,    0
 19133,100636,19980320,  -35,    0
 19133,100636,19980321,    9,    0
 19133,100636,19980322,   25,    0
 19133,100636,19980323,  -25,    0
 19133,100636,19980324,  -18,    0
 19133,100636,19980325,   -7,    0
 19133,100636,19980326,  -10,    0
 19133,100636,19980327,    5,    0
 19133,100636,19980328,   11,    0
 19133,100636,19980329,   25,    0
 19133,100636,19980330,   16,    0
 19133,100636,19980331,   50,    0
 19133,100636,19980401,    8,    0
 19133,100636,19980402,  -34,    0
 19133,100636,19980403,  -65,    0
 19133,100636,19980404,  -63,    0
 19133,100636,19980405,  -46,    0
 19133,100636,19980406,    8,    0
 19133,100636,19980407,   18,    0
 19133,100636,19980408,  -21,    0
 19133,100636,19980409,  -28,    0
 19133,100636,19980410,  -28,    0
 19133,100636,19980411,  -28,    0
 19133,100636,19980412,  -29,    0
 19133,100636,19980413,  -44,    0
 19133,100636,19980414,  -21,    0
 19133,100636,19980415,  -19,    0
 19133,100636,19980416,   -6,    0
 19133,100636,19980417,    6,    0
 19133,100636,19980418,   10,    0
 19133,100636,19980419,    8,    0
 19133,100636,19980420,    9,    0
 19133,100636,19980421,    2,    0
 19133,100636,19980422,   15,    0
 19133,100636,19980423,   25,    0
 19133,100636,19980424,   35,    0
 19133,100636,19980425,   30,    0
 19133,100636,19980426,   25,    0
 19133,100636,19980427,   38,    0
 19133,100636,19980428,   32,    0
 19133,100636,19980429,   51,    0
 19133,100636,19980430,   37,    0
 19133,100636,19980501,   48,    0
 19133,100636,19980502,   49,    0
 19133,100636,19980503,   26,    0
 19133,100636,19980504,   33,    0
 19133,100636,19980505,   32,    0
 19133,100636,19980506,   24,    0
 19133,100636,19980507,   33,    0
 19133,100636,19980508,   52,    0
 19133,100636,19980509,   31,    0
 19133,100636,19980510,   55,    0
 19133,100636,19980511,   47,    0
 19133,100636,19980512,   61,    0
 19133,100636,19980513,   81,    0
 19133,100636,19980514,  104,    0
 19133,100636,19980515,  117,    0
 19133,100636,19980516,  114,    0
 19133,100636,19980517,  119,    0
 19133,100636,19980518,  103,    0
 19133,100636,19980519,   64,    0
 19133,100636,19980520,   30,    0
 19133,100636,19980521,   36,    0
 19133,100636,19980522,   34,    0
 19133,100636,19980523,   47,    0
 19133,100636,19980524,   67,    0
 19133,100636,19980525,   44,    0
 19133,100636,19980526,   21,    0
 19133,100636,19980527,   32,    0
 19133,100636,19980528,   76,    0
