EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV65 NORDMARKA I SURNADAL, NORWAY (STAID: 19141)
Blended and updated with sources:100681 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19141,100681,20190101,-9999,    9
 19141,100681,20190102,-9999,    9
 19141,100681,20190103,-9999,    9
 19141,100681,20190104,-9999,    9
 19141,100681,20190105,-9999,    9
 19141,100681,20190106,-9999,    9
 19141,100681,20190107,-9999,    9
 19141,100681,20190108,-9999,    9
 19141,100681,20190109,-9999,    9
 19141,100681,20190110,-9999,    9
 19141,100681,20190111,-9999,    9
 19141,100681,20190112,-9999,    9
 19141,100681,20190113,-9999,    9
 19141,100681,20190114,-9999,    9
 19141,100681,20190115,-9999,    9
 19141,100681,20190116,-9999,    9
 19141,100681,20190117,-9999,    9
 19141,100681,20190118,-9999,    9
 19141,100681,20190119,-9999,    9
 19141,100681,20190120,-9999,    9
 19141,100681,20190121,-9999,    9
 19141,100681,20190122,-9999,    9
 19141,100681,20190123,-9999,    9
 19141,100681,20190124,-9999,    9
 19141,100681,20190125,-9999,    9
 19141,100681,20190126,-9999,    9
 19141,100681,20190127,-9999,    9
 19141,100681,20190128,-9999,    9
 19141,100681,20190129, -102,    0
 19141,100681,20190130,-9999,    9
 19141,100681,20190131,  -45,    0
 19141,100681,20190201,  -60,    0
 19141,100681,20190202,  -69,    0
 19141,100681,20190203,  -82,    0
 19141,100681,20190204,  -68,    0
 19141,100681,20190205,  -83,    0
 19141,100681,20190206,  -73,    0
 19141,100681,20190207,  -18,    0
 19141,100681,20190208,  -15,    0
 19141,100681,20190209,    1,    0
 19141,100681,20190210,   -3,    0
 19141,100681,20190211,  -18,    0
 19141,100681,20190212,   -4,    0
 19141,100681,20190213,-9999,    9
 19141,100681,20190214,-9999,    9
 19141,100681,20190215,-9999,    9
 19141,100681,20190216,   18,    0
 19141,100681,20190217,    0,    0
 19141,100681,20190218,   38,    0
 19141,100681,20190219,   14,    0
 19141,100681,20190220,    0,    0
 19141,100681,20190221,   11,    0
 19141,100681,20190222,   28,    0
 19141,100681,20190223,   40,    0
 19141,100681,20190224,   47,    0
 19141,100681,20190225,   40,    0
 19141,100681,20190226,   35,    0
 19141,100681,20190227,   44,    0
 19141,100681,20190228,    3,    0
 19141,100681,20190301,   -5,    0
 19141,100681,20190302,   13,    0
 19141,100681,20190303,   -1,    0
 19141,100681,20190304,  -21,    0
 19141,100681,20190305,  -66,    0
 19141,100681,20190306,  -63,    0
 19141,100681,20190307,  -25,    0
 19141,100681,20190308,  -26,    0
 19141,100681,20190309,  -46,    0
 19141,100681,20190310,  -45,    0
 19141,100681,20190311,  -69,    0
 19141,100681,20190312,  -33,    0
 19141,100681,20190313,  -18,    0
 19141,100681,20190314,  -15,    0
 19141,100681,20190315,  -24,    0
 19141,100681,20190316,  -29,    0
 19141,100681,20190317,  -15,    0
 19141,100681,20190318,   -4,    0
 19141,100681,20190319,   15,    0
 19141,100681,20190320,   30,    0
 19141,100681,20190321,   28,    0
 19141,100681,20190322,   51,    0
 19141,100681,20190323,   13,    0
 19141,100681,20190324,   10,    0
 19141,100681,20190325,   -8,    0
 19141,100681,20190326,    1,    0
 19141,100681,20190327,-9999,    9
 19141,100681,20190328,-9999,    9
 19141,100681,20190329,-9999,    9
 19141,100681,20190330,-9999,    9
 19141,100681,20190331,-9999,    9
 19141,100681,20190401,-9999,    9
 19141,100681,20190402,-9999,    9
 19141,100681,20190403,-9999,    9
 19141,100681,20190404,   30,    0
 19141,100681,20190405,   59,    0
 19141,100681,20190406,   23,    0
 19141,100681,20190407,   10,    0
 19141,100681,20190408,    2,    0
 19141,100681,20190409,-9999,    9
 19141,100681,20190410,-9999,    9
 19141,100681,20190411,-9999,    9
 19141,100681,20190412,    3,    0
 19141,100681,20190413,   13,    0
 19141,100681,20190414,   29,    0
 19141,100681,20190415,   39,    0
 19141,100681,20190416,   54,    0
 19141,100681,20190417,   56,    0
 19141,100681,20190418,   66,    0
 19141,100681,20190419,   88,    0
 19141,100681,20190420,   91,    0
 19141,100681,20190421,   55,    0
 19141,100681,20190422,  109,    0
 19141,100681,20190423,  109,    0
 19141,100681,20190424,  110,    0
 19141,100681,20190425,  128,    0
 19141,100681,20190426,  124,    0
 19141,100681,20190427,  128,    0
 19141,100681,20190428,  133,    0
 19141,100681,20190429,  120,    0
 19141,100681,20190430,   85,    0
 19141,100681,20190501,   44,    0
 19141,100681,20190502,    4,    0
