EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OSLO - OBSERVATORIET (VINDU), NORWAY (STAID: 19149)
Blended and updated with sources:99298 99424 99451 99691 100736 100771 100898 100944 101020 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19149,100736,19000101,   14,    0
 19149,100736,19000102,  -29,    0
 19149,100736,19000103,  -19,    0
 19149,100736,19000104,  -41,    0
 19149,100736,19000105, -114,    0
 19149,100736,19000106, -122,    0
 19149,100736,19000107,  -62,    0
 19149,100736,19000108,  -36,    0
 19149,100736,19000109,  -43,    0
 19149,100736,19000110,  -17,    0
 19149,100736,19000111,  -43,    0
 19149,100736,19000112, -104,    0
 19149,100736,19000113,  -93,    0
 19149,100736,19000114,  -58,    0
 19149,100736,19000115,  -56,    0
 19149,100736,19000116,  -60,    0
 19149,100736,19000117,  -26,    0
 19149,100736,19000118,  -27,    0
 19149,100736,19000119,  -36,    0
 19149,100736,19000120,  -29,    0
 19149,100736,19000121,  -49,    0
 19149,100736,19000122,    3,    0
 19149,100736,19000123,   32,    0
 19149,100736,19000124,  -16,    0
 19149,100736,19000125,   -9,    0
 19149,100736,19000126,  -22,    0
 19149,100736,19000127,    2,    0
 19149,100736,19000128,    6,    0
 19149,100736,19000129,    1,    0
 19149,100736,19000130,  -31,    0
 19149,100736,19000131,  -73,    0
 19149,100736,19000201,  -93,    0
 19149,100736,19000202, -121,    0
 19149,100736,19000203, -105,    0
 19149,100736,19000204,  -95,    0
 19149,100736,19000205,  -64,    0
 19149,100736,19000206, -106,    0
 19149,100736,19000207, -107,    0
 19149,100736,19000208, -126,    0
 19149,100736,19000209, -186,    0
 19149,100736,19000210, -179,    0
 19149,100736,19000211,  -99,    0
 19149,100736,19000212,  -70,    0
 19149,100736,19000213,  -95,    0
 19149,100736,19000214, -109,    0
 19149,100736,19000215, -150,    0
 19149,100736,19000216,  -98,    0
 19149,100736,19000217, -118,    0
 19149,100736,19000218, -134,    0
 19149,100736,19000219, -134,    0
 19149,100736,19000220,  -85,    0
 19149,100736,19000221,  -18,    0
 19149,100736,19000222,    9,    0
 19149,100736,19000223,  -49,    0
 19149,100736,19000224,  -34,    0
 19149,100736,19000225,   -1,    0
 19149,100736,19000226,   -1,    0
 19149,100736,19000227,  -10,    0
 19149,100736,19000228,  -33,    0
 19149,100736,19000301,  -24,    0
 19149,100736,19000302,  -62,    0
 19149,100736,19000303,  -42,    0
 19149,100736,19000304,  -34,    0
 19149,100736,19000305,  -12,    0
 19149,100736,19000306,  -36,    0
 19149,100736,19000307,  -37,    0
 19149,100736,19000308,  -38,    0
 19149,100736,19000309,  -42,    0
 19149,100736,19000310,    9,    0
 19149,100736,19000311,   -5,    0
 19149,100736,19000312,   15,    0
 19149,100736,19000313,   10,    0
 19149,100736,19000314,  -17,    0
 19149,100736,19000315,   19,    0
 19149,100736,19000316,    7,    0
 19149,100736,19000317,  -14,    0
 19149,100736,19000318,  -19,    0
 19149,100736,19000319,   15,    0
 19149,100736,19000320,   14,    0
 19149,100736,19000321,  -10,    0
 19149,100736,19000322,    2,    0
 19149,100736,19000323,   -7,    0
 19149,100736,19000324,  -27,    0
 19149,100736,19000325,   -5,    0
 19149,100736,19000326,  -48,    0
 19149,100736,19000327,  -51,    0
 19149,100736,19000328,  -29,    0
 19149,100736,19000329,  -29,    0
 19149,100736,19000330,   -8,    0
 19149,100736,19000331,    3,    0
 19149,100736,19000401,    3,    0
 19149,100736,19000402,   -6,    0
 19149,100736,19000403,  -16,    0
 19149,100736,19000404,   -5,    0
 19149,100736,19000405,   21,    0
 19149,100736,19000406,   17,    0
 19149,100736,19000407,   23,    0
 19149,100736,19000408,   26,    0
 19149,100736,19000409,   12,    0
 19149,100736,19000410,   17,    0
 19149,100736,19000411,   28,    0
 19149,100736,19000412,   50,    0
 19149,100736,19000413,   24,    0
 19149,100736,19000414,   48,    0
 19149,100736,19000415,   25,    0
 19149,100736,19000416,   45,    0
 19149,100736,19000417,   41,    0
 19149,100736,19000418,   37,    0
 19149,100736,19000419,   87,    0
 19149,100736,19000420,  108,    0
 19149,100736,19000421,   87,    0
 19149,100736,19000422,   51,    0
 19149,100736,19000423,   49,    0
 19149,100736,19000424,   47,    0
 19149,100736,19000425,   38,    0
 19149,100736,19000426,   30,    0
 19149,100736,19000427,   35,    0
 19149,100736,19000428,   61,    0
 19149,100736,19000429,   57,    0
 19149,100736,19000430,   23,    0
 19149,100736,19000501,   16,    0
 19149,100736,19000502,   45,    0
 19149,100736,19000503,   72,    0
 19149,100736,19000504,   79,    0
 19149,100736,19000505,   89,    0
 19149,100736,19000506,  101,    0
 19149,100736,19000507,  117,    0
 19149,100736,19000508,  102,    0
 19149,100736,19000509,   40,    0
 19149,100736,19000510,   38,    0
 19149,100736,19000511,   46,    0
 19149,100736,19000512,   56,    0
 19149,100736,19000513,   57,    0
 19149,100736,19000514,   73,    0
 19149,100736,19000515,   81,    0
 19149,100736,19000516,   90,    0
 19149,100736,19000517,  101,    0
 19149,100736,19000518,   65,    0
 19149,100736,19000519,   58,    0
 19149,100736,19000520,   76,    0
 19149,100736,19000521,   85,    0
 19149,100736,19000522,   78,    0
 19149,100736,19000523,   90,    0
 19149,100736,19000524,  107,    0
 19149,100736,19000525,  105,    0
 19149,100736,19000526,  121,    0
 19149,100736,19000527,  126,    0
 19149,100736,19000528,   98,    0
 19149,100736,19000529,  110,    0
 19149,100736,19000530,  114,    0
 19149,100736,19000531,  136,    0
 19149,100736,19000601,  157,    0
 19149,100736,19000602,  175,    0
 19149,100736,19000603,  191,    0
 19149,100736,19000604,  171,    0
 19149,100736,19000605,  171,    0
 19149,100736,19000606,  163,    0
 19149,100736,19000607,  150,    0
 19149,100736,19000608,  119,    0
 19149,100736,19000609,  118,    0
 19149,100736,19000610,  135,    0
 19149,100736,19000611,  163,    0
 19149,100736,19000612,  179,    0
 19149,100736,19000613,  179,    0
 19149,100736,19000614,  193,    0
 19149,100736,19000615,  172,    0
 19149,100736,19000616,  132,    0
 19149,100736,19000617,  158,    0
 19149,100736,19000618,  176,    0
 19149,100736,19000619,  195,    0
 19149,100736,19000620,  186,    0
 19149,100736,19000621,  172,    0
 19149,100736,19000622,  152,    0
 19149,100736,19000623,  141,    0
 19149,100736,19000624,  141,    0
 19149,100736,19000625,  159,    0
 19149,100736,19000626,  191,    0
 19149,100736,19000627,  209,    0
 19149,100736,19000628,  200,    0
 19149,100736,19000629,  175,    0
 19149,100736,19000630,  143,    0
 19149,100736,19000701,  154,    0
 19149,100736,19000702,  146,    0
 19149,100736,19000703,  144,    0
 19149,100736,19000704,  133,    0
 19149,100736,19000705,  124,    0
 19149,100736,19000706,  134,    0
 19149,100736,19000707,   96,    0
 19149,100736,19000708,  127,    0
 19149,100736,19000709,  125,    0
 19149,100736,19000710,  136,    0
 19149,100736,19000711,  159,    0
 19149,100736,19000712,  166,    0
 19149,100736,19000713,  190,    0
 19149,100736,19000714,  190,    0
 19149,100736,19000715,  200,    0
 19149,100736,19000716,  195,    0
 19149,100736,19000717,  185,    0
 19149,100736,19000718,  189,    0
 19149,100736,19000719,  218,    0
 19149,100736,19000720,  186,    0
 19149,100736,19000721,  173,    0
 19149,100736,19000722,  174,    0
 19149,100736,19000723,  186,    0
 19149,100736,19000724,  196,    0
 19149,100736,19000725,  186,    0
 19149,100736,19000726,  179,    0
 19149,100736,19000727,  161,    0
 19149,100736,19000728,  174,    0
 19149,100736,19000729,  159,    0
 19149,100736,19000730,  152,    0
 19149,100736,19000731,  160,    0
 19149,100736,19000801,  140,    0
 19149,100736,19000802,  153,    0
 19149,100736,19000803,  155,    0
 19149,100736,19000804,  158,    0
 19149,100736,19000805,  156,    0
 19149,100736,19000806,  156,    0
 19149,100736,19000807,  140,    0
 19149,100736,19000808,  151,    0
 19149,100736,19000809,  128,    0
 19149,100736,19000810,  128,    0
 19149,100736,19000811,  146,    0
 19149,100736,19000812,  149,    0
 19149,100736,19000813,  169,    0
 19149,100736,19000814,  161,    0
 19149,100736,19000815,  164,    0
 19149,100736,19000816,  167,    0
 19149,100736,19000817,  165,    0
 19149,100736,19000818,  172,    0
 19149,100736,19000819,  179,    0
 19149,100736,19000820,  162,    0
