EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ULLADAL - DALBOTN, NORWAY (STAID: 19156)
Blended and updated with sources:100772 100785 100872 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19156,100772,19741101,    6,    0
 19156,100772,19741102,   -1,    0
 19156,100772,19741103,   -7,    0
 19156,100772,19741104,  -29,    0
 19156,100772,19741105,  -19,    0
 19156,100772,19741106,   19,    0
 19156,100772,19741107,   26,    0
 19156,100772,19741108,   54,    0
 19156,100772,19741109,   58,    0
 19156,100772,19741110,   56,    0
 19156,100772,19741111,   47,    0
 19156,100772,19741112,   59,    0
 19156,100772,19741113,   35,    0
 19156,100772,19741114,   65,    0
 19156,100772,19741115,   69,    0
 19156,100772,19741116,   37,    0
 19156,100772,19741117,   34,    0
 19156,100772,19741118,   45,    0
 19156,100772,19741119,   58,    0
 19156,100772,19741120,   63,    0
 19156,100772,19741121,    3,    0
 19156,100772,19741122,  -42,    0
 19156,100772,19741123,   31,    0
 19156,100772,19741124,   57,    0
 19156,100772,19741125,   70,    0
 19156,100772,19741126,   12,    0
 19156,100772,19741127,   19,    0
 19156,100772,19741128,   21,    0
 19156,100772,19741129,  -44,    0
 19156,100772,19741130,  -15,    0
 19156,100772,19741201,  -12,    0
 19156,100772,19741202,   46,    0
 19156,100772,19741203,   36,    0
 19156,100772,19741204,   59,    0
 19156,100772,19741205,    8,    0
 19156,100772,19741206,   -9,    0
 19156,100772,19741207,   12,    0
 19156,100772,19741208,   22,    0
 19156,100772,19741209,   57,    0
 19156,100772,19741210,   14,    0
 19156,100772,19741211,    6,    0
 19156,100772,19741212,  -88,    0
 19156,100772,19741213,  -62,    0
 19156,100772,19741214,   23,    0
 19156,100772,19741215,    8,    0
 19156,100772,19741216,   19,    0
 19156,100772,19741217,  -11,    0
 19156,100772,19741218,  -41,    0
 19156,100772,19741219,  -29,    0
 19156,100772,19741220,   63,    0
 19156,100772,19741221,   67,    0
 19156,100772,19741222,   80,    0
 19156,100772,19741223,   54,    0
 19156,100772,19741224,   76,    0
 19156,100772,19741225,   40,    0
 19156,100772,19741226,   35,    0
 19156,100772,19741227,   17,    0
 19156,100772,19741228,    1,    0
 19156,100772,19741229,   22,    0
 19156,100772,19741230,    9,    0
 19156,100772,19741231,    9,    0
 19156,100772,19750101,   68,    0
 19156,100772,19750102,   29,    0
 19156,100772,19750103,   57,    0
 19156,100772,19750104,   11,    0
 19156,100772,19750105,   50,    0
 19156,100772,19750106,   33,    0
 19156,100772,19750107,  -22,    0
 19156,100772,19750108,  -69,    0
 19156,100772,19750109,   32,    0
 19156,100772,19750110,   20,    0
 19156,100772,19750111,   23,    0
 19156,100772,19750112,   29,    0
 19156,100772,19750113,   49,    0
 19156,100772,19750114,   70,    0
 19156,100772,19750115,   72,    0
 19156,100772,19750116,   31,    0
 19156,100772,19750117,    5,    0
 19156,100772,19750118,    7,    0
 19156,100772,19750119,    0,    0
 19156,100772,19750120,   18,    0
 19156,100772,19750121,    7,    0
 19156,100772,19750122,   32,    0
 19156,100772,19750123,   24,    0
 19156,100772,19750124,   13,    0
 19156,100772,19750125,   25,    0
 19156,100772,19750126,   16,    0
 19156,100772,19750127,   33,    0
 19156,100772,19750128,   28,    0
 19156,100772,19750129,   25,    0
 19156,100772,19750130,   53,    0
 19156,100772,19750131,   61,    0
 19156,100772,19750201,   28,    0
 19156,100772,19750202,   37,    0
 19156,100772,19750203,   -1,    0
 19156,100772,19750204,   -7,    0
 19156,100772,19750205,   -7,    0
 19156,100772,19750206,   -8,    0
 19156,100772,19750207,  -29,    0
 19156,100772,19750208,  -38,    0
 19156,100772,19750209,  -48,    0
 19156,100772,19750210,  -43,    0
 19156,100772,19750211,  -28,    0
 19156,100772,19750212,   -1,    0
 19156,100772,19750213,  -16,    0
 19156,100772,19750214,  -69,    0
 19156,100772,19750215,  -57,    0
 19156,100772,19750216,  -25,    0
 19156,100772,19750217,   21,    0
 19156,100772,19750218,   35,    0
 19156,100772,19750219,    3,    0
 19156,100772,19750220,   -2,    0
 19156,100772,19750221,   29,    0
 19156,100772,19750222,   -8,    0
 19156,100772,19750223,   -5,    0
 19156,100772,19750224,    7,    0
 19156,100772,19750225,  -12,    0
 19156,100772,19750226,  -33,    0
 19156,100772,19750227,  -12,    0
 19156,100772,19750228,    3,    0
 19156,100772,19750301,   -1,    0
 19156,100772,19750302,    4,    0
 19156,100772,19750303,   28,    0
 19156,100772,19750304,   32,    0
 19156,100772,19750305,   34,    0
 19156,100772,19750306,   24,    0
 19156,100772,19750307,   49,    0
 19156,100772,19750308,   30,    0
 19156,100772,19750309,   30,    0
 19156,100772,19750310,   19,    0
 19156,100772,19750311,   17,    0
 19156,100772,19750312,    6,    0
 19156,100772,19750313,    8,    0
 19156,100772,19750314,    0,    0
 19156,100772,19750315,   -2,    0
 19156,100772,19750316,   -1,    0
 19156,100772,19750317,  -20,    0
 19156,100772,19750318,  -15,    0
 19156,100772,19750319,    1,    0
 19156,100772,19750320,    9,    0
 19156,100772,19750321,   -4,    0
 19156,100772,19750322,   15,    0
 19156,100772,19750323,   28,    0
 19156,100772,19750324,   11,    0
 19156,100772,19750325,   -4,    0
 19156,100772,19750326,    3,    0
 19156,100772,19750327,  -17,    0
 19156,100772,19750328,  -14,    0
 19156,100772,19750329,  -13,    0
 19156,100772,19750330,  -11,    0
 19156,100772,19750331,   13,    0
 19156,100772,19750401,   -2,    0
 19156,100772,19750402,  -14,    0
 19156,100772,19750403,   -5,    0
 19156,100772,19750404,  -15,    0
 19156,100772,19750405,   -7,    0
 19156,100772,19750406,    7,    0
 19156,100772,19750407,   29,    0
 19156,100772,19750408,   35,    0
 19156,100772,19750409,   22,    0
 19156,100772,19750410,   15,    0
 19156,100772,19750411,   12,    0
 19156,100772,19750412,    9,    0
 19156,100772,19750413,   33,    0
 19156,100772,19750414,   31,    0
 19156,100772,19750415,   60,    0
 19156,100772,19750416,   44,    0
 19156,100772,19750417,   38,    0
 19156,100772,19750418,   64,    0
 19156,100772,19750419,   80,    0
 19156,100772,19750420,   74,    0
 19156,100772,19750421,   47,    0
 19156,100772,19750422,   85,    0
 19156,100772,19750423,   46,    0
 19156,100772,19750424,   78,    0
 19156,100772,19750425,   68,    0
 19156,100772,19750426,   86,    0
 19156,100772,19750427,   49,    0
 19156,100772,19750428,   47,    0
 19156,100772,19750429,   85,    0
 19156,100772,19750430,   56,    0
 19156,100772,19750501,   47,    0
 19156,100772,19750502,   30,    0
 19156,100772,19750503,   67,    0
 19156,100772,19750504,   69,    0
 19156,100772,19750505,   85,    0
 19156,100772,19750506,  130,    0
 19156,100772,19750507,  129,    0
 19156,100772,19750508,  133,    0
 19156,100772,19750509,  169,    0
 19156,100772,19750510,  145,    0
 19156,100772,19750511,   87,    0
 19156,100772,19750512,   78,    0
 19156,100772,19750513,   76,    0
 19156,100772,19750514,   97,    0
 19156,100772,19750515,   96,    0
 19156,100772,19750516,   80,    0
 19156,100772,19750517,  100,    0
 19156,100772,19750518,   79,    0
 19156,100772,19750519,  133,    0
 19156,100772,19750520,   87,    0
 19156,100772,19750521,   65,    0
 19156,100772,19750522,   72,    0
 19156,100772,19750523,  114,    0
 19156,100772,19750524,  107,    0
 19156,100772,19750525,  131,    0
 19156,100772,19750526,  156,    0
 19156,100772,19750527,  159,    0
 19156,100772,19750528,  130,    0
 19156,100772,19750529,   82,    0
 19156,100772,19750530,   71,    0
 19156,100772,19750531,   64,    0
 19156,100772,19750601,   56,    0
 19156,100772,19750602,   76,    0
 19156,100772,19750603,   86,    0
 19156,100772,19750604,   93,    0
 19156,100772,19750605,   99,    0
 19156,100785,19750606,  120,    0
 19156,100785,19750607,  162,    0
 19156,100785,19750608,  161,    0
 19156,100785,19750609,  174,    0
 19156,100785,19750610,  199,    0
 19156,100785,19750611,  175,    0
 19156,100785,19750612,  119,    0
 19156,100785,19750613,   80,    0
 19156,100785,19750614,   86,    0
 19156,100785,19750615,   84,    0
 19156,100785,19750616,   99,    0
 19156,100785,19750617,   88,    0
 19156,100785,19750618,  114,    0
 19156,100785,19750619,  126,    0
 19156,100785,19750620,  153,    0
 19156,100785,19750621,  145,    0
 19156,100785,19750622,  163,    0
 19156,100785,19750623,  160,    0
 19156,100785,19750624,  122,    0
 19156,100785,19750625,  108,    0
 19156,100785,19750626,   98,    0
 19156,100785,19750627,  107,    0
 19156,100785,19750628,  107,    0
 19156,100785,19750629,  139,    0
 19156,100785,19750630,  140,    0
 19156,100785,19750701,  134,    0
 19156,100785,19750702,  144,    0
 19156,100785,19750703,  139,    0
 19156,100785,19750704,  141,    0
 19156,100785,19750705,  134,    0
 19156,100785,19750706,  134,    0
 19156,100785,19750707,  154,    0
 19156,100785,19750708,  150,    0
 19156,100785,19750709,  207,    0
 19156,100785,19750710,  166,    0
 19156,100785,19750711,  160,    0
 19156,100785,19750712,  143,    0
 19156,100785,19750713,  130,    0
 19156,100785,19750714,  156,    0
 19156,100785,19750715,  154,    0
 19156,100785,19750716,  149,    0
 19156,100785,19750717,  145,    0
 19156,100785,19750718,  138,    0
 19156,100785,19750719,  149,    0
 19156,100785,19750720,  152,    0
 19156,100785,19750721,  145,    0
 19156,100785,19750722,  125,    0
 19156,100785,19750723,  131,    0
 19156,100785,19750724,  115,    0
 19156,100785,19750725,  109,    0
 19156,100785,19750726,  133,    0
 19156,100785,19750727,  149,    0
 19156,100785,19750728,  153,    0
 19156,100785,19750729,  166,    0
 19156,100785,19750730,  181,    0
 19156,100785,19750731,  146,    0
 19156,100785,19750801,  123,    0
 19156,100785,19750802,  132,    0
 19156,100785,19750803,  155,    0
 19156,100785,19750804,  175,    0
 19156,100785,19750805,  197,    0
 19156,100785,19750806,  228,    0
 19156,100785,19750807,  230,    0
 19156,100785,19750808,  228,    0
 19156,100785,19750809,  244,    0
 19156,100785,19750810,  246,    0
 19156,100785,19750811,  229,    0
 19156,100785,19750812,  196,    0
 19156,100785,19750813,  187,    0
 19156,100785,19750814,  185,    0
 19156,100785,19750815,  176,    0
 19156,100785,19750816,  163,    0
 19156,100785,19750817,  154,    0
 19156,100785,19750818,  149,    0
 19156,100785,19750819,  146,    0
 19156,100785,19750820,  152,    0
 19156,100785,19750821,  150,    0
 19156,100785,19750822,  131,    0
 19156,100785,19750823,  128,    0
 19156,100785,19750824,  123,    0
 19156,100785,19750825,  116,    0
 19156,100785,19750826,  127,    0
 19156,100785,19750827,  144,    0
 19156,100785,19750828,  156,    0
 19156,100785,19750829,  140,    0
 19156,100785,19750830,  151,    0
 19156,100785,19750831,  149,    0
 19156,100785,19750901,  136,    0
 19156,100785,19750902,  146,    0
 19156,100785,19750903,  128,    0
 19156,100785,19750904,  103,    0
 19156,100785,19750905,  116,    0
 19156,100785,19750906,  101,    0
 19156,100785,19750907,   78,    0
 19156,100785,19750908,   91,    0
 19156,100785,19750909,  125,    0
 19156,100785,19750910,  108,    0
 19156,100785,19750911,  102,    0
 19156,100785,19750912,  121,    0
 19156,100785,19750913,  109,    0
 19156,100785,19750914,   96,    0
 19156,100785,19750915,   94,    0
 19156,100785,19750916,  105,    0
 19156,100785,19750917,  114,    0
 19156,100785,19750918,  122,    0
 19156,100785,19750919,  102,    0
 19156,100785,19750920,  107,    0
 19156,100785,19750921,   79,    0
 19156,100785,19750922,   81,    0
 19156,100785,19750923,  108,    0
 19156,100785,19750924,   80,    0
 19156,100785,19750925,  106,    0
 19156,100785,19750926,   86,    0
 19156,100785,19750927,   65,    0
 19156,100785,19750928,   68,    0
 19156,100785,19750929,  107,    0
 19156,100785,19750930,  164,    0
 19156,100785,19751001,  127,    0
 19156,100785,19751002,  103,    0
 19156,100785,19751003,   96,    0
 19156,100785,19751004,   89,    0
 19156,100785,19751005,  106,    0
 19156,100785,19751006,   79,    0
 19156,100785,19751007,   78,    0
 19156,100785,19751008,   52,    0
 19156,100785,19751009,   57,    0
 19156,100785,19751010,   51,    0
 19156,100785,19751011,   42,    0
 19156,100785,19751012,   44,    0
 19156,100785,19751013,   36,    0
 19156,100785,19751014,   73,    0
 19156,100785,19751015,   97,    0
 19156,100785,19751016,   75,    0
 19156,100785,19751017,   61,    0
 19156,100785,19751018,   63,    0
 19156,100785,19751019,   64,    0
 19156,100785,19751020,   38,    0
 19156,100785,19751021,   59,    0
 19156,100785,19751022,  108,    0
 19156,100785,19751023,   96,    0
 19156,100785,19751024,  101,    0
 19156,100785,19751025,  106,    0
 19156,100785,19751026,  102,    0
 19156,100785,19751027,   86,    0
 19156,100785,19751028,   90,    0
 19156,100785,19751029,   73,    0
 19156,100785,19751030,   94,    0
 19156,100785,19751031,  100,    0
 19156,100785,19751101,  108,    0
 19156,100785,19751102,   96,    0
 19156,100785,19751103,   87,    0
 19156,100785,19751104,   76,    0
 19156,100785,19751105,   76,    0
 19156,100785,19751106,   55,    0
 19156,100785,19751107,   40,    0
 19156,100785,19751108,   39,    0
 19156,100785,19751109,   19,    0
 19156,100785,19751110,   42,    0
 19156,100785,19751111,   56,    0
 19156,100785,19751112,   73,    0
 19156,100785,19751113,   58,    0
 19156,100785,19751114,   41,    0
 19156,100785,19751115,   49,    0
 19156,100785,19751116,   59,    0
 19156,100785,19751117,   46,    0
 19156,100785,19751118,   23,    0
 19156,100785,19751119,   29,    0
 19156,100785,19751120,   16,    0
 19156,100785,19751121,    0,    0
 19156,100785,19751122,   -9,    0
 19156,100785,19751123,   33,    0
 19156,100785,19751124,   57,    0
 19156,100785,19751125,   53,    0
 19156,100785,19751126,   44,    0
 19156,100785,19751127,   38,    0
 19156,100785,19751128,   28,    0
 19156,100785,19751129,    7,    0
 19156,100785,19751130,   20,    0
 19156,100785,19751201,   25,    0
 19156,100785,19751202,   34,    0
 19156,100785,19751203,   10,    0
 19156,100785,19751204,   29,    0
 19156,100785,19751205,   25,    0
 19156,100785,19751206,   28,    0
 19156,100785,19751207,   32,    0
 19156,100785,19751208,   23,    0
 19156,100785,19751209,   53,    0
 19156,100785,19751210,   16,    0
 19156,100785,19751211,   48,    0
 19156,100785,19751212,   22,    0
 19156,100785,19751213,  -36,    0
 19156,100785,19751214,   11,    0
 19156,100785,19751215,   56,    0
 19156,100785,19751216,   23,    0
 19156,100785,19751217,  -36,    0
 19156,100785,19751218,  -15,    0
 19156,100785,19751219,  -11,    0
 19156,100785,19751220,   25,    0
 19156,100785,19751221,   58,    0
 19156,100785,19751222,   55,    0
 19156,100785,19751223,   43,    0
 19156,100785,19751224,    4,    0
 19156,100785,19751225,  -19,    0
 19156,100785,19751226,   27,    0
 19156,100785,19751227,   68,    0
 19156,100785,19751228,   62,    0
 19156,100785,19751229,   23,    0
 19156,100785,19751230,   62,    0
 19156,100785,19751231,   24,    0
 19156,100785,19760101,   -4,    0
 19156,100785,19760102,  -18,    0
 19156,100785,19760103,    5,    0
 19156,100785,19760104,  -36,    0
 19156,100785,19760105,   -3,    0
 19156,100785,19760106,  -49,    0
 19156,100785,19760107,   19,    0
 19156,100785,19760108,   54,    0
 19156,100785,19760109,   11,    0
 19156,100785,19760110,    6,    0
 19156,100785,19760111,    9,    0
 19156,100785,19760112,    3,    0
 19156,100785,19760113,  -25,    0
 19156,100785,19760114,  -11,    0
 19156,100785,19760115,   -2,    0
 19156,100785,19760116,   16,    0
 19156,100785,19760117,   11,    0
 19156,100785,19760118,   17,    0
 19156,100785,19760119,   14,    0
 19156,100785,19760120,   39,    0
 19156,100785,19760121,   15,    0
 19156,100785,19760122,  -25,    0
 19156,100785,19760123,  -53,    0
 19156,100785,19760124,  -36,    0
 19156,100785,19760125,  -45,    0
 19156,100785,19760126,  -50,    0
 19156,100785,19760127,  -47,    0
 19156,100785,19760128,  -26,    0
 19156,100785,19760129,  -24,    0
 19156,100785,19760130,  -61,    0
 19156,100785,19760131,  -66,    0
 19156,100785,19760201,  -47,    0
 19156,100785,19760202,  -25,    0
 19156,100785,19760203,  -33,    0
 19156,100785,19760204,  -18,    0
 19156,100785,19760205,  -18,    0
 19156,100785,19760206,   18,    0
 19156,100785,19760207,    5,    0
 19156,100785,19760208,    7,    0
 19156,100785,19760209,   24,    0
 19156,100785,19760210,   19,    0
 19156,100785,19760211,    8,    0
 19156,100785,19760212,    0,    0
 19156,100785,19760213,   -1,    0
 19156,100785,19760214,  -17,    0
 19156,100785,19760215,   -5,    0
 19156,100785,19760216,   21,    0
 19156,100785,19760217,    7,    0
 19156,100785,19760218,   12,    0
 19156,100785,19760219,   12,    0
 19156,100785,19760220,   31,    0
 19156,100785,19760221,   50,    0
 19156,100785,19760222,   53,    0
 19156,100785,19760223,   42,    0
 19156,100785,19760224,   27,    0
 19156,100785,19760225,   65,    0
 19156,100785,19760226,   45,    0
 19156,100785,19760227,   35,    0
 19156,100785,19760228,   36,    0
 19156,100785,19760229,   41,    0
 19156,100785,19760301,   18,    0
 19156,100785,19760302,   12,    0
 19156,100785,19760303,   24,    0
 19156,100785,19760304,   42,    0
 19156,100785,19760305,   41,    0
 19156,100785,19760306,    9,    0
 19156,100785,19760307,   16,    0
 19156,100785,19760308,  -13,    0
 19156,100785,19760309,  -33,    0
 19156,100785,19760310,  -17,    0
 19156,100785,19760311,   11,    0
 19156,100785,19760312,  -11,    0
 19156,100785,19760313,  -41,    0
 19156,100785,19760314,  -41,    0
 19156,100785,19760315,  -36,    0
 19156,100785,19760316,  -37,    0
 19156,100785,19760317,  -31,    0
 19156,100785,19760318,   -4,    0
 19156,100785,19760319,    9,    0
 19156,100785,19760320,   14,    0
 19156,100785,19760321,    6,    0
 19156,100785,19760322,  -15,    0
 19156,100785,19760323,  -20,    0
 19156,100785,19760324,  -15,    0
 19156,100785,19760325,   16,    0
 19156,100785,19760326,   15,    0
 19156,100785,19760327,   30,    0
 19156,100785,19760328,   55,    0
 19156,100785,19760329,   24,    0
 19156,100785,19760330,    6,    0
 19156,100785,19760331,   21,    0
 19156,100785,19760401,   19,    0
 19156,100785,19760402,   24,    0
 19156,100785,19760403,   22,    0
 19156,100785,19760404,   36,    0
 19156,100785,19760405,   22,    0
 19156,100785,19760406,   22,    0
 19156,100785,19760407,   34,    0
 19156,100785,19760408,   32,    0
 19156,100785,19760409,   36,    0
 19156,100785,19760410,   58,    0
