EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LUSTER - SKILDHEIM, NORWAY (STAID: 19168)
Blended and updated with sources:100848 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19168,100848,19870501,-9999,    9
 19168,100848,19870502,-9999,    9
 19168,100848,19870503,-9999,    9
 19168,100848,19870504,-9999,    9
 19168,100848,19870505,-9999,    9
 19168,100848,19870506,-9999,    9
 19168,100848,19870507,   75,    0
 19168,100848,19870508,   76,    0
 19168,100848,19870509,   71,    0
 19168,100848,19870510,   60,    0
 19168,100848,19870511,   50,    0
 19168,100848,19870512,   52,    0
 19168,100848,19870513,   85,    0
 19168,100848,19870514,   78,    0
 19168,100848,19870515,   68,    0
 19168,100848,19870516,   94,    0
 19168,100848,19870517,  108,    0
 19168,100848,19870518,  106,    0
 19168,100848,19870519,   77,    0
 19168,100848,19870520,   89,    0
 19168,100848,19870521,  107,    0
 19168,100848,19870522,  114,    0
 19168,100848,19870523,  147,    0
 19168,100848,19870524,  164,    0
 19168,100848,19870525,  146,    0
 19168,100848,19870526,  148,    0
 19168,100848,19870527,   90,    0
 19168,100848,19870528,   78,    0
 19168,100848,19870529,  101,    0
 19168,100848,19870530,  117,    0
 19168,100848,19870531,  108,    0
 19168,100848,19870601,  114,    0
 19168,100848,19870602,  119,    0
 19168,100848,19870603,  125,    0
 19168,100848,19870604,  128,    0
 19168,100848,19870605,  132,    0
 19168,100848,19870606,  141,    0
 19168,100848,19870607,  113,    0
 19168,100848,19870608,  141,    0
 19168,100848,19870609,  138,    0
 19168,100848,19870610,  116,    0
 19168,100848,19870611,   99,    0
 19168,100848,19870612,   79,    0
 19168,100848,19870613,   95,    0
 19168,100848,19870614,  122,    0
 19168,100848,19870615,  118,    0
 19168,100848,19870616,  131,    0
 19168,100848,19870617,  134,    0
 19168,100848,19870618,  142,    0
 19168,100848,19870619,  128,    0
 19168,100848,19870620,  115,    0
 19168,100848,19870621,  124,    0
 19168,100848,19870622,  122,    0
 19168,100848,19870623,  113,    0
 19168,100848,19870624,  122,    0
 19168,100848,19870625,  113,    0
 19168,100848,19870626,  120,    0
 19168,100848,19870627,  123,    0
 19168,100848,19870628,  135,    0
 19168,100848,19870629,  136,    0
 19168,100848,19870630,  116,    0
 19168,100848,19870701,  103,    0
 19168,100848,19870702,  111,    0
 19168,100848,19870703,  125,    0
 19168,100848,19870704,  142,    0
 19168,100848,19870705,  122,    0
 19168,100848,19870706,  126,    0
 19168,100848,19870707,  131,    0
 19168,100848,19870708,  126,    0
 19168,100848,19870709,  112,    0
 19168,100848,19870710,  121,    0
 19168,100848,19870711,  130,    0
 19168,100848,19870712,  115,    0
 19168,100848,19870713,  127,    0
 19168,100848,19870714,  155,    0
 19168,100848,19870715,  186,    0
 19168,100848,19870716,  174,    0
 19168,100848,19870717,  194,    0
 19168,100848,19870718,  196,    0
 19168,100848,19870719,  210,    0
 19168,100848,19870720,  190,    0
 19168,100848,19870721,  203,    0
 19168,100848,19870722,  198,    0
 19168,100848,19870723,  197,    0
 19168,100848,19870724,  144,    0
 19168,100848,19870725,  134,    0
 19168,100848,19870726,  136,    0
 19168,100848,19870727,  146,    0
 19168,100848,19870728,  148,    0
 19168,100848,19870729,  135,    0
 19168,100848,19870730,  121,    0
 19168,100848,19870731,  130,    0
 19168,100848,19870801,  124,    0
 19168,100848,19870802,  135,    0
 19168,100848,19870803,  144,    0
 19168,100848,19870804,  151,    0
 19168,100848,19870805,  146,    0
 19168,100848,19870806,   91,    0
 19168,100848,19870807,  136,    0
 19168,100848,19870808,  137,    0
 19168,100848,19870809,  142,    0
 19168,100848,19870810,  130,    0
 19168,100848,19870811,  128,    0
 19168,100848,19870812,  133,    0
 19168,100848,19870813,  145,    0
 19168,100848,19870814,  125,    0
 19168,100848,19870815,  135,    0
 19168,100848,19870816,  139,    0
 19168,100848,19870817,  139,    0
 19168,100848,19870818,  132,    0
 19168,100848,19870819,  131,    0
 19168,100848,19870820,  138,    0
 19168,100848,19870821,  136,    0
 19168,100848,19870822,  140,    0
 19168,100848,19870823,  142,    0
 19168,100848,19870824,  146,    0
 19168,100848,19870825,  143,    0
 19168,100848,19870826,  112,    0
 19168,100848,19870827,  107,    0
 19168,100848,19870828,  101,    0
 19168,100848,19870829,  111,    0
 19168,100848,19870830,   88,    0
 19168,100848,19870831,   85,    0
 19168,100848,19870901,   98,    0
 19168,100848,19870902,  110,    0
 19168,100848,19870903,  101,    0
 19168,100848,19870904,  101,    0
 19168,100848,19870905,  127,    0
 19168,100848,19870906,  109,    0
 19168,100848,19870907,  103,    0
 19168,100848,19870908,   94,    0
 19168,100848,19870909,   87,    0
 19168,100848,19870910,   79,    0
 19168,100848,19870911,   82,    0
 19168,100848,19870912,   89,    0
 19168,100848,19870913,   81,    0
 19168,100848,19870914,   74,    0
 19168,100848,19870915,   78,    0
 19168,100848,19870916,   66,    0
 19168,100848,19870917,   75,    0
 19168,100848,19870918,   69,    0
 19168,100848,19870919,   61,    0
 19168,100848,19870920,   66,    0
 19168,100848,19870921,   45,    0
 19168,100848,19870922,   67,    0
 19168,100848,19870923,   73,    0
 19168,100848,19870924,   74,    0
 19168,100848,19870925,   71,    0
 19168,100848,19870926,-9999,    9
 19168,100848,19870927,-9999,    9
 19168,100848,19870928,-9999,    9
 19168,100848,19870929,-9999,    9
 19168,100848,19870930,-9999,    9
 19168,100848,19871001,-9999,    9
 19168,100848,19871002,-9999,    9
 19168,100848,19871003,-9999,    9
 19168,100848,19871004,-9999,    9
 19168,100848,19871005,-9999,    9
 19168,100848,19871006,-9999,    9
 19168,100848,19871007,-9999,    9
 19168,100848,19871008,-9999,    9
 19168,100848,19871009,-9999,    9
 19168,100848,19871010,-9999,    9
 19168,100848,19871011,-9999,    9
 19168,100848,19871012,-9999,    9
 19168,100848,19871013,-9999,    9
 19168,100848,19871014,-9999,    9
 19168,100848,19871015,-9999,    9
 19168,100848,19871016,-9999,    9
 19168,100848,19871017,-9999,    9
 19168,100848,19871018,-9999,    9
 19168,100848,19871019,-9999,    9
 19168,100848,19871020,-9999,    9
 19168,100848,19871021,-9999,    9
 19168,100848,19871022,-9999,    9
 19168,100848,19871023,-9999,    9
 19168,100848,19871024,-9999,    9
 19168,100848,19871025,-9999,    9
 19168,100848,19871026,-9999,    9
 19168,100848,19871027,-9999,    9
 19168,100848,19871028,-9999,    9
 19168,100848,19871029,-9999,    9
 19168,100848,19871030,-9999,    9
 19168,100848,19871031,-9999,    9
 19168,100848,19871101,-9999,    9
 19168,100848,19871102,-9999,    9
 19168,100848,19871103,-9999,    9
 19168,100848,19871104,-9999,    9
 19168,100848,19871105,-9999,    9
 19168,100848,19871106,-9999,    9
 19168,100848,19871107,-9999,    9
 19168,100848,19871108,-9999,    9
 19168,100848,19871109,-9999,    9
 19168,100848,19871110,-9999,    9
 19168,100848,19871111,-9999,    9
 19168,100848,19871112,-9999,    9
 19168,100848,19871113,-9999,    9
 19168,100848,19871114,-9999,    9
 19168,100848,19871115,-9999,    9
 19168,100848,19871116,-9999,    9
 19168,100848,19871117,-9999,    9
 19168,100848,19871118,-9999,    9
 19168,100848,19871119,-9999,    9
 19168,100848,19871120,-9999,    9
 19168,100848,19871121,-9999,    9
 19168,100848,19871122,-9999,    9
 19168,100848,19871123,-9999,    9
 19168,100848,19871124,-9999,    9
 19168,100848,19871125,-9999,    9
 19168,100848,19871126,-9999,    9
 19168,100848,19871127,-9999,    9
 19168,100848,19871128,-9999,    9
 19168,100848,19871129,-9999,    9
 19168,100848,19871130,-9999,    9
 19168,100848,19871201,-9999,    9
 19168,100848,19871202,-9999,    9
 19168,100848,19871203,-9999,    9
 19168,100848,19871204,-9999,    9
 19168,100848,19871205,-9999,    9
 19168,100848,19871206,-9999,    9
