EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV7 DYRANUT, NORWAY (STAID: 19169)
Blended and updated with sources:99662 100858 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19169, 99662,20120101,-9999,    9
 19169, 99662,20120102,-9999,    9
 19169, 99662,20120103,-9999,    9
 19169, 99662,20120104,-9999,    9
 19169, 99662,20120105,-9999,    9
 19169, 99662,20120106,-9999,    9
 19169, 99662,20120107,-9999,    9
 19169, 99662,20120108,-9999,    9
 19169, 99662,20120109,-9999,    9
 19169, 99662,20120110,-9999,    9
 19169, 99662,20120111,-9999,    9
 19169, 99662,20120112,-9999,    9
 19169, 99662,20120113,-9999,    9
 19169, 99662,20120114,-9999,    9
 19169, 99662,20120115,-9999,    9
 19169, 99662,20120116,-9999,    9
 19169, 99662,20120117,-9999,    9
 19169, 99662,20120118,  -61,    0
 19169, 99662,20120119,  -72,    0
 19169, 99662,20120120,  -91,    0
 19169, 99662,20120121,-9999,    9
 19169, 99662,20120122,-9999,    9
 19169, 99662,20120123,-9999,    9
 19169, 99662,20120124,-9999,    9
 19169, 99662,20120125,-9999,    9
 19169, 99662,20120126, -100,    0
 19169, 99662,20120127,-9999,    9
 19169, 99662,20120128,-9999,    9
 19169, 99662,20120129, -136,    0
 19169, 99662,20120130, -159,    0
 19169, 99662,20120131, -151,    0
 19169, 99662,20120201,-9999,    9
 19169, 99662,20120202,-9999,    9
 19169, 99662,20120203, -149,    0
 19169, 99662,20120204, -127,    0
 19169, 99662,20120205, -137,    0
 19169, 99662,20120206,  -71,    0
 19169, 99662,20120207,  -69,    0
 19169, 99662,20120208, -110,    0
 19169, 99662,20120209, -102,    0
 19169, 99662,20120210,-9999,    9
 19169, 99662,20120211,-9999,    9
 19169, 99662,20120212,-9999,    9
 19169, 99662,20120213,-9999,    9
 19169, 99662,20120214,-9999,    9
 19169, 99662,20120215,-9999,    9
 19169, 99662,20120216,-9999,    9
 19169, 99662,20120217,-9999,    9
 19169, 99662,20120218,  -30,    0
 19169, 99662,20120219,-9999,    9
 19169, 99662,20120220,-9999,    9
 19169, 99662,20120221,-9999,    9
 19169, 99662,20120222,  -20,    0
 19169, 99662,20120223,  -26,    0
 19169, 99662,20120224,-9999,    9
 19169, 99662,20120225,  -48,    0
 19169, 99662,20120226,  -81,    0
 19169, 99662,20120227,  -28,    0
 19169, 99662,20120228,    9,    0
 19169, 99662,20120229,    3,    0
 19169, 99662,20120301,   -5,    0
 19169, 99662,20120302,  -57,    0
 19169, 99662,20120303,  -63,    0
 19169, 99662,20120304,  -60,    0
 19169, 99662,20120305,  -65,    0
