EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E18 VESTMARKA, NORWAY (STAID: 19180)
Blended and updated with sources:99142 99178 100930 101023 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19180,100930,20130101,-9999,    9
 19180,100930,20130102,-9999,    9
 19180,100930,20130103,-9999,    9
 19180,100930,20130104,   18,    0
 19180,100930,20130105,   -7,    0
 19180,100930,20130106,   -6,    0
 19180, 99178,20130107,   -1,    0
 19180,100930,20130108,   -7,    0
 19180,100930,20130109,   -7,    0
 19180,100930,20130110,   -7,    0
 19180,100930,20130111,  -32,    0
 19180,100930,20130112,  -75,    0
 19180,100930,20130113,  -84,    0
 19180,100930,20130114,  -94,    0
 19180,100930,20130115,  -71,    0
 19180,100930,20130116,  -79,    0
 19180,100930,20130117,  -64,    0
 19180,100930,20130118,  -64,    0
 19180,100930,20130119,-9999,    9
 19180,100930,20130120,-9999,    9
 19180,100930,20130121,-9999,    9
 19180,100930,20130122, -113,    0
 19180,100930,20130123,-9999,    9
 19180,100930,20130124,-9999,    9
 19180,100930,20130125, -100,    0
 19180,100930,20130126,-9999,    9
 19180,100930,20130127,-9999,    9
 19180,100930,20130128,-9999,    9
 19180,100930,20130129,   13,    0
 19180,100930,20130130,   31,    0
 19180,100930,20130131,   14,    0
 19180,100930,20130201,  -48,    0
 19180,100930,20130202,  -43,    0
 19180,100930,20130203,-9999,    9
 19180,100930,20130204,-9999,    9
 19180,100930,20130205,   -9,    0
 19180,100930,20130206,-9999,    9
 19180,100930,20130207,-9999,    9
 19180,100930,20130208,-9999,    9
 19180,100930,20130209,  -73,    0
 19180,100930,20130210,-9999,    9
 19180,100930,20130211,-9999,    9
 19180,100930,20130212,  -40,    0
 19180,100930,20130213,  -36,    0
 19180,100930,20130214,-9999,    9
 19180,100930,20130215,-9999,    9
 19180,100930,20130216,-9999,    9
 19180,100930,20130217,-9999,    9
 19180,100930,20130218,    7,    0
 19180,100930,20130219,  -19,    0
 19180,100930,20130220,  -54,    0
 19180,100930,20130221,  -92,    0
 19180,100930,20130222,  -54,    0
 19180,100930,20130223,-9999,    9
 19180,100930,20130224,-9999,    9
 19180,100930,20130225,-9999,    9
 19180,100930,20130226,-9999,    9
 19180,100930,20130227,  -52,    0
 19180,100930,20130228,-9999,    9
 19180,100930,20130301,   15,    0
 19180,100930,20130302,   32,    0
 19180,100930,20130303,-9999,    9
 19180,100930,20130304,-9999,    9
 19180,100930,20130305,-9999,    9
 19180,100930,20130306,-9999,    9
 19180,100930,20130307,   -1,    0
 19180,100930,20130308,  -19,    0
 19180,100930,20130309,  -37,    0
 19180,100930,20130310,  -68,    0
 19180,100930,20130311,  -60,    0
 19180,100930,20130312,-9999,    9
 19180,100930,20130313,-9999,    9
 19180,100930,20130314,-9999,    9
 19180,100930,20130315,-9999,    9
 19180,100930,20130316,-9999,    9
 19180,100930,20130317,-9999,    9
 19180,100930,20130318,-9999,    9
 19180,100930,20130319,-9999,    9
 19180,100930,20130320,  -47,    0
 19180,100930,20130321,-9999,    9
 19180,100930,20130322,-9999,    9
 19180,100930,20130323,-9999,    9
 19180,100930,20130324,-9999,    9
 19180,100930,20130325,-9999,    9
 19180,100930,20130326,-9999,    9
 19180,100930,20130327,-9999,    9
 19180,100930,20130328,-9999,    9
 19180,100930,20130329,-9999,    9
 19180,100930,20130330,-9999,    9
 19180,100930,20130331,-9999,    9
 19180,100930,20130401,-9999,    9
 19180,100930,20130402,-9999,    9
 19180,100930,20130403,-9999,    9
 19180,100930,20130404,-9999,    9
 19180,100930,20130405,-9999,    9
 19180,100930,20130406,-9999,    9
 19180,100930,20130407,-9999,    9
 19180,100930,20130408,-9999,    9
 19180,100930,20130409,-9999,    9
 19180,100930,20130410,-9999,    9
 19180,100930,20130411,    2,    0
 19180,100930,20130412,    9,    0
 19180,100930,20130413,   30,    0
 19180,100930,20130414,-9999,    9
 19180,100930,20130415,-9999,    9
 19180,100930,20130416,-9999,    9
 19180,100930,20130417,   63,    0
 19180,100930,20130418,-9999,    9
 19180,100930,20130419,-9999,    9
 19180,100930,20130420,-9999,    9
 19180,100930,20130421,-9999,    9
 19180,100930,20130422,-9999,    9
 19180,100930,20130423,-9999,    9
 19180,100930,20130424,   64,    0
 19180,100930,20130425,   62,    0
 19180,100930,20130426,   67,    0
 19180,100930,20130427,-9999,    9
 19180,100930,20130428,-9999,    9
 19180,100930,20130429,-9999,    9
 19180,100930,20130430,   85,    0
 19180,100930,20130501,   55,    0
 19180,100930,20130502,-9999,    9
 19180,100930,20130503,-9999,    9
 19180,100930,20130504,   68,    0
 19180,100930,20130505,   86,    0
 19180,100930,20130506,-9999,    9
 19180,100930,20130507,-9999,    9
 19180,100930,20130508,-9999,    9
 19180,100930,20130509,  100,    0
 19180,100930,20130510,-9999,    9
 19180,100930,20130511,   85,    0
 19180,100930,20130512,   89,    0
 19180,100930,20130513,   74,    0
 19180,100930,20130514,-9999,    9
 19180,100930,20130515,-9999,    9
 19180,100930,20130516,-9999,    9
 19180,100930,20130517,-9999,    9
 19180,100930,20130518,-9999,    9
 19180,100930,20130519,-9999,    9
 19180,100930,20130520,-9999,    9
 19180,100930,20130521,-9999,    9
 19180,100930,20130522,-9999,    9
 19180,100930,20130523,-9999,    9
 19180,100930,20130524,-9999,    9
 19180,100930,20130525,-9999,    9
 19180,100930,20130526,-9999,    9
 19180,100930,20130527,-9999,    9
 19180,100930,20130528,-9999,    9
 19180,100930,20130529,-9999,    9
 19180,100930,20130530,-9999,    9
 19180,100930,20130531,-9999,    9
 19180,100930,20130601,-9999,    9
 19180,100930,20130602,-9999,    9
 19180,100930,20130603,-9999,    9
