EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STEINKJER - VARTUN, NORWAY (STAID: 19193)
Blended and updated with sources:99708 100997 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 19193,100997,19961201,-9999,    9
 19193,100997,19961202,-9999,    9
 19193,100997,19961203,-9999,    9
 19193,100997,19961204,   28,    0
 19193,100997,19961205,   43,    0
 19193,100997,19961206,    7,    0
 19193,100997,19961207,   -1,    0
 19193,100997,19961208,   18,    0
 19193,100997,19961209,   54,    0
 19193,100997,19961210,   57,    0
 19193,100997,19961211,   39,    0
 19193,100997,19961212,   -8,    0
 19193,100997,19961213, -116,    0
 19193,100997,19961214, -133,    0
 19193,100997,19961215, -103,    0
 19193,100997,19961216,  -39,    0
 19193,100997,19961217,  -82,    0
 19193,100997,19961218, -144,    0
 19193,100997,19961219,  -95,    0
 19193,100997,19961220,  -38,    0
 19193,100997,19961221,  -47,    0
 19193,100997,19961222,  -84,    0
 19193,100997,19961223,  -19,    0
 19193,100997,19961224,  -49,    0
 19193,100997,19961225, -108,    0
 19193,100997,19961226,   -7,    0
 19193,100997,19961227,    3,    0
 19193,100997,19961228,   12,    0
 19193,100997,19961229,  -48,    0
 19193,100997,19961230, -115,    0
 19193,100997,19961231,  -89,    0
 19193,100997,19970101,  -28,    0
 19193,100997,19970102,  -70,    0
 19193,100997,19970103,    1,    0
 19193,100997,19970104,   10,    0
 19193,100997,19970105,   -3,    0
 19193,100997,19970106,   12,    0
 19193,100997,19970107,   11,    0
 19193,100997,19970108,  -32,    0
 19193,100997,19970109,  -37,    0
 19193,100997,19970110,  -80,    0
 19193,100997,19970111, -104,    0
 19193,100997,19970112,  -47,    0
 19193,100997,19970113,   33,    0
 19193,100997,19970114,   23,    0
 19193,100997,19970115,   42,    0
 19193,100997,19970116,    7,    0
 19193,100997,19970117,    6,    0
 19193,100997,19970118,    6,    0
 19193,100997,19970119,   17,    0
