EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SKISTUA, NORWAY (STAID: 20064)
Blended and updated with sources:106020 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 20064,106020,20190919,   37,    0
 20064,106020,20190920,   73,    0
 20064,106020,20190921,   94,    0
 20064,106020,20190922,   69,    0
 20064,106020,20190923,   71,    0
 20064,106020,20190924,   67,    0
 20064,106020,20190925,   74,    0
 20064,106020,20190926,   71,    0
 20064,106020,20190927,   83,    0
 20064,106020,20190928,   97,    0
 20064,106020,20190929,   65,    0
 20064,106020,20190930,    3,    0
 20064,106020,20191001,    9,    0
 20064,106020,20191002,   46,    0
 20064,106020,20191003,   23,    0
 20064,106020,20191004,    5,    0
 20064,106020,20191005,  -15,    0
 20064,106020,20191006,    5,    0
 20064,106020,20191007,   22,    0
 20064,106020,20191008,   14,    0
 20064,106020,20191009,   27,    0
 20064,106020,20191010,   34,    0
 20064,106020,20191011,   44,    0
 20064,106020,20191012,   23,    0
 20064,106020,20191013,   22,    0
 20064,106020,20191014,    7,    0
 20064,106020,20191015,   11,    0
 20064,106020,20191016,   31,    0
 20064,106020,20191017,   37,    0
 20064,106020,20191018,   52,    0
 20064,106020,20191019,   28,    0
 20064,106020,20191020,   16,    0
 20064,106020,20191021,   21,    0
 20064,106020,20191022,   50,    0
 20064,106020,20191023,   50,    0
 20064,106020,20191024,   67,    0
 20064,106020,20191025,   34,    0
 20064,106020,20191026,    7,    0
 20064,106020,20191027,    3,    0
 20064,106020,20191028,    2,    0
 20064,106020,20191029,    6,    0
 20064,106020,20191030,   10,    0
 20064,106020,20191031,   12,    0
 20064,106020,20191101,    4,    0
 20064,106020,20191102,   -9,    0
 20064,106020,20191103,  -47,    0
 20064,106020,20191104,  -51,    0
 20064,106020,20191105,  -74,    0
 20064,106020,20191106,  -68,    0
 20064,106020,20191107,  -63,    0
 20064,106020,20191108,  -67,    0
 20064,106020,20191109,  -74,    0
 20064,106020,20191110,  -77,    0
 20064,106020,20191111,  -83,    0
 20064,106020,20191112,  -35,    0
 20064,106020,20191113,   -6,    0
 20064,106020,20191114,  -23,    0
 20064,106020,20191115,  -35,    0
 20064,106020,20191116,  -20,    0
 20064,106020,20191117,    3,    0
 20064,106020,20191118,   -1,    0
 20064,106020,20191119,    0,    0
 20064,106020,20191120,  -31,    0
 20064,106020,20191121,    2,    0
 20064,106020,20191122,   17,    0
 20064,106020,20191123,   16,    0
 20064,106020,20191124,   12,    0
 20064,106020,20191125,   14,    0
 20064,106020,20191126,   -7,    0
 20064,106020,20191127,  -27,    0
 20064,106020,20191128,  -33,    0
 20064,106020,20191129,  -20,    0
 20064,106020,20191130,  -34,    0
 20064,106020,20191201,  -25,    0
 20064,106020,20191202,  -26,    0
 20064,106020,20191203,   21,    0
 20064,106020,20191204,   34,    0
 20064,106020,20191205,    0,    0
 20064,106020,20191206,   -6,    0
 20064,106020,20191207,  -13,    0
 20064,106020,20191208,  -39,    0
 20064,106020,20191209,  -36,    0
 20064,106020,20191210,  -46,    0
 20064,106020,20191211,    6,    0
 20064,106020,20191212,    9,    0
 20064,106020,20191213,  -15,    0
 20064,106020,20191214,    0,    0
 20064,106020,20191215,  -14,    0
 20064,106020,20191216,  -24,    0
 20064,106020,20191217,  -24,    0
 20064,106020,20191218,  -19,    0
 20064,106020,20191219,  -24,    0
 20064,106020,20191220,    9,    0
 20064,106020,20191221,   20,    0
 20064,106020,20191222,    7,    0
 20064,106020,20191223,  -11,    0
 20064,106020,20191224,  -48,    0
 20064,106020,20191225,  -38,    0
 20064,106020,20191226,  -14,    0
 20064,106020,20191227,  -54,    0
 20064,106020,20191228,  -13,    0
 20064,106020,20191229,   34,    0
 20064,106020,20191230,   23,    0
