EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AASTA HANSTEEN, NORWAY (STAID: 20065)
Blended and updated with sources:106021 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 20065,106021,20191001,-9999,    9
 20065,106021,20191002,-9999,    9
 20065,106021,20191003,-9999,    9
 20065,106021,20191004,-9999,    9
 20065,106021,20191005,-9999,    9
 20065,106021,20191006,-9999,    9
 20065,106021,20191007,-9999,    9
 20065,106021,20191008,-9999,    9
 20065,106021,20191009,   71,    0
 20065,106021,20191010,   71,    0
 20065,106021,20191011,   69,    0
 20065,106021,20191012,   60,    0
 20065,106021,20191013,   58,    0
 20065,106021,20191014,   53,    0
 20065,106021,20191015,   61,    0
 20065,106021,20191016,   64,    0
 20065,106021,20191017,   71,    0
 20065,106021,20191018,   59,    0
 20065,106021,20191019,   47,    0
 20065,106021,20191020,   48,    0
 20065,106021,20191021,   59,    0
 20065,106021,20191022,   67,    0
 20065,106021,20191023,   48,    0
 20065,106021,20191024,   67,    0
 20065,106021,20191025,   58,    0
 20065,106021,20191026,   53,    0
 20065,106021,20191027,   39,    0
 20065,106021,20191028,   46,    0
 20065,106021,20191029,   39,    0
 20065,106021,20191030,   48,    0
 20065,106021,20191031,   34,    0
 20065,106021,20191101,   38,    0
 20065,106021,20191102,   20,    0
 20065,106021,20191103,   28,    0
 20065,106021,20191104,   20,    0
 20065,106021,20191105,   25,    0
 20065,106021,20191106,   22,    0
 20065,106021,20191107,   25,    0
 20065,106021,20191108,   22,    0
 20065,106021,20191109,   25,    0
 20065,106021,20191110,   32,    0
 20065,106021,20191111,   20,    0
 20065,106021,20191112,   19,    0
 20065,106021,20191113,   44,    0
 20065,106021,20191114,   45,    0
 20065,106021,20191115,   45,    0
 20065,106021,20191116,   48,    0
 20065,106021,20191117,   48,    0
 20065,106021,20191118,   56,    0
 20065,106021,20191119,   48,    0
 20065,106021,20191120,   63,    0
 20065,106021,20191121,   73,    0
 20065,106021,20191122,   70,    0
 20065,106021,20191123,   70,    0
 20065,106021,20191124,   62,    0
 20065,106021,20191125,   57,    0
 20065,106021,20191126,   34,    0
 20065,106021,20191127,   26,    0
 20065,106021,20191128,   11,    0
 20065,106021,20191129,    8,    0
 20065,106021,20191130,  -13,    0
 20065,106021,20191201,    9,    0
 20065,106021,20191202,   22,    0
 20065,106021,20191203,   69,    0
 20065,106021,20191204,   71,    0
 20065,106021,20191205,   37,    0
 20065,106021,20191206,   44,    0
 20065,106021,20191207,   39,    0
 20065,106021,20191208,   27,    0
 20065,106021,20191209,   -2,    0
 20065,106021,20191210,   16,    0
 20065,106021,20191211,   55,    0
 20065,106021,20191212,   59,    0
 20065,106021,20191213,   53,    0
 20065,106021,20191214,   56,    0
 20065,106021,20191215,   58,    0
 20065,106021,20191216,   53,    0
 20065,106021,20191217,   42,    0
 20065,106021,20191218,   36,    0
 20065,106021,20191219,   41,    0
 20065,106021,20191220,   45,    0
 20065,106021,20191221,   46,    0
 20065,106021,20191222,   70,    0
 20065,106021,20191223,   54,    0
 20065,106021,20191224,   48,    0
 20065,106021,20191225,   49,    0
