EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GRYTAI, NORWAY (STAID: 20317)
Blended and updated with sources:108978 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 20317,108978,20191024,   65,    0
 20317,108978,20191025,   45,    0
 20317,108978,20191026,    4,    0
 20317,108978,20191027,  -12,    0
 20317,108978,20191028,  -24,    0
 20317,108978,20191029,  -43,    0
 20317,108978,20191030,  -19,    0
 20317,108978,20191031,    6,    0
 20317,108978,20191101,  -26,    0
 20317,108978,20191102,  -11,    0
 20317,108978,20191103,  -20,    0
 20317,108978,20191104,  -29,    0
 20317,108978,20191105,  -74,    0
 20317,108978,20191106,  -92,    0
 20317,108978,20191107,  -80,    0
 20317,108978,20191108,  -80,    0
 20317,108978,20191109,  -39,    0
 20317,108978,20191110,  -44,    0
 20317,108978,20191111,  -50,    0
 20317,108978,20191112,  -14,    0
 20317,108978,20191113,   -4,    0
 20317,108978,20191114,   -5,    0
 20317,108978,20191115,  -13,    0
 20317,108978,20191116,   -3,    0
 20317,108978,20191117,  -37,    0
 20317,108978,20191118,  -13,    0
 20317,108978,20191119,   -8,    0
 20317,108978,20191120,  -49,    0
 20317,108978,20191121,   12,    0
 20317,108978,20191122,   15,    0
 20317,108978,20191123,   13,    0
 20317,108978,20191124,    1,    0
 20317,108978,20191125,  -11,    0
 20317,108978,20191126,   -8,    0
 20317,108978,20191127,   -9,    0
 20317,108978,20191128,  -15,    0
 20317,108978,20191129,  -78,    0
 20317,108978,20191130, -116,    0
 20317,108978,20191201,  -62,    0
 20317,108978,20191202,  -94,    0
 20317,108978,20191203,   15,    0
 20317,108978,20191204,   24,    0
 20317,108978,20191205,   31,    0
 20317,108978,20191206,   18,    0
 20317,108978,20191207,  -16,    0
 20317,108978,20191208,   -8,    0
 20317,108978,20191209,  -17,    0
 20317,108978,20191210,  -41,    0
 20317,108978,20191211,    6,    0
 20317,108978,20191212,  -12,    0
 20317,108978,20191213,  -15,    0
 20317,108978,20191214,  -16,    0
 20317,108978,20191215,  -27,    0
 20317,108978,20191216,  -38,    0
 20317,108978,20191217,  -38,    0
 20317,108978,20191218,  -87,    0
 20317,108978,20191219,  -41,    0
 20317,108978,20191220,    7,    0
 20317,108978,20191221,    2,    0
 20317,108978,20191222,    4,    0
 20317,108978,20191223,    1,    0
 20317,108978,20191224,  -18,    0
 20317,108978,20191225,  -83,    0
 20317,108978,20191226, -127,    0
 20317,108978,20191227, -145,    0
 20317,108978,20191228,  -33,    0
 20317,108978,20191229,   42,    0
 20317,108978,20191230,   49,    0
 20317,108978,20191231,    3,    0
 20317,108978,20200101,   26,    0
 20317,108978,20200102,   27,    0
 20317,108978,20200103,    8,    0
 20317,108978,20200104,  -32,    0
 20317,108978,20200105,   -7,    0
 20317,108978,20200106,   24,    0
 20317,108978,20200107,   21,    0
 20317,108978,20200108,   25,    0
 20317,108978,20200109,  -13,    0
 20317,108978,20200110,  -72,    0
 20317,108978,20200111,   20,    0
 20317,108978,20200112,    5,    0
 20317,108978,20200113,   -6,    0
 20317,108978,20200114,    3,    0
 20317,108978,20200115,   12,    0
 20317,108978,20200116,   25,    0
 20317,108978,20200117,   14,    0
 20317,108978,20200118,    7,    0
 20317,108978,20200119,   -3,    0
 20317,108978,20200120,   52,    0
 20317,108978,20200121,   44,    0
 20317,108978,20200122,   -5,    0
 20317,108978,20200123,   43,    0
 20317,108978,20200124,   26,    0
 20317,108978,20200125,   19,    0
 20317,108978,20200126,   22,    0
 20317,108978,20200127,    8,    0
 20317,108978,20200128,  -18,    0
 20317,108978,20200129,  -45,    0
 20317,108978,20200130,  -56,    0
 20317,108978,20200131,  -10,    0
 20317,108978,20200201,   30,    0
 20317,108978,20200202,  -20,    0
 20317,108978,20200203,  -72,    0
 20317,108978,20200204,  -69,    0
 20317,108978,20200205,    9,    0
 20317,108978,20200206,   33,    0
 20317,108978,20200207,  -22,    0
 20317,108978,20200208,    0,    0
 20317,108978,20200209,   12,    0
 20317,108978,20200210,    5,    0
 20317,108978,20200211,   -7,    0
 20317,108978,20200212,  -15,    0
 20317,108978,20200213,  -52,    0
 20317,108978,20200214,  -62,    0
 20317,108978,20200215,   18,    0
 20317,108978,20200216,   15,    0
 20317,108978,20200217,   14,    0
 20317,108978,20200218,    7,    0
 20317,108978,20200219,  -45,    0
 20317,108978,20200220,   -4,    0
 20317,108978,20200221,   17,    0
 20317,108978,20200222,    5,    0
 20317,108978,20200223,  -18,    0
 20317,108978,20200224,  -48,    0
 20317,108978,20200225,  -39,    0
 20317,108978,20200226,  -89,    0
 20317,108978,20200227,  -87,    0
 20317,108978,20200228,  -42,    0
 20317,108978,20200229,  -31,    0
 20317,108978,20200301,  -18,    0
 20317,108978,20200302,    1,    0
 20317,108978,20200303,  -12,    0
 20317,108978,20200304,  -33,    0
 20317,108978,20200305,  -87,    0
 20317,108978,20200306,  -91,    0
 20317,108978,20200307,  -74,    0
 20317,108978,20200308,   21,    0
 20317,108978,20200309,   13,    0
 20317,108978,20200310,   -4,    0
 20317,108978,20200311,   10,    0
 20317,108978,20200312,   -9,    0
 20317,108978,20200313,  -39,    0
 20317,108978,20200314,  -71,    0
 20317,108978,20200315,   12,    0
 20317,108978,20200316,   -5,    0
 20317,108978,20200317,   31,    0
 20317,108978,20200318,   11,    0
 20317,108978,20200319,   11,    0
 20317,108978,20200320,  -31,    0
 20317,108978,20200321,  -58,    0
 20317,108978,20200322,  -44,    0
 20317,108978,20200323,   -6,    0
