EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OEVRE LEIRBOTN, NORWAY (STAID: 20321)
Blended and updated with sources:108983 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 20321,108983,20191024,  -45,    0
 20321,108983,20191025,  -19,    0
 20321,108983,20191026,  -68,    0
 20321,108983,20191027, -137,    0
 20321,108983,20191028,  -64,    0
 20321,108983,20191029,  -64,    0
 20321,108983,20191030, -116,    0
 20321,108983,20191031,  -82,    0
 20321,108983,20191101, -109,    0
 20321,108983,20191102, -159,    0
 20321,108983,20191103, -130,    0
 20321,108983,20191104,  -36,    0
 20321,108983,20191105,  -42,    0
 20321,108983,20191106, -132,    0
 20321,108983,20191107, -154,    0
 20321,108983,20191108, -135,    0
 20321,108983,20191109, -165,    0
 20321,108983,20191110, -212,    0
 20321,108983,20191111, -169,    0
 20321,108983,20191112,  -92,    0
 20321,108983,20191113,  -40,    0
 20321,108983,20191114,  -27,    0
 20321,108983,20191115,  -46,    0
 20321,108983,20191116,  -75,    0
 20321,108983,20191117,  -59,    0
 20321,108983,20191118,  -58,    0
 20321,108983,20191119,  -27,    0
 20321,108983,20191120,   -5,    0
 20321,108983,20191121,  -26,    0
 20321,108983,20191122,  -59,    0
 20321,108983,20191123,  -36,    0
 20321,108983,20191124,  -48,    0
 20321,108983,20191125,  -19,    0
 20321,108983,20191126,  -37,    0
 20321,108983,20191127,  -90,    0
 20321,108983,20191128, -101,    0
 20321,108983,20191129,  -39,    0
 20321,108983,20191130,  -45,    0
 20321,108983,20191201,  -27,    0
 20321,108983,20191202,  -18,    0
 20321,108983,20191203,  -40,    0
 20321,108983,20191204,  -24,    0
 20321,108983,20191205,  -30,    0
 20321,108983,20191206,  -75,    0
 20321,108983,20191207,  -62,    0
 20321,108983,20191208,  -97,    0
 20321,108983,20191209, -166,    0
 20321,108983,20191210,  -92,    0
 20321,108983,20191211,  -82,    0
 20321,108983,20191212,  -25,    0
 20321,108983,20191213,  -35,    0
 20321,108983,20191214,  -37,    0
 20321,108983,20191215,   -7,    0
 20321,108983,20191216,  -19,    0
 20321,108983,20191217,  -56,    0
 20321,108983,20191218,  -55,    0
 20321,108983,20191219,  -76,    0
 20321,108983,20191220, -193,    0
 20321,108983,20191221, -183,    0
 20321,108983,20191222,  -85,    0
 20321,108983,20191223,  -30,    0
 20321,108983,20191224,  -28,    0
 20321,108983,20191225,  -18,    0
 20321,108983,20191226,  -60,    0
 20321,108983,20191227, -140,    0
