EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ZARREN_P, BELGIUM (STAID: 20787)
Blended and updated with sources:118295 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 20787,118295,20201001,  134,    0
 20787,118295,20201002,  114,    0
 20787,118295,20201003,  125,    0
 20787,118295,20201004,  109,    0
 20787,118295,20201005,  127,    0
 20787,118295,20201006,  135,    0
 20787,118295,20201007,  124,    0
 20787,118295,20201008,  139,    0
 20787,118295,20201009,  116,    0
 20787,118295,20201010,   94,    0
 20787,118295,20201011,  100,    0
 20787,118295,20201012,  106,    0
 20787,118295,20201013,   94,    0
 20787,118295,20201014,   91,    0
 20787,118295,20201015,   99,    0
 20787,118295,20201016,   89,    0
 20787,118295,20201017,   71,    0
 20787,118295,20201018,  102,    0
 20787,118295,20201019,  107,    0
 20787,118295,20201020,  124,    0
 20787,118295,20201021,  153,    0
 20787,118295,20201022,  134,    0
 20787,118295,20201023,  121,    0
 20787,118295,20201024,  138,    0
 20787,118295,20201025,-9999,    9
 20787,118295,20201026,   93,    0
 20787,118295,20201027,   97,    0
 20787,118295,20201028,  101,    0
 20787,118295,20201029,  110,    0
 20787,118295,20201030,  145,    0
 20787,118295,20201031,  133,    0
 20787,118295,20201101,  145,    0
 20787,118295,20201102,  152,    0
 20787,118295,20201103,   84,    0
 20787,118295,20201104,   63,    0
 20787,118295,20201105,   47,    0
 20787,118295,20201106,   47,    0
 20787,118295,20201107,   66,    0
 20787,118295,20201108,  105,    0
 20787,118295,20201109,  124,    0
 20787,118295,20201110,  106,    0
 20787,118295,20201111,  103,    0
 20787,118295,20201112,  108,    0
 20787,118295,20201113,  102,    0
 20787,118295,20201114,  126,    0
 20787,118295,20201115,  121,    0
 20787,118295,20201116,   99,    0
 20787,118295,20201117,  114,    0
 20787,118295,20201118,  122,    0
 20787,118295,20201119,   86,    0
 20787,118295,20201120,   55,    0
 20787,118295,20201121,   90,    0
 20787,118295,20201122,   92,    0
 20787,118295,20201123,   73,    0
 20787,118295,20201124,   72,    0
 20787,118295,20201125,   71,    0
 20787,118295,20201126,   86,    0
 20787,118295,20201127,   76,    0
 20787,118295,20201128,   56,    0
 20787,118295,20201129,   27,    0
 20787,118295,20201130,   46,    0
 20787,118295,20201201,   83,    0
 20787,118295,20201202,   63,    0
 20787,118295,20201203,   58,    0
 20787,118295,20201204,   50,    0
 20787,118295,20201205,   32,    0
 20787,118295,20201206,   14,    0
 20787,118295,20201207,    0,    0
 20787,118295,20201208,   18,    0
 20787,118295,20201209,   23,    0
 20787,118295,20201210,   35,    0
 20787,118295,20201211,   51,    0
 20787,118295,20201212,   74,    0
 20787,118295,20201213,   59,    0
 20787,118295,20201214,  103,    0
 20787,118295,20201215,   91,    0
 20787,118295,20201216,   73,    0
 20787,118295,20201217,   85,    0
 20787,118295,20201218,   87,    0
 20787,118295,20201219,   89,    0
 20787,118295,20201220,   83,    0
 20787,118295,20201221,   89,    0
 20787,118295,20201222,  123,    0
 20787,118295,20201223,  115,    0
 20787,118295,20201224,   60,    0
 20787,118295,20201225,   41,    0
 20787,118295,20201226,   43,    0
 20787,118295,20201227,   52,    0
 20787,118295,20201228,   30,    0
 20787,118295,20201229,   30,    0
 20787,118295,20201230,   34,    0
 20787,118295,20201231,   22,    0
 20787,118295,20210101,   13,    0
 20787,118295,20210102,   29,    0
 20787,118295,20210103,   20,    0
 20787,118295,20210104,   26,    0
 20787,118295,20210105,   25,    0
 20787,118295,20210106,   24,    0
 20787,118295,20210107,   18,    0
 20787,118295,20210108,   13,    0
 20787,118295,20210109,  -25,    0
 20787,118295,20210110,    0,    0
 20787,118295,20210111,   48,    0
 20787,118295,20210112,   60,    0
 20787,118295,20210113,   29,    0
 20787,118295,20210114,   11,    0
 20787,118295,20210115,    8,    0
 20787,118295,20210116,    1,    0
 20787,118295,20210117,   44,    0
 20787,118295,20210118,   43,    0
 20787,118295,20210119,   75,    0
 20787,118295,20210120,   84,    0
 20787,118295,20210121,   65,    0
 20787,118295,20210122,   37,    0
 20787,118295,20210123,   28,    0
 20787,118295,20210124,   13,    0
 20787,118295,20210125,   25,    0
 20787,118295,20210126,   23,    0
 20787,118295,20210127,   49,    0
 20787,118295,20210128,   93,    0
 20787,118295,20210129,   92,    0
 20787,118295,20210130,   33,    0
 20787,118295,20210131,    5,    0
 20787,118295,20210201,   36,    0
 20787,118295,20210202,   81,    1
 20787,118295,20210203,   89,    0
 20787,118295,20210204,   62,    0
 20787,118295,20210205,   75,    0
 20787,118295,20210206,   54,    0
 20787,118295,20210207,  -21,    0
 20787,118295,20210208,  -44,    0
 20787,118295,20210209,  -42,    0
 20787,118295,20210210,  -37,    0
 20787,118295,20210211,  -39,    0
 20787,118295,20210212,  -43,    0
 20787,118295,20210213,  -38,    0
 20787,118295,20210214,  -11,    0
 20787,118295,20210215,   35,    1
 20787,118295,20210216,   71,    1
 20787,118295,20210217,   90,    0
 20787,118295,20210218,   77,    0
 20787,118295,20210219,   65,    0
 20787,118295,20210220,  123,    1
 20787,118295,20210221,  113,    0
 20787,118295,20210222,  112,    0
 20787,118295,20210223,  130,    0
 20787,118295,20210224,  139,    0
 20787,118295,20210225,  105,    0
 20787,118295,20210226,   61,    0
 20787,118295,20210227,   38,    0
 20787,118295,20210228,   52,    0
 20787,118295,20210301,   41,    0
 20787,118295,20210302,   54,    0
 20787,118295,20210303,   50,    0
 20787,118295,20210304,   43,    0
 20787,118295,20210305,   34,    0
 20787,118295,20210306,   20,    0
 20787,118295,20210307,   18,    0
 20787,118295,20210308,   38,    0
 20787,118295,20210309,   50,    0
 20787,118295,20210310,   59,    0
 20787,118295,20210311,   96,    0
 20787,118295,20210312,   68,    0
 20787,118295,20210313,   72,    0
 20787,118295,20210314,   64,    0
 20787,118295,20210315,   71,    0
 20787,118295,20210316,   56,    0
 20787,118295,20210317,   62,    0
 20787,118295,20210318,   57,    0
 20787,118295,20210319,   50,    0
 20787,118295,20210320,   51,    0
 20787,118295,20210321,   66,    0
 20787,118295,20210322,   56,    0
 20787,118295,20210323,   63,    0
 20787,118295,20210324,   69,    0
 20787,118295,20210325,   91,    0
 20787,118295,20210326,   90,    0
 20787,118295,20210327,   72,    0
 20787,118295,20210328,-9999,    9
 20787,118295,20210329,  115,    0
 20787,118295,20210330,  121,    0
 20787,118295,20210331,  137,    0
 20787,118295,20210401,   94,    0
 20787,118295,20210402,   57,    0
 20787,118295,20210403,   66,    0
 20787,118295,20210404,   60,    0
 20787,118295,20210405,   43,    0
 20787,118295,20210406,   34,    0
 20787,118295,20210407,   30,    0
 20787,118295,20210408,   57,    0
 20787,118295,20210409,   74,    0
 20787,118295,20210410,   61,    0
 20787,118295,20210411,   51,    0
 20787,118295,20210412,   33,    0
 20787,118295,20210413,   44,    0
 20787,118295,20210414,   43,    0
 20787,118295,20210415,   45,    0
 20787,118295,20210416,   55,    0
 20787,118295,20210417,   67,    0
 20787,118295,20210418,   58,    0
 20787,118295,20210419,   60,    0
 20787,118295,20210420,   84,    0
 20787,118295,20210421,   69,    0
 20787,118295,20210422,   70,    0
 20787,118295,20210423,   78,    0
 20787,118295,20210424,   86,    0
 20787,118295,20210425,   73,    0
 20787,118295,20210426,   74,    0
