EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OVERPELT_P, BELGIUM (STAID: 20795)
Blended and updated with sources:118292 906479 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 20795,118292,20201001,  137,    0
 20795,118292,20201002,  119,    0
 20795,118292,20201003,  125,    0
 20795,118292,20201004,  116,    0
 20795,118292,20201005,  120,    0
 20795,118292,20201006,  129,    0
 20795,118292,20201007,  124,    0
 20795,118292,20201008,  131,    0
 20795,118292,20201009,  120,    0
 20795,118292,20201010,   94,    0
 20795,118292,20201011,   88,    0
 20795,118292,20201012,   93,    0
 20795,118292,20201013,   87,    0
 20795,118292,20201014,   76,    0
 20795,118292,20201015,   89,    0
 20795,118292,20201016,   86,    0
 20795,118292,20201017,   77,    0
 20795,118292,20201018,   89,    0
 20795,118292,20201019,   91,    0
 20795,118292,20201020,  113,    0
 20795,118292,20201021,  157,    0
 20795,118292,20201022,  146,    0
 20795,118292,20201023,  129,    0
 20795,118292,20201024,  136,    0
 20795,906479,20201025,  127,    1
 20795,118292,20201026,  101,    0
 20795,118292,20201027,   98,    0
 20795,118292,20201028,  110,    0
 20795,118292,20201029,  103,    0
 20795,118292,20201030,  139,    0
 20795,118292,20201031,  140,    0
 20795,118292,20201101,  143,    0
 20795,118292,20201102,  162,    0
 20795,118292,20201103,   90,    0
 20795,118292,20201104,   56,    0
 20795,118292,20201105,   37,    0
 20795,118292,20201106,   49,    0
 20795,118292,20201107,   70,    0
 20795,118292,20201108,   84,    0
 20795,118292,20201109,  122,    0
 20795,118292,20201110,  123,    0
 20795,118292,20201111,  106,    0
 20795,118292,20201112,  107,    0
 20795,118292,20201113,  101,    0
 20795,118292,20201114,  134,    0
 20795,118292,20201115,  135,    0
 20795,118292,20201116,  106,    0
 20795,118292,20201117,  116,    0
