EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TOENSBERG - BERKAKER, NORWAY (STAID: 20825)
Blended and updated with sources:99238 99359 99384 99440 100852 111248 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 20825,100852,19570101,  -38,    0
 20825,100852,19570102,  -65,    0
 20825,100852,19570103,  -64,    0
 20825,100852,19570104,  -46,    0
 20825,100852,19570105,   27,    0
 20825,100852,19570106,   34,    0
 20825,100852,19570107,   38,    0
 20825,100852,19570108,   54,    0
 20825,100852,19570109,   51,    0
 20825,100852,19570110,   29,    0
 20825,100852,19570111,   -3,    0
 20825,100852,19570112,   -6,    0
 20825,100852,19570113,  -43,    0
 20825,100852,19570114, -119,    0
 20825,100852,19570115, -107,    0
 20825,100852,19570116,  -88,    0
 20825,100852,19570117,  -74,    0
 20825,100852,19570118,  -54,    0
 20825,100852,19570119,  -16,    0
 20825,100852,19570120,   40,    0
 20825,100852,19570121,   54,    0
 20825,100852,19570122,   30,    0
 20825,100852,19570123,  -18,    0
 20825,100852,19570124,    0,    0
 20825,100852,19570125,   -4,    0
 20825,100852,19570126,   12,    0
 20825,100852,19570127,    6,    0
 20825,100852,19570128,   11,    0
 20825,100852,19570129,   44,    0
 20825,100852,19570130,    2,    0
 20825,100852,19570131,  -36,    0
 20825,100852,19570201,   21,    0
 20825,100852,19570202,   37,    0
 20825,100852,19570203,   15,    0
 20825,100852,19570204,   27,    0
 20825,100852,19570205,   47,    0
 20825,100852,19570206,   26,    0
 20825,100852,19570207,   26,    0
 20825,100852,19570208,  -13,    0
 20825,100852,19570209,  -10,    0
 20825,100852,19570210,   -2,    0
 20825,100852,19570211,  -61,    0
 20825,100852,19570212,  -73,    0
 20825,100852,19570213,  -41,    0
 20825,100852,19570214,  -46,    0
 20825,100852,19570215,  -49,    0
 20825,100852,19570216,  -48,    0
 20825,100852,19570217,  -38,    0
 20825,100852,19570218,  -37,    0
 20825,100852,19570219,  -32,    0
 20825,100852,19570220,  -40,    0
 20825,100852,19570221,  -31,    0
 20825,100852,19570222,  -71,    0
 20825,100852,19570223,  -70,    0
 20825,100852,19570224,  -75,    0
 20825,100852,19570225, -124,    0
 20825,100852,19570226,  -38,    0
 20825,100852,19570227,  -29,    0
 20825,100852,19570228,  -68,    0
 20825,100852,19570301,    7,    0
 20825,100852,19570302,    0,    0
 20825,100852,19570303,   18,    0
 20825,100852,19570304,    5,    0
 20825,100852,19570305,  -19,    0
 20825,100852,19570306,  -46,    0
 20825,100852,19570307,  -19,    0
 20825,100852,19570308,  -19,    0
 20825,100852,19570309,  -10,    0
 20825,100852,19570310,    7,    0
 20825,100852,19570311,   12,    0
 20825,100852,19570312,   17,    0
 20825,100852,19570313,   46,    0
 20825,100852,19570314,   41,    0
 20825,100852,19570315,   13,    0
 20825,100852,19570316,  -66,    0
 20825,100852,19570317,  -66,    0
 20825,100852,19570318,  -52,    0
 20825,100852,19570319,  -49,    0
 20825,100852,19570320,  -55,    0
 20825,100852,19570321,  -25,    0
 20825,100852,19570322,   20,    0
 20825,100852,19570323,  -49,    0
 20825,100852,19570324,  -47,    0
 20825,100852,19570325,  -55,    0
 20825,100852,19570326,   -9,    0
 20825,100852,19570327,   13,    0
 20825,100852,19570328,   39,    0
 20825,100852,19570329,   64,    0
 20825,100852,19570330,   29,    0
 20825,100852,19570331,   18,    0
 20825,100852,19570401,   36,    0
 20825,100852,19570402,   51,    0
 20825,100852,19570403,   56,    0
 20825,100852,19570404,   72,    0
 20825,100852,19570405,   87,    0
 20825,100852,19570406,   65,    0
 20825,100852,19570407,   42,    0
 20825,100852,19570408,   84,    0
 20825,100852,19570409,   29,    0
 20825,100852,19570410,   14,    0
 20825,100852,19570411,  -10,    0
 20825,100852,19570412,  -15,    0
 20825,100852,19570413,   -5,    0
 20825,100852,19570414,   -5,    0
 20825,100852,19570415,    3,    0
 20825,100852,19570416,   18,    0
 20825,100852,19570417,   20,    0
 20825,100852,19570418,   39,    0
 20825,100852,19570419,   48,    0
 20825,100852,19570420,   43,    0
 20825,100852,19570421,   51,    0
 20825,100852,19570422,   60,    0
 20825,100852,19570423,   25,    0
 20825,100852,19570424,   70,    0
 20825,100852,19570425,   86,    0
 20825,100852,19570426,   93,    0
 20825,100852,19570427,   97,    0
 20825,100852,19570428,   95,    0
 20825,100852,19570429,   94,    0
 20825,100852,19570430,   55,    0
 20825,100852,19570501,   39,    0
 20825,100852,19570502,   78,    0
 20825,100852,19570503,   70,    0
 20825,100852,19570504,   43,    0
 20825,100852,19570505,   54,    0
 20825,100852,19570506,   35,    0
 20825,100852,19570507,   37,    0
 20825,100852,19570508,   50,    0
 20825,100852,19570509,   51,    0
 20825,100852,19570510,   30,    0
 20825,100852,19570511,   55,    0
 20825,100852,19570512,   86,    0
 20825,100852,19570513,   99,    0
 20825,100852,19570514,   96,    0
 20825,100852,19570515,   86,    0
 20825,100852,19570516,   97,    0
 20825,100852,19570517,   87,    0
 20825,100852,19570518,  100,    0
 20825,100852,19570519,  114,    0
 20825,100852,19570520,  117,    0
 20825,100852,19570521,   83,    0
 20825,100852,19570522,  108,    0
 20825,100852,19570523,  131,    0
 20825,100852,19570524,  108,    0
 20825,100852,19570525,  120,    0
 20825,100852,19570526,  109,    0
 20825,100852,19570527,   99,    0
 20825,100852,19570528,  114,    0
 20825,100852,19570529,  124,    0
 20825,100852,19570530,  110,    0
 20825,100852,19570531,  118,    0
 20825,100852,19570601,  160,    0
 20825,100852,19570602,  154,    0
 20825,100852,19570603,  156,    0
 20825,100852,19570604,  137,    0
 20825,100852,19570605,  107,    0
 20825,100852,19570606,   95,    0
 20825,100852,19570607,  114,    0
 20825,100852,19570608,  105,    0
 20825,100852,19570609,  100,    0
 20825,100852,19570610,  127,    0
 20825,100852,19570611,  145,    0
 20825,100852,19570612,  140,    0
 20825,100852,19570613,  150,    0
 20825,100852,19570614,  171,    0
 20825,100852,19570615,  176,    0
 20825,100852,19570616,  199,    0
 20825,100852,19570617,  194,    0
 20825,100852,19570618,  175,    0
 20825,100852,19570619,  127,    0
 20825,100852,19570620,  119,    0
 20825,100852,19570621,   94,    0
 20825,100852,19570622,  108,    0
 20825,100852,19570623,   86,    0
 20825,100852,19570624,  102,    0
 20825,100852,19570625,  114,    0
 20825,100852,19570626,  121,    0
 20825,100852,19570627,  132,    0
 20825,100852,19570628,  154,    0
 20825,100852,19570629,  134,    0
 20825,100852,19570630,  143,    0
 20825,100852,19570701,  137,    0
 20825,100852,19570702,  165,    0
 20825,100852,19570703,  156,    0
 20825,100852,19570704,  140,    0
 20825,100852,19570705,  162,    0
 20825,100852,19570706,  157,    0
 20825,100852,19570707,  130,    0
 20825,100852,19570708,  144,    0
 20825,100852,19570709,  146,    0
 20825,100852,19570710,  144,    0
 20825,100852,19570711,  133,    0
 20825,100852,19570712,  136,    0
 20825,100852,19570713,  159,    0
 20825,100852,19570714,  166,    0
 20825,100852,19570715,  156,    0
 20825,100852,19570716,  159,    0
 20825,100852,19570717,  151,    0
 20825,100852,19570718,  162,    0
 20825,100852,19570719,  176,    0
 20825,100852,19570720,  188,    0
 20825,100852,19570721,  205,    0
 20825,100852,19570722,  206,    0
 20825,100852,19570723,  199,    0
 20825,100852,19570724,  175,    0
 20825,100852,19570725,  178,    0
 20825,100852,19570726,  165,    0
 20825,100852,19570727,  149,    0
 20825,100852,19570728,  159,    0
 20825,100852,19570729,  175,    0
 20825,100852,19570730,  176,    0
 20825,100852,19570731,  189,    0
 20825,100852,19570801,  173,    0
 20825,100852,19570802,  150,    0
 20825,100852,19570803,  166,    0
 20825,100852,19570804,  169,    0
 20825,100852,19570805,  177,    0
 20825,100852,19570806,  176,    0
 20825,100852,19570807,  171,    0
 20825,100852,19570808,  151,    0
 20825,100852,19570809,  148,    0
 20825,100852,19570810,  145,    0
 20825,100852,19570811,  165,    0
 20825,100852,19570812,  157,    0
 20825,100852,19570813,  149,    0
 20825,100852,19570814,  152,    0
 20825,100852,19570815,  140,    0
 20825,100852,19570816,  148,    0
 20825,100852,19570817,  162,    0
 20825,100852,19570818,  181,    0
 20825,100852,19570819,  149,    0
 20825,100852,19570820,  164,    0
 20825,100852,19570821,  145,    0
 20825,100852,19570822,  119,    0
 20825,100852,19570823,  104,    0
 20825,100852,19570824,  116,    0
 20825,100852,19570825,  107,    0
 20825,100852,19570826,  113,    0
 20825,100852,19570827,  117,    0
 20825,100852,19570828,  109,    0
 20825,100852,19570829,  109,    0
 20825,100852,19570830,  105,    0
 20825,100852,19570831,  120,    0
 20825,100852,19570901,  109,    0
 20825,100852,19570902,  128,    0
 20825,100852,19570903,  112,    0
 20825,100852,19570904,  121,    0
 20825,100852,19570905,  101,    0
 20825,100852,19570906,  120,    0
 20825,100852,19570907,  125,    0
 20825,100852,19570908,  134,    0
 20825,100852,19570909,  106,    0
 20825,100852,19570910,  128,    0
 20825,100852,19570911,  113,    0
 20825,100852,19570912,  115,    0
 20825,100852,19570913,  101,    0
 20825,100852,19570914,  111,    0
 20825,100852,19570915,  105,    0
 20825,100852,19570916,  112,    0
 20825,100852,19570917,  110,    0
 20825,100852,19570918,  103,    0
 20825,100852,19570919,   73,    0
 20825,100852,19570920,   81,    0
 20825,100852,19570921,   81,    0
 20825,100852,19570922,   63,    0
 20825,100852,19570923,   63,    0
 20825,100852,19570924,   54,    0
 20825,100852,19570925,   50,    0
 20825,100852,19570926,   40,    0
 20825,100852,19570927,   89,    0
 20825,100852,19570928,   73,    0
 20825,100852,19570929,   51,    0
 20825,100852,19570930,   62,    0
 20825,100852,19571001,   48,    0
 20825,100852,19571002,   73,    0
 20825,100852,19571003,   57,    0
 20825,100852,19571004,   47,    0
 20825,100852,19571005,   76,    0
 20825,100852,19571006,   65,    0
 20825,100852,19571007,  150,    0
 20825,100852,19571008,  102,    0
 20825,100852,19571009,   99,    0
 20825,100852,19571010,   98,    0
 20825,100852,19571011,   84,    0
 20825,100852,19571012,   85,    0
 20825,100852,19571013,  106,    0
 20825,100852,19571014,   55,    0
 20825,100852,19571015,   40,    0
 20825,100852,19571016,   97,    0
 20825,100852,19571017,   85,    0
 20825,100852,19571018,   35,    0
 20825,100852,19571019,   50,    0
 20825,100852,19571020,   40,    0
 20825,100852,19571021,   75,    0
 20825,100852,19571022,   21,    0
 20825,100852,19571023,   42,    0
 20825,100852,19571024,   62,    0
 20825,100852,19571025,   36,    0
 20825,100852,19571026,   80,    0
 20825,100852,19571027,   80,    0
 20825,100852,19571028,   73,    0
 20825,100852,19571029,   69,    0
 20825,100852,19571030,   41,    0
 20825,100852,19571031,   36,    0
 20825,100852,19571101,   79,    0
 20825,100852,19571102,   56,    0
