EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV17 ASELIBRUA, NORWAY (STAID: 21763)
Blended and updated with sources:99182 99438 118115 118121 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 21763, 99182,20140101,   28,    0
 21763, 99182,20140102,-9999,    9
 21763, 99182,20140103,   61,    0
 21763, 99182,20140104,   63,    0
 21763, 99182,20140105,   45,    0
 21763, 99182,20140106,   44,    0
 21763, 99182,20140107,   35,    0
 21763, 99182,20140108,-9999,    9
 21763, 99182,20140109,  -11,    0
 21763, 99182,20140110,  -65,    0
 21763, 99182,20140111,  -73,    0
 21763, 99182,20140112,  -85,    0
 21763, 99182,20140113,  -84,    0
 21763, 99182,20140114,-9999,    9
 21763, 99182,20140115,  -52,    0
 21763, 99182,20140116,  -68,    0
 21763, 99182,20140117,  -67,    0
 21763, 99182,20140118,  -54,    0
 21763, 99182,20140119,  -42,    0
 21763, 99182,20140120,-9999,    9
 21763, 99182,20140121,  -22,    0
 21763, 99182,20140122,-9999,    9
 21763, 99182,20140123,  -55,    0
 21763, 99182,20140124,  -40,    0
 21763, 99182,20140125,  -25,    0
 21763, 99182,20140126,  -45,    0
 21763, 99182,20140127,  -40,    0
 21763, 99182,20140128,  -33,    0
 21763, 99182,20140129,  -19,    0
 21763, 99182,20140130,-9999,    9
 21763, 99182,20140131,-9999,    9
 21763, 99182,20140201,-9999,    9
 21763, 99182,20140202,-9999,    9
 21763, 99182,20140203,-9999,    9
 21763, 99182,20140204,   59,    0
 21763, 99182,20140205,   16,    0
 21763, 99182,20140206,   10,    0
 21763, 99438,20140207,   13,    0
 21763, 99438,20140208,   23,    0
 21763, 99182,20140209,   44,    0
