EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV38 BUSTRAK, NORWAY (STAID: 21765)
Blended and updated with sources:118117 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 21765,118117,20200901,-9999,    9
 21765,118117,20200902,-9999,    9
 21765,118117,20200903,-9999,    9
 21765,118117,20200904,-9999,    9
 21765,118117,20200905,-9999,    9
 21765,118117,20200906,-9999,    9
 21765,118117,20200907,-9999,    9
 21765,118117,20200908,-9999,    9
 21765,118117,20200909,-9999,    9
 21765,118117,20200910,-9999,    9
 21765,118117,20200911,-9999,    9
 21765,118117,20200912,-9999,    9
 21765,118117,20200913,-9999,    9
 21765,118117,20200914,-9999,    9
 21765,118117,20200915,-9999,    9
 21765,118117,20200916,-9999,    9
 21765,118117,20200917,-9999,    9
 21765,118117,20200918,-9999,    9
 21765,118117,20200919,  135,    0
 21765,118117,20200920,  140,    0
 21765,118117,20200921,  143,    0
 21765,118117,20200922,  137,    0
 21765,118117,20200923,  136,    0
 21765,118117,20200924,  127,    0
 21765,118117,20200925,   87,    0
 21765,118117,20200926,   79,    0
 21765,118117,20200927,  114,    0
 21765,118117,20200928,  129,    0
 21765,118117,20200929,  123,    0
 21765,118117,20200930,  126,    0
 21765,118117,20201001,-9999,    9
 21765,118117,20201002,  119,    0
 21765,118117,20201003,  120,    0
 21765,118117,20201004,  125,    0
 21765,118117,20201005,  114,    0
 21765,118117,20201006,  104,    0
 21765,118117,20201007,-9999,    9
 21765,118117,20201008,  101,    0
 21765,118117,20201009,   86,    0
 21765,118117,20201010,   77,    0
 21765,118117,20201011,   84,    0
 21765,118117,20201012,   64,    0
 21765,118117,20201013,-9999,    9
 21765,118117,20201014,   31,    0
 21765,118117,20201015,   39,    0
 21765,118117,20201016,   35,    0
 21765,118117,20201017,   49,    0
 21765,118117,20201018,   52,    0
 21765,118117,20201019,   14,    0
 21765,118117,20201020,    7,    0
 21765,118117,20201021,   31,    0
 21765,118117,20201022,   67,    0
 21765,118117,20201023,   38,    0
 21765,118117,20201024,   64,    0
 21765,118117,20201025,   89,    0
 21765,118117,20201026,   59,    0
 21765,118117,20201027,   68,    0
 21765,118117,20201028,   66,    0
 21765,118117,20201029,-9999,    9
 21765,118117,20201030,   23,    0
 21765,118117,20201031,   50,    0
 21765,118117,20201101,   91,    0
 21765,118117,20201102,  101,    0
 21765,118117,20201103,   37,    0
 21765,118117,20201104,   30,    0
 21765,118117,20201105,  117,    0
 21765,118117,20201106,   87,    0
 21765,118117,20201107,   43,    0
 21765,118117,20201108,   20,    0
 21765,118117,20201109,    5,    0
 21765,118117,20201110,   47,    0
 21765,118117,20201111,   56,    0
 21765,118117,20201112,   62,    0
 21765,118117,20201113,   49,    0
 21765,118117,20201114,   26,    0
 21765,118117,20201115,   87,    0
 21765,118117,20201116,   69,    0
 21765,118117,20201117,   53,    0
 21765,118117,20201118,   86,    0
 21765,118117,20201119,   47,    0
 21765,118117,20201120,   -1,    0
 21765,118117,20201121,   26,    0
 21765,118117,20201122,   55,    0
 21765,118117,20201123,   29,    0
 21765,118117,20201124,   29,    0
 21765,118117,20201125,   89,    0
 21765,118117,20201126,    1,    0
 21765,118117,20201127,  -42,    0
 21765,118117,20201128,   -7,    0
 21765,118117,20201129,  -44,    0
 21765,118117,20201130,  -14,    0
 21765,118117,20201201,   -7,    0
 21765,118117,20201202,  -17,    0
 21765,118117,20201203,    8,    0
 21765,118117,20201204,    9,    0
 21765,118117,20201205,    4,    0
 21765,118117,20201206,   11,    0
 21765,118117,20201207,-9999,    9
 21765,118117,20201208,-9999,    9
 21765,118117,20201209,    8,    0
 21765,118117,20201210,    6,    0
 21765,118117,20201211,   13,    0
 21765,118117,20201212,   11,    0
 21765,118117,20201213,   11,    0
 21765,118117,20201214,-9999,    9
 21765,118117,20201215,    4,    0
 21765,118117,20201216,  -14,    0
 21765,118117,20201217,    4,    0
 21765,118117,20201218,   -2,    0
 21765,118117,20201219,   52,    0
 21765,118117,20201220,   49,    0
 21765,118117,20201221,   23,    0
 21765,118117,20201222,-9999,    9
 21765,118117,20201223,   -9,    0
 21765,118117,20201224,  -31,    0
 21765,118117,20201225,  -58,    0
 21765,118117,20201226,  -25,    0
 21765,118117,20201227,-9999,    9
 21765,118117,20201228,    2,    0
 21765,118117,20201229,    4,    0
 21765,118117,20201230,    4,    0
 21765,118117,20201231,   -6,    0
 21765,118117,20210101,  -13,    0
 21765,118117,20210102,  -13,    0
 21765,118117,20210103,  -38,    0
 21765,118117,20210104,  -49,    0
 21765,118117,20210105,  -71,    0
 21765,118117,20210106, -139,    0
 21765,118117,20210107,  -72,    0
 21765,118117,20210108,  -74,    0
 21765,118117,20210109, -112,    0
 21765,118117,20210110,  -97,    0
 21765,118117,20210111,  -80,    0
 21765,118117,20210112,  -52,    0
 21765,118117,20210113,  -27,    0
 21765,118117,20210114, -109,    0
 21765,118117,20210115, -187,    0
 21765,118117,20210116, -188,    0
 21765,118117,20210117,  -90,    0
 21765,118117,20210118,  -44,    0
 21765,118117,20210119,  -23,    0
 21765,118117,20210120,   -6,    0
 21765,118117,20210121,   11,    0
 21765,118117,20210122,   22,    0
 21765,118117,20210123,    6,    0
 21765,118117,20210124,  -35,    0
 21765,118117,20210125,  -51,    0
 21765,118117,20210126, -121,    0
 21765,118117,20210127, -133,    0
 21765,118117,20210128, -146,    0
 21765,118117,20210129, -160,    0
 21765,118117,20210130, -147,    0
 21765,118117,20210131, -101,    0
 21765,118117,20210201,  -52,    0
 21765,118117,20210202,  -58,    0
 21765,118117,20210203,  -57,    0
 21765,118117,20210204, -113,    0
 21765,118117,20210205, -123,    0
 21765,118117,20210206, -100,    0
 21765,118117,20210207,  -78,    0
 21765,118117,20210208,  -84,    0
 21765,118117,20210209,  -65,    0
 21765,118117,20210210, -109,    0
 21765,118117,20210211, -128,    0
 21765,118117,20210212, -128,    0
 21765,118117,20210213, -120,    0
 21765,118117,20210214, -116,    0
 21765,118117,20210215,  -48,    0
 21765,118117,20210216,  -25,    0
 21765,118117,20210217,  -21,    0
 21765,118117,20210218,  -10,    0
 21765,118117,20210219,    8,    0
 21765,118117,20210220,   13,    0
 21765,118117,20210221,   18,    0
 21765,118117,20210222,   14,    0
 21765,118117,20210223,   10,    0
 21765,118117,20210224,   42,    0
 21765,118117,20210225,   46,    0
 21765,118117,20210226,   69,    0
 21765,118117,20210227,   32,    0
 21765,118117,20210228,   28,    0
 21765,118117,20210301,   25,    0
 21765,118117,20210302,   30,    0
 21765,118117,20210303,   15,    0
 21765,118117,20210304,   12,    0
 21765,118117,20210305,  -14,    0
 21765,118117,20210306,   25,    0
 21765,118117,20210307,   15,    0
 21765,118117,20210308,  -32,    0
 21765,118117,20210309,  -13,    0
 21765,118117,20210310,   -8,    0
 21765,118117,20210311,-9999,    9
 21765,118117,20210312,   17,    0
 21765,118117,20210313,   -9,    0
 21765,118117,20210314,   -3,    0
 21765,118117,20210315,   39,    0
 21765,118117,20210316,   18,    0
 21765,118117,20210317,   -1,    0
 21765,118117,20210318,   15,    0
 21765,118117,20210319,   13,    0
 21765,118117,20210320,   44,    0
 21765,118117,20210321,-9999,    9
 21765,118117,20210322,   58,    0
 21765,118117,20210323,   66,    0
 21765,118117,20210324,   68,    0
 21765,118117,20210325,   39,    0
 21765,118117,20210326,   36,    0
 21765,118117,20210327,   43,    0
 21765,118117,20210328,-9999,    9
 21765,118117,20210329,   73,    0
 21765,118117,20210330,  120,    0
 21765,118117,20210331,   66,    0
 21765,118117,20210401,   44,    0
 21765,118117,20210402,   65,    0
 21765,118117,20210403,   30,    0
 21765,118117,20210404,   49,    0
 21765,118117,20210405,   24,    0
 21765,118117,20210406,   38,    0
 21765,118117,20210407,   18,    0
 21765,118117,20210408,   19,    0
 21765,118117,20210409,   47,    0
 21765,118117,20210410,   38,    0
 21765,118117,20210411,   10,    0
 21765,118117,20210412,   18,    0
 21765,118117,20210413,   32,    0
 21765,118117,20210414,   44,    0
 21765,118117,20210415,   50,    0
 21765,118117,20210416,   53,    0
 21765,118117,20210417,-9999,    9
 21765,118117,20210418,   80,    0
 21765,118117,20210419,   80,    0
 21765,118117,20210420,-9999,    9
 21765,118117,20210421,   75,    0
 21765,118117,20210422,   66,    0
 21765,118117,20210423,   55,    0
 21765,118117,20210424,   38,    0
 21765,118117,20210425,   42,    0
 21765,118117,20210426,   46,    0
 21765,118117,20210427,   48,    0
 21765,118117,20210428,   47,    0
 21765,118117,20210429,   53,    0
 21765,118117,20210430,   53,    0
 21765,118117,20210501,   54,    0
 21765,118117,20210502,   42,    0
 21765,118117,20210503,   57,    0
 21765,118117,20210504,   23,    0
 21765,118117,20210505,   39,    0
 21765,118117,20210506,   45,    0
 21765,118117,20210507,   48,    0
 21765,118117,20210508,   66,    0
 21765,118117,20210509,   57,    0
 21765,118117,20210510,-9999,    9
 21765,118117,20210511,-9999,    9
 21765,118117,20210512,  104,    0
 21765,118117,20210513,  146,    0
 21765,118117,20210514,  153,    0
 21765,118117,20210515,  114,    0
 21765,118117,20210516,   94,    0
 21765,118117,20210517,   97,    0
 21765,118117,20210518,   86,    0
 21765,118117,20210519,  107,    0
 21765,118117,20210520,  109,    0
 21765,118117,20210521,   83,    0
 21765,118117,20210522,   95,    0
 21765,118117,20210523,   98,    0
 21765,118117,20210524,   96,    0
 21765,118117,20210525,  111,    0
 21765,118117,20210526,   99,    0
 21765,118117,20210527,  123,    0
 21765,118117,20210528,  143,    0
 21765,118117,20210529,-9999,    9
 21765,118117,20210530,  192,    0
 21765,118117,20210531,  211,    0
 21765,118117,20210601,  166,    0
 21765,118117,20210602,  169,    0
 21765,118117,20210603,  163,    0
 21765,118117,20210604,  175,    0
 21765,118117,20210605,  192,    0
 21765,118117,20210606,  171,    0
 21765,118117,20210607,-9999,    9
 21765,118117,20210608,  168,    0
 21765,118117,20210609,  178,    0
 21765,118117,20210610,  192,    0
 21765,118117,20210611,  177,    0
 21765,118117,20210612,  155,    0
 21765,118117,20210613,  156,    0
 21765,118117,20210614,  154,    0
 21765,118117,20210615,  142,    0
 21765,118117,20210616,  160,    0
 21765,118117,20210617,  164,    0
 21765,118117,20210618,  182,    0
