EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E134 GVAMMEN, NORWAY (STAID: 21768)
Blended and updated with sources:118120 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 21768,118120,20200901,-9999,    9
 21768,118120,20200902,-9999,    9
 21768,118120,20200903,-9999,    9
 21768,118120,20200904,-9999,    9
 21768,118120,20200905,-9999,    9
 21768,118120,20200906,-9999,    9
 21768,118120,20200907,-9999,    9
 21768,118120,20200908,-9999,    9
 21768,118120,20200909,-9999,    9
 21768,118120,20200910,-9999,    9
 21768,118120,20200911,-9999,    9
 21768,118120,20200912,-9999,    9
 21768,118120,20200913,-9999,    9
 21768,118120,20200914,-9999,    9
 21768,118120,20200915,-9999,    9
 21768,118120,20200916,-9999,    9
 21768,118120,20200917,-9999,    9
 21768,118120,20200918,  124,    0
 21768,118120,20200919,   92,    0
 21768,118120,20200920,  116,    0
 21768,118120,20200921,  140,    0
 21768,118120,20200922,  127,    0
 21768,118120,20200923,  128,    0
 21768,118120,20200924,  117,    0
 21768,118120,20200925,   73,    0
 21768,118120,20200926,   86,    0
 21768,118120,20200927,  108,    0
 21768,118120,20200928,  124,    0
 21768,118120,20200929,  119,    0
 21768,118120,20200930,  122,    0
 21768,118120,20201001,  115,    0
 21768,118120,20201002,  108,    0
 21768,118120,20201003,  115,    0
 21768,118120,20201004,  122,    0
 21768,118120,20201005,  110,    0
 21768,118120,20201006,  107,    0
 21768,118120,20201007,   93,    0
 21768,118120,20201008,   91,    0
 21768,118120,20201009,   83,    0
 21768,118120,20201010,   63,    0
 21768,118120,20201011,   61,    0
 21768,118120,20201012,   21,    0
 21768,118120,20201013,   19,    0
 21768,118120,20201014,    0,    0
 21768,118120,20201015,    8,    0
 21768,118120,20201016,   13,    0
 21768,118120,20201017,   29,    0
 21768,118120,20201018,   38,    0
 21768,118120,20201019,    6,    0
 21768,118120,20201020,    6,    0
 21768,118120,20201021,   17,    0
 21768,118120,20201022,   44,    0
 21768,118120,20201023,   21,    0
 21768,118120,20201024,   46,    0
 21768,118120,20201025,-9999,    9
 21768,118120,20201026,-9999,    9
 21768,118120,20201027,   64,    0
 21768,118120,20201028,   60,    0
 21768,118120,20201029,   27,    0
 21768,118120,20201030,   16,    0
 21768,118120,20201031,   32,    0
 21768,118120,20201101,   73,    0
 21768,118120,20201102,   74,    0
 21768,118120,20201103,   39,    0
 21768,118120,20201104,   53,    0
 21768,118120,20201105,  127,    0
 21768,118120,20201106,  110,    0
 21768,118120,20201107,   24,    0
 21768,118120,20201108,    3,    0
 21768,118120,20201109,  -21,    0
 21768,118120,20201110,    6,    0
 21768,118120,20201111,   26,    0
 21768,118120,20201112,   48,    0
 21768,118120,20201113,   44,    0
 21768,118120,20201114,   24,    0
 21768,118120,20201115,   70,    0
 21768,118120,20201116,   66,    0
 21768,118120,20201117,   37,    0
 21768,118120,20201118,   72,    0
 21768,118120,20201119,   42,    0
 21768,118120,20201120,   -6,    0
 21768,118120,20201121,    8,    0
 21768,118120,20201122,   44,    0
 21768,118120,20201123,   11,    0
 21768,118120,20201124,    5,    0
 21768,118120,20201125,   62,    0
 21768,118120,20201126,  -13,    0
 21768,118120,20201127,  -56,    0
 21768,118120,20201128,  -36,    0
 21768,118120,20201129,  -45,    0
 21768,118120,20201130,  -14,    0
 21768,118120,20201201,  -37,    0
 21768,118120,20201202,  -40,    0
 21768,118120,20201203,-9999,    9
 21768,118120,20201204,    6,    0
 21768,118120,20201205,    3,    0
 21768,118120,20201206,    5,    0
 21768,118120,20201207,-9999,    9
 21768,118120,20201208,-9999,    9
 21768,118120,20201209,    7,    0
 21768,118120,20201210,-9999,    9
 21768,118120,20201211,    7,    0
 21768,118120,20201212,    8,    0
 21768,118120,20201213,   16,    0
 21768,118120,20201214,-9999,    9
 21768,118120,20201215,    0,    0
 21768,118120,20201216,  -20,    0
 21768,118120,20201217,   -1,    0
 21768,118120,20201218,   -2,    0
 21768,118120,20201219,   46,    0
 21768,118120,20201220,   43,    0
 21768,118120,20201221,   27,    0
 21768,118120,20201222,-9999,    9
 21768,118120,20201223,    0,    0
 21768,118120,20201224,  -41,    0
 21768,118120,20201225,  -56,    0
 21768,118120,20201226,  -39,    0
 21768,118120,20201227,-9999,    9
 21768,118120,20201228,    9,    0
 21768,118120,20201229,    2,    0
 21768,118120,20201230,    1,    0
 21768,118120,20201231,   -7,    0
 21768,118120,20210101,  -16,    0
 21768,118120,20210102,  -19,    0
 21768,118120,20210103,  -58,    0
 21768,118120,20210104, -107,    0
 21768,118120,20210105, -119,    0
 21768,118120,20210106, -158,    0
 21768,118120,20210107, -138,    0
 21768,118120,20210108, -111,    0
 21768,118120,20210109, -142,    0
 21768,118120,20210110, -103,    0
 21768,118120,20210111,  -83,    0
 21768,118120,20210112,  -68,    0
 21768,118120,20210113,  -58,    0
 21768,118120,20210114, -166,    0
 21768,118120,20210115, -192,    0
 21768,118120,20210116, -193,    0
 21768,118120,20210117,  -90,    0
 21768,118120,20210118,  -64,    0
 21768,118120,20210119,  -32,    0
 21768,118120,20210120,  -10,    0
 21768,118120,20210121,    6,    0
 21768,118120,20210122,   21,    0
 21768,118120,20210123,   -1,    0
 21768,118120,20210124,  -88,    0
 21768,118120,20210125, -118,    0
 21768,118120,20210126, -156,    0
 21768,118120,20210127, -168,    0
 21768,118120,20210128, -183,    0
 21768,118120,20210129, -201,    0
 21768,118120,20210130, -158,    0
 21768,118120,20210131, -125,    0
 21768,118120,20210201, -118,    0
 21768,118120,20210202,  -99,    0
 21768,118120,20210203,  -88,    0
 21768,118120,20210204, -177,    0
 21768,118120,20210205, -134,    0
 21768,118120,20210206, -120,    0
 21768,118120,20210207, -112,    0
 21768,118120,20210208, -104,    0
 21768,118120,20210209,  -85,    0
 21768,118120,20210210, -143,    0
 21768,118120,20210211, -188,    0
 21768,118120,20210212, -183,    0
 21768,118120,20210213, -182,    0
 21768,118120,20210214, -183,    0
 21768,118120,20210215,  -80,    0
 21768,118120,20210216,  -38,    0
 21768,118120,20210217,  -29,    0
 21768,118120,20210218,  -18,    0
 21768,118120,20210219,  -12,    0
 21768,118120,20210220,    4,    0
 21768,118120,20210221,-9999,    9
 21768,118120,20210222,   10,    0
 21768,118120,20210223,    6,    0
 21768,118120,20210224,   13,    0
 21768,118120,20210225,   31,    0
 21768,118120,20210226,   62,    0
 21768,118120,20210227,   36,    0
 21768,118120,20210228,    3,    0
 21768,118120,20210301,   43,    0
 21768,118120,20210302,    1,    0
 21768,118120,20210303,  -20,    0
 21768,118120,20210304,-9999,    9
 21768,118120,20210305,  -32,    0
 21768,118120,20210306,   54,    0
 21768,118120,20210307,    0,    0
 21768,118120,20210308,  -55,    0
 21768,118120,20210309,  -25,    0
 21768,118120,20210310,  -11,    0
 21768,118120,20210311,    6,    0
 21768,118120,20210312,   -3,    0
 21768,118120,20210313,  -12,    0
 21768,118120,20210314,   -7,    0
 21768,118120,20210315,    2,    0
 21768,118120,20210316,   -6,    0
 21768,118120,20210317,  -32,    0
 21768,118120,20210318,    0,    0
 21768,118120,20210319,    5,    0
 21768,118120,20210320,   35,    0
 21768,118120,20210321,-9999,    9
 21768,118120,20210322,   43,    0
 21768,118120,20210323,   40,    0
 21768,118120,20210324,   43,    0
 21768,118120,20210325,   31,    0
 21768,118120,20210326,   28,    0
 21768,118120,20210327,   33,    0
 21768,118120,20210328,    2,    0
 21768,118120,20210329,   53,    0
 21768,118120,20210330,   73,    0
 21768,118120,20210331,   45,    0
 21768,118120,20210401,   35,    0
 21768,118120,20210402,   50,    0
 21768,118120,20210403,   28,    0
 21768,118120,20210404,   53,    0
 21768,118120,20210405,   16,    0
 21768,118120,20210406,   32,    0
 21768,118120,20210407,   11,    0
 21768,118120,20210408,    1,    0
 21768,118120,20210409,   34,    0
 21768,118120,20210410,   26,    0
 21768,118120,20210411,    6,    0
 21768,118120,20210412,   10,    0
 21768,118120,20210413,   19,    0
 21768,118120,20210414,   29,    0
 21768,118120,20210415,   45,    0
 21768,118120,20210416,   43,    0
 21768,118120,20210417,-9999,    9
 21768,118120,20210418,   62,    0
 21768,118120,20210419,   70,    0
 21768,118120,20210420,   79,    0
 21768,118120,20210421,   65,    0
 21768,118120,20210422,   58,    0
 21768,118120,20210423,   39,    0
 21768,118120,20210424,   31,    0
 21768,118120,20210425,   34,    0
 21768,118120,20210426,   41,    0
 21768,118120,20210427,   47,    0
 21768,118120,20210428,   48,    0
 21768,118120,20210429,   36,    0
 21768,118120,20210430,   47,    0
 21768,118120,20210501,   51,    0
 21768,118120,20210502,   48,    0
 21768,118120,20210503,   55,    0
 21768,118120,20210504,   25,    0
 21768,118120,20210505,   42,    0
 21768,118120,20210506,   45,    0
 21768,118120,20210507,   51,    0
 21768,118120,20210508,   62,    0
 21768,118120,20210509,   45,    0
 21768,118120,20210510,-9999,    9
 21768,118120,20210511,-9999,    9
 21768,118120,20210512,   81,    0
 21768,118120,20210513,  128,    0
 21768,118120,20210514,  138,    0
 21768,118120,20210515,  104,    0
 21768,118120,20210516,-9999,    9
 21768,118120,20210517,   85,    0
 21768,118120,20210518,  104,    0
 21768,118120,20210519,  113,    0
