EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV5876 RUNDEBRUA, NORWAY (STAID: 21773)
Blended and updated with sources:118112 118165 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 21773,118165,20200901,-9999,    9
 21773,118165,20200902,-9999,    9
 21773,118165,20200903,-9999,    9
 21773,118165,20200904,-9999,    9
 21773,118165,20200905,-9999,    9
 21773,118165,20200906,-9999,    9
 21773,118165,20200907,-9999,    9
 21773,118165,20200908,-9999,    9
 21773,118165,20200909,-9999,    9
 21773,118165,20200910,-9999,    9
 21773,118165,20200911,-9999,    9
 21773,118165,20200912,-9999,    9
 21773,118165,20200913,-9999,    9
 21773,118165,20200914,-9999,    9
 21773,118165,20200915,-9999,    9
 21773,118165,20200916,-9999,    9
 21773,118165,20200917,-9999,    9
 21773,118165,20200918,  125,    0
 21773,118165,20200919,  115,    0
 21773,118165,20200920,  131,    0
 21773,118165,20200921,  129,    0
 21773,118165,20200922,  103,    0
 21773,118165,20200923,  108,    0
 21773,118165,20200924,   87,    0
 21773,118165,20200925,  100,    0
 21773,118165,20200926,  100,    0
 21773,118165,20200927,  112,    0
 21773,118165,20200928,  136,    0
 21773,118165,20200929,  116,    0
 21773,118165,20200930,  129,    0
 21773,118165,20201001,  164,    0
 21773,118165,20201002,  170,    0
 21773,118165,20201003,  158,    0
 21773,118165,20201004,  160,    0
 21773,118165,20201005,  138,    0
 21773,118165,20201006,  126,    0
 21773,118165,20201007,  138,    0
 21773,118165,20201008,  111,    0
 21773,118165,20201009,   91,    0
 21773,118165,20201010,  100,    0
 21773,118165,20201011,   98,    0
 21773,118165,20201012,   89,    0
 21773,118165,20201013,   91,    0
 21773,118165,20201014,   88,    0
 21773,118165,20201015,   86,    0
 21773,118165,20201016,   88,    0
 21773,118165,20201017,   75,    0
 21773,118165,20201018,   60,    0
 21773,118165,20201019,   52,    0
 21773,118165,20201020,   57,    0
 21773,118165,20201021,   65,    0
 21773,118165,20201022,   66,    0
 21773,118165,20201023,   58,    0
 21773,118165,20201024,   89,    0
 21773,118112,20201025,   91,    0
 21773,118165,20201026,-9999,    9
 21773,118165,20201027,  100,    0
 21773,118165,20201028,  100,    0
 21773,118165,20201029,   92,    0
 21773,118165,20201030,   97,    0
 21773,118165,20201031,  108,    0
 21773,118165,20201101,  119,    0
 21773,118165,20201102,   97,    0
 21773,118165,20201103,   88,    0
 21773,118165,20201104,   78,    0
 21773,118165,20201105,  111,    0
 21773,118165,20201106,  105,    0
 21773,118165,20201107,   92,    0
 21773,118165,20201108,   74,    0
 21773,118165,20201109,   94,    0
 21773,118165,20201110,  113,    0
 21773,118165,20201111,  125,    0
 21773,118165,20201112,  137,    0
 21773,118165,20201113,  129,    0
 21773,118165,20201114,  103,    0
