EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VICOMARINO, ITALY (STAID: 21783)
Blended and updated with sources:118208 118240 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 21783,118240,20200501,-9999,    9
 21783,118240,20200502,-9999,    9
 21783,118240,20200503,-9999,    9
 21783,118240,20200504,-9999,    9
 21783,118240,20200505,-9999,    9
 21783,118240,20200506,-9999,    9
 21783,118240,20200507,-9999,    9
 21783,118240,20200508,-9999,    9
 21783,118240,20200509,-9999,    9
 21783,118240,20200510,-9999,    9
 21783,118240,20200511,-9999,    9
 21783,118240,20200512,-9999,    9
 21783,118240,20200513,-9999,    9
 21783,118240,20200514,-9999,    9
 21783,118240,20200515,-9999,    9
 21783,118240,20200516,-9999,    9
 21783,118240,20200517,-9999,    9
 21783,118240,20200518,-9999,    9
 21783,118240,20200519,-9999,    9
 21783,118240,20200520,-9999,    9
 21783,118240,20200521,-9999,    9
 21783,118240,20200522,-9999,    9
 21783,118240,20200523,-9999,    9
 21783,118240,20200524,-9999,    9
 21783,118240,20200525,-9999,    9
 21783,118240,20200526,-9999,    9
 21783,118240,20200527,-9999,    9
 21783,118240,20200528,-9999,    9
 21783,118240,20200529,-9999,    9
 21783,118240,20200530,-9999,    9
 21783,118240,20200531,  173,    0
 21783,118240,20200601,  197,    0
 21783,118240,20200602,  225,    0
 21783,118240,20200603,  204,    0
 21783,118240,20200604,  157,    0
 21783,118240,20200605,  195,    0
 21783,118240,20200606,  201,    0
 21783,118240,20200607,  184,    0
 21783,118240,20200608,  162,    0
 21783,118240,20200609,  167,    0
 21783,118240,20200610,  155,    0
 21783,118240,20200611,  158,    0
 21783,118240,20200612,  187,    0
 21783,118240,20200613,  196,    0
 21783,118240,20200614,  201,    0
 21783,118240,20200615,  209,    0
 21783,118240,20200616,  205,    0
 21783,118240,20200617,  186,    0
 21783,118240,20200618,  190,    0
 21783,118240,20200619,  192,    0
 21783,118240,20200620,  207,    0
 21783,118240,20200621,  241,    0
 21783,118240,20200622,  247,    0
 21783,118240,20200623,  253,    0
 21783,118240,20200624,  243,    0
 21783,118240,20200625,  228,    0
 21783,118240,20200626,  230,    0
 21783,118240,20200627,  250,    0
 21783,118240,20200628,  256,    0
 21783,118240,20200629,  256,    0
 21783,118240,20200630,  247,    0
 21783,118240,20200701,  248,    0
 21783,118240,20200702,  247,    0
 21783,118240,20200703,  218,    0
 21783,118240,20200704,  216,    0
 21783,118240,20200705,  241,    0
