EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DAUGAVPILS, LATVIA (STAID: 21956)
Blended and updated with sources:118806 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 21956,118806,20090101,  -43,    0
 21956,118806,20090102,  -90,    0
 21956,118806,20090103,  -72,    0
 21956,118806,20090104, -140,    0
 21956,118806,20090105, -151,    0
 21956,118806,20090106,  -84,    0
 21956,118806,20090107,  -72,    0
 21956,118806,20090108, -114,    0
 21956,118806,20090109,    5,    0
 21956,118806,20090110,  -17,    0
 21956,118806,20090111,    2,    0
 21956,118806,20090112,    8,    0
 21956,118806,20090113,  -15,    0
 21956,118806,20090114,   -4,    0
 21956,118806,20090115,  -13,    0
 21956,118806,20090116,  -24,    0
 21956,118806,20090117,  -54,    0
 21956,118806,20090118,  -31,    0
 21956,118806,20090119,  -28,    0
 21956,118806,20090120,  -28,    0
 21956,118806,20090121,    6,    0
 21956,118806,20090122,   11,    0
 21956,118806,20090123,    4,    0
 21956,118806,20090124,    8,    0
 21956,118806,20090125,    7,    0
 21956,118806,20090126,    9,    0
 21956,118806,20090127,    6,    0
 21956,118806,20090128,   -4,    0
 21956,118806,20090129,  -15,    0
 21956,118806,20090130,  -22,    0
 21956,118806,20090131, -115,    0
 21956,118806,20090201, -192,    0
 21956,118806,20090202, -155,    0
 21956,118806,20090203, -124,    0
 21956,118806,20090204, -118,    0
 21956,118806,20090205,  -78,    0
 21956,118806,20090206,  -36,    0
 21956,118806,20090207,    5,    0
 21956,118806,20090208,   17,    0
 21956,118806,20090209,   -1,    0
 21956,118806,20090210,  -38,    0
 21956,118806,20090211,  -24,    0
 21956,118806,20090212,  -16,    0
 21956,118806,20090213,    3,    0
 21956,118806,20090214,   -5,    0
 21956,118806,20090215,  -49,    0
 21956,118806,20090216,  -60,    0
 21956,118806,20090217,  -47,    0
 21956,118806,20090218,  -52,    0
 21956,118806,20090219,  -87,    0
 21956,118806,20090220,  -67,    0
 21956,118806,20090221,  -72,    0
 21956,118806,20090222,  -57,    0
 21956,118806,20090223,  -55,    0
 21956,118806,20090224,  -81,    0
 21956,118806,20090225,  -10,    0
 21956,118806,20090226,    7,    0
 21956,118806,20090227,    8,    0
 21956,118806,20090228,  -28,    0
 21956,118806,20090301,  -51,    0
 21956,118806,20090302,  -78,    0
 21956,118806,20090303,  -60,    0
 21956,118806,20090304,    3,    0
 21956,118806,20090305,   -2,    0
 21956,118806,20090306,    1,    0
 21956,118806,20090307,  -11,    0
 21956,118806,20090308,  -17,    0
 21956,118806,20090309,    6,    0
 21956,118806,20090310,    7,    0
 21956,118806,20090311,    7,    0
 21956,118806,20090312,   -2,    0
 21956,118806,20090313,    0,    0
 21956,118806,20090314,  -12,    0
 21956,118806,20090315,   18,    0
 21956,118806,20090316,    2,    0
 21956,118806,20090317,    3,    0
 21956,118806,20090318,    0,    0
 21956,118806,20090319,   -4,    0
 21956,118806,20090320,   -2,    0
 21956,118806,20090321,   -1,    0
 21956,118806,20090322,  -12,    0
 21956,118806,20090323,  -15,    0
 21956,118806,20090324,  -16,    0
 21956,118806,20090325,  -23,    0
 21956,118806,20090326,  -46,    0
 21956,118806,20090327,   -4,    0
 21956,118806,20090328,   21,    0
