EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WACKEN, GERMANY (STAID: 22136)
Blended and updated with sources:120204 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 22136,120204,20200901,  146,    0
 22136,120204,20200902,  154,    0
 22136,120204,20200903,  139,    0
 22136,120204,20200904,  163,    0
 22136,120204,20200905,  139,    0
 22136,120204,20200906,  130,    0
 22136,120204,20200907,  139,    0
 22136,120204,20200908,  162,    0
 22136,120204,20200909,  162,    0
 22136,120204,20200910,  136,    0
 22136,120204,20200911,  143,    0
 22136,120204,20200912,  137,    0
 22136,120204,20200913,  157,    0
 22136,120204,20200914,  192,    0
 22136,120204,20200915,  214,    0
 22136,120204,20200916,  156,    0
 22136,120204,20200917,  116,    0
 22136,120204,20200918,  125,    0
 22136,120204,20200919,  135,    0
 22136,120204,20200920,  145,    0
 22136,120204,20200921,  156,    0
 22136,120204,20200922,  164,    0
 22136,120204,20200923,  168,    0
 22136,120204,20200924,  152,    0
 22136,120204,20200925,  124,    0
 22136,120204,20200926,  113,    0
 22136,120204,20200927,  123,    0
 22136,120204,20200928,  117,    0
 22136,120204,20200929,  134,    0
 22136,120204,20200930,  144,    0
 22136,120204,20201001,  134,    0
 22136,120204,20201002,  137,    0
 22136,120204,20201003,  150,    0
 22136,120204,20201004,  124,    0
 22136,120204,20201005,  107,    0
 22136,120204,20201006,  113,    0
 22136,120204,20201007,  118,    0
 22136,120204,20201008,  112,    0
 22136,120204,20201009,  114,    0
 22136,120204,20201010,   81,    0
 22136,120204,20201011,   79,    0
 22136,120204,20201012,   83,    0
 22136,120204,20201013,   88,    0
 22136,120204,20201014,   89,    0
 22136,120204,20201015,   81,    0
 22136,120204,20201016,   72,    0
 22136,120204,20201017,   86,    0
 22136,120204,20201018,   89,    0
 22136,120204,20201019,   83,    0
 22136,120204,20201020,   89,    0
 22136,120204,20201021,  132,    0
 22136,120204,20201022,  139,    0
 22136,120204,20201023,  111,    0
 22136,120204,20201024,  124,    0
 22136,120204,20201025,  121,    0
 22136,120204,20201026,   95,    0
 22136,120204,20201027,   94,    0
 22136,120204,20201028,  103,    0
 22136,120204,20201029,   89,    0
 22136,120204,20201030,  123,    0
 22136,120204,20201031,  128,    0
