EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FOUHREN, LUXEMBOURG (STAID: 22473)
Blended and updated with sources:121111 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 22473,121111,20120201,-9999,    9
 22473,121111,20120202,-9999,    9
 22473,121111,20120203,-9999,    9
 22473,121111,20120204,-9999,    9
 22473,121111,20120205,-9999,    9
 22473,121111,20120206,-9999,    9
 22473,121111,20120207,-9999,    9
 22473,121111,20120208,-9999,    9
 22473,121111,20120209,-9999,    9
 22473,121111,20120210,-9999,    9
 22473,121111,20120211,-9999,    9
 22473,121111,20120212,-9999,    9
 22473,121111,20120213,-9999,    9
 22473,121111,20120214,-9999,    9
 22473,121111,20120215,-9999,    9
 22473,121111,20120216,-9999,    9
 22473,121111,20120217,-9999,    9
 22473,121111,20120218,-9999,    9
 22473,121111,20120219,-9999,    9
 22473,121111,20120220,-9999,    9
 22473,121111,20120221,  -11,    0
 22473,121111,20120222,   16,    0
 22473,121111,20120223,   32,    0
 22473,121111,20120224,   70,    0
 22473,121111,20120225,   73,    0
 22473,121111,20120226,   49,    0
 22473,121111,20120227,   52,    0
 22473,121111,20120228,   67,    0
 22473,121111,20120229,   94,    0
 22473,121111,20120301,   95,    0
 22473,121111,20120302,   68,    0
 22473,121111,20120303,   72,    0
 22473,121111,20120304,   70,    0
 22473,121111,20120305,   25,    0
 22473,121111,20120306,   35,    0
 22473,121111,20120307,    7,    0
 22473,121111,20120308,   38,    0
 22473,121111,20120309,   43,    0
 22473,121111,20120310,   73,    0
 22473,121111,20120311,   84,    0
 22473,121111,20120312,   81,    0
 22473,121111,20120313,   65,    0
 22473,121111,20120314,   69,    0
 22473,121111,20120315,   77,    0
 22473,121111,20120316,  101,    0
 22473,121111,20120317,   78,    0
 22473,121111,20120318,   67,    0
 22473,121111,20120319,   47,    0
 22473,121111,20120320,   50,    0
 22473,121111,20120321,   76,    0
 22473,121111,20120322,  112,    0
 22473,121111,20120323,  120,    0
 22473,121111,20120324,  120,    0
 22473,121111,20120325,  125,    0
 22473,121111,20120326,  120,    0
 22473,121111,20120327,  121,    0
 22473,121111,20120328,  126,    0
 22473,121111,20120329,   96,    0
 22473,121111,20120330,   81,    0
 22473,121111,20120331,   64,    0
 22473,121111,20120401,   45,    0
 22473,121111,20120402,   67,    0
 22473,121111,20120403,  101,    0
 22473,121111,20120404,   86,    0
 22473,121111,20120405,   78,    0
 22473,121111,20120406,   74,    0
 22473,121111,20120407,   49,    0
 22473,121111,20120408,   43,    0
 22473,121111,20120409,   66,    0
 22473,121111,20120410,   91,    0
 22473,121111,20120411,   69,    0
 22473,121111,20120412,   49,    0
 22473,121111,20120413,   50,    0
 22473,121111,20120414,   68,    0
 22473,121111,20120415,   58,    0
 22473,121111,20120416,   44,    0
 22473,121111,20120417,   42,    0
 22473,121111,20120418,   70,    0
 22473,121111,20120419,   69,    0
 22473,121111,20120420,   55,    0
 22473,121111,20120421,   63,    0
 22473,121111,20120422,   55,    0
 22473,121111,20120423,   61,    0
 22473,121111,20120424,   68,    0
 22473,121111,20120425,   76,    0
 22473,121111,20120426,   87,    0
 22473,121111,20120427,  104,    0
 22473,121111,20120428,  178,    0
 22473,121111,20120429,  160,    0
 22473,121111,20120430,  145,    0
 22473,121111,20120501,  144,    0
 22473,121111,20120502,  132,    0
 22473,121111,20120503,  108,    0
 22473,121111,20120504,  123,    0
 22473,121111,20120505,  113,    0
 22473,121111,20120506,   96,    0
 22473,121111,20120507,   98,    0
 22473,121111,20120508,  129,    0
 22473,121111,20120509,  153,    0
 22473,121111,20120510,  194,    0
 22473,121111,20120511,  165,    0
 22473,121111,20120512,   96,    0
 22473,121111,20120513,   85,    0
 22473,121111,20120514,  104,    0
 22473,121111,20120515,   74,    0
 22473,121111,20120516,   66,    0
 22473,121111,20120517,   90,    0
 22473,121111,20120518,  119,    0
 22473,121111,20120519,  157,    0
 22473,121111,20120520,  173,    0
 22473,121111,20120521,  180,    0
 22473,121111,20120522,  183,    0
 22473,121111,20120523,  191,    0
 22473,121111,20120524,  207,    0
 22473,121111,20120525,  186,    0
 22473,121111,20120526,  184,    0
 22473,121111,20120527,  182,    0
 22473,121111,20120528,  185,    0
 22473,121111,20120529,  191,    0
 22473,121111,20120530,  177,    0
 22473,121111,20120531,  157,    0
 22473,121111,20120601,  151,    0
 22473,121111,20120602,  149,    0
 22473,121111,20120603,  130,    0
 22473,121111,20120604,  115,    0
 22473,121111,20120605,  105,    0
 22473,121111,20120606,  130,    0
