EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GREVENMACHER, LUXEMBOURG (STAID: 22475)
Blended and updated with sources:121131 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 22475,121131,19790101, -153,    1
 22475,121131,19790102,  -78,    1
 22475,121131,19790103, -130,    1
 22475,121131,19790104,  -90,    1
 22475,121131,19790105,  -95,    1
 22475,121131,19790106, -141,    1
 22475,121131,19790107,  -95,    1
 22475,121131,19790108,  -60,    1
 22475,121131,19790109,   -8,    1
 22475,121131,19790110,    5,    1
 22475,121131,19790111,   10,    1
 22475,121131,19790112,    1,    1
 22475,121131,19790113,  -15,    1
 22475,121131,19790114,  -54,    1
 22475,121131,19790115,  -83,    1
 22475,121131,19790116,  -85,    1
 22475,121131,19790117,  -63,    1
 22475,121131,19790118,  -53,    1
 22475,121131,19790119,  -35,    1
 22475,121131,19790120,  -24,    1
 22475,121131,19790121,   -8,    1
 22475,121131,19790122,  -13,    1
 22475,121131,19790123,   24,    1
 22475,121131,19790124,    1,    1
 22475,121131,19790125,  -45,    1
 22475,121131,19790126,  -14,    1
 22475,121131,19790127,   -1,    1
 22475,121131,19790128,    6,    1
 22475,121131,19790129,   12,    1
 22475,121131,19790130,   15,    1
 22475,121131,19790131,   15,    1
 22475,121131,19790201,   10,    1
 22475,121131,19790202,   32,    1
 22475,121131,19790203,   -7,    1
 22475,121131,19790204,    1,    1
 22475,121131,19790205,    5,    1
 22475,121131,19790206,   -3,    1
 22475,121131,19790207,   12,    1
 22475,121131,19790208,   10,    1
 22475,121131,19790209,    7,    1
 22475,121131,19790210,   13,    1
 22475,121131,19790211,    8,    1
 22475,121131,19790212,   46,    1
 22475,121131,19790213,   64,    1
 22475,121131,19790214,   56,    1
 22475,121131,19790215,   -9,    1
 22475,121131,19790216,  -15,    1
 22475,121131,19790217,  -20,    1
 22475,121131,19790218,  -10,    1
 22475,121131,19790219,    0,    0
 22475,121131,19790220,    9,    1
 22475,121131,19790221,    1,    1
 22475,121131,19790222,    6,    1
 22475,121131,19790223,   22,    1
 22475,121131,19790224,    4,    1
 22475,121131,19790225,  -11,    1
 22475,121131,19790226,  -13,    1
 22475,121131,19790227,   -6,    1
 22475,121131,19790228,   22,    1
 22475,121131,19790301,   17,    1
 22475,121131,19790302,   36,    1
 22475,121131,19790303,   71,    1
 22475,121131,19790304,   61,    1
 22475,121131,19790305,    3,    1
 22475,121131,19790306,   39,    1
 22475,121131,19790307,   53,    1
 22475,121131,19790308,   44,    1
 22475,121131,19790309,   36,    1
 22475,121131,19790310,   34,    1
 22475,121131,19790311,   92,    1
 22475,121131,19790312,   88,    1
 22475,121131,19790313,   75,    1
 22475,121131,19790314,   74,    1
 22475,121131,19790315,   87,    1
 22475,121131,19790316,   32,    1
 22475,121131,19790317,   36,    1
 22475,121131,19790318,   41,    1
 22475,121131,19790319,   58,    1
 22475,121131,19790320,   45,    1
 22475,121131,19790321,   45,    1
 22475,121131,19790322,   57,    1
 22475,121131,19790323,   18,    1
