EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OBERCORN, LUXEMBOURG (STAID: 22479)
Blended and updated with sources:121181 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 22479,121181,20120201,-9999,    9
 22479,121181,20120202,-9999,    9
 22479,121181,20120203,-9999,    9
 22479,121181,20120204,-9999,    9
 22479,121181,20120205,-9999,    9
 22479,121181,20120206,-9999,    9
 22479,121181,20120207,-9999,    9
 22479,121181,20120208,-9999,    9
 22479,121181,20120209,-9999,    9
 22479,121181,20120210,-9999,    9
 22479,121181,20120211,-9999,    9
 22479,121181,20120212,-9999,    9
 22479,121181,20120213,-9999,    9
 22479,121181,20120214,-9999,    9
 22479,121181,20120215,-9999,    9
 22479,121181,20120216,-9999,    9
 22479,121181,20120217,-9999,    9
 22479,121181,20120218,-9999,    9
 22479,121181,20120219,-9999,    9
 22479,121181,20120220,-9999,    9
 22479,121181,20120221,    4,    0
 22479,121181,20120222,   29,    0
 22479,121181,20120223,   27,    0
 22479,121181,20120224,   62,    0
 22479,121181,20120225,   60,    0
 22479,121181,20120226,   51,    0
 22479,121181,20120227,   38,    0
 22479,121181,20120228,   57,    0
 22479,121181,20120229,   86,    0
 22479,121181,20120301,   83,    0
 22479,121181,20120302,   67,    0
 22479,121181,20120303,   64,    0
 22479,121181,20120304,   64,    0
 22479,121181,20120305,   12,    0
 22479,121181,20120306,   28,    0
 22479,121181,20120307,   18,    0
 22479,121181,20120308,   31,    0
 22479,121181,20120309,   49,    0
 22479,121181,20120310,   66,    0
 22479,121181,20120311,   79,    0
 22479,121181,20120312,   75,    0
 22479,121181,20120313,   67,    0
 22479,121181,20120314,   70,    0
 22479,121181,20120315,  102,    0
 22479,121181,20120316,  143,    0
 22479,121181,20120317,   89,    0
 22479,121181,20120318,   62,    0
 22479,121181,20120319,   51,    0
 22479,121181,20120320,   65,    0
 22479,121181,20120321,   87,    0
 22479,121181,20120322,  119,    0
 22479,121181,20120323,  115,    0
 22479,121181,20120324,  131,    0
 22479,121181,20120325,  134,    0
 22479,121181,20120326,  121,    0
 22479,121181,20120327,  120,    0
 22479,121181,20120328,  129,    0
 22479,121181,20120329,  110,    0
 22479,121181,20120330,   84,    0
 22479,121181,20120331,   62,    0
 22479,121181,20120401,   46,    0
 22479,121181,20120402,   77,    0
 22479,121181,20120403,  106,    0
 22479,121181,20120404,   81,    0
 22479,121181,20120405,   83,    0
 22479,121181,20120406,   67,    0
 22479,121181,20120407,   50,    0
