EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROODT, LUXEMBOURG (STAID: 22485)
Blended and updated with sources:121241 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 22485,121241,19920101,  -12,    1
 22485,121241,19920102,  -17,    1
 22485,121241,19920103,  -16,    1
 22485,121241,19920104,   40,    1
 22485,121241,19920105,   70,    1
 22485,121241,19920106,   40,    1
 22485,121241,19920107,    6,    1
 22485,121241,19920108,   56,    1
 22485,121241,19920109,   58,    1
 22485,121241,19920110,   33,    1
 22485,121241,19920111,   13,    1
 22485,121241,19920112,    6,    1
 22485,121241,19920113,    6,    1
 22485,121241,19920114,    8,    1
 22485,121241,19920115,   31,    1
 22485,121241,19920116,   13,    1
 22485,121241,19920117,   21,    1
 22485,121241,19920118,    9,    1
 22485,121241,19920119,   15,    1
 22485,121241,19920120,    2,    1
 22485,121241,19920121,  -53,    1
 22485,121241,19920122,  -59,    1
 22485,121241,19920123,  -57,    1
 22485,121241,19920124,  -18,    1
 22485,121241,19920125,    9,    1
 22485,121241,19920126,   -5,    1
 22485,121241,19920127,   -2,    1
 22485,121241,19920128,  -20,    1
 22485,121241,19920129,   29,    1
 22485,121241,19920130,   43,    1
 22485,121241,19920131,   52,    1
 22485,121241,19920201,   60,    1
 22485,121241,19920202,   20,    1
 22485,121241,19920203,   -3,    1
 22485,121241,19920204,   26,    1
 22485,121241,19920205,   51,    1
 22485,121241,19920206,   43,    1
 22485,121241,19920207,   27,    1
 22485,121241,19920208,   -4,    1
