EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station REVETAL, NORWAY (STAID: 23870)
Blended and updated with sources:99184 99238 99313 99440 99622 124137 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23870, 99440,20130101,-9999,    9
 23870, 99440,20130102,-9999,    9
 23870, 99440,20130103,-9999,    9
 23870, 99313,20130104,   20,    1
 23870, 99313,20130105,  -15,    1
 23870, 99440,20130106,   -5,    1
 23870, 99440,20130107,    5,    1
 23870, 99440,20130108,   -9,    1
 23870, 99313,20130109,  -15,    1
 23870, 99313,20130110,  -12,    1
 23870, 99313,20130111,  -35,    1
 23870, 99440,20130112,  -79,    1
 23870, 99440,20130113, -106,    1
 23870, 99440,20130114, -109,    1
 23870, 99440,20130115,  -86,    1
 23870, 99440,20130116,  -93,    1
 23870, 99440,20130117,  -64,    1
 23870, 99440,20130118,  -68,    1
 23870, 99440,20130119,-9999,    9
 23870, 99440,20130120,-9999,    9
 23870, 99440,20130121,-9999,    9
 23870, 99440,20130122, -111,    1
 23870, 99440,20130123,-9999,    9
 23870, 99440,20130124,-9999,    9
 23870, 99440,20130125, -111,    1
 23870, 99440,20130126,-9999,    9
 23870, 99440,20130127,-9999,    9
 23870, 99440,20130128,-9999,    9
 23870, 99440,20130129,    7,    1
 23870, 99440,20130130,   25,    1
 23870, 99440,20130131,   16,    1
 23870, 99440,20130201,  -40,    0
 23870, 99440,20130202,  -58,    0
 23870, 99440,20130203,-9999,    9
 23870, 99440,20130204,-9999,    9
 23870, 99440,20130205,  -24,    0
 23870, 99238,20130206,   -7,    0
 23870, 99238,20130207,  -25,    0
 23870, 99238,20130208,  -56,    0
 23870, 99238,20130209,  -71,    0
 23870, 99238,20130210,  -59,    0
 23870, 99238,20130211,  -61,    0
 23870, 99238,20130212,  -48,    0
 23870, 99238,20130213,  -46,    0
 23870, 99238,20130214,  -29,    0
 23870, 99238,20130215,  -23,    0
 23870, 99238,20130216,  -12,    0
 23870, 99238,20130217,    3,    0
 23870, 99238,20130218,   -2,    0
 23870, 99238,20130219,  -20,    0
 23870, 99238,20130220,  -59,    0
 23870, 99238,20130221, -103,    0
 23870, 99238,20130222,  -52,    0
 23870, 99238,20130223,    7,    0
 23870, 99238,20130224,   10,    0
 23870, 99238,20130225,   -7,    0
 23870, 99238,20130226,  -50,    0
 23870, 99238,20130227,  -56,    0
 23870, 99238,20130228,   -8,    0
 23870, 99238,20130301,   32,    0
 23870, 99238,20130302,   39,    0
 23870, 99238,20130303,   34,    0
 23870, 99238,20130304,   22,    0
 23870, 99238,20130305,   -5,    0
 23870, 99238,20130306,   27,    0
 23870, 99238,20130307,  -19,    0
 23870, 99238,20130308,  -20,    0
 23870, 99238,20130309,  -64,    0
 23870, 99238,20130310,  -77,    0
 23870, 99238,20130311,  -56,    0
 23870, 99238,20130312,  -24,    0
 23870, 99238,20130313,  -62,    0
 23870, 99238,20130314,  -87,    1
 23870, 99238,20130315,  -59,    0
 23870, 99238,20130316,   -9,    0
 23870, 99238,20130317,   -8,    0
 23870, 99238,20130318,  -25,    0
 23870, 99238,20130319,  -59,    0
 23870, 99238,20130320,  -47,    0
 23870, 99238,20130321,  -32,    0
 23870, 99238,20130322,  -64,    1
 23870, 99238,20130323,  -68,    1
 23870, 99238,20130324,  -41,    0
 23870, 99238,20130325,  -23,    0
 23870, 99238,20130326,  -16,    0
 23870, 99238,20130327,  -31,    0
 23870, 99238,20130328,  -40,    0
 23870, 99238,20130329,  -18,    0
 23870, 99238,20130330,  -18,    0
 23870, 99238,20130331,  -12,    0
 23870, 99238,20130401,    8,    0
 23870, 99238,20130402,    6,    0
 23870, 99238,20130403,   11,    0
