EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV9 BYKLE, NORWAY (STAID: 23879)
Blended and updated with sources:33040 124186 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23879, 33040,20211101,-9999,    9
 23879, 33040,20211102,-9999,    9
 23879, 33040,20211103,-9999,    9
 23879, 33040,20211104,-9999,    9
 23879, 33040,20211105,-9999,    9
 23879, 33040,20211106,-9999,    9
 23879, 33040,20211107,-9999,    9
 23879, 33040,20211108,-9999,    9
 23879, 33040,20211109,-9999,    9
 23879, 33040,20211110,-9999,    9
 23879, 33040,20211111,-9999,    9
 23879, 33040,20211112,-9999,    9
 23879, 33040,20211113,-9999,    9
 23879, 33040,20211114,-9999,    9
 23879, 33040,20211115,-9999,    9
 23879, 33040,20211116,-9999,    9
 23879, 33040,20211117,-9999,    9
 23879, 33040,20211118,   41,    0
 23879, 33040,20211119,   70,    0
 23879, 33040,20211120,   20,    0
 23879, 33040,20211121,  -34,    0
 23879, 33040,20211122,  -14,    0
 23879, 33040,20211123,   37,    0
 23879, 33040,20211124,   37,    0
 23879, 33040,20211125,  -21,    0
 23879, 33040,20211126,  -43,    0
 23879, 33040,20211127,  -38,    0
 23879, 33040,20211128,  -58,    0
 23879, 33040,20211129, -109,    0
 23879, 33040,20211130,  -82,    0
 23879, 33040,20211201, -106,    0
 23879, 33040,20211202, -124,    0
 23879, 33040,20211203,  -94,    0
 23879, 33040,20211204,  -70,    0
 23879, 33040,20211205, -102,    0
 23879, 33040,20211206,  -97,    0
 23879, 33040,20211207,  -70,    0
 23879, 33040,20211208,  -52,    0
 23879, 33040,20211209,  -32,    0
 23879, 33040,20211210,  -28,    0
 23879, 33040,20211211,  -48,    0
 23879, 33040,20211212,  -33,    0
 23879, 33040,20211213,  -12,    0
 23879, 33040,20211214,    2,    0
 23879, 33040,20211215,   44,    0
 23879, 33040,20211216,   33,    0
 23879,124186,20211217,   30,    0
 23879,124186,20211218,   50,    0
 23879,124186,20211219,   -1,    0
 23879,124186,20211220,  -99,    0
 23879,124186,20211221, -112,    0
 23879,124186,20211222,  -76,    0
 23879,124186,20211223,  -61,    0
 23879,124186,20211224, -127,    0
 23879,124186,20211225, -140,    0
 23879,124186,20211226, -145,    0
 23879,124186,20211227, -109,    0
 23879,124186,20211228,  -67,    0
 23879,124186,20211229,  -81,    0
 23879,124186,20211230,    9,    0
 23879,124186,20211231,   43,    0
 23879,124186,20220101,   -8,    0
 23879,124186,20220102,   19,    0
 23879,124186,20220103,    0,    0
 23879,124186,20220104,  -28,    0
 23879,124186,20220105,  -86,    0
 23879,124186,20220106, -146,    0
 23879,124186,20220107,  -62,    0
 23879,124186,20220108,  -39,    0
 23879,124186,20220109,  -30,    0
 23879,124186,20220110,  -19,    0
 23879,124186,20220111,   -8,    0
 23879,124186,20220112,   40,    0
 23879,124186,20220113,   57,    0
 23879,124186,20220114,   -1,    0
 23879,124186,20220115,  -30,    0
 23879,124186,20220116,   12,    0
 23879,124186,20220117,  -20,    0
 23879, 33040,20220118,   15,    0
 23879,124186,20220119,    0,    0
 23879,124186,20220120,  -49,    0
 23879,124186,20220121,   12,    0
 23879,124186,20220122,   35,    0
 23879,124186,20220123,   36,    0
 23879,124186,20220124,   32,    0
 23879,124186,20220125,   12,    0
 23879,124186,20220126,   17,    0
 23879,124186,20220127,   21,    0
 23879,124186,20220128,  -23,    0
 23879,124186,20220129,   23,    0
 23879,124186,20220130,  -20,    0
