EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E39 SANDE BRU, NORWAY (STAID: 23882)
Blended and updated with sources:124189 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23882,124189,20211201,-9999,    9
 23882,124189,20211202,-9999,    9
 23882,124189,20211203,-9999,    9
 23882,124189,20211204,-9999,    9
 23882,124189,20211205,-9999,    9
 23882,124189,20211206,-9999,    9
 23882,124189,20211207,-9999,    9
 23882,124189,20211208,-9999,    9
 23882,124189,20211209,-9999,    9
 23882,124189,20211210,-9999,    9
 23882,124189,20211211,-9999,    9
 23882,124189,20211212,-9999,    9
 23882,124189,20211213,-9999,    9
 23882,124189,20211214,-9999,    9
 23882,124189,20211215,-9999,    9
 23882,124189,20211216,-9999,    9
 23882,124189,20211217,   47,    0
 23882,124189,20211218,   52,    0
 23882,124189,20211219,   13,    0
 23882,124189,20211220,  -27,    0
 23882,124189,20211221,  -15,    0
 23882,124189,20211222,    5,    0
 23882,124189,20211223,  -19,    0
 23882,124189,20211224,  -89,    0
 23882,124189,20211225,  -69,    0
 23882,124189,20211226,  -23,    0
 23882,124189,20211227,  -85,    0
 23882,124189,20211228,  -16,    0
 23882,124189,20211229,  -11,    0
 23882,124189,20211230,   19,    0
 23882,124189,20211231,   23,    0
 23882,124189,20220101,   16,    0
 23882,124189,20220102,   56,    0
 23882,124189,20220103,   26,    0
 23882,124189,20220104,    9,    0
 23882,124189,20220105,  -24,    0
 23882,124189,20220106,  -53,    0
 23882,124189,20220107,    0,    0
 23882,124189,20220108,  -16,    0
 23882,124189,20220109,  -35,    0
 23882,124189,20220110,    8,    0
 23882,124189,20220111,   36,    0
 23882,124189,20220112,   62,    0
 23882,124189,20220113,   71,    0
 23882,124189,20220114,   24,    0
 23882,124189,20220115,    8,    0
 23882,124189,20220116,   22,    0
 23882,124189,20220117,   -3,    0
 23882,124189,20220118,-9999,    9
 23882,124189,20220119,   19,    0
 23882,124189,20220120,  -21,    0
 23882,124189,20220121,   -1,    0
 23882,124189,20220122,   20,    0
 23882,124189,20220123,   55,    0
 23882,124189,20220124,   42,    0
