EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GASCHURN, AUSTRIA (STAID: 23891)
Blended and updated with sources:124257 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23891,124257,20200901,  120,    0
 23891,124257,20200902,  114,    0
 23891,124257,20200903,  128,    0
 23891,124257,20200904,  159,    0
 23891,124257,20200905,  173,    0
 23891,124257,20200906,  145,    0
 23891,124257,20200907,  120,    0
 23891,124257,20200908,  134,    0
 23891,124257,20200909,  160,    0
 23891,124257,20200910,  158,    0
 23891,124257,20200911,  168,    0
 23891,124257,20200912,  169,    0
 23891,124257,20200913,  167,    0
 23891,124257,20200914,  184,    0
 23891,124257,20200915,  182,    0
 23891,124257,20200916,  184,    0
 23891,124257,20200917,  166,    0
 23891,124257,20200918,  166,    0
 23891,124257,20200919,  168,    0
 23891,124257,20200920,  164,    0
 23891,124257,20200921,  143,    0
 23891,124257,20200922,  144,    0
 23891,124257,20200923,  146,    0
 23891,124257,20200924,  142,    0
 23891,124257,20200925,   70,    0
 23891,124257,20200926,   22,    0
 23891,124257,20200927,   54,    0
 23891,124257,20200928,   56,    0
 23891,124257,20200929,   78,    0
 23891,124257,20200930,  122,    0
 23891,124257,20201001,  104,    0
 23891,124257,20201002,  143,    0
 23891,124257,20201003,  135,    0
 23891,124257,20201004,   94,    0
 23891,124257,20201005,   76,    0
 23891,124257,20201006,   92,    0
 23891,124257,20201007,   78,    0
 23891,124257,20201008,   86,    0
 23891,124257,20201009,  101,    0
 23891,124257,20201010,   87,    0
 23891,124257,20201011,   44,    0
 23891,124257,20201012,   41,    0
 23891,124257,20201013,   43,    0
 23891,124257,20201014,   34,    0
 23891,124257,20201015,   19,    0
 23891,124257,20201016,   37,    0
 23891,124257,20201017,   62,    0
 23891,124257,20201018,   66,    0
 23891,124257,20201019,   49,    0
 23891,124257,20201020,   94,    0
 23891,124257,20201021,  144,    0
 23891,124257,20201022,  113,    0
 23891,124257,20201023,  113,    0
 23891,124257,20201024,   82,    0
 23891,124257,20201025,   90,    0
 23891,124257,20201026,   44,    0
 23891,124257,20201027,   30,    0
