EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROHRBACH, AUSTRIA (STAID: 23893)
Blended and updated with sources:124283 124491 135099 911008 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23893,124491,19480501,-9999,    9
 23893,124491,19480502,-9999,    9
 23893,124491,19480503,-9999,    9
 23893,124491,19480504,-9999,    9
 23893,124491,19480505,-9999,    9
 23893,124491,19480506,-9999,    9
 23893,124491,19480507,-9999,    9
 23893,124491,19480508,-9999,    9
 23893,124491,19480509,-9999,    9
 23893,124491,19480510,-9999,    9
 23893,124491,19480511,-9999,    9
 23893,124491,19480512,-9999,    9
 23893,124491,19480513,-9999,    9
 23893,124491,19480514,-9999,    9
 23893,124491,19480515,-9999,    9
 23893,124491,19480516,-9999,    9
 23893,124491,19480517,-9999,    9
 23893,124491,19480518,-9999,    9
 23893,124491,19480519,-9999,    9
 23893,124491,19480520,-9999,    9
 23893,124491,19480521,-9999,    9
 23893,124491,19480522,-9999,    9
 23893,124491,19480523,  122,    0
 23893,124491,19480524,  155,    0
 23893,124491,19480525,  168,    0
 23893,124491,19480526,  167,    0
 23893,124491,19480527,  148,    0
 23893,124491,19480528,  182,    0
 23893,124491,19480529,  140,    0
 23893,124491,19480530,  116,    0
 23893,124491,19480531,  111,    0
 23893,124491,19480601,  123,    0
 23893,124491,19480602,  123,    0
 23893,124491,19480603,   93,    0
 23893,124491,19480604,   85,    0
 23893,124491,19480605,  112,    0
 23893,124491,19480606,  150,    0
 23893,124491,19480607,  162,    0
 23893,124491,19480608,  186,    0
 23893,124491,19480609,  172,    0
 23893,124491,19480610,  192,    0
 23893,124491,19480611,  204,    0
 23893,124491,19480612,  210,    0
 23893,124491,19480613,  195,    0
 23893,124491,19480614,  172,    0
 23893,124491,19480615,  170,    0
 23893,124491,19480616,  179,    0
 23893,124491,19480617,  190,    0
 23893,124491,19480618,  182,    0
 23893,124491,19480619,  139,    0
 23893,124491,19480620,  115,    0
 23893,124491,19480621,  122,    0
 23893,124491,19480622,  128,    0
 23893,124491,19480623,  112,    0
 23893,124491,19480624,  119,    0
 23893,124491,19480625,  104,    0
 23893,124491,19480626,  122,    0
 23893,124491,19480627,  117,    0
 23893,124491,19480628,  122,    0
 23893,124491,19480629,  109,    0
 23893,124491,19480630,  121,    0
 23893,124491,19480701,  106,    0
 23893,124491,19480702,   93,    0
 23893,124491,19480703,  112,    0
 23893,124491,19480704,  123,    0
 23893,124491,19480705,  117,    0
 23893,124491,19480706,   97,    0
 23893,124491,19480707,  133,    0
 23893,124491,19480708,  132,    0
 23893,124491,19480709,   93,    0
 23893,124491,19480710,  102,    0
 23893,124491,19480711,  113,    0
 23893,124491,19480712,  143,    0
 23893,124491,19480713,  153,    0
 23893,124491,19480714,  150,    0
 23893,124491,19480715,  141,    0
 23893,124491,19480716,  132,    0
 23893,124491,19480717,  121,    0
 23893,124491,19480718,  136,    0
 23893,124491,19480719,  155,    0
 23893,124491,19480720,  183,    0
 23893,124491,19480721,  212,    0
 23893,124491,19480722,  229,    0
 23893,124491,19480723,  190,    0
 23893,124491,19480724,  198,    0
 23893,124491,19480725,  162,    0
 23893,124491,19480726,  211,    0
 23893,124491,19480727,  225,    0
 23893,124491,19480728,  211,    0
 23893,124491,19480729,  209,    0
 23893,124491,19480730,  200,    0
 23893,124491,19480731,  218,    0
 23893,124491,19480801,  220,    0
 23893,124491,19480802,  230,    0
 23893,124491,19480803,  200,    0
 23893,124491,19480804,  170,    0
 23893,124491,19480805,  190,    0
 23893,124491,19480806,  190,    0
 23893,124491,19480807,  205,    0
 23893,124491,19480808,  225,    0
 23893,124491,19480809,  165,    0
 23893,124491,19480810,  155,    0
 23893,124491,19480811,  175,    0
 23893,124491,19480812,  170,    0
 23893,124491,19480813,  120,    0
 23893,124491,19480814,   98,    0
 23893,124491,19480815,  140,    0
 23893,124491,19480816,  165,    0
 23893,124491,19480817,  195,    0
 23893,124491,19480818,  188,    0
 23893,124491,19480819,  165,    0
 23893,124491,19480820,  145,    0
 23893,124491,19480821,  135,    0
 23893,124491,19480822,  135,    0
 23893,124491,19480823,  176,    0
 23893,124491,19480824,  150,    0
 23893,124491,19480825,  190,    0
 23893,124491,19480826,  190,    0
 23893,124491,19480827,  147,    0
 23893,124491,19480828,  145,    0
 23893,124491,19480829,  126,    0
 23893,124491,19480830,  130,    0
 23893,124491,19480831,  145,    0
 23893,124491,19480901,  161,    0
 23893,124491,19480902,  155,    0
 23893,124491,19480903,  150,    0
 23893,124491,19480904,  185,    0
 23893,124491,19480905,  210,    0
 23893,124491,19480906,  160,    0
 23893,124491,19480907,  140,    0
 23893,124491,19480908,  120,    0
 23893,124491,19480909,  160,    0
 23893,124491,19480910,  195,    0
 23893,124491,19480911,  195,    0
 23893,124491,19480912,  170,    0
 23893,124491,19480913,  172,    0
 23893,124491,19480914,  131,    0
 23893,124491,19480915,  150,    0
 23893,124491,19480916,  145,    0
 23893,124491,19480917,  125,    0
 23893,124491,19480918,  111,    0
 23893,124491,19480919,  130,    0
 23893,124491,19480920,   96,    0
 23893,124491,19480921,   94,    0
 23893,124491,19480922,   75,    0
 23893,124491,19480923,   90,    0
 23893,124491,19480924,  105,    0
 23893,124491,19480925,  110,    0
 23893,124491,19480926,  125,    0
 23893,124491,19480927,  135,    0
 23893,124491,19480928,  149,    0
 23893,124491,19480929,  150,    0
 23893,124491,19480930,  146,    0
 23893,124491,19481001,  116,    0
 23893,124491,19481002,   90,    0
 23893,124491,19481003,  110,    0
 23893,124491,19481004,  140,    0
 23893,124491,19481005,   80,    0
 23893,124491,19481006,   60,    0
 23893,124491,19481007,   60,    0
 23893,124491,19481008,  106,    0
 23893,124491,19481009,   80,    0
 23893,124491,19481010,   80,    0
 23893,124491,19481011,   65,    0
 23893,124491,19481012,   70,    0
 23893,124491,19481013,   80,    0
 23893,124491,19481014,  105,    0
 23893,124491,19481015,   95,    0
 23893,124491,19481016,   92,    0
 23893,124491,19481017,  101,    0
 23893,124491,19481018,  110,    0
 23893,124491,19481019,   80,    0
 23893,124491,19481020,   60,    0
 23893,124491,19481021,   61,    0
 23893,124491,19481022,   80,    0
 23893,124491,19481023,   91,    0
 23893,124491,19481024,   75,    0
 23893,124491,19481025,  107,    0
 23893,124491,19481026,  130,    0
 23893,124491,19481027,   81,    0
 23893,124491,19481028,   60,    0
 23893,124491,19481029,   67,    0
 23893,124491,19481030,   65,    0
 23893,124491,19481031,   60,    0
 23893,124491,19481101,   55,    0
 23893,124491,19481102,   42,    0
 23893,124491,19481103,   71,    0
 23893,124491,19481104,  115,    0
 23893,124491,19481105,   86,    0
 23893,124491,19481106,   57,    0
 23893,124491,19481107,   35,    0
 23893,124491,19481108,   66,    0
 23893,124491,19481109,   21,    0
 23893,124491,19481110,    0,    0
 23893,124491,19481111,    5,    0
 23893,124491,19481112,   -3,    0
 23893,124491,19481113,    5,    0
 23893,124491,19481114,   30,    0
 23893,124491,19481115,   91,    0
 23893,124491,19481116,   61,    0
 23893,124491,19481117,   51,    0
 23893,124491,19481118,   50,    0
 23893,124491,19481119,   45,    0
 23893,124491,19481120,   45,    0
 23893,124491,19481121,   10,    0
 23893,124491,19481122,    7,    0
 23893,124491,19481123,   25,    0
 23893,124491,19481124,   -5,    0
 23893,124491,19481125,  -40,    0
 23893,124491,19481126,  -20,    0
 23893,124491,19481127,    0,    0
 23893,124491,19481128,   16,    0
 23893,124491,19481129,   21,    0
 23893,124491,19481130,   15,    0
 23893,124491,19481201,   12,    0
 23893,124491,19481202,   40,    0
 23893,124491,19481203,   27,    0
 23893,124491,19481204,  -30,    0
 23893,124491,19481205,   30,    0
 23893,124491,19481206,   25,    0
 23893,124491,19481207,    0,    0
 23893,124491,19481208,  -25,    0
 23893,124491,19481209,  -45,    0
 23893,124491,19481210,  -15,    0
 23893,124491,19481211,   -6,    0
 23893,124491,19481212,  -15,    0
 23893,124491,19481213,   -4,    0
 23893,124491,19481214,   32,    0
 23893,124491,19481215,   20,    0
 23893,124491,19481216,   10,    0
 23893,124491,19481217,  -15,    0
 23893,124491,19481218,  -23,    0
 23893,124491,19481219,  -14,    0
 23893,124491,19481220,  -30,    0
 23893,124491,19481221,  -75,    0
 23893,124491,19481222,  -75,    0
 23893,124491,19481223,  -70,    0
 23893,124491,19481224,  -50,    0
 23893,124491,19481225,  -50,    0
 23893,124491,19481226,  -35,    0
 23893,124491,19481227,  -55,    0
 23893,124491,19481228,  -95,    0
 23893,124491,19481229,  -55,    0
 23893,124491,19481230,    7,    0
 23893,124491,19481231,   -5,    0
 23893,124491,19490101,  -25,    0
 23893,124491,19490102,   25,    0
 23893,124491,19490103,   30,    0
 23893,124491,19490104,   10,    0
 23893,124491,19490105,  -15,    0
 23893,124491,19490106,  -14,    0
 23893,124491,19490107,  -10,    0
 23893,124491,19490108,   -5,    0
 23893,124491,19490109,  -15,    0
 23893,124491,19490110,  -25,    0
 23893,124491,19490111,  -65,    0
 23893,124491,19490112,  -50,    0
 23893,124491,19490113,  -20,    0
 23893,124491,19490114,  -30,    0
 23893,124491,19490115,  -20,    0
 23893,124491,19490116,  -20,    0
 23893,124491,19490117,   20,    0
 23893,124491,19490118,   25,    0
 23893,124491,19490119,   35,    0
 23893,124491,19490120,   40,    0
 23893,124491,19490121,   43,    0
 23893,124491,19490122,   15,    0
 23893,124491,19490123,  -43,    0
 23893,124491,19490124,  -55,    0
 23893,124491,19490125,  -25,    0
 23893,124491,19490126,  -15,    0
 23893,124491,19490127,   10,    0
 23893,124491,19490128,  -15,    0
 23893,124491,19490129,  -15,    0
 23893,124491,19490130,  -20,    0
 23893,124491,19490131,  -15,    0
 23893,124491,19490201,  -25,    0
 23893,124491,19490202,  -50,    0
 23893,124491,19490203,  -55,    0
 23893,124491,19490204,  -60,    0
 23893,124491,19490205,  -80,    0
 23893,124491,19490206,  -30,    0
 23893,124491,19490207,  -30,    0
 23893,124491,19490208,   -5,    0
 23893,124491,19490209,   35,    0
 23893,124491,19490210,   16,    0
 23893,124491,19490211,   10,    0
 23893,124491,19490212,   -4,    0
 23893,124491,19490213,  -15,    0
 23893,124491,19490214,  -25,    0
 23893,124491,19490215,  -25,    0
 23893,124491,19490216,   40,    0
 23893,124491,19490217,   11,    0
 23893,124491,19490218,  -20,    0
 23893,124491,19490219,    5,    0
 23893,124491,19490220,   25,    0
 23893,124491,19490221,   50,    0
 23893,124491,19490222,   40,    0
 23893,124491,19490223,   25,    0
 23893,124491,19490224,   42,    0
 23893,124491,19490225,   40,    0
 23893,124491,19490226,   25,    0
 23893,124491,19490227,   10,    0
 23893,124491,19490228,   10,    0
 23893,124491,19490301,    0,    0
 23893,124491,19490302,  -35,    0
 23893,124491,19490303,  -79,    0
 23893,124491,19490304,  -69,    0
 23893,124491,19490305,  -70,    0
 23893,124491,19490306,  -75,    0
 23893,124491,19490307,  -55,    0
 23893,124491,19490308,  -74,    0
 23893,124491,19490309,  -29,    0
 23893,124491,19490310,    5,    0
 23893,124491,19490311,   21,    0
 23893,124491,19490312,   30,    0
 23893,124491,19490313,   60,    0
 23893,124491,19490314,   60,    0
 23893,124491,19490315,   35,    0
 23893,124491,19490316,   15,    0
