EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LITSCHAU, AUSTRIA (STAID: 23895)
Blended and updated with sources:124309 134839 911021 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23895,134839,19540701,  185,    0
 23895,134839,19540702,  123,    0
 23895,134839,19540703,  137,    0
 23895,134839,19540704,  145,    0
 23895,134839,19540705,  153,    0
 23895,134839,19540706,  113,    0
 23895,134839,19540707,  148,    0
 23895,134839,19540708,  118,    0
 23895,134839,19540709,  113,    0
 23895,134839,19540710,  108,    0
 23895,134839,19540711,  121,    0
 23895,134839,19540712,  154,    0
 23895,134839,19540713,  132,    0
 23895,134839,19540714,  149,    0
 23895,134839,19540715,  169,    0
 23895,134839,19540716,  134,    0
 23895,134839,19540717,  135,    0
 23895,134839,19540718,  175,    0
 23895,134839,19540719,  140,    0
 23895,134839,19540720,  115,    0
 23895,134839,19540721,  125,    0
 23895,134839,19540722,  164,    0
 23895,134839,19540723,  169,    0
 23895,134839,19540724,  155,    0
 23895,134839,19540725,  192,    0
 23895,134839,19540726,  175,    0
 23895,134839,19540727,  200,    0
 23895,134839,19540728,  188,    0
 23895,134839,19540729,  163,    0
 23895,134839,19540730,  143,    0
 23895,134839,19540731,  138,    0
 23895,134839,19540801,  129,    0
 23895,134839,19540802,  161,    0
 23895,134839,19540803,  188,    0
 23895,134839,19540804,  210,    0
 23895,134839,19540805,  197,    0
 23895,134839,19540806,  198,    0
