EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POYSDORF-OST, AUSTRIA (STAID: 23944)
Blended and updated with sources:124920 124946 124959 135008 911032 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23944,124959,19360101,   57,    0
 23944,124959,19360102,   46,    0
 23944,124959,19360103,   44,    0
 23944,124959,19360104,   39,    0
 23944,124959,19360105,   35,    0
 23944,124959,19360106,   11,    0
 23944,124959,19360107,   20,    0
 23944,124959,19360108,   22,    0
 23944,124959,19360109,   14,    0
 23944,124959,19360110,   31,    0
 23944,124959,19360111,   65,    0
 23944,124959,19360112,   47,    0
 23944,124959,19360113,   22,    0
 23944,124959,19360114,    4,    0
 23944,124959,19360115,    3,    0
 23944,124959,19360116,  -24,    0
 23944,124959,19360117,   11,    0
 23944,124959,19360118,   19,    0
 23944,124959,19360119,  -17,    0
 23944,124959,19360120,   22,    0
 23944,124959,19360121,   46,    0
 23944,124959,19360122,   43,    0
 23944,124959,19360123,   29,    0
 23944,124959,19360124,   22,    0
 23944,124959,19360125,   21,    0
 23944,124959,19360126,   26,    0
 23944,124959,19360127,   87,    0
 23944,124959,19360128,   47,    0
 23944,124959,19360129,   44,    0
 23944,124959,19360130,   28,    0
 23944,124959,19360131,   37,    0
 23944,124959,19360201,   75,    0
 23944,124959,19360202,   65,    0
 23944,124959,19360203,   50,    0
 23944,124959,19360204,   18,    0
 23944,124959,19360205,   16,    0
 23944,124959,19360206,    2,    0
 23944,124959,19360207,  -14,    0
 23944,124959,19360208,  -10,    0
 23944,124959,19360209,    3,    0
 23944,124959,19360210,  -56,    0
 23944,124959,19360211, -104,    0
 23944,124959,19360212,  -90,    0
 23944,124959,19360213,  -11,    0
 23944,124959,19360214,    5,    0
 23944,124959,19360215,  -30,    0
 23944,124959,19360216,  -10,    0
 23944,124959,19360217,    1,    0
 23944,124959,19360218,   22,    0
 23944,124959,19360219,   15,    0
 23944,124959,19360220,   35,    0
 23944,124959,19360221,   40,    0
 23944,124959,19360222,   25,    0
 23944,124959,19360223,   35,    0
 23944,124959,19360224,   40,    0
 23944,124959,19360225,   40,    0
 23944,124959,19360226,   31,    0
 23944,124959,19360227,   44,    0
 23944,124959,19360228,   66,    0
 23944,124959,19360229,   58,    0
 23944,124959,19360301,   55,    0
 23944,124959,19360302,   45,    0
 23944,124959,19360303,   48,    0
 23944,124959,19360304,   89,    0
 23944,124959,19360305,   91,    0
 23944,124959,19360306,   70,    0
 23944,124959,19360307,   44,    0
 23944,124959,19360308,   25,    0
 23944,124959,19360309,   51,    0
 23944,124959,19360310,   40,    0
 23944,124959,19360311,   60,    0
 23944,124959,19360312,   45,    0
 23944,124959,19360313,   35,    0
 23944,124959,19360314,   24,    0
 23944,124959,19360315,   51,    0
 23944,124959,19360316,   34,    0
 23944,124959,19360317,   33,    0
 23944,124959,19360318,   30,    0
 23944,124959,19360319,   55,    0
 23944,124959,19360320,   65,    0
 23944,124959,19360321,   81,    0
 23944,124959,19360322,  107,    0
 23944,124959,19360323,  100,    0
 23944,124959,19360324,  100,    0
 23944,124959,19360325,  100,    0
 23944,124959,19360326,  117,    0
 23944,124959,19360327,  101,    0
 23944,124959,19360328,   72,    0
 23944,124959,19360329,   65,    0
 23944,124959,19360330,   83,    0
 23944,124959,19360331,  125,    0
 23944,124959,19360401,  111,    0
 23944,124959,19360402,  134,    0
 23944,124959,19360403,  135,    0
 23944,124959,19360404,  120,    0
 23944,124959,19360405,   85,    0
 23944,124959,19360406,   55,    0
 23944,124959,19360407,   56,    0
 23944,124959,19360408,   75,    0
 23944,124959,19360409,   50,    0
 23944,124959,19360410,  105,    0
 23944,124959,19360411,   83,    0
 23944,124959,19360412,   50,    0
 23944,124959,19360413,   72,    0
 23944,124959,19360414,  125,    0
 23944,124959,19360415,  132,    0
 23944,124959,19360416,  157,    0
 23944,124959,19360417,  140,    0
 23944,124959,19360418,   83,    0
 23944,124959,19360419,   75,    0
 23944,124959,19360420,   85,    0
 23944,124959,19360421,  109,    0
 23944,124959,19360422,   70,    0
 23944,124959,19360423,   88,    0
 23944,124959,19360424,   72,    0
 23944,124959,19360425,   85,    0
 23944,124959,19360426,  106,    0
 23944,124959,19360427,  110,    0
 23944,124959,19360428,  151,    0
 23944,124959,19360429,  141,    0
 23944,124959,19360430,  135,    0
 23944,124959,19360501,   95,    0
 23944,124959,19360502,  150,    0
 23944,124959,19360503,  150,    0
 23944,124959,19360504,  160,    0
 23944,124959,19360505,  136,    0
 23944,124959,19360506,  180,    0
 23944,124959,19360507,  150,    0
 23944,124959,19360508,  145,    0
 23944,124959,19360509,  166,    0
 23944,124959,19360510,  185,    0
 23944,124959,19360511,  165,    0
 23944,124959,19360512,  170,    0
 23944,124959,19360513,  169,    0
 23944,124959,19360514,  165,    0
 23944,124959,19360515,  135,    0
 23944,124959,19360516,  144,    0
 23944,124959,19360517,  160,    0
 23944,124959,19360518,  151,    0
 23944,124959,19360519,  125,    0
 23944,124959,19360520,  160,    0
 23944,124959,19360521,  163,    0
 23944,124959,19360522,  155,    0
 23944,124959,19360523,   94,    0
 23944,124959,19360524,  120,    0
 23944,124959,19360525,  156,    0
 23944,124959,19360526,  201,    0
 23944,124959,19360527,  188,    0
 23944,124959,19360528,  180,    0
 23944,124959,19360529,  146,    0
 23944,124959,19360530,  175,    0
 23944,124959,19360531,  170,    0
 23944,124959,19360601,  131,    0
 23944,124959,19360602,  123,    0
 23944,124959,19360603,  130,    0
 23944,124959,19360604,  155,    0
 23944,124959,19360605,  115,    0
 23944,124959,19360606,  113,    0
 23944,124959,19360607,  134,    0
 23944,124959,19360608,  145,    0
 23944,124959,19360609,  135,    0
 23944,124959,19360610,  129,    0
 23944,124959,19360611,  151,    0
 23944,124959,19360612,  160,    0
 23944,124959,19360613,  165,    0
 23944,124959,19360614,  189,    0
 23944,124959,19360615,  185,    0
 23944,124959,19360616,  215,    0
 23944,124959,19360617,  210,    0
 23944,124959,19360618,  215,    0
 23944,124959,19360619,  197,    0
 23944,124959,19360620,  190,    0
 23944,124959,19360621,  188,    0
 23944,124959,19360622,  197,    0
 23944,124959,19360623,  211,    0
 23944,124959,19360624,  209,    0
 23944,124959,19360625,  222,    0
 23944,124959,19360626,  204,    0
 23944,124959,19360627,  210,    0
 23944,124959,19360628,  215,    0
 23944,124959,19360629,  229,    0
 23944,124959,19360630,  230,    0
 23944,124959,19360701,  227,    0
 23944,124959,19360702,  215,    0
