EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WILFERSDORF, AUSTRIA (STAID: 23945)
Blended and updated with sources:124907 124920 124946 124959 135008 911032 911332 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23945,124959,19360101,   57,    0
 23945,124959,19360102,   46,    0
 23945,124959,19360103,   44,    0
 23945,124959,19360104,   39,    0
 23945,124959,19360105,   35,    0
 23945,124959,19360106,   11,    0
 23945,124959,19360107,   20,    0
 23945,124959,19360108,   22,    0
 23945,124959,19360109,   14,    0
 23945,124959,19360110,   31,    0
 23945,124959,19360111,   65,    0
 23945,124959,19360112,   47,    0
 23945,124959,19360113,   22,    0
 23945,124959,19360114,    4,    0
 23945,124959,19360115,    3,    0
 23945,124959,19360116,  -24,    0
 23945,124959,19360117,   11,    0
 23945,124959,19360118,   19,    0
 23945,124959,19360119,  -17,    0
 23945,124959,19360120,   22,    0
 23945,124959,19360121,   46,    0
 23945,124959,19360122,   43,    0
 23945,124959,19360123,   29,    0
 23945,124959,19360124,   22,    0
 23945,124959,19360125,   21,    0
 23945,124959,19360126,   26,    0
 23945,124959,19360127,   87,    0
 23945,124959,19360128,   47,    0
 23945,124959,19360129,   44,    0
 23945,124959,19360130,   28,    0
 23945,124959,19360131,   37,    0
 23945,124959,19360201,   75,    0
 23945,124959,19360202,   65,    0
 23945,124959,19360203,   50,    0
 23945,124959,19360204,   18,    0
 23945,124959,19360205,   16,    0
 23945,124959,19360206,    2,    0
 23945,124959,19360207,  -14,    0
 23945,124959,19360208,  -10,    0
 23945,124959,19360209,    3,    0
 23945,124959,19360210,  -56,    0
 23945,124959,19360211, -104,    0
 23945,124959,19360212,  -90,    0
 23945,124959,19360213,  -11,    0
 23945,124959,19360214,    5,    0
 23945,124959,19360215,  -30,    0
 23945,124959,19360216,  -10,    0
 23945,124959,19360217,    1,    0
 23945,124959,19360218,   22,    0
 23945,124959,19360219,   15,    0
 23945,124959,19360220,   35,    0
 23945,124959,19360221,   40,    0
 23945,124959,19360222,   25,    0
 23945,124959,19360223,   35,    0
 23945,124959,19360224,   40,    0
 23945,124959,19360225,   40,    0
 23945,124959,19360226,   31,    0
 23945,124959,19360227,   44,    0
 23945,124959,19360228,   66,    0
 23945,124959,19360229,   58,    0
 23945,124959,19360301,   55,    0
 23945,124959,19360302,   45,    0
 23945,124959,19360303,   48,    0
 23945,124959,19360304,   89,    0
 23945,124959,19360305,   91,    0
 23945,124959,19360306,   70,    0
 23945,124959,19360307,   44,    0
 23945,124959,19360308,   25,    0
 23945,124959,19360309,   51,    0
 23945,124959,19360310,   40,    0
 23945,124959,19360311,   60,    0
 23945,124959,19360312,   45,    0
 23945,124959,19360313,   35,    0
 23945,124959,19360314,   24,    0
 23945,124959,19360315,   51,    0
 23945,124959,19360316,   34,    0
 23945,124959,19360317,   33,    0
 23945,124959,19360318,   30,    0
 23945,124959,19360319,   55,    0
 23945,124959,19360320,   65,    0
 23945,124959,19360321,   81,    0
 23945,124959,19360322,  107,    0
 23945,124959,19360323,  100,    0
 23945,124959,19360324,  100,    0
 23945,124959,19360325,  100,    0
 23945,124959,19360326,  117,    0
 23945,124959,19360327,  101,    0
 23945,124959,19360328,   72,    0
 23945,124959,19360329,   65,    0
 23945,124959,19360330,   83,    0
