EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHAERDING, AUSTRIA (STAID: 23949)
Blended and updated with sources:125011 911055 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23949,125011,19921201,    0,    0
 23949,125011,19921202,   -3,    0
 23949,125011,19921203,   43,    0
 23949,125011,19921204,   45,    0
 23949,125011,19921205,   44,    0
 23949,125011,19921206,   21,    0
 23949,125011,19921207,    7,    0
 23949,125011,19921208,   21,    0
 23949,125011,19921209,   33,    0
 23949,125011,19921210,   22,    0
 23949,125011,19921211,   23,    0
 23949,125011,19921212,   20,    0
 23949,125011,19921213,   29,    0
 23949,125011,19921214,   35,    0
 23949,125011,19921215,   18,    0
 23949,125011,19921216,  -11,    0
 23949,125011,19921217,    2,    0
 23949,125011,19921218,   -2,    0
 23949,125011,19921219,   -5,    0
 23949,125011,19921220,   -7,    0
 23949,125011,19921221,    9,    0
 23949,125011,19921222,   22,    0
 23949,125011,19921223,   14,    0
 23949,125011,19921224,  -15,    0
 23949,125011,19921225,  -44,    0
 23949,125011,19921226,  -49,    0
 23949,125011,19921227,  -68,    0
 23949,125011,19921228,  -53,    0
 23949,125011,19921229,  -70,    0
 23949,125011,19921230,  -62,    0
 23949,125011,19921231,  -66,    0
 23949,125011,19930101,  -49,    0
 23949,125011,19930102,  -98,    0
 23949,125011,19930103,  -87,    0
 23949,125011,19930104,  -40,    0
 23949,125011,19930105,  -56,    0
 23949,125011,19930106,  -58,    0
 23949,125011,19930107,    7,    0
 23949,125011,19930108,   30,    0
 23949,125011,19930109,   25,    0
 23949,125011,19930110,   42,    0
 23949,125011,19930111,   33,    0
 23949,125011,19930112,   86,    0
 23949,125011,19930113,   25,    0
 23949,125011,19930114,   38,    0
 23949,125011,19930115,   26,    0
 23949,125011,19930116,   41,    0
 23949,125011,19930117,   16,    0
 23949,125011,19930118,    8,    0
 23949,125011,19930119,    5,    0
 23949,125011,19930120,   53,    0
 23949,125011,19930121,   64,    0
 23949,125011,19930122,   59,    0
 23949,125011,19930123,   85,    0
 23949,125011,19930124,   87,    0
 23949,125011,19930125,   70,    0
 23949,125011,19930126,    6,    0
 23949,125011,19930127,   13,    0
 23949,125011,19930128,    6,    0
 23949,125011,19930129,   12,    0
 23949,125011,19930130,  -35,    0
 23949,125011,19930131,  -95,    0
 23949,125011,19930201,  -90,    0
 23949,125011,19930202,  -76,    0
 23949,125011,19930203,  -79,    0
 23949,125011,19930204,  -75,    0
 23949,125011,19930205,  -68,    0
 23949,125011,19930206,  -46,    0
 23949,125011,19930207,   13,    0
 23949,125011,19930208,    3,    0
 23949,125011,19930209,    3,    0
 23949,125011,19930210,   -9,    0
 23949,125011,19930211,  -19,    0
 23949,125011,19930212,  -12,    0
 23949,125011,19930213,  -19,    0
 23949,125011,19930214,  -29,    0
 23949,125011,19930215,    1,    0
 23949,125011,19930216,   -6,    0
 23949,125011,19930217,   -9,    0
 23949,125011,19930218,   32,    0
 23949,125011,19930219,   25,    0
 23949,125011,19930220,   20,    0
 23949,125011,19930221,    7,    0
 23949,125011,19930222,  -32,    0
 23949,125011,19930223,  -75,    0
 23949,125011,19930224,  -61,    0
 23949,125011,19930225,  -32,    0
 23949,125011,19930226,  -22,    0
 23949,125011,19930227,  -87,    0
 23949,125011,19930228,  -77,    0
 23949,125011,19930301,   -5,    0
 23949,125011,19930302,   45,    0
 23949,125011,19930303,   10,    0
 23949,125011,19930304,  -28,    0
 23949,125011,19930305,  -60,    0
 23949,125011,19930306,   -7,    0
 23949,125011,19930307,   26,    0
 23949,125011,19930308,   -2,    0
 23949,125011,19930309,  -11,    0
 23949,125011,19930310,   -5,    0
 23949,125011,19930311,   22,    0
 23949,125011,19930312,   29,    0
 23949,125011,19930313,   44,    0
 23949,125011,19930314,   43,    0
 23949,125011,19930315,   55,    0
 23949,125011,19930316,   73,    0
 23949,125011,19930317,   80,    0
 23949,125011,19930318,  129,    0
 23949,125011,19930319,   82,    0
 23949,125011,19930320,   76,    0
 23949,125011,19930321,   84,    0
 23949,125011,19930322,  113,    0
 23949,125011,19930323,   99,    0
 23949,125011,19930324,   66,    0
 23949,125011,19930325,   44,    0
 23949,125011,19930326,   25,    0
 23949,125011,19930327,   -1,    0
 23949,125011,19930328,    4,    0
 23949,125011,19930329,   14,    0
 23949,125011,19930330,   18,    0
 23949,125011,19930331,   12,    0
 23949,125011,19930401,   87,    0
 23949,125011,19930402,   57,    0
 23949,125011,19930403,   73,    0
 23949,125011,19930404,   80,    0
 23949,125011,19930405,   68,    0
 23949,125011,19930406,   63,    0
 23949,125011,19930407,   72,    0
 23949,125011,19930408,   62,    0
 23949,125011,19930409,   59,    0
 23949,125011,19930410,   75,    0
 23949,125011,19930411,   64,    0
 23949,125011,19930412,   47,    0
 23949,125011,19930413,   80,    0
 23949,125011,19930414,  103,    0
 23949,125011,19930415,   95,    0
 23949,125011,19930416,   98,    0
 23949,125011,19930417,   90,    0
 23949,125011,19930418,  101,    0
 23949,125011,19930419,  113,    0
 23949,125011,19930420,  134,    0
 23949,125011,19930421,  136,    0
 23949,125011,19930422,  152,    0
 23949,125011,19930423,  152,    0
 23949,125011,19930424,  167,    0
 23949,125011,19930425,  166,    0
 23949,125011,19930426,  175,    0
 23949,125011,19930427,  170,    0
 23949,125011,19930428,  202,    0
 23949,125011,19930429,  184,    0
 23949,125011,19930430,  171,    0
 23949,125011,19930501,  171,    0
 23949,125011,19930502,  141,    0
 23949,125011,19930503,  152,    0
 23949,125011,19930504,  141,    0
 23949,125011,19930505,  129,    0
 23949,125011,19930506,  156,    0
 23949,125011,19930507,  170,    0
 23949,125011,19930508,  164,    0
 23949,125011,19930509,  194,    0
 23949,125011,19930510,  177,    0
 23949,125011,19930511,  205,    0
 23949,125011,19930512,  181,    0
 23949,125011,19930513,  163,    0
 23949,125011,19930514,  167,    0
 23949,125011,19930515,  162,    0
 23949,125011,19930516,  157,    0
 23949,125011,19930517,  157,    0
 23949,125011,19930518,  184,    0
 23949,125011,19930519,  189,    0
 23949,125011,19930520,  196,    0
 23949,125011,19930521,  181,    0
 23949,125011,19930522,  126,    0
 23949,125011,19930523,  125,    0
 23949,125011,19930524,  162,    0
 23949,125011,19930525,  182,    0
 23949,125011,19930526,  209,    0
 23949,125011,19930527,  202,    0
 23949,125011,19930528,  178,    0
 23949,125011,19930529,  156,    0
 23949,125011,19930530,  179,    0
