EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WAIZENKIRCHEN, AUSTRIA (STAID: 23951)
Blended and updated with sources:125024 125037 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23951,125024,19480101,  -35,    0
 23951,125024,19480102,    5,    0
 23951,125024,19480103,   55,    0
 23951,125024,19480104,   75,    0
 23951,125024,19480105,   20,    0
 23951,125024,19480106,   25,    0
 23951,125024,19480107,   40,    0
 23951,125024,19480108,   50,    0
 23951,125024,19480109,   19,    0
 23951,125024,19480110,   20,    0
 23951,125024,19480111,   25,    0
 23951,125024,19480112,   40,    0
 23951,125024,19480113,   85,    0
 23951,125024,19480114,   65,    0
 23951,125024,19480115,   10,    0
 23951,125024,19480116,   10,    0
 23951,125024,19480117,    0,    0
 23951,125024,19480118,    4,    0
 23951,125024,19480119,    5,    0
 23951,125024,19480120,  -15,    0
 23951,125024,19480121,  -15,    0
 23951,125024,19480122,  -85,    0
 23951,125024,19480123,  -60,    0
 23951,125024,19480124,  -46,    0
 23951,125024,19480125,  -15,    0
 23951,125024,19480126,   55,    0
 23951,125024,19480127,   30,    0
 23951,125024,19480128,   50,    0
 23951,125024,19480129,   25,    0
 23951,125024,19480130,   50,    0
 23951,125024,19480131,   91,    0
 23951,125024,19480201,   69,    0
 23951,125024,19480202,   55,    0
 23951,125024,19480203,   85,    0
 23951,125024,19480204,   80,    0
 23951,125024,19480205,   35,    0
 23951,125024,19480206,   25,    0
 23951,125024,19480207,   35,    0
 23951,125024,19480208,   45,    0
 23951,125024,19480209,   81,    0
 23951,125024,19480210,   51,    0
 23951,125024,19480211,   36,    0
 23951,125024,19480212,   50,    0
 23951,125024,19480213,   30,    0
 23951,125024,19480214,   30,    0
 23951,125024,19480215,   -5,    0
 23951,125024,19480216,    0,    0
 23951,125024,19480217,  -20,    0
 23951,125024,19480218,  -40,    0
 23951,125024,19480219,  -71,    0
 23951,125024,19480220,  -65,    0
 23951,125024,19480221,  -25,    0
 23951,125024,19480222,   10,    0
 23951,125024,19480223,  -40,    0
 23951,125024,19480224,  -71,    0
 23951,125024,19480225,  -85,    0
 23951,125024,19480226,  -25,    0
 23951,125024,19480227,  -25,    0
 23951,125024,19480228,   -5,    0
 23951,125024,19480229,   -5,    0
 23951,125024,19480301,   21,    0
 23951,125024,19480302,    5,    0
 23951,125024,19480303,    5,    0
 23951,125024,19480304,   40,    0
 23951,125024,19480305,   50,    0
 23951,125024,19480306,   45,    0
 23951,125024,19480307,   50,    0
 23951,125024,19480308,   55,    0
 23951,125024,19480309,   85,    0
 23951,125024,19480310,   80,    0
 23951,125024,19480311,   50,    0
 23951,125024,19480312,   70,    0
 23951,125024,19480313,   50,    0
 23951,125024,19480314,   55,    0
 23951,125024,19480315,   50,    0
 23951,125024,19480316,   75,    0
 23951,125024,19480317,   46,    0
 23951,125024,19480318,   50,    0
 23951,125024,19480319,   50,    0
 23951,125024,19480320,   45,    0
 23951,125024,19480321,  100,    0
 23951,125024,19480322,   85,    0
 23951,125024,19480323,   67,    0
 23951,125024,19480324,   25,    0
 23951,125024,19480325,   45,    0
 23951,125024,19480326,   95,    0
 23951,125024,19480327,   30,    0
 23951,125024,19480328,   45,    0
 23951,125024,19480329,   65,    0
 23951,125024,19480330,   85,    0
 23951,125024,19480331,   90,    0
 23951,125024,19480401,   95,    0
 23951,125024,19480402,   65,    0
 23951,125024,19480403,   80,    0
 23951,125024,19480404,   85,    0
 23951,125024,19480405,   95,    0
 23951,125024,19480406,   62,    0
 23951,125024,19480407,   65,    0
 23951,125024,19480408,   90,    0
 23951,125024,19480409,   73,    0
 23951,125024,19480410,   65,    0
 23951,125024,19480411,   50,    0
 23951,125024,19480412,   70,    0
 23951,125024,19480413,   80,    0
 23951,125024,19480414,   75,    0
 23951,125024,19480415,   75,    0
 23951,125024,19480416,  115,    0
 23951,125024,19480417,  155,    0
 23951,125024,19480418,  170,    0
 23951,125024,19480419,  175,    0
 23951,125024,19480420,  130,    0
 23951,125024,19480421,  155,    0
 23951,125024,19480422,  185,    0
 23951,125024,19480423,  130,    0
 23951,125024,19480424,  140,    0
 23951,125024,19480425,  110,    0
 23951,125024,19480426,  104,    0
 23951,125024,19480427,   85,    0
 23951,125024,19480428,  110,    0
 23951,125024,19480429,  125,    0
 23951,125024,19480430,  135,    0
 23951,125024,19480501,  100,    0
 23951,125024,19480502,  110,    0
 23951,125024,19480503,  125,    0
 23951,125024,19480504,  135,    0
 23951,125024,19480505,  150,    0
 23951,125024,19480506,  160,    0
 23951,125024,19480507,  150,    0
 23951,125024,19480508,  150,    0
 23951,125024,19480509,  160,    0
 23951,125024,19480510,  200,    0
 23951,125024,19480511,  170,    0
 23951,125024,19480512,  185,    0
 23951,125024,19480513,  195,    0
 23951,125024,19480514,  190,    0
 23951,125024,19480515,  195,    0
 23951,125024,19480516,  185,    0
 23951,125024,19480517,  165,    0
 23951,125024,19480518,  140,    0
 23951,125024,19480519,  120,    0
 23951,125024,19480520,   95,    0
 23951,125024,19480521,  105,    0
 23951,125024,19480522,  130,    0
 23951,125024,19480523,  120,    0
 23951,125024,19480524,  160,    0
 23951,125024,19480525,  175,    0
 23951,125024,19480526,  175,    0
 23951,125024,19480527,  170,    0
 23951,125024,19480528,  185,    0
 23951,125024,19480529,  160,    0
 23951,125024,19480530,  126,    0
 23951,125024,19480531,  124,    0
 23951,125024,19480601,  120,    0
 23951,125024,19480602,  116,    0
 23951,125024,19480603,  100,    0
 23951,125024,19480604,   95,    0
 23951,125024,19480605,  120,    0
 23951,125024,19480606,  160,    0
 23951,125024,19480607,  165,    0
 23951,125024,19480608,  190,    0
 23951,125024,19480609,  190,    0
 23951,125024,19480610,  200,    0
 23951,125024,19480611,  210,    0
 23951,125024,19480612,  200,    0
 23951,125024,19480613,  180,    0
 23951,125024,19480614,  170,    0
 23951,125024,19480615,  180,    0
 23951,125024,19480616,  185,    0
 23951,125024,19480617,  185,    0
 23951,125024,19480618,  190,    0
 23951,125024,19480619,  150,    0
 23951,125024,19480620,  120,    0
 23951,125024,19480621,  125,    0
 23951,125024,19480622,  140,    0
 23951,125024,19480623,  125,    0
 23951,125024,19480624,  125,    0
 23951,125024,19480625,  115,    0
 23951,125024,19480626,  135,    0
 23951,125024,19480627,  135,    0
 23951,125024,19480628,  135,    0
 23951,125024,19480629,  131,    0
 23951,125024,19480630,  135,    0
 23951,125024,19480701,  115,    0
 23951,125024,19480702,  115,    0
 23951,125024,19480703,  120,    0
 23951,125024,19480704,  130,    0
 23951,125024,19480705,  110,    0
 23951,125024,19480706,  102,    0
 23951,125024,19480707,  138,    0
 23951,125024,19480708,  145,    0
 23951,125024,19480709,  100,    0
 23951,125024,19480710,   95,    0
 23951,125024,19480711,  115,    0
 23951,125024,19480712,  165,    0
 23951,125024,19480713,  165,    0
 23951,125024,19480714,  161,    0
 23951,125024,19480715,  150,    0
 23951,125024,19480716,  145,    0
 23951,125024,19480717,  130,    0
 23951,125024,19480718,  145,    0
 23951,125024,19480719,  160,    0
 23951,125024,19480720,  200,    0
 23951,125024,19480721,  205,    0
 23951,125024,19480722,  225,    0
 23951,125024,19480723,  210,    0
 23951,125024,19480724,  220,    0
 23951,125024,19480725,  181,    0
 23951,125024,19480726,  220,    0
 23951,125024,19480727,  235,    0
 23951,125024,19480728,  210,    0
 23951,125024,19480729,  230,    0
 23951,125024,19480730,  200,    0
 23951,125024,19480731,  200,    0
 23951,125024,19480801,  215,    0
 23951,125024,19480802,  210,    0
 23951,125024,19480803,  197,    0
 23951,125024,19480804,  195,    0
 23951,125024,19480805,  200,    0
 23951,125024,19480806,  200,    0
 23951,125024,19480807,  205,    0
 23951,125024,19480808,  235,    0
 23951,125024,19480809,  170,    0
 23951,125024,19480810,  170,    0
 23951,125024,19480811,  180,    0
 23951,125024,19480812,  169,    0
 23951,125024,19480813,  135,    0
 23951,125024,19480814,  105,    0
 23951,125024,19480815,  160,    0
 23951,125024,19480816,  165,    0
 23951,125024,19480817,  185,    0
 23951,125024,19480818,  200,    0
 23951,125024,19480819,  160,    0
 23951,125024,19480820,  150,    0
 23951,125024,19480821,  150,    0
 23951,125024,19480822,  127,    0
 23951,125024,19480823,  185,    0
 23951,125024,19480824,  150,    0
 23951,125024,19480825,  210,    0
 23951,125024,19480826,  190,    0
 23951,125024,19480827,  164,    0
 23951,125024,19480828,  140,    0
 23951,125024,19480829,  135,    0
 23951,125024,19480830,  125,    0
 23951,125024,19480831,  130,    0
 23951,125024,19480901,  146,    0
 23951,125024,19480902,  165,    0
 23951,125024,19480903,  150,    0
 23951,125024,19480904,  165,    0
 23951,125024,19480905,  195,    0
 23951,125024,19480906,  175,    0
 23951,125024,19480907,  154,    0
 23951,125024,19480908,  120,    0
 23951,125024,19480909,  135,    0
 23951,125024,19480910,  180,    0
 23951,125024,19480911,  179,    0
 23951,125024,19480912,  145,    0
 23951,125024,19480913,  150,    0
 23951,125024,19480914,  152,    0
 23951,125024,19480915,  165,    0
 23951,125024,19480916,  145,    0
 23951,125024,19480917,  125,    0
 23951,125024,19480918,  123,    0
 23951,125024,19480919,  140,    0
 23951,125024,19480920,  105,    0
 23951,125024,19480921,   95,    0
 23951,125024,19480922,   76,    0
 23951,125024,19480923,   99,    0
 23951,125024,19480924,   90,    0
 23951,125024,19480925,  105,    0
 23951,125024,19480926,  128,    0
 23951,125024,19480927,  130,    0
 23951,125024,19480928,  140,    0
 23951,125024,19480929,  144,    0
 23951,125024,19480930,  143,    0
 23951,125024,19481001,  120,    0
 23951,125024,19481002,   86,    0
 23951,125024,19481003,  141,    0
 23951,125024,19481004,  140,    0
 23951,125024,19481005,   95,    0
 23951,125024,19481006,   85,    0
 23951,125024,19481007,   45,    0
 23951,125024,19481008,   93,    0
 23951,125024,19481009,   71,    0
 23951,125024,19481010,   60,    0
 23951,125024,19481011,   60,    0
 23951,125024,19481012,   60,    0
 23951,125024,19481013,   65,    0
 23951,125024,19481014,   80,    0
 23951,125024,19481015,   95,    0
 23951,125024,19481016,   80,    0
 23951,125024,19481017,   95,    0
 23951,125024,19481018,  115,    0
 23951,125024,19481019,   85,    0
 23951,125024,19481020,   60,    0
 23951,125024,19481021,   55,    0
 23951,125024,19481022,   70,    0
 23951,125024,19481023,   80,    0
 23951,125024,19481024,  110,    0
 23951,125024,19481025,  100,    0
 23951,125024,19481026,  115,    0
 23951,125024,19481027,   87,    0
 23951,125024,19481028,   75,    0
 23951,125024,19481029,   85,    0
 23951,125024,19481030,   93,    0
 23951,125024,19481031,   69,    0
 23951,125024,19481101,   65,    0
 23951,125024,19481102,   68,    0
 23951,125024,19481103,   90,    0
 23951,125024,19481104,  113,    0
 23951,125024,19481105,   75,    0
 23951,125024,19481106,   55,    0
 23951,125024,19481107,   20,    0
 23951,125024,19481108,   67,    0
 23951,125024,19481109,   21,    0
 23951,125024,19481110,  -15,    0
 23951,125024,19481111,    8,    0
 23951,125024,19481112,   10,    0
 23951,125024,19481113,   12,    0
 23951,125024,19481114,   26,    0
 23951,125024,19481115,   90,    0
 23951,125024,19481116,   45,    0
 23951,125024,19481117,   55,    0
 23951,125024,19481118,   45,    0
 23951,125024,19481119,   45,    0
 23951,125024,19481120,    5,    0
 23951,125024,19481121,   10,    0
 23951,125024,19481122,   21,    0
 23951,125024,19481123,   40,    0
 23951,125024,19481124,   -5,    0
 23951,125024,19481125,  -35,    0
 23951,125024,19481126,  -15,    0
 23951,125024,19481127,  -15,    0
 23951,125024,19481128,   20,    0
 23951,125024,19481129,  -30,    0
 23951,125024,19481130,   -5,    0
 23951,125024,19481201,  -35,    0
 23951,125024,19481202,  -35,    0
 23951,125024,19481203,  -45,    0
 23951,125024,19481204,  -30,    0
 23951,125024,19481205,   14,    0
 23951,125024,19481206,   10,    0
 23951,125024,19481207,   -3,    0
 23951,125024,19481208,    0,    0
 23951,125024,19481209,  -10,    0
 23951,125024,19481210,   -4,    0
 23951,125024,19481211,   -7,    0
 23951,125024,19481212,   -6,    0
 23951,125024,19481213,   10,    0
 23951,125024,19481214,   41,    0
 23951,125024,19481215,    7,    0
 23951,125024,19481216,   15,    0
 23951,125024,19481217,    2,    0
 23951,125024,19481218,   -4,    0
 23951,125024,19481219,   10,    0
 23951,125024,19481220,  -25,    0
 23951,125024,19481221,  -78,    0
 23951,125024,19481222,  -65,    0
 23951,125024,19481223,  -75,    0
 23951,125024,19481224,  -50,    0
 23951,125024,19481225,  -25,    0
 23951,125024,19481226,  -24,    0
 23951,125024,19481227,  -65,    0
 23951,125024,19481228,  -95,    0
 23951,125024,19481229,  -66,    0
 23951,125024,19481230,   -9,    0
 23951,125024,19481231,  -20,    0
 23951,125024,19490101,  -10,    0
 23951,125024,19490102,    5,    0
 23951,125024,19490103,   -5,    0
 23951,125024,19490104,    8,    0
 23951,125024,19490105,  -15,    0
 23951,125024,19490106,  -10,    0
 23951,125024,19490107,    5,    0
 23951,125024,19490108,   -6,    0
 23951,125024,19490109,  -20,    0
 23951,125024,19490110,  -45,    0
 23951,125024,19490111,  -80,    0
 23951,125024,19490112,  -30,    0
 23951,125024,19490113,  -15,    0
 23951,125024,19490114,  -20,    0
 23951,125024,19490115,    8,    0
 23951,125024,19490116,   10,    0
 23951,125024,19490117,   29,    0
 23951,125024,19490118,   40,    0
 23951,125024,19490119,   56,    0
 23951,125024,19490120,   45,    0
 23951,125024,19490121,   40,    0
 23951,125024,19490122,   14,    0
 23951,125024,19490123,  -31,    0
 23951,125024,19490124,  -45,    0
 23951,125024,19490125,  -15,    0
 23951,125024,19490126,  -25,    0
 23951,125024,19490127,  -20,    0
 23951,125024,19490128,  -50,    0
 23951,125024,19490129,  -30,    0
 23951,125024,19490130,  -35,    0
 23951,125024,19490131,   -5,    0
 23951,125024,19490201,  -25,    0
 23951,125024,19490202,  -55,    0
 23951,125024,19490203,  -85,    0
 23951,125024,19490204, -105,    0
 23951,125024,19490205,  -85,    0
 23951,125024,19490206,  -25,    0
 23951,125024,19490207,  -65,    0
 23951,125024,19490208,  -36,    0
 23951,125024,19490209,   10,    0
 23951,125024,19490210,   30,    0
 23951,125024,19490211,   20,    0
 23951,125024,19490212,    0,    0
 23951,125024,19490213,  -15,    0
 23951,125024,19490214,   -5,    0
 23951,125024,19490215,   -5,    0
 23951,125024,19490216,   38,    0
 23951,125024,19490217,   10,    0
 23951,125024,19490218,    0,    0
 23951,125024,19490219,   10,    0
 23951,125024,19490220,   23,    0
 23951,125024,19490221,   30,    0
 23951,125024,19490222,   31,    0
 23951,125024,19490223,   30,    0
 23951,125024,19490224,   53,    0
 23951,125024,19490225,   48,    0
 23951,125024,19490226,   38,    0
 23951,125024,19490227,   35,    0
 23951,125024,19490228,   15,    0
 23951,125024,19490301,   16,    0
 23951,125024,19490302,  -25,    0
 23951,125024,19490303,  -55,    0
 23951,125024,19490304,  -55,    0
 23951,125024,19490305,  -55,    0
 23951,125024,19490306,  -55,    0
 23951,125024,19490307,  -40,    0
 23951,125024,19490308,  -55,    0
 23951,125024,19490309,    0,    0
 23951,125024,19490310,   25,    0
 23951,125024,19490311,   40,    0
 23951,125024,19490312,   40,    0
 23951,125024,19490313,   65,    0
 23951,125024,19490314,   60,    0
 23951,125024,19490315,   45,    0
 23951,125024,19490316,   25,    0
 23951,125024,19490317,   19,    0
 23951,125024,19490318,   35,    0
 23951,125024,19490319,    9,    0
 23951,125024,19490320,    0,    0
 23951,125024,19490321,   -5,    0
 23951,125024,19490322,   15,    0
 23951,125024,19490323,   39,    0
 23951,125024,19490324,   55,    0
 23951,125024,19490325,   95,    0
 23951,125024,19490326,   80,    0
 23951,125024,19490327,   95,    0
 23951,125024,19490328,  110,    0
 23951,125024,19490329,  110,    0
 23951,125024,19490330,  122,    0
 23951,125024,19490331,   80,    0
 23951,125024,19490401,   90,    0
 23951,125024,19490402,   85,    0
 23951,125024,19490403,   80,    0
 23951,125024,19490404,  135,    0
 23951,125024,19490405,  105,    0
 23951,125024,19490406,  130,    0
 23951,125024,19490407,   85,    0
 23951,125024,19490408,   35,    0
 23951,125024,19490409,   20,    0
 23951,125024,19490410,   25,    0
 23951,125024,19490411,   50,    0
 23951,125024,19490412,   95,    0
 23951,125024,19490413,  120,    0
 23951,125024,19490414,  126,    0
 23951,125024,19490415,  115,    0
 23951,125024,19490416,  125,    0
 23951,125024,19490417,  115,    0
 23951,125024,19490418,  125,    0
 23951,125024,19490419,  141,    0
 23951,125024,19490420,  115,    0
 23951,125024,19490421,  125,    0
 23951,125024,19490422,  130,    0
 23951,125024,19490423,  100,    0
 23951,125024,19490424,  115,    0
 23951,125024,19490425,  145,    0
 23951,125024,19490426,  120,    0
 23951,125024,19490427,   80,    0
 23951,125024,19490428,  115,    0
 23951,125024,19490429,  125,    0
 23951,125024,19490430,  100,    0
 23951,125024,19490501,   65,    0
 23951,125024,19490502,  120,    0
 23951,125024,19490503,  165,    0
 23951,125024,19490504,  175,    0
 23951,125024,19490505,  191,    0
 23951,125024,19490506,  161,    0
 23951,125024,19490507,  120,    0
 23951,125024,19490508,  105,    0
 23951,125024,19490509,   65,    0
 23951,125024,19490510,   51,    0
 23951,125024,19490511,   30,    0
 23951,125024,19490512,   44,    0
 23951,125024,19490513,   85,    0
 23951,125024,19490514,  115,    0
 23951,125024,19490515,  110,    0
 23951,125024,19490516,  130,    0
 23951,125024,19490517,  141,    0
 23951,125024,19490518,  155,    0
 23951,125024,19490519,  172,    0
 23951,125024,19490520,  150,    0
 23951,125024,19490521,  140,    0
 23951,125024,19490522,  135,    0
 23951,125024,19490523,  140,    0
 23951,125024,19490524,  165,    0
 23951,125024,19490525,  145,    0
 23951,125024,19490526,  170,    0
 23951,125024,19490527,  140,    0
 23951,125024,19490528,  150,    0
 23951,125024,19490529,  190,    0
 23951,125024,19490530,  180,    0
 23951,125024,19490531,  180,    0
 23951,125024,19490601,  182,    0
 23951,125024,19490602,  155,    0
 23951,125024,19490603,  150,    0
 23951,125024,19490604,  135,    0
 23951,125024,19490605,  125,    0
 23951,125024,19490606,  150,    0
 23951,125024,19490607,  150,    0
 23951,125024,19490608,  180,    0
 23951,125024,19490609,  200,    0
 23951,125024,19490610,  210,    0
 23951,125024,19490611,  172,    0
 23951,125024,19490612,  125,    0
 23951,125024,19490613,  135,    0
 23951,125024,19490614,  170,    0
 23951,125024,19490615,  155,    0
 23951,125024,19490616,  135,    0
 23951,125024,19490617,  115,    0
 23951,125024,19490618,  110,    0
 23951,125024,19490619,  115,    0
 23951,125024,19490620,  145,    0
 23951,125024,19490621,  165,    0
 23951,125024,19490622,  130,    0
 23951,125024,19490623,  132,    0
 23951,125024,19490624,  120,    0
 23951,125024,19490625,  100,    0
 23951,125024,19490626,  125,    0
 23951,125024,19490627,  160,    0
 23951,125024,19490628,  140,    0
 23951,125024,19490629,  145,    0
 23951,125024,19490630,  150,    0
 23951,125024,19490701,  130,    0
 23951,125024,19490702,  155,    0
 23951,125024,19490703,  125,    0
 23951,125024,19490704,  150,    0
 23951,125024,19490705,  170,    0
 23951,125024,19490706,  170,    0
 23951,125024,19490707,  155,    0
 23951,125024,19490708,  160,    0
 23951,125024,19490709,  165,    0
 23951,125024,19490710,  175,    0
 23951,125024,19490711,  186,    0
 23951,125024,19490712,  175,    0
 23951,125024,19490713,  191,    0
 23951,125024,19490714,  235,    0
 23951,125024,19490715,  221,    0
 23951,125024,19490716,  205,    0
 23951,125024,19490717,  200,    0
 23951,125024,19490718,  195,    0
 23951,125024,19490719,  160,    0
 23951,125024,19490720,  125,    0
 23951,125024,19490721,  145,    0
 23951,125024,19490722,  145,    0
 23951,125024,19490723,  166,    0
 23951,125024,19490724,  160,    0
 23951,125024,19490725,  165,    0
 23951,125024,19490726,  185,    0
 23951,125024,19490727,  200,    0
 23951,125024,19490728,  210,    0
 23951,125024,19490729,  225,    0
