EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOENIGSWIESEN, AUSTRIA (STAID: 23965)
Blended and updated with sources:125193 125219 134709 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23965,125193,19460701,  231,    0
 23965,125193,19460702,  239,    0
 23965,125193,19460703,  208,    0
 23965,125193,19460704,  238,    0
 23965,125193,19460705,  248,    0
 23965,125193,19460706,  197,    0
 23965,125193,19460707,  133,    0
 23965,125193,19460708,  132,    0
 23965,125193,19460709,  134,    0
 23965,125193,19460710,  172,    0
 23965,125193,19460711,  161,    0
 23965,125193,19460712,  143,    0
 23965,125193,19460713,  165,    0
 23965,125193,19460714,  156,    0
 23965,125193,19460715,  163,    0
 23965,125193,19460716,  166,    0
 23965,125193,19460717,  198,    0
 23965,125193,19460718,  209,    0
 23965,125193,19460719,  179,    0
 23965,125193,19460720,  196,    0
 23965,125193,19460721,  156,    0
 23965,125193,19460722,  167,    0
 23965,125193,19460723,  170,    0
 23965,125193,19460724,  197,    0
 23965,125193,19460725,  213,    0
 23965,125193,19460726,  215,    0
 23965,125193,19460727,  241,    0
 23965,125193,19460728,  227,    0
 23965,125193,19460729,  176,    0
 23965,125193,19460730,  174,    0
 23965,125193,19460731,  185,    0
 23965,125193,19460801,  173,    0
 23965,125193,19460802,  156,    0
 23965,125193,19460803,  196,    0
 23965,125193,19460804,  209,    0
 23965,125193,19460805,  222,    0
 23965,125193,19460806,  208,    0
 23965,125193,19460807,  189,    0
 23965,125193,19460808,  203,    0
 23965,125193,19460809,  204,    0
 23965,125193,19460810,  229,    0
 23965,125193,19460811,  225,    0
 23965,125193,19460812,  203,    0
 23965,125193,19460813,  190,    0
 23965,125193,19460814,  152,    0
 23965,125193,19460815,  161,    0
 23965,125193,19460816,  164,    0
 23965,125193,19460817,  183,    0
 23965,125193,19460818,  205,    0
 23965,125193,19460819,  191,    0
 23965,125193,19460820,  161,    0
 23965,125193,19460821,  147,    0
 23965,125193,19460822,  121,    0
 23965,125193,19460823,  120,    0
 23965,125193,19460824,  132,    0
 23965,125193,19460825,  151,    0
 23965,125193,19460826,  119,    0
 23965,125193,19460827,  149,    0
 23965,125193,19460828,  147,    0
 23965,125193,19460829,  184,    0
 23965,125193,19460830,  185,    0
 23965,125193,19460831,  137,    0
 23965,125193,19460901,  153,    0
 23965,125193,19460902,  157,    0
 23965,125193,19460903,  158,    0
 23965,125193,19460904,  163,    0
 23965,125193,19460905,  210,    0
 23965,125193,19460906,  193,    0
 23965,125193,19460907,  174,    0
 23965,125193,19460908,  174,    0
 23965,125193,19460909,  154,    0
 23965,125193,19460910,  138,    0
 23965,125193,19460911,  128,    0
 23965,125193,19460912,  148,    0
 23965,125193,19460913,  152,    0
 23965,125193,19460914,  130,    0
 23965,125193,19460915,  100,    0
 23965,125193,19460916,  167,    0
 23965,125193,19460917,  172,    0
 23965,125193,19460918,  152,    0
 23965,125193,19460919,  143,    0
 23965,125193,19460920,  162,    0
 23965,125193,19460921,  119,    0
 23965,125193,19460922,  104,    0
 23965,125193,19460923,  137,    0
 23965,125193,19460924,  150,    0
 23965,125193,19460925,  162,    0
 23965,125193,19460926,  178,    0
 23965,125193,19460927,  177,    0
 23965,125193,19460928,  155,    0
 23965,125193,19460929,  142,    0
 23965,125193,19460930,  144,    0
 23965,125193,19461001,  132,    0
 23965,125193,19461002,  133,    0
 23965,125193,19461003,  106,    0
 23965,125193,19461004,   71,    0
 23965,125193,19461005,   99,    0
 23965,125193,19461006,   83,    0
 23965,125193,19461007,   54,    0
 23965,125193,19461008,   71,    0
 23965,125193,19461009,   58,    0
 23965,125193,19461010,   38,    0
 23965,125193,19461011,   79,    0
 23965,125193,19461012,   77,    0
 23965,125193,19461013,   58,    0
 23965,125193,19461014,   89,    0
 23965,125193,19461015,   50,    0
 23965,125193,19461016,   54,    0
 23965,125193,19461017,   60,    0
 23965,125193,19461018,   70,    0
 23965,125193,19461019,   86,    0
 23965,125193,19461020,   62,    0
 23965,125193,19461021,   81,    0
 23965,125193,19461022,   94,    0
 23965,125193,19461023,   55,    0
 23965,125193,19461024,  -24,    0
 23965,125193,19461025,  -29,    0
 23965,125193,19461026,   18,    0
 23965,125193,19461027,   42,    0
 23965,125193,19461028,   31,    0
 23965,125193,19461029,   44,    0
 23965,125193,19461030,   35,    0
 23965,125193,19461031,   25,    0
 23965,125193,19461101,   87,    0
 23965,125193,19461102,   74,    0
 23965,125193,19461103,   34,    0
 23965,125193,19461104,   18,    0
 23965,125193,19461105,   35,    0
 23965,125193,19461106,   11,    0
 23965,125193,19461107,    8,    0
 23965,125193,19461108,  -17,    0
 23965,125193,19461109,    5,    0
 23965,125193,19461110,    0,    0
 23965,125193,19461111,    1,    0
 23965,125193,19461112,   10,    0
 23965,125193,19461113,    7,    0
 23965,125193,19461114,  -18,    0
 23965,125193,19461115,    6,    0
 23965,125193,19461116,    4,    0
 23965,125193,19461117,  -11,    0
 23965,125193,19461118,   17,    0
 23965,125193,19461119,   34,    0
 23965,125193,19461120,   84,    0
 23965,125193,19461121,   60,    0
 23965,125193,19461122,   49,    0
 23965,125193,19461123,   42,    0
 23965,125193,19461124,   37,    0
 23965,125193,19461125,   23,    0
 23965,125193,19461126,   18,    0
 23965,125193,19461127,   35,    0
 23965,125193,19461128,   28,    0
 23965,125193,19461129,  -26,    0
 23965,125193,19461130,   -1,    0
 23965,125193,19461201,   25,    0
 23965,125193,19461202,   32,    0
 23965,125193,19461203,   54,    0
 23965,125193,19461204,   23,    0
 23965,125193,19461205,    3,    0
 23965,125193,19461206,    2,    0
 23965,125193,19461207,   -7,    0
 23965,125193,19461208,   -6,    0
 23965,125193,19461209,    8,    0
 23965,125193,19461210,    1,    0
 23965,125193,19461211,  -18,    0
 23965,125193,19461212,  -17,    0
 23965,125193,19461213,  -15,    0
 23965,125193,19461214,  -48,    0
 23965,125193,19461215,  -95,    0
 23965,125193,19461216,  -57,    0
 23965,125193,19461217,  -51,    0
 23965,125193,19461218,  -71,    0
 23965,125193,19461219,  -68,    0
 23965,125193,19461220,  -44,    0
 23965,125193,19461221,  -67,    0
 23965,125193,19461222,  -87,    0
 23965,125193,19461223,  -94,    0
 23965,125193,19461224,  -88,    0
 23965,125193,19461225,  -61,    0
 23965,125193,19461226,   -4,    0
 23965,125193,19461227,  -37,    0
 23965,125193,19461228,  -47,    0
 23965,125193,19461229,  -19,    0
 23965,125193,19461230,  -41,    0
 23965,125193,19461231,  -53,    0
 23965,125193,19470101,  -62,    0
 23965,125193,19470102,  -46,    0
 23965,125193,19470103,  -55,    0
 23965,125193,19470104, -111,    0
 23965,125193,19470105, -166,    0
 23965,125193,19470106, -144,    0
 23965,125193,19470107, -161,    0
 23965,125193,19470108, -115,    0
 23965,125193,19470109,  -82,    0
 23965,125193,19470110,  -54,    0
 23965,125193,19470111,  -13,    0
 23965,125193,19470112,    6,    0
