EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BRAUNAU/RANSHOFEN, AUSTRIA (STAID: 23976)
Blended and updated with sources:28856 125362 135073 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23976,135073,19610101,  -10,    0
 23976,135073,19610102,   -3,    0
 23976,135073,19610103,  -26,    0
 23976,135073,19610104,   -9,    0
 23976,135073,19610105,  -30,    0
 23976,135073,19610106,  -32,    0
 23976,135073,19610107,  -10,    0
 23976,135073,19610108,    4,    0
 23976,135073,19610109,   31,    0
 23976,135073,19610110,    6,    0
 23976,135073,19610111,  -11,    0
 23976,135073,19610112,    3,    0
 23976,135073,19610113,  -43,    0
 23976,135073,19610114,  -55,    0
 23976,135073,19610115,  -60,    0
 23976,135073,19610116,  -12,    0
 23976,135073,19610117,  -32,    0
 23976,135073,19610118,  -71,    0
 23976,135073,19610119,  -90,    0
 23976,135073,19610120, -102,    0
 23976,135073,19610121,  -45,    0
 23976,135073,19610122,  -28,    0
 23976,135073,19610123,  -25,    0
 23976,135073,19610124,  -11,    0
 23976,135073,19610125,  -36,    0
 23976,135073,19610126,  -54,    0
 23976,135073,19610127,  -63,    0
 23976,135073,19610128,  -76,    0
 23976,135073,19610129,   -3,    0
 23976,135073,19610130,   18,    0
 23976,135073,19610131,   65,    0
 23976,135073,19610201,   31,    0
 23976,135073,19610202,   16,    0
 23976,135073,19610203,   11,    0
 23976,135073,19610204,   12,    0
 23976,135073,19610205,   14,    0
 23976,135073,19610206,   -6,    0
 23976,135073,19610207,   12,    0
 23976,135073,19610208,   32,    0
 23976,135073,19610209,   46,    0
 23976,135073,19610210,   41,    0
 23976,135073,19610211,   38,    0
 23976,135073,19610212,   43,    0
 23976,135073,19610213,   33,    0
 23976,135073,19610214,   70,    0
 23976,135073,19610215,   41,    0
 23976,135073,19610216,   27,    0
 23976,135073,19610217,   41,    0
 23976,135073,19610218,   56,    0
 23976,135073,19610219,   12,    0
 23976,135073,19610220,   45,    0
 23976,135073,19610221,   52,    0
 23976,135073,19610222,   30,    0
 23976,135073,19610223,   26,    0
 23976,135073,19610224,   30,    0
 23976,135073,19610225,   34,    0
 23976,135073,19610226,   26,    0
 23976,135073,19610227,   52,    0
 23976,135073,19610228,   58,    0
 23976,135073,19610301,   21,    0
 23976,135073,19610302,   33,    0
 23976,135073,19610303,   44,    0
 23976,135073,19610304,   39,    0
 23976,135073,19610305,   38,    0
 23976,135073,19610306,   53,    0
 23976,135073,19610307,   56,    0
 23976,135073,19610308,   72,    0
 23976,135073,19610309,   71,    0
 23976,135073,19610310,   76,    0
 23976,135073,19610311,   99,    0
