EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RIED IM INNKREIS, AUSTRIA (STAID: 23980)
Blended and updated with sources:125414 131966 135814 911053 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23980,135814,19360101,   -1,    0
 23980,135814,19360102,    2,    0
 23980,135814,19360103,   34,    0
 23980,135814,19360104,   49,    0
 23980,135814,19360105,   14,    0
 23980,135814,19360106,   -3,    0
 23980,135814,19360107,    5,    0
 23980,135814,19360108,   15,    0
 23980,135814,19360109,    9,    0
 23980,135814,19360110,   62,    0
 23980,135814,19360111,   64,    0
 23980,135814,19360112,   24,    0
 23980,135814,19360113,   -4,    0
 23980,135814,19360114,  -11,    0
 23980,135814,19360115,  -67,    0
 23980,135814,19360116,  -97,    0
 23980,135814,19360117,  -71,    0
 23980,135814,19360118,  -24,    0
 23980,135814,19360119,  -66,    0
 23980,135814,19360120,  -53,    0
 23980,135814,19360121,   -7,    0
 23980,135814,19360122,    5,    0
 23980,135814,19360123,    8,    0
 23980,135814,19360124,  -20,    0
 23980,135814,19360125,   -8,    0
 23980,135814,19360126,    1,    0
 23980,135814,19360127,   -6,    0
 23980,135814,19360128,   15,    0
 23980,135814,19360129,   18,    0
 23980,135814,19360130,    4,    0
 23980,135814,19360131,   28,    0
 23980,135814,19360201,   49,    0
 23980,135814,19360202,   47,    0
 23980,135814,19360203,   37,    0
 23980,135814,19360204,    2,    0
 23980,135814,19360205,  -20,    0
 23980,135814,19360206,  -30,    0
 23980,135814,19360207,  -23,    0
 23980,135814,19360208,  -52,    0
 23980,135814,19360209,  -41,    0
 23980,135814,19360210, -117,    0
 23980,135814,19360211, -144,    0
 23980,135814,19360212, -117,    0
 23980,135814,19360213,  -81,    0
 23980,135814,19360214,  -75,    0
 23980,135814,19360215,  -50,    0
 23980,135814,19360216,   -6,    0
 23980,135814,19360217,   -5,    0
 23980,135814,19360218,    9,    0
 23980,135814,19360219,   17,    0
 23980,135814,19360220,   34,    0
 23980,135814,19360221,   26,    0
 23980,135814,19360222,   19,    0
 23980,135814,19360223,   53,    0
 23980,135814,19360224,   28,    0
 23980,135814,19360225,   16,    0
 23980,135814,19360226,    8,    0
 23980,135814,19360227,   10,    0
 23980,135814,19360228,   50,    0
 23980,135814,19360229,   42,    0
 23980,135814,19360301,   42,    0
 23980,135814,19360302,   33,    0
 23980,135814,19360303,   53,    0
 23980,135814,19360304,   95,    0
 23980,135814,19360305,  103,    0
 23980,135814,19360306,   40,    0
 23980,135814,19360307,   25,    0
 23980,135814,19360308,   23,    0
 23980,135814,19360309,   42,    0
 23980,135814,19360310,   40,    0
 23980,135814,19360311,   30,    0
 23980,135814,19360312,   42,    0
 23980,135814,19360313,   19,    0
 23980,135814,19360314,   15,    0
 23980,135814,19360315,   18,    0
 23980,135814,19360316,    8,    0
 23980,135814,19360317,   -1,    0
 23980,135814,19360318,   10,    0
 23980,135814,19360319,   42,    0
 23980,135814,19360320,   50,    0
 23980,135814,19360321,   61,    0
 23980,135814,19360322,   69,    0
 23980,135814,19360323,   92,    0
